cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 810308280, 0, 1, 1, 0.999, 0, 0
2, 810455736, 2, 2, 1, 0.998001, 2, 2
3, 810455736, 0, 0, 1, 0.997003, 2, 1
4, 810455736, 0, 2, 1, 0.996006, 2, 0.666667
5, 810455736, 0, 2, 1, 0.99501, 2, 0.5
6, 810455736, 0, 0, 1, 0.994015, 2, 0.4
7, 810455736, 0, 1, 1, 0.993021, 2, 0.333333
8, 810455736, 0, 2, 1, 0.992028, 2, 0.285714
9, 810455736, 0, 5, 1, 0.991036, 2, 0.25
10, 810455736, 0, 1, 1, 0.990045, 2, 0.222222
11, 810455736, 0, 6, 1, 0.989055, 2, 0.2
12, 810456264, 2, 6, 1, 0.988066, 4, 0.363636
13, 810456264, 0, 7, 1, 0.987078, 4, 0.333333
14, 0, 3, 5, 1, 0.986091, 7, 0.538462
15, 131136, 2, 2, 1, 0.985105, 9, 0.642857
16, 135234, 2, 1, 1, 0.984119, 11, 0.733333
17, 153666, 2, 6, 1, 0.983135, 13, 0.8125
18, 0, 1, 7, 1, 0.982152, 14, 0.823529
19, 131076, 2, 7, 1, 0.98117, 16, 0.888889
20, 131076, 0, 6, 1, 0.980189, 16, 0.842105
21, 131220, 2, 3, 1, 0.979209, 18, 0.9
22, 132246, 2, 0, 1, 0.978229, 20, 0.952381
23, 132246, 0, 0, 1, 0.977251, 20, 0.909091
24, 132246, 0, 7, 1, 0.976274, 20, 0.869565
25, 132246, 0, 7, 1, 0.975298, 20, 0.833333
26, 132246, 0, 8, 1, 0.974322, 20, 0.8
27, 132246, 0, 6, 1, 0.973348, 20, 0.769231
28, 132246, 0, 0, 1, 0.972375, 20, 0.740741
29, 132246, 0, 3, 1, 0.971402, 20, 0.714286
30, 132246, 0, 4, 1, 0.970431, 20, 0.689655
31, 165270, 2, 2, 1, 0.969461, 22, 0.733333
32, 0, 4, 4, 1, 0.968491, 26, 0.83871
33, 131328, 2, 4, 1, 0.967523, 28, 0.875
34, 131328, 0, 1, 1, 0.966555, 28, 0.848485
35, 147744, 2, 1, 1, 0.965589, 30, 0.882353
36, 147744, 0, 7, 1, 0.964623, 30, 0.857143
37, 0, 4, 5, 1, 0.963658, 34, 0.944444
38, 131136, 2, 1, 1, 0.962695, 36, 0.972973
39, 155712, 2, 2, 1, 0.961732, 38, 1
40, 155712, 0, 0, 1, 0.96077, 38, 0.974359
41, 155712, 0, 1, 1, 0.959809, 38, 0.95
42, 155712, 0, 1, 1, 0.95885, 38, 0.926829
43, 155712, 0, 4, 1, 0.957891, 38, 0.904762
44, 155970, 2, 6, 1, 0.956933, 40, 0.930233
45, 158034, 2, 5, 1, 0.955976, 42, 0.954545
46, 158034, 0, 5, 1, 0.95502, 42, 0.933333
47, 158034, 0, 5, 1, 0.954065, 42, 0.913043
48, 158034, 0, 2, 1, 0.953111, 42, 0.893617
49, 158034, 0, 7, 1, 0.952158, 42, 0.875
50, 0, 4, 4, 1, 0.951206, 46, 0.938776
51, 131328, 2, 3, 1, 0.950254, 48, 0.96
52, 140544, 2, 8, 1, 0.949304, 50, 0.980392
53, 140673, 2, 1, 1, 0.948355, 52, 1
54, 157065, 2, 8, 1, 0.947407, 54, 1.01887
55, 157065, 0, 2, 1, 0.946459, 54, 1
56, 157065, 0, 4, 1, 0.945513, 54, 0.981818
57, 157065, 0, 4, 1, 0.944567, 54, 0.964286
58, 157065, 0, 6, 1, 0.943623, 54, 0.947368
59, 0, 3, 7, 1, 0.942679, 57, 0.982759
60, 131076, 2, 2, 1, 0.941736, 59, 1
61, 135204, 2, 3, 0, 0.940795, 61, 1.01667
62, 136230, 2, 7, 1, 0.939854, 63, 1.03279
63, 136230, 0, 0, 0, 0.938914, 63, 1.01613
64, 136230, 0, 8, 1, 0.937975, 63, 1
65, 136230, 0, 7, 1, 0.937037, 63, 0.984375
66, 136230, 0, 4, 1, 0.9361, 63, 0.969231
67, 136614, 2, 1, 1, 0.935164, 65, 0.984848
68, 0, 4, 8, 1, 0.934229, 69, 1.02985
69, 131073, 2, 4, 0, 0.933294, 71, 1.04412
70, 139521, 2, 2, 1, 0.932361, 73, 1.05797
71, 139521, 0, 5, 1, 0.931429, 73, 1.04286
72, 141633, 2, 2, 1, 0.930497, 75, 1.05634
73, 141633, 0, 1, 1, 0.929567, 75, 1.04167
74, 158025, 2, 5, 1, 0.928637, 77, 1.05479
75, 158025, 0, 8, 1, 0.927709, 77, 1.04054
76, 158025, 0, 8, 1, 0.926781, 77, 1.02667
77, 158025, 0, 8, 1, 0.925854, 77, 1.01316
78, 158025, 0, 7, 1, 0.924928, 77, 1
79, 158025, 0, 1, 1, 0.924003, 77, 0.987179
80, 158025, 0, 6, 1, 0.923079, 77, 0.974684
81, 0, 3, 8, 1, 0.922156, 80, 1
82, 131073, 2, 0, 1, 0.921234, 82, 1.01235
83, 131073, 0, 7, 1, 0.920313, 82, 1
84, 139269, 2, 2, 1, 0.919393, 84, 1.01205
85, 139269, 0, 6, 1, 0.918473, 84, 1
86, 0, 4, 4, 1, 0.917555, 88, 1.03529
87, 131328, 2, 8, 1, 0.916637, 90, 1.04651
88, 131337, 2, 6, 1, 0.915721, 92, 1.05747
89, 133401, 2, 2, 1, 0.914805, 94, 1.06818
90, 0, 4, 4, 1, 0.91389, 98, 1.10112
91, 131328, 2, 1, 1, 0.912976, 100, 1.11111
92, 149760, 2, 4, 1, 0.912063, 102, 1.12088
93, 149760, 0, 8, 1, 0.911151, 102, 1.1087
94, 0, 1, 6, 1, 0.91024, 103, 1.10753
95, 131088, 2, 5, 0, 0.90933, 105, 1.11702
96, 131160, 2, 4, 1, 0.90842, 107, 1.12632
97, 164184, 2, 7, 1, 0.907512, 109, 1.13542
98, 164184, 0, 2, 1, 0.906604, 109, 1.12371
99, 0, 4, 4, 1, 0.905698, 113, 1.15306
100, 131328, 2, 6, 1, 0.904792, 115, 1.16162
101, 139536, 2, 8, 1, 0.903887, 117, 1.17
102, 139545, 2, 1, 1, 0.902983, 119, 1.17822
103, 156057, 2, 1, 1, 0.90208, 121, 1.18627
104, 156057, 0, 0, 1, 0.901178, 121, 1.17476
105, 156057, 0, 8, 1, 0.900277, 121, 1.16346
106, 156057, 0, 8, 1, 0.899377, 121, 1.15238
107, 156057, 0, 1, 1, 0.898478, 121, 1.14151
108, 156057, 0, 8, 0, 0.897579, 121, 1.13084
109, 156057, 0, 4, 1, 0.896682, 121, 1.12037
110, 156057, 0, 2, 1, 0.895785, 121, 1.11009
111, 156057, 0, 3, 1, 0.894889, 121, 1.1
112, 0, 3, 8, 1, 0.893994, 124, 1.11712
113, 131073, 2, 4, 1, 0.8931, 126, 1.125
114, 133377, 2, 1, 0, 0.892207, 128, 1.13274
115, 149769, 2, 0, 1, 0.891315, 130, 1.14035
116, 149769, 0, 3, 1, 0.890424, 130, 1.13043
117, 149769, 0, 5, 1, 0.889533, 130, 1.12069
118, 158025, 2, 5, 1, 0.888644, 132, 1.12821
119, 158025, 0, 8, 1, 0.887755, 132, 1.11864
120, 158025, 0, 3, 1, 0.886867, 132, 1.10924
121, 158025, 0, 0, 1, 0.88598, 132, 1.1
122, 158025, 0, 3, 1, 0.885094, 132, 1.09091
123, 158025, 0, 6, 1, 0.884209, 132, 1.08197
124, 0, 3, 4, 1, 0.883325, 135, 1.09756
125, 131328, 2, 8, 1, 0.882442, 137, 1.10484
126, 139521, 2, 7, 0, 0.881559, 139, 1.112
127, 141573, 2, 2, 1, 0.880678, 141, 1.11905
128, 141573, 0, 5, 1, 0.879797, 141, 1.11024
129, 0, 1, 3, 1, 0.878917, 142, 1.10938
130, 132096, 2, 5, 1, 0.878038, 144, 1.11628
131, 132672, 2, 6, 1, 0.87716, 146, 1.12308
132, 165456, 2, 4, 1, 0.876283, 148, 1.12977
133, 165456, 0, 1, 1, 0.875407, 148, 1.12121
134, 165456, 0, 0, 1, 0.874531, 148, 1.11278
135, 165456, 0, 2, 0, 0.873657, 148, 1.10448
136, 0, 1, 0, 1, 0.872783, 149, 1.1037
137, 98304, 2, 2, 1, 0.87191, 151, 1.11029
138, 102402, 2, 0, 1, 0.871039, 153, 1.11679
139, 102402, 0, 5, 1, 0.870168, 153, 1.1087
140, 102474, 2, 2, 1, 0.869297, 155, 1.11511
141, 102474, 0, 7, 1, 0.868428, 155, 1.10714
142, 102474, 0, 4, 1, 0.86756, 155, 1.09929
143, 104778, 2, 1, 1, 0.866692, 157, 1.10563
144, 104778, 0, 5, 1, 0.865825, 157, 1.0979
145, 104778, 0, 3, 1, 0.86496, 157, 1.09028
146, 104778, 0, 0, 1, 0.864095, 157, 1.08276
147, 104778, 0, 8, 1, 0.86323, 157, 1.07534
148, 104778, 0, 3, 1, 0.862367, 157, 1.06803
149, 104778, 0, 5, 1, 0.861505, 157, 1.06081
150, 104778, 0, 4, 1, 0.860643, 157, 1.05369
151, 104778, 0, 1, 1, 0.859783, 157, 1.04667
152, 104778, 0, 0, 1, 0.858923, 157, 1.03974
153, 104778, 0, 5, 1, 0.858064, 157, 1.03289
154, 104778, 0, 6, 1, 0.857206, 157, 1.02614
155, 0, 4, 7, 1, 0.856349, 161, 1.04545
156, 131076, 2, 7, 1, 0.855492, 163, 1.05161
157, 131076, 0, 2, 0, 0.854637, 163, 1.04487
158, 135204, 2, 1, 1, 0.853782, 165, 1.05096
159, 0, 1, 7, 0, 0.852929, 166, 1.05063
160, 131076, 2, 2, 0, 0.852076, 168, 1.0566
161, 135684, 2, 3, 1, 0.851223, 170, 1.0625
162, 136740, 2, 7, 1, 0.850372, 172, 1.06832
163, 136740, 0, 2, 1, 0.849522, 172, 1.06173
164, 136740, 0, 4, 1, 0.848672, 172, 1.05521
165, 136740, 0, 4, 1, 0.847824, 172, 1.04878
166, 136740, 0, 1, 1, 0.846976, 172, 1.04242
167, 0, 1, 5, 0, 0.846129, 173, 1.04217
168, 131136, 2, 3, 1, 0.845283, 175, 1.0479
169, 132162, 2, 8, 1, 0.844437, 177, 1.05357
170, 132162, 0, 8, 0, 0.843593, 177, 1.04734
171, 132162, 0, 3, 0, 0.842749, 177, 1.04118
172, 132162, 0, 7, 1, 0.841907, 177, 1.03509
173, 132198, 2, 2, 1, 0.841065, 179, 1.0407
174, 0, 1, 2, 1, 0.840224, 180, 1.04046
175, 135168, 2, 4, 1, 0.839384, 182, 1.04598
176, 135552, 2, 6, 1, 0.838544, 184, 1.05143
177, 0, 4, 8, 1, 0.837706, 188, 1.06818
178, 131073, 2, 5, 1, 0.836868, 190, 1.07345
179, 131145, 2, 3, 0, 0.836031, 192, 1.07865
180, 164937, 2, 2, 1, 0.835195, 194, 1.0838
181, 0, 4, 3, 1, 0.83436, 198, 1.1
182, 132096, 2, 5, 1, 0.833525, 200, 1.10497
183, 132168, 2, 4, 0, 0.832692, 202, 1.10989
184, 0, 4, 4, 1, 0.831859, 206, 1.12568
185, 131328, 2, 7, 1, 0.831027, 208, 1.13043
186, 131334, 2, 3, 1, 0.830196, 210, 1.13514
187, 132486, 2, 7, 0, 0.829366, 212, 1.13978
188, 132486, 0, 7, 1, 0.828537, 212, 1.13369
189, 132486, 0, 2, 1, 0.827708, 212, 1.12766
190, 169350, 2, 2, 1, 0.826881, 214, 1.13228
191, 169350, 0, 2, 1, 0.826054, 214, 1.12632
192, 169350, 0, 2, 1, 0.825228, 214, 1.12042
193, 169350, 0, 3, 0, 0.824402, 214, 1.11458
194, 169350, 0, 6, 1, 0.823578, 214, 1.10881
195, 0, 4, 3, 0, 0.822754, 218, 1.12371
196, 132096, 2, 4, 1, 0.821932, 220, 1.12821
197, 165120, 2, 8, 1, 0.82111, 222, 1.13265
198, 165129, 2, 4, 1, 0.820289, 224, 1.13706
199, 165129, 0, 7, 1, 0.819468, 224, 1.13131
200, 165129, 0, 7, 1, 0.818649, 224, 1.12563
201, 165129, 0, 4, 1, 0.81783, 224, 1.12
202, 165129, 0, 8, 1, 0.817012, 224, 1.11443
203, 165129, 0, 0, 1, 0.816195, 224, 1.10891
204, 165129, 0, 7, 1, 0.815379, 224, 1.10345
205, 165129, 0, 5, 0, 0.814564, 224, 1.09804
206, 0, 4, 7, 1, 0.813749, 228, 1.1122
207, 131076, 2, 0, 0, 0.812935, 230, 1.1165
208, 131076, 0, 7, 0, 0.812123, 230, 1.11111
209, 131076, 0, 4, 0, 0.81131, 230, 1.10577
210, 131364, 2, 2, 1, 0.810499, 232, 1.11005
211, 168228, 2, 1, 0, 0.809689, 234, 1.11429
212, 168228, 0, 2, 0, 0.808879, 234, 1.109
213, 168228, 0, 8, 1, 0.80807, 234, 1.10377
214, 0, 1, 2, 1, 0.807262, 235, 1.10329
215, 135168, 2, 6, 1, 0.806455, 237, 1.10748
216, 135186, 2, 5, 1, 0.805648, 239, 1.11163
217, 137298, 2, 1, 1, 0.804843, 241, 1.11574
218, 0, 1, 6, 1, 0.804038, 242, 1.11521
219, 131088, 2, 5, 1, 0.803234, 244, 1.11927
220, 131154, 2, 4, 0, 0.80243, 246, 1.12329
221, 164178, 2, 3, 1, 0.801628, 248, 1.12727
222, 0, 4, 6, 1, 0.800826, 252, 1.14027
223, 131088, 2, 4, 0, 0.800026, 254, 1.14414
224, 139536, 2, 6, 0, 0.799226, 256, 1.14798
225, 139536, 0, 6, 1, 0.798426, 256, 1.14286
226, 139536, 0, 1, 1, 0.797628, 256, 1.13778
227, 156048, 2, 0, 1, 0.79683, 258, 1.14159
228, 156048, 0, 0, 1, 0.796033, 258, 1.13656
229, 156048, 0, 7, 0, 0.795237, 258, 1.13158
230, 0, 4, 0, 1, 0.794442, 262, 1.1441
231, 67584, 2, 5, 1, 0.793648, 264, 1.14783
232, 100416, 2, 1, 0, 0.792854, 266, 1.15152
233, 100416, 0, 2, 1, 0.792061, 266, 1.14655
234, 104520, 2, 6, 1, 0.791269, 268, 1.15021
235, 104538, 2, 6, 1, 0.790478, 270, 1.15385
236, 104538, 0, 3, 1, 0.789687, 270, 1.14894
237, 104538, 0, 0, 0, 0.788898, 270, 1.14407
238, 104538, 0, 7, 1, 0.788109, 270, 1.13924
239, 104538, 0, 8, 0, 0.787321, 270, 1.13445
240, 104538, 0, 1, 1, 0.786533, 270, 1.12971
241, 104538, 0, 7, 1, 0.785747, 270, 1.125
242, 104538, 0, 2, 1, 0.784961, 270, 1.12033
243, 104538, 0, 8, 0, 0.784176, 270, 1.1157
244, 104538, 0, 6, 1, 0.783392, 270, 1.11111
245, 104538, 0, 7, 0, 0.782609, 270, 1.10656
246, 104538, 0, 1, 1, 0.781826, 270, 1.10204
247, 104538, 0, 6, 1, 0.781044, 270, 1.09756
248, 104538, 0, 6, 1, 0.780263, 270, 1.09312
249, 104538, 0, 7, 1, 0.779483, 270, 1.08871
250, 104538, 0, 2, 1, 0.778703, 270, 1.08434
251, 104538, 0, 1, 1, 0.777925, 270, 1.08
252, 104538, 0, 7, 1, 0.777147, 270, 1.0757
253, 104538, 0, 7, 0, 0.77637, 270, 1.07143
254, 104538, 0, 2, 1, 0.775593, 270, 1.06719
255, 104538, 0, 2, 1, 0.774818, 270, 1.06299
256, 104538, 0, 2, 0, 0.774043, 270, 1.05882
257, 104538, 0, 5, 1, 0.773269, 270, 1.05469
258, 104538, 0, 6, 1, 0.772496, 270, 1.05058
259, 104538, 0, 4, 1, 0.771723, 270, 1.04651
260, 0, 4, 8, 1, 0.770951, 274, 1.05792
261, 131073, 2, 5, 0, 0.77018, 276, 1.06154
262, 163905, 2, 4, 1, 0.76941, 278, 1.06513
263, 0, 1, 6, 1, 0.768641, 279, 1.06489
264, 131088, 2, 2, 1, 0.767872, 281, 1.06844
265, 135186, 2, 6, 0, 0.767104, 283, 1.07197
266, 135186, 0, 6, 1, 0.766337, 283, 1.06792
267, 135186, 0, 4, 1, 0.765571, 283, 1.06391
268, 0, 4, 2, 1, 0.764805, 287, 1.07491
269, 135168, 2, 2, 1, 0.76404, 289, 1.07836
270, 135168, 0, 7, 1, 0.763276, 289, 1.07435
271, 135204, 2, 8, 1, 0.762513, 291, 1.07778
272, 135717, 2, 7, 1, 0.761751, 293, 1.08118
273, 135717, 0, 7, 1, 0.760989, 293, 1.07721
274, 135717, 0, 1, 1, 0.760228, 293, 1.07326
275, 0, 1, 5, 1, 0.759468, 294, 1.07299
276, 131136, 2, 0, 0, 0.758708, 296, 1.07636
277, 131136, 0, 2, 1, 0.757949, 296, 1.07246
278, 135264, 2, 2, 1, 0.757191, 298, 1.07581
279, 135264, 0, 1, 1, 0.756434, 298, 1.07194
280, 151650, 2, 8, 0, 0.755678, 300, 1.07527
281, 151650, 0, 8, 1, 0.754922, 300, 1.07143
282, 151650, 0, 2, 1, 0.754167, 300, 1.06762
283, 151650, 0, 4, 1, 0.753413, 300, 1.06383
284, 0, 1, 3, 1, 0.75266, 301, 1.0636
285, 132096, 2, 4, 1, 0.751907, 303, 1.0669
286, 140544, 2, 7, 1, 0.751155, 305, 1.07018
287, 140550, 2, 3, 1, 0.750404, 307, 1.07343
288, 140550, 0, 4, 1, 0.749654, 307, 1.06969
289, 140550, 0, 3, 1, 0.748904, 307, 1.06597
290, 140550, 0, 7, 1, 0.748155, 307, 1.06228
291, 140550, 0, 8, 1, 0.747407, 307, 1.05862
292, 140550, 0, 8, 1, 0.746659, 307, 1.05498
293, 140550, 0, 2, 1, 0.745913, 307, 1.05137
294, 140550, 0, 6, 0, 0.745167, 307, 1.04778
295, 0, 1, 4, 1, 0.744422, 308, 1.04762
296, 131328, 2, 8, 0, 0.743677, 310, 1.05085
297, 133377, 2, 8, 1, 0.742934, 312, 1.05405
298, 133377, 0, 7, 1, 0.742191, 312, 1.05051
299, 141573, 2, 4, 0, 0.741448, 314, 1.05369
300, 141573, 0, 1, 1, 0.740707, 314, 1.05017
301, 0, 4, 3, 1, 0.739966, 318, 1.06
