cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32748, 0, 3, 0, 0.1, 0, 0
2, 29962, 1011, 0, 0, 0.1, 1011, 505.5
3, 30472, 991, 1, 1, 0.1, 2002, 667.333
4, 29189, 991, 1, 0, 0.1, 2993, 748.25
5, 29954, 991, 3, 0, 0.1, 3984, 796.8
6, 28677, 1001, 3, 0, 0.1, 4985, 830.833
7, 29960, 1001, 3, 0, 0.1, 5986, 855.143
8, 29960, 1011, 3, 0, 0.1, 6997, 874.625
9, 29960, 1011, 2, 0, 0.1, 8008, 889.778
10, 29962, 1001, 1, 0, 0.1, 9009, 900.9
11, 29962, 1011, 1, 0, 0.1, 10020, 910.909
12, 29962, 1011, 1, 0, 0.1, 11031, 919.25
13, 29962, 1011, 1, 0, 0.1, 12042, 926.308
14, 29962, 1011, 0, 0, 0.1, 13053, 932.357
15, 29960, 1001, 0, 0, 0.1, 14054, 936.933
16, 29962, 991, 3, 0, 0.1, 15045, 940.312
17, 29962, 1011, 1, 0, 0.1, 16056, 944.471
18, 29962, 1011, 1, 0, 0.1, 17067, 948.167
19, 29962, 1011, 0, 0, 0.1, 18078, 951.474
20, 32130, 991, 2, 0, 0.1, 19069, 953.45
21, 29962, 1001, 2, 0, 0.1, 20070, 955.714
22, 29960, 1001, 1, 0, 0.1, 21071, 957.773
23, 28677, 1001, 2, 0, 0.1, 22072, 959.652
24, 28677, 1011, 3, 1, 0.1, 23083, 961.792
25, 29960, 1001, 0, 0, 0.1, 24084, 963.36
26, 29962, 1001, 1, 0, 0.1, 25085, 964.808
27, 29962, 1011, 1, 0, 0.1, 26096, 966.519
28, 29962, 1011, 1, 0, 0.1, 27107, 968.107
29, 29962, 1011, 2, 1, 0.1, 28118, 969.586
30, 29960, 1001, 2, 0, 0.1, 29119, 970.633
31, 29962, 1001, 0, 0, 0.1, 30120, 971.613
32, 29976, 1001, 1, 0, 0.1, 31121, 972.531
33, 28677, 1001, 3, 0, 0.1, 32122, 973.394
34, 29960, 951, 1, 1, 0.1, 33073, 972.735
35, 29962, 1011, 1, 0, 0.1, 34084, 973.829
36, 29962, 1011, 1, 0, 0.1, 35095, 974.861
37, 29962, 1011, 0, 1, 0.1, 36106, 975.838
38, 30472, 991, 3, 0, 0.1, 37097, 976.237
39, 30472, 1011, 2, 0, 0.1, 38108, 977.128
