cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2472977679, 0, 1, 0, 0.1, 0, 0
2, 2472977679, 0, 5, 0, 0.1, 0, 0
3, 2472977679, 0, 1, 1, 0.1, 0, 0
4, 2472977679, 0, 4, 0, 0.1, 0, 0
5, 2472977679, 0, 7, 0, 0.1, 0, 0
6, 2472977679, 0, 1, 1, 0.1, 0, 0
7, 2472977679, 0, 7, 0, 0.1, 0, 0
8, 2472977679, 0, 5, 0, 0.1, 0, 0
9, 2472977679, 0, 4, 0, 0.1, 0, 0
10, 2472977679, 0, 7, 0, 0.1, 0, 0
11, 2472977679, 0, 3, 0, 0.1, 0, 0
12, 2472977679, 0, 5, 1, 0.1, 0, 0
13, 2472977679, 0, 3, 0, 0.1, 0, 0
14, 2472977679, 0, 2, 0, 0.1, 0, 0
15, 0, 3, 5, 0, 0.1, 3, 0.2
16, 131136, 2, 8, 0, 0.1, 5, 0.3125
17, 131649, 2, 1, 0, 0.1, 7, 0.411765
18, 148041, 2, 3, 1, 0.1, 9, 0.5
19, 149097, 2, 3, 0, 0.1, 11, 0.578947
20, 149097, 0, 6, 0, 0.1, 11, 0.55
21, 149097, 0, 5, 0, 0.1, 11, 0.52381
22, 149097, 0, 3, 0, 0.1, 11, 0.5
23, 149097, 0, 8, 0, 0.1, 11, 0.478261
24, 149097, 0, 7, 0, 0.1, 11, 0.458333
25, 149097, 0, 6, 0, 0.1, 11, 0.44
26, 149097, 0, 6, 0, 0.1, 11, 0.423077
27, 149097, 0, 1, 1, 0.1, 11, 0.407407
28, 149097, 0, 3, 0, 0.1, 11, 0.392857
29, 149097, 0, 0, 0, 0.1, 11, 0.37931
30, 149097, 0, 7, 0, 0.1, 11, 0.366667
31, 149097, 0, 8, 0, 0.1, 11, 0.354839
32, 149097, 0, 4, 0, 0.1, 11, 0.34375
33, 149097, 0, 2, 0, 0.1, 11, 0.333333
34, 0, 4, 1, 0, 0.1, 15, 0.441176
35, 147456, 2, 4, 0, 0.1, 17, 0.485714
36, 147840, 2, 4, 0, 0.1, 19, 0.527778
37, 147840, 0, 2, 0, 0.1, 19, 0.513514
38, 153984, 2, 2, 0, 0.1, 21, 0.552632
39, 153984, 0, 8, 0, 0.1, 21, 0.538462
40, 153993, 2, 3, 0, 0.1, 23, 0.575
41, 153993, 0, 5, 0, 0.1, 23, 0.560976
42, 153993, 0, 5, 0, 0.1, 23, 0.547619
43, 153993, 0, 2, 0, 0.1, 23, 0.534884
44, 153993, 0, 8, 0, 0.1, 23, 0.522727
