cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32568, 0, 1, 1, 1, 0, 0
2, 29962, 1011, 2, 0, 0.95, 1011, 505.5
3, 30472, 991, 0, 1, 0.9025, 2002, 667.333
4, 29962, 1001, 1, 0, 0.857375, 3003, 750.75
5, 29962, 1011, 1, 1, 0.814506, 4014, 802.8
6, 29962, 1011, 1, 1, 0.773781, 5025, 837.5
7, 29962, 1011, 3, 1, 0.735092, 6036, 862.286
8, 29962, 1011, 3, 1, 0.698337, 7047, 880.875
9, 29962, 1011, 1, 1, 0.66342, 8058, 895.333
10, 29962, 1011, 3, 1, 0.630249, 9069, 906.9
11, 29962, 1011, 0, 1, 0.598737, 10080, 916.364
12, 30472, 991, 2, 1, 0.5688, 11071, 922.583
13, 29962, 1001, 0, 1, 0.54036, 12072, 928.615
14, 30472, 1001, 0, 1, 0.513342, 13073, 933.786
15, 29962, 991, 1, 1, 0.487675, 14064, 937.6
16, 29962, 1011, 0, 1, 0.463291, 15075, 942.188
17, 32002, 991, 2, 0, 0.440127, 16066, 945.059
18, 29962, 1001, 2, 0, 0.41812, 17067, 948.167
19, 30472, 1001, 0, 1, 0.397214, 18068, 950.947
20, 29962, 1001, 3, 0, 0.377354, 19069, 953.45
21, 29962, 1011, 0, 1, 0.358486, 20080, 956.19
22, 32002, 1001, 0, 0, 0.340562, 21081, 958.227
23, 29962, 991, 2, 1, 0.323534, 22072, 959.652
24, 32002, 1001, 0, 1, 0.307357, 23073, 961.375
25, 29962, 1001, 1, 1, 0.291989, 24074, 962.96
26, 29962, 1011, 2, 0, 0.27739, 25085, 964.808
27, 32002, 1001, 2, 0, 0.26352, 26086, 966.148
28, 29962, 1001, 0, 0, 0.250344, 27087, 967.393
29, 32002, 1001, 0, 0, 0.237827, 28088, 968.552
30, 29962, 1001, 2, 0, 0.225936, 29089, 969.633
31, 32002, 1001, 3, 0, 0.214639, 30090, 970.645
32, 30725, 991, 0, 0, 0.203907, 31081, 971.281
33, 30725, 1011, 1, 0, 0.193711, 32092, 972.485
34, 32002, 1001, 1, 0, 0.184026, 33093, 973.324
35, 32002, 1011, 0, 0, 0.174825, 34104, 974.4
36, 29962, 1001, 1, 0, 0.166083, 35105, 975.139
37, 29962, 1011, 0, 0, 0.157779, 36116, 976.108
38, 32512, 991, 2, 0, 0.14989, 37107, 976.5
39, 29962, 1001, 3, 0, 0.142396, 38108, 977.128
40, 29962, 1011, 3, 0, 0.135276, 39119, 977.975
41, 29962, 1011, 2, 0, 0.128512, 40130, 978.78
42, 32002, 1001, 2, 0, 0.122087, 41131, 979.31
43, 29962, 1001, 2, 0, 0.115982, 42132, 979.814
44, 30472, 1001, 2, 0, 0.110183, 43133, 980.295
45, 29962, 1001, 2, 0, 0.104674, 44134, 980.756
46, 30472, 1001, 1, 0, 0.0994403, 45135, 981.196
47, 29189, 991, 2, 0, 0.0944682, 46126, 981.404
48, 29189, 1011, 1, 0, 0.0897448, 47137, 982.021
49, 29954, 991, 0, 0, 0.0852576, 48128, 982.204
50, 29962, 991, 0, 0, 0.0809947, 49119, 982.38
51, 32002, 991, 2, 0, 0.076945, 50110, 982.549
52, 29962, 1001, 2, 0, 0.0730977, 51111, 982.904
53, 29954, 1001, 0, 0, 0.0694428, 52112, 983.245
54, 29962, 1001, 0, 0, 0.0659707, 53113, 983.574
55, 32002, 1001, 3, 0, 0.0626722, 54114, 983.891
56, 28677, 991, 3, 0, 0.0595386, 55105, 984.018
57, 25864, 1001, 1, 0, 0.0565616, 56106, 984.316
58, 28677, 1001, 2, 0, 0.0537335, 57107, 984.603
59, 28677, 1011, 1, 0, 0.0510469, 58118, 985.051
60, 29954, 1001, 3, 0, 0.0484945, 59119, 985.317
61, 28677, 1001, 3, 0, 0.0460698, 60120, 985.574
62, 25864, 1001, 1, 0, 0.0437663, 61121, 985.823
63, 28677, 1001, 1, 0, 0.041578, 62122, 986.063
64, 29954, 1001, 3, 0, 0.0394991, 63123, 986.297
65, 28677, 1001, 1, 0, 0.0375241, 64124, 986.523
66, 29954, 1001, 1, 0, 0.0356479, 65125, 986.742
67, 29954, 1011, 0, 0, 0.0338655, 66136, 987.104
68, 29962, 991, 3, 0, 0.0321723, 67127, 987.162
69, 29962, 1011, 3, 0, 0.0305636, 68138, 987.507
70, 29962, 1011, 0, 0, 0.0290355, 69149, 987.843
71, 30472, 991, 1, 0, 0.0275837, 70140, 987.887
72, 29189, 991, 1, 0, 0.0262045, 71131, 987.931
73, 29699, 991, 2, 0, 0.0248943, 72122, 987.973
74, 29706, 991, 1, 0, 0.0236496, 73113, 988.014
75, 29706, 1011, 0, 0, 0.0224671, 74124, 988.32
76, 29699, 1001, 2, 0, 0.0213437, 75125, 988.487
77, 29706, 1001, 0, 0, 0.0202765, 76126, 988.649
78, 29699, 1001, 1, 0, 0.0192627, 77127, 988.808
79, 29699, 1011, 3, 0, 0.0182996, 78138, 989.089
80, 28677, 1001, 2, 0, 0.0173846, 79139, 989.237
81, 28677, 1011, 0, 0, 0.0165154, 80150, 989.506
82, 28677, 1011, 3, 0, 0.0156896, 81161, 989.768
83, 29960, 1001, 0, 0, 0.0149051, 82162, 989.904
84, 29962, 991, 1, 1, 0.0141599, 83153, 989.917
85, 29962, 1011, 3, 0, 0.0134519, 84164, 990.165
86, 29962, 1011, 2, 0, 0.0127793, 85175, 990.407
87, 29960, 1001, 1, 0, 0.0121403, 86176, 990.529
88, 24581, 1001, 1, 0, 0.0115333, 87177, 990.648
89, 29699, 1001, 1, 0, 0.0109566, 88178, 990.764
90, 29699, 1011, 3, 1, 0.0104088, 89189, 990.989
91, 24581, 1001, 2, 0, 0.00988836, 90190, 991.099
92, 24581, 1011, 0, 0, 0.00939395, 91201, 991.315
93, 24581, 1011, 3, 0, 0.00892425, 92212, 991.527
94, 29960, 1001, 0, 0, 0.00847804, 93213, 991.628
95, 29962, 1001, 1, 0, 0.00805413, 94214, 991.726
96, 29962, 1011, 1, 0, 0.00765143, 95225, 991.927
97, 29962, 1011, 0, 0, 0.00726886, 96236, 992.124
98, 32257, 991, 3, 0, 0.00690541, 97227, 992.112
99, 31237, 991, 2, 0, 0.00656014, 98218, 992.101
100, 31237, 1011, 3, 0, 0.00623214, 99229, 992.29
101, 32512, 1001, 0, 0, 0.00592053, 100230, 992.376
102, 29962, 991, 2, 0, 0.0056245, 101221, 992.363
103, 32640, 1001, 0, 0, 0.00534328, 102222, 992.447
104, 29962, 1001, 0, 0, 0.00507611, 103223, 992.529
105, 29962, 991, 1, 0, 0.00482231, 104214, 992.514
106, 29962, 1011, 3, 0, 0.00458119, 105225, 992.689
107, 29962, 1011, 3, 0, 0.00435213, 106236, 992.86
108, 29962, 1011, 3, 0, 0.00413453, 107247, 993.028
109, 29962, 1011, 3, 0, 0.0039278, 108258, 993.193
110, 29962, 1011, 2, 0, 0.00373141, 109269, 993.355
111, 29962, 1001, 0, 0, 0.00354484, 110270, 993.423
112, 29962, 1001, 1, 0, 0.0033676, 111271, 993.491
113, 29962, 1011, 3, 0, 0.00319922, 112282, 993.646
114, 29962, 1011, 2, 0, 0.00303926, 113293, 993.798
115, 29962, 1001, 1, 0, 0.00288729, 114294, 993.861
116, 29962, 1011, 1, 0, 0.00274293, 115305, 994.009
117, 29962, 1011, 1, 0, 0.00260578, 116316, 994.154
118, 30026, 1011, 1, 0, 0.00247549, 117327, 994.297
119, 30026, 1011, 3, 0, 0.00235172, 118338, 994.437
120, 30026, 1011, 3, 0, 0.00223413, 119349, 994.575
121, 29962, 961, 0, 0, 0.00212243, 120310, 994.298
122, 30472, 991, 1, 0, 0.00201631, 121301, 994.27
123, 29189, 991, 1, 0, 0.00191549, 122292, 994.244
124, 29954, 991, 2, 0, 0.00181972, 123283, 994.218
125, 29962, 991, 3, 0, 0.00172873, 124274, 994.192
126, 29962, 1011, 2, 0, 0.00164229, 125285, 994.325
127, 32002, 991, 0, 0, 0.00156018, 126276, 994.299
128, 29962, 1001, 1, 0, 0.00148217, 127277, 994.352
129, 29962, 1011, 3, 0, 0.00140806, 128288, 994.481
130, 29962, 1011, 1, 0, 0.00133766, 129299, 994.608
131, 29962, 1011, 3, 0, 0.00127078, 130310, 994.733
132, 29962, 1011, 3, 0, 0.00120724, 131321, 994.856
133, 29962, 1011, 1, 0, 0.00114687, 132332, 994.977
134, 29962, 1011, 3, 0, 0.00108953, 133343, 995.097
135, 29962, 1011, 1, 0, 0.00103505, 134354, 995.215
136, 29962, 1011, 3, 0, 0.000983302, 135365, 995.331
137, 29962, 1011, 0, 0, 0.000934136, 136376, 995.445
138, 29954, 1001, 3, 0, 0.00088743, 137377, 995.486
