cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2368263514, 0, 7, 1, 1, 0, 0
2, 2368263514, 0, 7, 1, 0.95, 0, 0
3, 2368263514, 0, 1, 1, 0.9025, 0, 0
4, 2368263514, 0, 7, 1, 0.857375, 0, 0
5, 2368263514, 0, 2, 1, 0.814506, 0, 0
6, 0, 3, 7, 0, 0.773781, 3, 0.5
7, 131076, 2, 7, 1, 0.735092, 5, 0.714286
8, 131076, 0, 7, 0, 0.698337, 5, 0.625
9, 131076, 0, 8, 1, 0.66342, 5, 0.555556
10, 139269, 2, 8, 1, 0.630249, 7, 0.7
11, 139269, 0, 1, 0, 0.598737, 7, 0.636364
12, 155781, 2, 5, 1, 0.5688, 9, 0.75
13, 155781, 0, 6, 0, 0.54036, 9, 0.692308
14, 0, 4, 4, 0, 0.513342, 13, 0.928571
15, 131328, 2, 8, 0, 0.487675, 15, 1
16, 131457, 2, 5, 0, 0.463291, 17, 1.0625
17, 131457, 0, 6, 0, 0.440127, 17, 1
18, 133521, 2, 6, 1, 0.41812, 19, 1.05556
19, 133521, 0, 4, 0, 0.397214, 19, 1
20, 133521, 0, 1, 1, 0.377354, 19, 0.95
21, 158097, 2, 8, 1, 0.358486, 21, 1
22, 158097, 0, 6, 1, 0.340562, 21, 0.954545
23, 158097, 0, 7, 1, 0.323534, 21, 0.913043
24, 0, 4, 1, 0, 0.307357, 25, 1.04167
25, 147456, 2, 3, 1, 0.291989, 27, 1.08
26, 148512, 2, 7, 0, 0.27739, 29, 1.11538
27, 148644, 2, 8, 1, 0.26352, 31, 1.14815
28, 149157, 2, 3, 0, 0.250344, 33, 1.17857
29, 149157, 0, 8, 0, 0.237827, 33, 1.13793
30, 149157, 0, 2, 0, 0.225936, 33, 1.1
31, 0, 3, 7, 0, 0.214639, 36, 1.16129
32, 131076, 2, 7, 0, 0.203907, 38, 1.1875
33, 131076, 0, 8, 0, 0.193711, 38, 1.15152
34, 139269, 2, 3, 0, 0.184026, 40, 1.17647
35, 140805, 2, 5, 0, 0.174825, 42, 1.2
36, 0, 1, 1, 1, 0.166083, 43, 1.19444
37, 147456, 2, 6, 0, 0.157779, 45, 1.21622
38, 147984, 2, 4, 0, 0.14989, 47, 1.23684
39, 147984, 0, 8, 0, 0.142396, 47, 1.20513
40, 147993, 2, 5, 0, 0.135276, 49, 1.225
41, 150105, 2, 8, 0, 0.128512, 51, 1.2439
42, 150105, 0, 0, 0, 0.122087, 51, 1.21429
43, 150105, 0, 3, 0, 0.115982, 51, 1.18605
44, 150105, 0, 1, 1, 0.110183, 51, 1.15909
45, 150105, 0, 0, 0, 0.104674, 51, 1.13333
46, 150105, 0, 3, 0, 0.0994403, 51, 1.1087
47, 150105, 0, 4, 0, 0.0944682, 51, 1.08511
48, 150105, 0, 2, 0, 0.0897448, 51, 1.0625
49, 0, 4, 8, 0, 0.0852576, 55, 1.12245
50, 131073, 2, 4, 0, 0.0809947, 57, 1.14
51, 131457, 2, 7, 0, 0.076945, 59, 1.15686
52, 139653, 2, 1, 0, 0.0730977, 61, 1.17308
53, 0, 4, 2, 0, 0.0694428, 65, 1.22642
54, 135168, 2, 6, 0, 0.0659707, 67, 1.24074
55, 137232, 2, 5, 0, 0.0626722, 69, 1.25455
56, 137298, 2, 6, 0, 0.0595386, 71, 1.26786
57, 137298, 0, 0, 1, 0.0565616, 71, 1.24561
58, 137298, 0, 8, 0, 0.0537335, 71, 1.22414
59, 137298, 0, 7, 0, 0.0510469, 71, 1.20339
60, 0, 1, 5, 0, 0.0484945, 72, 1.2
61, 131136, 2, 3, 0, 0.0460698, 74, 1.21311
62, 132162, 2, 2, 0, 0.0437663, 76, 1.22581
63, 136266, 2, 7, 0, 0.041578, 78, 1.2381
64, 136266, 0, 7, 0, 0.0394991, 78, 1.21875
65, 136266, 0, 7, 0, 0.0375241, 78, 1.2
66, 136266, 0, 1, 0, 0.0356479, 78, 1.18182
67, 0, 1, 8, 0, 0.0338655, 79, 1.1791
68, 131073, 2, 4, 0, 0.0321723, 81, 1.19118
69, 131361, 2, 7, 0, 0.0305636, 83, 1.2029
70, 139557, 2, 0, 0, 0.0290355, 85, 1.21429
71, 139557, 0, 3, 0, 0.0275837, 85, 1.19718
72, 0, 1, 6, 0, 0.0262045, 86, 1.19444
73, 131088, 2, 0, 0, 0.0248943, 88, 1.20548
74, 131088, 0, 3, 0, 0.0236496, 88, 1.18919
75, 140304, 2, 3, 0, 0.0224671, 90, 1.2
76, 140304, 0, 3, 0, 0.0213437, 90, 1.18421
77, 140304, 0, 4, 0, 0.0202765, 90, 1.16883
78, 140688, 2, 1, 0, 0.0192627, 92, 1.17949
79, 0, 1, 1, 0, 0.0182996, 93, 1.17722
80, 147456, 2, 4, 0, 0.0173846, 95, 1.1875
81, 149760, 2, 7, 0, 0.0165154, 97, 1.19753
82, 0, 4, 0, 0, 0.0156896, 101, 1.23171
83, 73728, 2, 7, 0, 0.0149051, 103, 1.24096
84, 73734, 2, 5, 0, 0.0141599, 105, 1.25
85, 74310, 2, 7, 0, 0.0134519, 107, 1.25882
86, 74310, 0, 6, 0, 0.0127793, 107, 1.24419
87, 107094, 2, 8, 0, 0.0121403, 109, 1.25287
88, 107094, 0, 6, 0, 0.0115333, 109, 1.23864
89, 107094, 0, 4, 0, 0.0109566, 109, 1.22472
90, 107094, 0, 1, 0, 0.0104088, 109, 1.21111
91, 107094, 0, 7, 0, 0.00988836, 109, 1.1978
92, 107094, 0, 2, 0, 0.00939395, 109, 1.18478
93, 107094, 0, 8, 0, 0.00892425, 109, 1.17204
94, 107094, 0, 7, 0, 0.00847804, 109, 1.15957
95, 107094, 0, 6, 0, 0.00805413, 109, 1.14737
96, 107094, 0, 8, 0, 0.00765143, 109, 1.13542
97, 107094, 0, 7, 0, 0.00726886, 109, 1.12371
98, 107094, 0, 2, 0, 0.00690541, 109, 1.11224
99, 107094, 0, 3, 0, 0.00656014, 109, 1.10101
100, 0, 4, 2, 0, 0.00623214, 113, 1.13
101, 135168, 2, 7, 0, 0.00592053, 115, 1.13861
102, 167940, 2, 4, 0, 0.0056245, 117, 1.14706
103, 168228, 2, 8, 0, 0.00534328, 119, 1.15534
104, 168357, 2, 7, 0, 0.00507611, 121, 1.16346
105, 168357, 0, 0, 0, 0.00482231, 121, 1.15238
106, 168357, 0, 4, 0, 0.00458119, 121, 1.14151
107, 168357, 0, 1, 0, 0.00435213, 121, 1.13084
108, 168357, 0, 7, 0, 0.00413453, 121, 1.12037
109, 168357, 0, 3, 0, 0.0039278, 121, 1.11009
110, 0, 3, 3, 0, 0.00373141, 124, 1.12727
111, 132096, 2, 4, 0, 0.00354484, 126, 1.13514
112, 132354, 2, 4, 0, 0.0033676, 128, 1.14286
113, 132354, 0, 4, 0, 0.00319922, 128, 1.13274
114, 132354, 0, 5, 0, 0.00303926, 128, 1.12281
115, 0, 4, 5, 0, 0.00288729, 132, 1.14783
116, 131136, 2, 8, 0, 0.00274293, 134, 1.15517
117, 163905, 2, 7, 0, 0.00260578, 136, 1.16239
118, 165957, 2, 4, 0, 0.00247549, 138, 1.16949
119, 0, 1, 3, 0, 0.00235172, 139, 1.16807
120, 132096, 2, 7, 0, 0.00223413, 141, 1.175
121, 164868, 2, 8, 0, 0.00212243, 143, 1.18182
122, 0, 1, 7, 0, 0.00201631, 144, 1.18033
123, 131076, 2, 3, 0, 0.00191549, 146, 1.18699
124, 132102, 2, 3, 0, 0.00181972, 148, 1.19355
125, 132102, 0, 2, 0, 0.00172873, 148, 1.184
126, 136230, 2, 2, 0, 0.00164229, 150, 1.19048
127, 136230, 0, 5, 0, 0.00156018, 150, 1.1811
128, 169062, 2, 6, 0, 0.00148217, 152, 1.1875
129, 169062, 0, 3, 0, 0.00140806, 152, 1.17829
130, 169062, 0, 1, 0, 0.00133766, 152, 1.16923
131, 169062, 0, 2, 0, 0.00127078, 152, 1.16031
132, 169062, 0, 5, 0, 0.00120724, 152, 1.15152
133, 169062, 0, 7, 0, 0.00114687, 152, 1.14286
