cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0, 0, 0
2, 0, 1, 0, 0, 0, 1, 0.5
3, 1, 0, 0, 0, 0, 1, 0.333333
4, 0, 1, 1, 0, 0, 2, 0.5
5, 0, 0, 0, 0, 0, 2, 0.4
6, 0, 1, 0, 0, 0, 3, 0.5
7, 0, 1, 0, 0, 0, 4, 0.571429
8, 0, 1, 0, 0, 0, 5, 0.625
9, 0, 1, 0, 0, 0, 6, 0.666667
10, 1, 0, 0, 0, 0, 6, 0.6
11, 0, 1, 0, 0, 0, 7, 0.636364
12, 0, 1, 0, 0, 0, 8, 0.666667
13, 0, 1, 0, 0, 0, 9, 0.692308
14, 1, 0, 0, 0, 0, 9, 0.642857
15, 0, 1, 0, 0, 0, 10, 0.666667
16, 0, 1, 0, 0, 0, 11, 0.6875
17, 0, 1, 0, 0, 0, 12, 0.705882
18, 0, 1, 0, 0, 0, 13, 0.722222
19, 0, 1, 0, 0, 0, 14, 0.736842
20, 0, 1, 0, 0, 0, 15, 0.75
21, 0, 1, 1, 0, 0, 16, 0.761905
22, 0, 0, 1, 0, 0, 16, 0.727273
23, 0, 0, 0, 0, 0, 16, 0.695652
24, 0, 1, 1, 0, 0, 17, 0.708333
25, 0, 0, 0, 0, 0, 17, 0.68
26, 0, 1, 1, 0, 0, 18, 0.692308
27, 0, 0, 0, 0, 0, 18, 0.666667
28, 1, 0, 0, 0, 0, 18, 0.642857
29, 0, 1, 1, 0, 0, 19, 0.655172
30, 1, 1, 1, 0, 0, 20, 0.666667
31, 0, 0, 1, 0, 0, 20, 0.645161
32, 0, 0, 1, 0, 0, 20, 0.625
33, 1, 1, 0, 0, 0, 21, 0.636364
34, 0, 1, 0, 0, 0, 22, 0.647059
35, 0, 1, 1, 0, 0, 23, 0.657143
36, 0, 0, 1, 0, 0, 23, 0.638889
37, 0, 0, 0, 0, 0, 23, 0.621622
38, 0, 1, 0, 0, 0, 24, 0.631579
39, 0, 1, 1, 0, 0, 25, 0.641026
40, 0, 0, 0, 0, 0, 25, 0.625
41, 0, 1, 1, 0, 0, 26, 0.634146
42, 0, 0, 0, 0, 0, 26, 0.619048
43, 0, 1, 1, 0, 0, 27, 0.627907
44, 0, 0, 1, 0, 0, 27, 0.613636
45, 0, 0, 0, 0, 0, 27, 0.6
46, 0, 1, 1, 0, 0, 28, 0.608696
47, 0, 0, 1, 0, 0, 28, 0.595745
48, 0, 0, 1, 0, 0, 28, 0.583333
49, 0, 0, 0, 0, 0, 28, 0.571429
50, 0, 1, 1, 0, 0, 29, 0.58
51, 0, 0, 1, 0, 0, 29, 0.568627
52, 1, 1, 1, 0, 0, 30, 0.576923
