cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32706, 0, 1, 1, 1, 0, 0
2, 29962, 1011, 1, 1, 1, 1011, 505.5
3, 29962, 1011, 3, 1, 1, 2022, 674
4, 29962, 1011, 2, 1, 1, 3033, 758.25
5, 30472, 991, 0, 1, 1, 4024, 804.8
6, 29962, 1001, 0, 1, 1, 5025, 837.5
7, 30472, 991, 1, 1, 1, 6016, 859.429
8, 29189, 991, 0, 1, 1, 7007, 875.875
9, 29189, 1011, 1, 1, 1, 8018, 890.889
10, 29954, 991, 2, 1, 1, 9009, 900.9
11, 29962, 991, 1, 1, 1, 10000, 909.091
12, 29962, 1011, 2, 1, 1, 11011, 917.583
13, 32002, 991, 0, 1, 1, 12002, 923.231
14, 29962, 1001, 2, 1, 1, 13003, 928.786
15, 32002, 1001, 1, 1, 1, 14004, 933.6
16, 32002, 1011, 0, 1, 1, 15015, 938.438
17, 29962, 1001, 0, 1, 1, 16016, 942.118
18, 29954, 1001, 2, 1, 1, 17017, 945.389
19, 29962, 1001, 3, 1, 1, 18018, 948.316
20, 29962, 1011, 1, 1, 1, 19029, 951.45
21, 29962, 1011, 3, 1, 1, 20040, 954.286
22, 29962, 1011, 1, 1, 1, 21051, 956.864
23, 29962, 1011, 0, 1, 1, 22062, 959.217
24, 29954, 1001, 0, 1, 1, 23063, 960.958
25, 29962, 991, 3, 1, 1, 24054, 962.16
26, 29962, 1011, 0, 1, 1, 25065, 964.038
27, 30472, 991, 1, 1, 1, 26056, 965.037
28, 29189, 991, 1, 1, 1, 27047, 965.964
29, 29699, 991, 1, 1, 1, 28038, 966.828
30, 29699, 1011, 0, 1, 1, 29049, 968.3
31, 29699, 1011, 2, 1, 1, 30060, 969.677
32, 29706, 991, 1, 1, 1, 31051, 970.344
33, 29706, 1011, 2, 1, 1, 32062, 971.576
34, 29196, 991, 1, 1, 1, 33053, 972.147
35, 29189, 991, 2, 1, 1, 34044, 972.686
36, 29189, 1011, 2, 1, 1, 35055, 973.75
37, 29189, 1011, 1, 1, 1, 36066, 974.757
38, 29954, 991, 1, 1, 1, 37057, 975.184
39, 29954, 1011, 2, 1, 1, 38068, 976.103
40, 29962, 991, 0, 1, 1, 39059, 976.475
41, 29954, 1001, 0, 1, 1, 40060, 977.073
42, 29962, 991, 1, 1, 1, 41051, 977.405
43, 29962, 1011, 0, 1, 1, 42062, 978.186
44, 29962, 991, 1, 1, 1, 43053, 978.477
45, 29962, 1011, 1, 1, 1, 44064, 979.2
46, 29962, 1011, 3, 1, 1, 45075, 979.891
47, 29962, 1011, 2, 1, 1, 46086, 980.553
48, 29962, 1001, 2, 1, 1, 47087, 980.979
49, 29954, 1001, 3, 1, 1, 48088, 981.388
50, 24581, 1001, 0, 1, 1, 49089, 981.78
51, 24581, 1011, 3, 1, 1, 50100, 982.353
52, 16396, 1001, 0, 1, 1, 51101, 982.712
53, 16394, 1001, 3, 1, 1, 52102, 983.057
54, 16394, 1011, 1, 1, 1, 53113, 983.574
55, 16394, 1011, 3, 1, 1, 54124, 984.073
56, 16394, 1011, 1, 1, 1, 55135, 984.554
57, 16394, 1011, 0, 1, 1, 56146, 985.018
58, 24579, 1001, 2, 1, 1, 57147, 985.293
59, 16394, 1001, 2, 1, 1, 58148, 985.559
60, 16396, 1001, 1, 1, 1, 59149, 985.817
