cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 1, 1, 1, 1
2, 0, 0, 1, 1, 0.95, 1, 0.5
3, 0, 0, 1, 1, 0.9025, 1, 0.333333
4, 0, 0, 1, 1, 0.857375, 1, 0.25
5, 0, 0, 0, 1, 0.814506, 1, 0.2
6, 0, 1, 1, 0, 0.773781, 2, 0.333333
7, 0, 0, 1, 1, 0.735092, 2, 0.285714
8, 0, 0, 1, 1, 0.698337, 2, 0.25
9, 0, 0, 1, 1, 0.66342, 2, 0.222222
10, 0, 0, 1, 1, 0.630249, 2, 0.2
11, 0, 0, 1, 0, 0.598737, 2, 0.181818
12, 0, 0, 1, 1, 0.5688, 2, 0.166667
13, 0, 0, 1, 0, 0.54036, 2, 0.153846
14, 0, 0, 1, 0, 0.513342, 2, 0.142857
15, 0, 0, 1, 1, 0.487675, 2, 0.133333
16, 0, 0, 0, 0, 0.463291, 2, 0.125
17, 0, 1, 1, 0, 0.440127, 3, 0.176471
18, 0, 0, 1, 1, 0.41812, 3, 0.166667
19, 0, 0, 0, 0, 0.397214, 3, 0.157895
20, 0, 1, 0, 0, 0.377354, 4, 0.2
21, 0, 0, 1, 0, 0.358486, 4, 0.190476
22, 0, 1, 1, 0, 0.340562, 5, 0.227273
23, 0, 0, 1, 1, 0.323534, 5, 0.217391
24, 0, 0, 1, 0, 0.307357, 5, 0.208333
25, 0, 0, 0, 0, 0.291989, 5, 0.2
26, 0, 1, 0, 1, 0.27739, 6, 0.230769
27, 0, 0, 1, 1, 0.26352, 6, 0.222222
28, 0, 1, 0, 0, 0.250344, 7, 0.25
29, 0, 0, 1, 0, 0.237827, 7, 0.241379
30, 0, 1, 1, 0, 0.225936, 8, 0.266667
31, 0, 0, 0, 0, 0.214639, 8, 0.258065
32, 0, 1, 0, 0, 0.203907, 9, 0.28125
33, 0, 0, 1, 0, 0.193711, 9, 0.272727
34, 0, 1, 0, 0, 0.184026, 10, 0.294118
35, 0, 0, 0, 0, 0.174825, 10, 0.285714
36, 0, 0, 1, 0, 0.166083, 10, 0.277778
37, 0, 0, 1, 0, 0.157779, 10, 0.27027
38, 0, 1, 1, 1, 0.14989, 11, 0.289474
39, 0, 0, 1, 0, 0.142396, 11, 0.282051
40, 0, 0, 0, 0, 0.135276, 11, 0.275
41, 0, 1, 0, 0, 0.128512, 12, 0.292683
42, 0, 0, 0, 0, 0.122087, 12, 0.285714
43, 0, 0, 0, 1, 0.115982, 12, 0.27907
44, 0, 0, 1, 0, 0.110183, 12, 0.272727
45, 0, 0, 0, 0, 0.104674, 12, 0.266667
46, 0, 0, 1, 0, 0.0994403, 12, 0.26087
47, 0, 0, 1, 0, 0.0944682, 12, 0.255319
48, 0, 1, 0, 0, 0.0897448, 13, 0.270833
49, 0, 0, 0, 0, 0.0852576, 13, 0.265306
50, 0, 0, 0, 0, 0.0809947, 13, 0.26
51, 0, 0, 0, 0, 0.076945, 13, 0.254902
52, 0, 0, 1, 0, 0.0730977, 13, 0.25
53, 0, 0, 0, 0, 0.0694428, 13, 0.245283
54, 0, 0, 1, 0, 0.0659707, 13, 0.240741
55, 0, 0, 0, 0, 0.0626722, 13, 0.236364
56, 0, 0, 0, 0, 0.0595386, 13, 0.232143
57, 0, 0, 1, 0, 0.0565616, 13, 0.22807
58, 0, 0, 0, 0, 0.0537335, 13, 0.224138
59, 0, 0, 0, 0, 0.0510469, 13, 0.220339
60, 0, 0, 0, 0, 0.0484945, 13, 0.216667
61, 0, 0, 1, 0, 0.0460698, 13, 0.213115
62, 0, 0, 0, 0, 0.0437663, 13, 0.209677
63, 0, 0, 1, 0, 0.041578, 13, 0.206349
64, 0, 0, 0, 0, 0.0394991, 13, 0.203125
65, 0, 0, 0, 0, 0.0375241, 13, 0.2
66, 0, 0, 1, 0, 0.0356479, 13, 0.19697
67, 0, 0, 0, 0, 0.0338655, 13, 0.19403
68, 0, 0, 0, 0, 0.0321723, 13, 0.191176
69, 0, 0, 0, 0, 0.0305636, 13, 0.188406
70, 0, 0, 1, 0, 0.0290355, 13, 0.185714
71, 0, 0, 0, 0, 0.0275837, 13, 0.183099
72, 0, 0, 0, 0, 0.0262045, 13, 0.180556
73, 0, 0, 1, 0, 0.0248943, 13, 0.178082
74, 0, 0, 0, 0, 0.0236496, 13, 0.175676
75, 0, 0, 0, 0, 0.0224671, 13, 0.173333
76, 0, 0, 0, 0, 0.0213437, 13, 0.171053
