cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 1, 1, 0, 0
2, 0, 0, 0, 0, 0.95, 0, 0
3, 0, 1, 1, 1, 0.9025, 1, 0.333333
4, 0, 0, 0, 1, 0.857375, 1, 0.25
5, 0, 1, 1, 1, 0.814506, 2, 0.4
6, 0, 0, 0, 1, 0.773781, 2, 0.333333
7, 0, 1, 1, 1, 0.735092, 3, 0.428571
8, 0, 0, 0, 1, 0.698337, 3, 0.375
9, 0, 1, 0, 1, 0.66342, 4, 0.444444
10, 0, 1, 1, 1, 0.630249, 5, 0.5
11, 0, 0, 1, 1, 0.598737, 5, 0.454545
12, 0, 0, 1, 0, 0.5688, 5, 0.416667
13, 0, 0, 0, 1, 0.54036, 5, 0.384615
14, 0, 1, 0, 1, 0.513342, 6, 0.428571
15, 0, 1, 1, 0, 0.487675, 7, 0.466667
16, 1, 1, 0, 1, 0.463291, 8, 0.5
17, 0, 1, 1, 0, 0.440127, 9, 0.529412
18, 0, 0, 1, 0, 0.41812, 9, 0.5
19, 0, 0, 0, 0, 0.397214, 9, 0.473684
20, 0, 1, 0, 0, 0.377354, 10, 0.5
21, 0, 1, 0, 0, 0.358486, 11, 0.52381
22, 0, 1, 1, 0, 0.340562, 12, 0.545455
23, 0, 0, 0, 1, 0.323534, 12, 0.521739
24, 0, 1, 1, 0, 0.307357, 13, 0.541667
25, 0, 0, 1, 0, 0.291989, 13, 0.52
26, 0, 0, 0, 1, 0.27739, 13, 0.5
27, 0, 1, 0, 1, 0.26352, 14, 0.518519
28, 0, 1, 0, 0, 0.250344, 15, 0.535714
29, 0, 1, 1, 0, 0.237827, 16, 0.551724
30, 0, 0, 0, 0, 0.225936, 16, 0.533333
31, 0, 1, 1, 0, 0.214639, 17, 0.548387
32, 0, 0, 0, 0, 0.203907, 17, 0.53125
33, 0, 1, 1, 0, 0.193711, 18, 0.545455
34, 0, 0, 0, 0, 0.184026, 18, 0.529412
35, 0, 1, 0, 0, 0.174825, 19, 0.542857
36, 0, 1, 0, 0, 0.166083, 20, 0.555556
37, 0, 1, 0, 0, 0.157779, 21, 0.567568
38, 1, 0, 0, 0, 0.14989, 21, 0.552632
39, 0, 1, 0, 0, 0.142396, 22, 0.564103
40, 0, 1, 1, 0, 0.135276, 23, 0.575
41, 0, 0, 0, 0, 0.128512, 23, 0.560976
42, 0, 1, 0, 0, 0.122087, 24, 0.571429
43, 1, 0, 0, 0, 0.115982, 24, 0.55814
44, 0, 1, 0, 0, 0.110183, 25, 0.568182
45, 1, 0, 0, 0, 0.104674, 25, 0.555556
46, 1, 0, 0, 1, 0.0994403, 25, 0.543478
47, 0, 1, 0, 0, 0.0944682, 26, 0.553191
48, 0, 1, 1, 0, 0.0897448, 27, 0.5625
49, 0, 0, 1, 0, 0.0852576, 27, 0.55102
50, 0, 0, 0, 1, 0.0809947, 27, 0.54
51, 0, 1, 1, 1, 0.076945, 28, 0.54902
52, 0, 0, 0, 0, 0.0730977, 28, 0.538462
53, 0, 1, 0, 1, 0.0694428, 29, 0.54717
54, 0, 1, 1, 0, 0.0659707, 30, 0.555556
55, 0, 0, 1, 0, 0.0626722, 30, 0.545455
56, 0, 0, 0, 0, 0.0595386, 30, 0.535714
57, 0, 1, 1, 0, 0.0565616, 31, 0.54386
58, 0, 0, 0, 0, 0.0537335, 31, 0.534483
59, 0, 1, 0, 0, 0.0510469, 32, 0.542373
60, 0, 1, 0, 0, 0.0484945, 33, 0.55
61, 0, 1, 1, 0, 0.0460698, 34, 0.557377
