cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 0, 0, 0, 0
2, 12, 9, 2, 0, 0, 9, 4.5
3, 12, 0, 1, 0, 0, 9, 3
4, 12, 0, 0, 0, 0, 9, 2.25
5, 10, 9, 1, 0, 0, 18, 3.6
6, 10, 0, 1, 0, 0, 18, 3
7, 10, 0, 1, 0, 0, 18, 2.57143
8, 10, 0, 1, 0, 0, 18, 2.25
9, 10, 0, 3, 0, 0, 18, 2
10, 10, 0, 0, 0, 0, 18, 1.8
11, 8, 9, 3, 0, 0, 27, 2.45455
12, 5, 9, 2, 0, 0, 36, 3
13, 5, 0, 0, 0, 0, 36, 2.76923
14, 5, 0, 0, 0, 0, 36, 2.57143
15, 5, 0, 2, 0, 0, 36, 2.4
16, 5, 0, 3, 0, 0, 36, 2.25
17, 7, 20, 0, 0, 0, 56, 3.29412
18, 7, 0, 2, 0, 0, 56, 3.11111
19, 7, 0, 3, 0, 0, 56, 2.94737
20, 7, 0, 2, 0, 0, 56, 2.8
21, 7, 0, 3, 0, 0, 56, 2.66667
22, 7, 0, 1, 0, 0, 56, 2.54545
23, 5, 9, 2, 0, 0, 65, 2.82609
24, 5, 0, 2, 0, 0, 65, 2.70833
25, 5, 0, 1, 0, 0, 65, 2.6
26, 8, 9, 3, 0, 0, 74, 2.84615
27, 5, 9, 3, 0, 0, 83, 3.07407
28, 7, 20, 1, 0, 0, 103, 3.67857
29, 5, 9, 3, 0, 0, 112, 3.86207
30, 7, 20, 3, 0, 0, 132, 4.4
31, 7, 0, 2, 0, 0, 132, 4.25806
32, 7, 0, 2, 0, 0, 132, 4.125
33, 7, 0, 0, 0, 0, 132, 4
34, 7, 0, 2, 0, 0, 132, 3.88235
35, 7, 0, 2, 0, 0, 132, 3.77143
36, 7, 0, 0, 0, 0, 132, 3.66667
37, 7, 0, 1, 0, 0, 132, 3.56757
38, 5, 9, 3, 0, 0, 141, 3.71053
39, 7, 20, 2, 0, 0, 161, 4.12821
40, 7, 0, 2, 0, 0, 161, 4.025
41, 7, 0, 3, 0, 0, 161, 3.92683
42, 7, 0, 2, 0, 0, 161, 3.83333
43, 7, 0, 0, 0, 0, 161, 3.74419
44, 7, 0, 2, 0, 0, 161, 3.65909
45, 7, 0, 2, 0, 0, 161, 3.57778
46, 7, 0, 3, 0, 0, 161, 3.5
47, 7, 0, 3, 0, 0, 161, 3.42553
48, 7, 0, 2, 0, 0, 161, 3.35417
49, 7, 0, 2, 0, 0, 161, 3.28571
50, 7, 0, 3, 0, 0, 161, 3.22
51, 7, 0, 1, 0, 0, 161, 3.15686
52, 5, 9, 0, 0, 0, 170, 3.26923
53, 5, 0, 3, 0, 0, 170, 3.20755
54, 7, 20, 1, 0, 0, 190, 3.51852
55, 5, 9, 3, 0, 0, 199, 3.61818
56, 7, 20, 2, 0, 0, 219, 3.91071
57, 7, 0, 1, 0, 0, 219, 3.84211
58, 5, 9, 2, 0, 0, 228, 3.93103
59, 5, 0, 1, 0, 0, 228, 3.86441
60, 8, 9, 3, 0, 0, 237, 3.95
61, 5, 9, 3, 0, 0, 246, 4.03279
62, 7, 20, 0, 0, 0, 266, 4.29032
63, 7, 0, 1, 0, 0, 266, 4.22222
64, 5, 9, 0, 0, 0, 275, 4.29688
65, 5, 0, 2, 0, 0, 275, 4.23077
66, 5, 0, 2, 0, 0, 275, 4.16667
67, 5, 0, 3, 0, 0, 275, 4.10448
68, 7, 20, 2, 0, 0, 295, 4.33824
69, 7, 0, 1, 0, 0, 295, 4.27536
70, 5, 9, 2, 0, 0, 304, 4.34286
71, 5, 0, 0, 0, 0, 304, 4.28169
72, 5, 0, 1, 0, 0, 304, 4.22222
73, 8, 9, 0, 0, 0, 313, 4.28767
74, 10, 9, 2, 0, 0, 322, 4.35135
75, 8, 9, 3, 0, 0, 331, 4.41333
76, 5, 9, 3, 0, 0, 340, 4.47368
77, 7, 20, 0, 0, 0, 360, 4.67532
78, 7, 0, 3, 0, 0, 360, 4.61538
79, 7, 0, 3, 0, 0, 360, 4.55696
80, 7, 0, 1, 0, 0, 360, 4.5
81, 5, 9, 0, 0, 0, 369, 4.55556
82, 5, 0, 1, 0, 0, 369, 4.5
83, 8, 9, 3, 0, 0, 378, 4.55422
84, 5, 9, 2, 0, 0, 387, 4.60714
85, 5, 0, 2, 0, 0, 387, 4.55294
86, 5, 0, 3, 0, 0, 387, 4.5
87, 7, 20, 3, 0, 0, 407, 4.67816
88, 7, 0, 2, 0, 0, 407, 4.625
89, 7, 0, 1, 0, 0, 407, 4.57303
90, 5, 9, 1, 0, 0, 416, 4.62222
91, 8, 9, 2, 0, 0, 425, 4.67033
92, 10, 9, 0, 0, 0, 434, 4.71739
93, 8, 9, 0, 0, 0, 443, 4.76344
94, 10, 9, 0, 0, 0, 452, 4.80851
95, 9, 9, 2, 0, 0, 461, 4.85263
96, 10, 9, 3, 0, 0, 470, 4.89583
97, 10, 0, 1, 0, 0, 470, 4.84536
98, 10, 0, 2, 0, 0, 470, 4.79592
