cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 3, 0, 0, 0, 0
2, 7, 9, 3, 0, 0, 9, 4.5
3, 7, 0, 2, 0, 0, 9, 3
4, 7, 0, 1, 0, 0, 9, 2.25
5, 5, 9, 1, 0, 0, 18, 3.6
6, 12, 9, 2, 0, 0, 27, 4.5
7, 12, 0, 2, 0, 0, 27, 3.85714
8, 12, 0, 2, 0, 0, 27, 3.375
9, 12, 0, 3, 0, 0, 27, 3
10, 5, 9, 3, 0, 0, 36, 3.6
11, 7, 9, 3, 0, 0, 45, 4.09091
12, 7, 0, 2, 0, 0, 45, 3.75
13, 7, 0, 1, 0, 0, 45, 3.46154
14, 5, 9, 1, 0, 0, 54, 3.85714
15, 12, 9, 2, 0, 0, 63, 4.2
16, 12, 0, 1, 0, 0, 63, 3.9375
17, 12, 0, 3, 0, 0, 63, 3.70588
18, 5, 9, 0, 0, 0, 72, 4
19, 5, 0, 0, 0, 0, 72, 3.78947
20, 5, 0, 1, 0, 0, 72, 3.6
21, 12, 9, 3, 0, 0, 81, 3.85714
22, 5, 9, 2, 0, 0, 90, 4.09091
23, 5, 0, 2, 0, 0, 90, 3.91304
24, 5, 0, 3, 0, 0, 90, 3.75
25, 7, 9, 0, 0, 0, 99, 3.96
26, 7, 0, 2, 0, 0, 99, 3.80769
27, 7, 0, 3, 0, 0, 99, 3.66667
28, 7, 0, 3, 0, 0, 99, 3.53571
29, 7, 0, 2, 0, 0, 99, 3.41379
30, 7, 0, 2, 0, 0, 99, 3.3
31, 7, 0, 1, 0, 0, 99, 3.19355
32, 5, 9, 1, 0, 0, 108, 3.375
33, 12, 9, 2, 0, 0, 117, 3.54545
34, 12, 0, 1, 0, 0, 117, 3.44118
35, 12, 0, 0, 0, 0, 117, 3.34286
36, 10, 9, 1, 0, 0, 126, 3.5
37, 10, 0, 1, 0, 0, 126, 3.40541
38, 10, 0, 3, 0, 0, 126, 3.31579
39, 10, 0, 3, 0, 0, 126, 3.23077
40, 10, 0, 2, 0, 0, 126, 3.15
41, 12, 9, 0, 0, 0, 135, 3.29268
42, 10, 9, 2, 0, 0, 144, 3.42857
43, 12, 9, 2, 0, 0, 153, 3.55814
44, 12, 0, 3, 0, 0, 153, 3.47727
45, 5, 9, 2, 0, 0, 162, 3.6
46, 5, 0, 3, 0, 0, 162, 3.52174
47, 7, 9, 1, 0, 0, 171, 3.6383
48, 5, 9, 0, 0, 0, 180, 3.75
49, 5, 0, 0, 0, 0, 180, 3.67347
50, 5, 0, 3, 0, 0, 180, 3.6
51, 7, 9, 2, 0, 0, 189, 3.70588
52, 7, 0, 2, 0, 0, 189, 3.63462
53, 7, 0, 0, 0, 0, 189, 3.56604
54, 7, 0, 2, 0, 0, 189, 3.5
55, 7, 0, 0, 0, 0, 189, 3.43636
56, 7, 0, 1, 0, 0, 189, 3.375
57, 5, 9, 3, 0, 0, 198, 3.47368
58, 7, 9, 1, 0, 0, 207, 3.56897
59, 5, 9, 1, 0, 0, 216, 3.66102
60, 12, 9, 1, 0, 0, 225, 3.75
61, 12, 0, 1, 0, 0, 225, 3.68852
62, 12, 0, 3, 0, 0, 225, 3.62903
63, 5, 9, 1, 0, 0, 234, 3.71429
64, 12, 9, 0, 0, 0, 243, 3.79688
65, 10, 9, 3, 0, 0, 252, 3.87692
66, 10, 0, 1, 0, 0, 252, 3.81818
67, 10, 0, 2, 0, 0, 252, 3.76119
68, 12, 9, 1, 0, 0, 261, 3.83824
69, 12, 0, 0, 0, 0, 261, 3.78261
70, 10, 9, 2, 0, 0, 270, 3.85714
71, 12, 9, 3, 0, 0, 279, 3.92958
72, 5, 9, 1, 0, 0, 288, 4
73, 12, 9, 1, 0, 0, 297, 4.06849
74, 12, 0, 3, 0, 0, 297, 4.01351
75, 5, 9, 3, 0, 0, 306, 4.08
76, 7, 9, 1, 0, 0, 315, 4.14474
77, 5, 9, 1, 0, 0, 324, 4.20779
78, 12, 9, 3, 0, 0, 333, 4.26923
79, 5, 9, 1, 0, 0, 342, 4.32911
80, 12, 9, 3, 0, 0, 351, 4.3875
81, 5, 9, 2, 0, 0, 360, 4.44444
82, 5, 0, 2, 0, 0, 360, 4.39024
83, 5, 0, 1, 0, 0, 360, 4.33735
84, 12, 9, 2, 0, 0, 369, 4.39286
85, 12, 0, 2, 0, 0, 369, 4.34118
86, 12, 0, 3, 0, 0, 369, 4.2907
87, 5, 9, 1, 0, 0, 378, 4.34483
88, 12, 9, 0, 0, 0, 387, 4.39773
89, 10, 9, 3, 0, 0, 396, 4.44944
90, 10, 0, 2, 0, 0, 396, 4.4
91, 12, 9, 0, 0, 0, 405, 4.45055
92, 10, 9, 1, 0, 0, 414, 4.5
93, 10, 0, 0, 0, 0, 414, 4.45161
94, 8, 9, 0, 0, 0, 423, 4.5
95, 10, 9, 3, 0, 0, 432, 4.54737
96, 10, 0, 3, 0, 0, 432, 4.5
97, 10, 0, 3, 0, 0, 432, 4.45361
98, 10, 0, 1, 0, 0, 432, 4.40816
99, 10, 0, 2, 0, 0, 432, 4.36364
100, 8, 9, 3, 0, 0, 441, 4.41
101, 5, 9, 1, 0, 0, 450, 4.45545
102, 8, 9, 1, 0, 0, 459, 4.5
103, 8, 0, 2, 0, 0, 459, 4.45631
104, 10, 9, 0, 0, 0, 468, 4.5
105, 8, 9, 0, 0, 0, 477, 4.54286
106, 10, 9, 0, 0, 0, 486, 4.58491
107, 9, 9, 0, 0, 0, 495, 4.62617
108, 9, 0, 2, 0, 0, 495, 4.58333
109, 10, 9, 1, 0, 0, 504, 4.62385
110, 10, 0, 2, 0, 0, 504, 4.58182
111, 8, 9, 1, 0, 0, 513, 4.62162
112, 8, 0, 3, 0, 0, 513, 4.58036
113, 5, 9, 2, 0, 0, 522, 4.61947
114, 5, 0, 3, 0, 0, 522, 4.57895
115, 7, 20, 2, 0, 0, 542, 4.71304
116, 7, 0, 2, 0, 0, 542, 4.67241
117, 7, 0, 0, 0, 0, 542, 4.63248
118, 7, 0, 2, 0, 0, 542, 4.59322
119, 7, 0, 3, 0, 0, 542, 4.55462
120, 7, 0, 0, 0, 0, 542, 4.51667
121, 7, 0, 0, 0, 0, 542, 4.47934
122, 7, 0, 1, 0, 0, 542, 4.44262
123, 5, 9, 1, 0, 0, 551, 4.47967
124, 8, 9, 0, 0, 0, 560, 4.51613
125, 10, 9, 0, 0, 0, 569, 4.552
126, 9, 9, 3, 0, 0, 578, 4.5873
127, 5, 9, 1, 0, 0, 587, 4.62205
128, 9, 9, 3, 0, 0, 596, 4.65625
129, 5, 9, 0, 0, 0, 605, 4.68992
130, 5, 0, 1, 0, 0, 605, 4.65385
131, 9, 9, 0, 0, 0, 614, 4.68702
132, 9, 0, 2, 0, 0, 614, 4.65152
133, 10, 9, 3, 0, 0, 623, 4.68421
134, 10, 0, 0, 0, 0, 623, 4.64925
135, 9, 9, 3, 0, 0, 632, 4.68148
136, 5, 9, 0, 0, 0, 641, 4.71324
137, 5, 0, 0, 0, 0, 641, 4.67883
138, 5, 0, 1, 0, 0, 641, 4.64493
139, 9, 9, 3, 0, 0, 650, 4.67626
140, 5, 9, 2, 0, 0, 659, 4.70714
141, 5, 0, 3, 0, 0, 659, 4.67376
142, 7, 9, 1, 0, 0, 668, 4.70423
143, 5, 9, 3, 0, 0, 677, 4.73427
144, 7, 9, 3, 0, 0, 686, 4.76389
145, 7, 0, 3, 0, 0, 686, 4.73103
146, 7, 0, 0, 0, 0, 686, 4.69863
147, 7, 0, 1, 0, 0, 686, 4.66667
148, 5, 9, 0, 0, 0, 695, 4.69595
149, 5, 0, 3, 0, 0, 695, 4.66443
150, 7, 9, 1, 0, 0, 704, 4.69333
151, 5, 9, 1, 0, 0, 713, 4.72185
152, 9, 9, 0, 0, 0, 722, 4.75
153, 9, 0, 2, 0, 0, 722, 4.71895
154, 10, 9, 1, 0, 0, 731, 4.74675
155, 10, 0, 1, 0, 0, 731, 4.71613
156, 10, 0, 2, 0, 0, 731, 4.6859
157, 8, 9, 1, 0, 0, 740, 4.71338
158, 8, 0, 2, 0, 0, 740, 4.68354
159, 10, 9, 1, 0, 0, 749, 4.71069
160, 10, 0, 2, 0, 0, 749, 4.68125
161, 12, 9, 0, 0, 0, 758, 4.70807
162, 10, 9, 2, 0, 0, 767, 4.73457
163, 12, 9, 1, 0, 0, 776, 4.76074
164, 12, 0, 3, 0, 0, 776, 4.73171
165, 5, 9, 2, 0, 0, 785, 4.75758
166, 5, 0, 2, 0, 0, 785, 4.72892
167, 5, 0, 1, 0, 0, 785, 4.7006
168, 12, 9, 0, 0, 0, 794, 4.72619
169, 10, 9, 0, 0, 0, 803, 4.75148
170, 8, 9, 0, 0, 0, 812, 4.77647
171, 10, 9, 1, 0, 0, 821, 4.80117
172, 10, 0, 0, 0, 0, 821, 4.77326
173, 9, 9, 1, 0, 0, 830, 4.79769
174, 9, 0, 2, 0, 0, 830, 4.77011
175, 10, 9, 3, 0, 0, 839, 4.79429
176, 10, 0, 2, 0, 0, 839, 4.76705
177, 8, 9, 3, 0, 0, 848, 4.79096
178, 5, 9, 2, 0, 0, 857, 4.81461
179, 5, 0, 3, 0, 0, 857, 4.78771
180, 7, 20, 1, 0, 0, 877, 4.87222
181, 5, 9, 1, 0, 0, 886, 4.89503
182, 8, 9, 0, 0, 0, 895, 4.91758
183, 10, 9, 2, 0, 0, 904, 4.93989
184, 8, 9, 3, 0, 0, 913, 4.96196
185, 5, 9, 1, 0, 0, 922, 4.98378
186, 8, 9, 3, 0, 0, 931, 5.00538
187, 5, 9, 0, 0, 0, 940, 5.02674
188, 5, 0, 3, 0, 0, 940, 5
189, 7, 20, 0, 0, 0, 960, 5.07937
190, 7, 0, 1, 0, 0, 960, 5.05263
191, 5, 9, 3, 0, 0, 969, 5.0733
192, 7, 20, 0, 0, 0, 989, 5.15104
193, 7, 0, 3, 0, 0, 989, 5.12435
194, 7, 0, 1, 0, 0, 989, 5.09794
195, 5, 9, 1, 0, 0, 998, 5.11795
196, 8, 9, 0, 0, 0, 1007, 5.13776
197, 10, 9, 0, 0, 0, 1016, 5.15736
198, 9, 9, 2, 0, 0, 1025, 5.17677
199, 10, 9, 0, 0, 0, 1034, 5.19598
200, 9, 9, 2, 0, 0, 1043, 5.215
201, 10, 9, 2, 0, 0, 1052, 5.23383
202, 8, 9, 1, 0, 0, 1061, 5.25248
203, 8, 0, 0, 0, 0, 1061, 5.2266
204, 10, 9, 3, 0, 0, 1070, 5.2451
205, 10, 0, 2, 0, 0, 1070, 5.21951
206, 8, 9, 3, 0, 0, 1079, 5.23786
207, 5, 9, 0, 0, 0, 1088, 5.25604
208, 5, 0, 2, 0, 0, 1088, 5.23077
209, 5, 0, 1, 0, 0, 1088, 5.20574
210, 8, 9, 2, 0, 0, 1097, 5.22381
211, 10, 9, 1, 0, 0, 1106, 5.24171
212, 10, 0, 1, 0, 0, 1106, 5.21698
213, 10, 0, 2, 0, 0, 1106, 5.19249
214, 12, 9, 0, 0, 0, 1115, 5.21028
215, 10, 9, 0, 0, 0, 1124, 5.22791
216, 8, 9, 1, 0, 0, 1133, 5.24537
217, 8, 0, 3, 0, 0, 1133, 5.2212
218, 5, 9, 2, 0, 0, 1142, 5.23853
219, 5, 0, 1, 0, 0, 1142, 5.21461
