cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 0, 0, 0, 0, 0
2, 2, 2, 2, 0, 0, 2, 1
3, 1, 2, 2, 0, 0, 4, 1.33333
4, 2, 1, 1, 0, 0, 5, 1.25
5, 2, 0, 2, 0, 0, 5, 1
6, 2, 1, 2, 0, 0, 6, 1
7, 1, 2, 2, 0, 0, 8, 1.14286
8, 0, 0, 2, 0, 0, 8, 1
9, 0, 0, 1, 0, 0, 8, 0.888889
10, 0, 2, 0, 0, 0, 10, 1
11, 0, 1, 2, 0, 0, 11, 1
12, 2, 1, 1, 0, 0, 12, 1
13, 0, 2, 1, 0, 0, 14, 1.07692
14, 1, 1, 1, 0, 0, 15, 1.07143
15, 1, 1, 2, 0, 0, 16, 1.06667
16, 0, 0, 2, 0, 0, 16, 1
17, 0, 0, 1, 0, 0, 16, 0.941176
18, 0, 2, 0, 0, 0, 18, 1
19, 1, 0, 1, 0, 0, 18, 0.947368
20, 0, 2, 2, 0, 0, 20, 1
21, 0, 0, 1, 0, 0, 20, 0.952381
22, 0, 2, 0, 0, 0, 22, 1
23, 0, 1, 1, 0, 0, 23, 1
24, 0, 2, 0, 0, 0, 25, 1.04167
25, 2, 2, 0, 0, 0, 27, 1.08
26, 0, 1, 1, 0, 0, 28, 1.07692
27, 1, 1, 1, 0, 0, 29, 1.07407
28, 1, 1, 1, 0, 0, 30, 1.07143
29, 0, 2, 1, 0, 0, 32, 1.10345
30, 2, 0, 1, 0, 0, 32, 1.06667
31, 0, 2, 0, 0, 0, 34, 1.09677
32, 1, 0, 1, 0, 0, 34, 1.0625
33, 2, 0, 1, 0, 0, 34, 1.0303
34, 0, 2, 0, 0, 0, 36, 1.05882
35, 1, 0, 1, 0, 0, 36, 1.02857
36, 0, 2, 0, 0, 0, 38, 1.05556
37, 2, 2, 0, 0, 0, 40, 1.08108
38, 0, 1, 1, 0, 0, 41, 1.07895
39, 2, 0, 1, 0, 0, 41, 1.05128
40, 0, 2, 0, 0, 0, 43, 1.075
41, 1, 0, 1, 0, 0, 43, 1.04878
42, 0, 2, 0, 0, 0, 45, 1.07143
43, 2, 2, 0, 0, 0, 47, 1.09302
44, 2, 2, 0, 0, 0, 49, 1.11364
45, 2, 2, 1, 0, 0, 51, 1.13333
46, 2, 0, 1, 0, 0, 51, 1.1087
47, 0, 2, 0, 0, 0, 53, 1.12766
48, 2, 2, 0, 0, 0, 55, 1.14583
49, 2, 2, 0, 0, 0, 57, 1.16327
50, 2, 2, 2, 0, 0, 59, 1.18
51, 0, 0, 1, 0, 0, 59, 1.15686
52, 0, 2, 0, 0, 0, 61, 1.17308
53, 2, 2, 0, 0, 0, 63, 1.18868
54, 0, 1, 1, 0, 0, 64, 1.18519
55, 2, 0, 1, 0, 0, 64, 1.16364
56, 0, 2, 0, 0, 0, 66, 1.17857
57, 2, 2, 0, 0, 0, 68, 1.19298
58, 0, 1, 1, 0, 0, 69, 1.18966
59, 1, 1, 1, 0, 0, 70, 1.18644
60, 2, 0, 1, 0, 0, 70, 1.16667
61, 2, 0, 1, 0, 0, 70, 1.14754
62, 2, 0, 1, 0, 0, 70, 1.12903
63, 0, 2, 0, 0, 0, 72, 1.14286
64, 1, 0, 1, 0, 0, 72, 1.125
65, 1, 1, 1, 0, 0, 73, 1.12308
66, 2, 0, 1, 0, 0, 73, 1.10606
67, 1, 1, 1, 0, 0, 74, 1.10448
68, 2, 0, 1, 0, 0, 74, 1.08824
69, 1, 1, 2, 0, 0, 75, 1.08696
70, 2, 1, 1, 0, 0, 76, 1.08571
71, 0, 2, 0, 0, 0, 78, 1.09859
72, 1, 0, 1, 0, 0, 78, 1.08333
73, 1, 1, 1, 0, 0, 79, 1.08219
74, 0, 2, 0, 0, 0, 81, 1.09459
75, 0, 1, 2, 0, 0, 82, 1.09333
76, 2, 1, 1, 0, 0, 83, 1.09211
77, 0, 2, 1, 0, 0, 85, 1.1039
78, 2, 0, 1, 0, 0, 85, 1.08974
79, 2, 0, 1, 0, 0, 85, 1.07595
80, 0, 2, 0, 0, 0, 87, 1.0875
81, 0, 1, 2, 0, 0, 88, 1.08642
82, 0, 0, 1, 0, 0, 88, 1.07317
83, 0, 2, 2, 0, 0, 90, 1.08434
84, 2, 1, 1, 0, 0, 91, 1.08333
85, 1, 1, 1, 0, 0, 92, 1.08235
86, 1, 1, 1, 0, 0, 93, 1.0814
87, 0, 2, 0, 0, 0, 95, 1.09195
88, 0, 1, 2, 0, 0, 96, 1.09091
89, 2, 1, 1, 0, 0, 97, 1.08989
90, 0, 2, 0, 0, 0, 99, 1.1
91, 0, 1, 1, 0, 0, 100, 1.0989
92, 1, 1, 1, 0, 0, 101, 1.09783
93, 2, 0, 1, 0, 0, 101, 1.08602
94, 1, 1, 1, 0, 0, 102, 1.08511
95, 1, 1, 1, 0, 0, 103, 1.08421
96, 2, 0, 1, 0, 0, 103, 1.07292
97, 0, 2, 0, 0, 0, 105, 1.08247
98, 0, 1, 1, 0, 0, 106, 1.08163
99, 0, 2, 0, 0, 0, 108, 1.09091
100, 1, 0, 1, 0, 0, 108, 1.08
101, 0, 2, 0, 0, 0, 110, 1.08911
102, 0, 1, 2, 0, 0, 111, 1.08824
103, 1, 2, 2, 0, 0, 113, 1.09709
104, 0, 0, 1, 0, 0, 113, 1.08654
105, 0, 2, 0, 0, 0, 115, 1.09524
106, 2, 2, 0, 0, 0, 117, 1.10377
107, 1, 0, 1, 0, 0, 117, 1.09346
108, 1, 1, 1, 0, 0, 118, 1.09259
109, 0, 2, 0, 0, 0, 120, 1.10092
110, 2, 2, 0, 0, 0, 122, 1.10909
111, 1, 0, 1, 0, 0, 122, 1.0991
112, 2, 0, 1, 0, 0, 122, 1.08929
113, 1, 1, 1, 0, 0, 123, 1.0885
114, 0, 2, 0, 0, 0, 125, 1.09649
115, 1, 0, 1, 0, 0, 125, 1.08696
116, 2, 0, 1, 0, 0, 125, 1.07759
117, 2, 0, 1, 0, 0, 125, 1.06838
118, 2, 0, 1, 0, 0, 125, 1.05932
119, 2, 0, 1, 0, 0, 125, 1.05042
120, 0, 2, 2, 0, 0, 127, 1.05833
121, 0, 0, 1, 0, 0, 127, 1.04959
122, 0, 2, 0, 0, 0, 129, 1.05738
123, 1, 0, 1, 0, 0, 129, 1.04878
124, 0, 2, 0, 0, 0, 131, 1.05645
125, 1, 0, 1, 0, 0, 131, 1.048
126, 0, 2, 0, 0, 0, 133, 1.05556
127, 0, 1, 2, 0, 0, 134, 1.05512
128, 2, 1, 1, 0, 0, 135, 1.05469
129, 0, 2, 0, 0, 0, 137, 1.06202
130, 0, 1, 2, 0, 0, 138, 1.06154
131, 2, 1, 1, 0, 0, 139, 1.06107
132, 2, 0, 1, 0, 0, 139, 1.05303
133, 2, 0, 0, 0, 0, 139, 1.04511
134, 2, 2, 0, 0, 0, 141, 1.05224
135, 1, 0, 1, 0, 0, 141, 1.04444
136, 1, 1, 1, 0, 0, 142, 1.04412
137, 1, 1, 1, 0, 0, 143, 1.0438
138, 0, 2, 2, 0, 0, 145, 1.05072
139, 1, 2, 0, 0, 0, 147, 1.05755
140, 0, 1, 2, 0, 0, 148, 1.05714
141, 1, 2, 1, 0, 0, 150, 1.06383
142, 0, 2, 0, 0, 0, 152, 1.07042
143, 1, 0, 1, 0, 0, 152, 1.06294
144, 0, 2, 0, 0, 0, 154, 1.06944
145, 2, 2, 0, 0, 0, 156, 1.07586
146, 0, 1, 2, 0, 0, 157, 1.07534
147, 0, 0, 1, 0, 0, 157, 1.06803
148, 0, 2, 0, 0, 0, 159, 1.07432
149, 2, 2, 0, 0, 0, 161, 1.08054
150, 1, 0, 2, 0, 0, 161, 1.07333
151, 2, 1, 1, 0, 0, 162, 1.07285
152, 2, 0, 1, 0, 0, 162, 1.06579
153, 0, 2, 0, 0, 0, 164, 1.0719
154, 2, 2, 0, 0, 0, 166, 1.07792
155, 2, 2, 0, 0, 0, 168, 1.08387
156, 0, 1, 2, 0, 0, 169, 1.08333
