cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32538, 0, 1, 0, 0, 0, 0
2, 29962, 1011, 3, 0, 0, 1011, 505.5
3, 29962, 1011, 3, 0, 0, 2022, 674
4, 29962, 1011, 3, 0, 0, 3033, 758.25
5, 29962, 1011, 1, 0, 0, 4044, 808.8
6, 29962, 1011, 0, 0, 0, 5055, 842.5
7, 30472, 991, 3, 0, 0, 6046, 863.714
8, 30472, 1011, 3, 0, 0, 7057, 882.125
9, 30472, 1011, 1, 0, 0, 8068, 896.444
10, 29189, 991, 0, 0, 0, 9059, 905.9
11, 29189, 1011, 2, 0, 0, 10070, 915.455
12, 29189, 1011, 0, 0, 0, 11081, 923.417
13, 29189, 1011, 2, 0, 0, 12092, 930.154
14, 29189, 1011, 2, 0, 0, 13103, 935.929
15, 29189, 1011, 0, 0, 0, 14114, 940.933
16, 29189, 1011, 3, 0, 0, 15125, 945.312
17, 30472, 1001, 3, 0, 0, 16126, 948.588
18, 30472, 1011, 1, 0, 0, 17137, 952.056
19, 29189, 1001, 2, 0, 0, 18138, 954.632
20, 29189, 1011, 3, 0, 0, 19149, 957.45
21, 30472, 1001, 3, 0, 0, 20150, 959.524
22, 30472, 1011, 1, 0, 0, 21161, 961.864
23, 29189, 1001, 1, 0, 0, 22162, 963.565
24, 29954, 991, 3, 0, 0, 23153, 964.708
25, 28677, 1001, 0, 0, 0, 24154, 966.16
26, 28677, 1011, 0, 0, 0, 25165, 967.885
27, 28677, 1011, 1, 0, 0, 26176, 969.481
28, 29954, 1001, 1, 0, 0, 27177, 970.607
29, 29954, 1011, 3, 0, 0, 28188, 972
30, 28677, 1001, 1, 0, 0, 29189, 972.967
31, 29954, 1001, 3, 0, 0, 30190, 973.871
32, 28677, 1001, 1, 0, 0, 31191, 974.719
33, 29954, 1001, 3, 0, 0, 32192, 975.515
34, 28677, 1001, 2, 0, 0, 33193, 976.265
35, 28677, 1011, 3, 0, 0, 34204, 977.257
36, 29960, 1001, 0, 0, 0, 35205, 977.917
37, 29962, 991, 1, 0, 0, 36196, 978.27
38, 29962, 1011, 3, 0, 0, 37207, 979.132
39, 29962, 1011, 1, 0, 0, 38218, 979.949
40, 29962, 1011, 0, 0, 0, 39229, 980.725
41, 32130, 991, 1, 0, 0, 40220, 980.976
42, 32130, 1011, 3, 0, 0, 41231, 981.69
43, 30853, 991, 0, 0, 0, 42222, 981.907
44, 30853, 961, 3, 0, 0, 43183, 981.432
45, 29962, 1011, 1, 0, 0, 44194, 982.089
46, 29962, 1011, 2, 0, 0, 45205, 982.717
47, 30472, 991, 2, 0, 0, 46196, 982.894
48, 29962, 991, 3, 0, 0, 47187, 983.062
49, 29962, 1011, 0, 0, 0, 48198, 983.633
50, 30472, 1001, 0, 0, 0, 49199, 983.98
51, 29962, 1001, 0, 0, 0, 50200, 984.314
52, 30472, 991, 0, 0, 0, 51191, 984.442
53, 29962, 991, 3, 0, 0, 52182, 984.566
54, 29962, 1011, 1, 0, 0, 53193, 985.056
55, 29962, 1011, 3, 0, 0, 54204, 985.527
56, 29962, 1011, 3, 0, 0, 55215, 985.982
57, 29962, 1011, 1, 0, 0, 56226, 986.421
58, 29962, 1011, 3, 0, 0, 57237, 986.845
59, 29962, 1011, 0, 0, 0, 58248, 987.254
60, 32130, 991, 1, 0, 0, 59239, 987.317
61, 32130, 1011, 2, 0, 0, 60250, 987.705
62, 29962, 1001, 3, 0, 0, 61251, 987.919
63, 29962, 1011, 1, 0, 0, 62262, 988.286
64, 29962, 1011, 1, 0, 0, 63273, 988.641
65, 29962, 1011, 1, 0, 0, 64284, 988.985
66, 29962, 1011, 0, 0, 0, 65295, 989.318
67, 32130, 1001, 3, 0, 0, 66296, 989.493
68, 30853, 991, 0, 0, 0, 67287, 989.515
69, 30853, 1011, 3, 0, 0, 68298, 989.826
70, 31745, 941, 2, 0, 0, 69239, 989.129
71, 30472, 991, 2, 0, 0, 70230, 989.155
