cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32654, 0, 1, 0, 0, 0, 0
2, 29962, 1011, 3, 0, 0, 1011, 505.5
3, 29962, 1011, 1, 0, 0, 2022, 674
4, 29962, 1011, 1, 0, 0, 3033, 758.25
5, 29962, 1011, 3, 0, 0, 4044, 808.8
6, 29962, 1011, 1, 0, 0, 5055, 842.5
7, 29962, 1011, 2, 0, 0, 6066, 866.571
8, 30472, 991, 0, 0, 0, 7057, 882.125
9, 29962, 1001, 1, 0, 0, 8058, 895.333
10, 29962, 1011, 3, 0, 0, 9069, 906.9
11, 29962, 1011, 3, 0, 0, 10080, 916.364
12, 29962, 1011, 0, 0, 0, 11091, 924.25
13, 30472, 991, 2, 0, 0, 12082, 929.385
14, 29962, 1001, 0, 0, 0, 13083, 934.5
15, 30472, 1001, 0, 0, 0, 14084, 938.933
16, 29962, 991, 2, 0, 0, 15075, 942.188
17, 30472, 1001, 1, 0, 0, 16076, 945.647
18, 29189, 991, 1, 0, 0, 17067, 948.167
19, 29954, 991, 2, 0, 0, 18058, 950.421
20, 29962, 991, 2, 0, 0, 19049, 952.45
21, 32002, 991, 1, 0, 0, 20040, 954.286
22, 32002, 1011, 0, 0, 0, 21051, 956.864
23, 29962, 1001, 0, 0, 0, 22052, 958.783
24, 29954, 1001, 1, 0, 0, 23053, 960.542
25, 29954, 1011, 0, 0, 0, 24064, 962.56
26, 29962, 991, 1, 0, 0, 25055, 963.654
27, 29962, 1011, 0, 0, 0, 26066, 965.407
28, 30472, 991, 0, 0, 0, 27057, 966.321
29, 29962, 991, 2, 0, 0, 28048, 967.172
30, 30472, 1001, 1, 0, 0, 29049, 968.3
31, 29189, 991, 3, 0, 0, 30040, 969.032
32, 30472, 1001, 2, 0, 0, 31041, 970.031
33, 25866, 1001, 0, 0, 0, 32042, 970.97
34, 30472, 1001, 2, 0, 0, 33043, 971.853
35, 25866, 1001, 3, 0, 0, 34044, 972.686
36, 25866, 1011, 2, 0, 0, 35055, 973.75
37, 25858, 1001, 0, 0, 0, 36056, 974.486
38, 25866, 1001, 0, 0, 0, 37057, 975.184
39, 30472, 1001, 2, 0, 0, 38058, 975.846
40, 25866, 1001, 3, 0, 0, 39059, 976.475
41, 25866, 1011, 3, 0, 0, 40070, 977.317
42, 25866, 1011, 1, 0, 0, 41081, 978.119
43, 25866, 1011, 1, 0, 0, 42092, 978.884
44, 25866, 1011, 1, 0, 0, 43103, 979.614
45, 25866, 1011, 3, 0, 0, 44114, 980.311
46, 25866, 1011, 2, 0, 0, 45125, 980.978
47, 25858, 1001, 1, 0, 0, 46126, 981.404
48, 25858, 1011, 1, 0, 0, 47137, 982.021
49, 25986, 1011, 1, 0, 0, 48148, 982.612
50, 25986, 1011, 0, 0, 0, 49159, 983.18
51, 25930, 1001, 0, 0, 0, 50160, 983.529
52, 30536, 1001, 1, 0, 0, 51161, 983.865
53, 29317, 1001, 0, 0, 0, 52162, 984.189
54, 29189, 961, 3, 0, 0, 53123, 983.759
55, 29962, 1011, 1, 0, 0, 54134, 984.255
56, 29962, 1011, 1, 0, 0, 55145, 984.732
57, 29962, 1011, 0, 0, 0, 56156, 985.193
58, 30472, 991, 0, 0, 0, 57147, 985.293
59, 29962, 991, 0, 0, 0, 58138, 985.39
60, 32130, 991, 3, 0, 0, 59129, 985.483
61, 30853, 991, 1, 0, 0, 60120, 985.574
62, 32130, 1001, 0, 0, 0, 61121, 985.823
63, 30026, 991, 2, 0, 0, 62112, 985.905
64, 32018, 951, 0, 0, 0, 63063, 985.359
65, 30472, 991, 2, 0, 0, 64054, 985.446
66, 29962, 1001, 0, 0, 0, 65055, 985.682
67, 30472, 1001, 3, 0, 0, 66056, 985.91
68, 30472, 1011, 0, 0, 0, 67067, 986.279
69, 29962, 991, 0, 0, 0, 68058, 986.348
70, 32002, 991, 1, 0, 0, 69049, 986.414
71, 32002, 1011, 3, 0, 0, 70060, 986.761
72, 30725, 991, 3, 0, 0, 71051, 986.819
73, 31745, 991, 2, 0, 0, 72042, 986.877
74, 29706, 991, 0, 0, 0, 73033, 986.932
75, 31745, 1001, 2, 0, 0, 74034, 987.12
76, 29706, 1001, 0, 0, 0, 75035, 987.303
77, 31745, 1001, 2, 0, 0, 76036, 987.481
78, 29706, 1001, 2, 0, 0, 77037, 987.654
79, 29706, 991, 1, 0, 0, 78028, 987.696
80, 29770, 1011, 1, 0, 0, 79039, 987.987
81, 29770, 1011, 2, 0, 0, 80050, 988.272
82, 29770, 991, 2, 0, 0, 81041, 988.305
83, 29722, 941, 0, 0, 0, 81982, 987.735
84, 30472, 991, 1, 0, 0, 82973, 987.774
85, 29189, 991, 1, 0, 0, 83964, 987.812
86, 29954, 991, 0, 0, 0, 84955, 987.849
87, 29962, 991, 3, 0, 0, 85946, 987.885
88, 29962, 1011, 2, 0, 0, 86957, 988.148
89, 29954, 1001, 2, 0, 0, 87958, 988.292
90, 29962, 991, 1, 0, 0, 88949, 988.322
91, 29962, 1011, 1, 0, 0, 89960, 988.571
92, 29962, 1011, 1, 0, 0, 90971, 988.815
93, 29962, 1011, 3, 0, 0, 91982, 989.054
94, 29962, 1011, 1, 0, 0, 92993, 989.287
95, 29962, 1011, 3, 0, 0, 94004, 989.516
96, 29962, 1011, 2, 0, 0, 95015, 989.74
97, 32002, 991, 1, 0, 0, 96006, 989.753
98, 32002, 1011, 2, 0, 0, 97017, 989.969
99, 29962, 991, 0, 0, 0, 98008, 989.98
100, 32002, 1001, 3, 0, 0, 99009, 990.09
101, 30725, 991, 0, 0, 0, 100000, 990.099
102, 30725, 1011, 0, 0, 0, 101011, 990.304
103, 30725, 1011, 0, 0, 0, 102022, 990.505
104, 30725, 1011, 2, 0, 0, 103033, 990.702
105, 30725, 1011, 0, 0, 0, 104044, 990.895
106, 30725, 1011, 2, 0, 0, 105055, 991.085
107, 30725, 1011, 2, 0, 0, 106066, 991.271
108, 30725, 1011, 0, 0, 0, 107077, 991.454
109, 30725, 1011, 0, 0, 0, 108088, 991.633
110, 30725, 1011, 0, 0, 0, 109099, 991.809
111, 30725, 1011, 3, 0, 0, 110110, 991.982
112, 29960, 991, 0, 0, 0, 111101, 991.973
113, 29962, 1001, 3, 0, 0, 112102, 992.053
114, 29962, 1011, 2, 0, 0, 113113, 992.219
115, 29960, 1001, 3, 0, 0, 114114, 992.296
116, 29960, 1011, 0, 0, 0, 115125, 992.457
117, 29962, 1001, 1, 0, 0, 116126, 992.53
118, 29962, 1011, 2, 0, 0, 117137, 992.686
119, 29960, 1001, 2, 0, 0, 118138, 992.756
120, 29962, 991, 2, 0, 0, 119129, 992.742
121, 32002, 991, 0, 0, 0, 120120, 992.727
122, 29962, 1001, 2, 0, 0, 121121, 992.795
123, 32002, 1001, 1, 0, 0, 122122, 992.862
124, 32002, 1011, 2, 0, 0, 123133, 993.008
125, 29962, 991, 2, 0, 0, 124124, 992.992
126, 32512, 991, 1, 0, 0, 125115, 992.976
127, 31237, 991, 1, 0, 0, 126106, 992.961
128, 31492, 991, 1, 0, 0, 127097, 992.945
129, 31237, 991, 3, 0, 0, 128088, 992.93
130, 31492, 1001, 1, 0, 0, 129089, 992.992
131, 31237, 1001, 1, 0, 0, 130090, 993.053
132, 31747, 991, 1, 0, 0, 131081, 993.038
133, 31747, 1011, 3, 0, 0, 132092, 993.173
134, 30725, 1001, 1, 0, 0, 133093, 993.231
135, 31747, 1001, 1, 0, 0, 134094, 993.289
136, 31747, 1011, 0, 0, 0, 135105, 993.419
137, 31747, 1011, 1, 0, 0, 136116, 993.547
138, 31747, 1011, 2, 0, 0, 137127, 993.674
139, 29706, 991, 1, 0, 0, 138118, 993.655
140, 29706, 1011, 2, 0, 0, 139129, 993.779
141, 31746, 991, 1, 0, 0, 140120, 993.759
142, 31746, 1011, 0, 0, 0, 141131, 993.88
143, 29706, 1001, 3, 0, 0, 142132, 993.93
144, 29706, 1011, 2, 0, 0, 143143, 994.049
145, 31746, 1001, 2, 0, 0, 144144, 994.097
146, 29196, 991, 3, 0, 0, 145135, 994.075
147, 29196, 1011, 2, 0, 0, 146146, 994.19
148, 29196, 1011, 0, 0, 0, 147157, 994.304
149, 30722, 1001, 0, 0, 0, 148158, 994.349
150, 28682, 1001, 1, 0, 0, 149159, 994.393
151, 28682, 1011, 2, 0, 0, 150170, 994.503
152, 30722, 1001, 0, 0, 0, 151171, 994.546
153, 28682, 1001, 0, 0, 0, 152172, 994.588
154, 26627, 1001, 2, 0, 0, 153173, 994.63
155, 28682, 1001, 2, 0, 0, 154174, 994.671
156, 30722, 1001, 3, 0, 0, 155175, 994.712
157, 30725, 991, 0, 0, 0, 156166, 994.688
158, 30725, 1011, 2, 0, 0, 157177, 994.791
159, 30725, 1011, 3, 0, 0, 158188, 994.893
160, 28681, 991, 1, 0, 0, 159179, 994.869
161, 28677, 1001, 0, 0, 0, 160180, 994.907
162, 28677, 1011, 0, 0, 0, 161191, 995.006
163, 28677, 1011, 3, 0, 0, 162202, 995.104
164, 28681, 1001, 0, 0, 0, 163203, 995.14
165, 28681, 1011, 0, 0, 0, 164214, 995.236
166, 28681, 1011, 3, 0, 0, 165225, 995.331
167, 28681, 1011, 0, 0, 0, 166236, 995.425
168, 28681, 1011, 0, 0, 0, 167247, 995.518
169, 28681, 1011, 1, 0, 0, 168258, 995.609
170, 28677, 1001, 2, 0, 0, 169259, 995.641
171, 28677, 1011, 0, 0, 0, 170270, 995.731
172, 28677, 1011, 2, 0, 0, 171281, 995.82
173, 28677, 1011, 2, 0, 0, 172292, 995.908
174, 28677, 1011, 0, 0, 0, 173303, 995.994
175, 28677, 1011, 0, 0, 0, 174314, 996.08
176, 28677, 1011, 3, 0, 0, 175325, 996.165
177, 28681, 1001, 2, 0, 0, 176326, 996.192
178, 63494, 991, 2, 0, 0, 177317, 996.163
179, 63494, 1011, 0, 0, 0, 178328, 996.246
180, 61449, 1001, 0, 0, 0, 179329, 996.272
181, 61449, 1011, 0, 0, 0, 180340, 996.354
182, 61449, 1011, 2, 0, 0, 181351, 996.434
183, 63494, 1001, 3, 0, 0, 182352, 996.459
184, 63493, 991, 0, 0, 0, 183343, 996.429
185, 63493, 1011, 2, 0, 0, 184354, 996.508
186, 63493, 1011, 0, 0, 0, 185365, 996.586
187, 63493, 1011, 1, 0, 0, 186376, 996.663
188, 63494, 1001, 3, 0, 0, 187377, 996.686
189, 63493, 1001, 1, 0, 0, 188378, 996.709
190, 63494, 1001, 0, 0, 0, 189379, 996.732
191, 57353, 1001, 3, 0, 0, 190380, 996.754
192, 57353, 1011, 0, 0, 0, 191391, 996.828
193, 57353, 1011, 1, 0, 0, 192402, 996.902
194, 57349, 1001, 2, 0, 0, 193403, 996.923
195, 57349, 1011, 2, 0, 0, 194414, 996.995
196, 57349, 1011, 0, 0, 0, 195425, 997.066
197, 57349, 1011, 2, 0, 0, 196436, 997.137
198, 57349, 1011, 1, 0, 0, 197447, 997.207
199, 61442, 1001, 0, 0, 0, 198448, 997.226
200, 57354, 1001, 0, 0, 0, 199449, 997.245
201, 59395, 1001, 0, 0, 0, 200450, 997.264
202, 59395, 1011, 1, 0, 0, 201461, 997.332
203, 59395, 1011, 1, 0, 0, 202472, 997.399
204, 59395, 1011, 1, 0, 0, 203483, 997.466
205, 59395, 1011, 2, 0, 0, 204494, 997.532
206, 57354, 1001, 1, 0, 0, 205495, 997.549
207, 57354, 1011, 3, 0, 0, 206506, 997.614
208, 57354, 1011, 3, 0, 0, 207517, 997.678
209, 57354, 1011, 1, 0, 0, 208528, 997.742
210, 57354, 1011, 3, 0, 0, 209539, 997.805
211, 57354, 1011, 2, 0, 0, 210550, 997.867
212, 61442, 1001, 1, 0, 0, 211551, 997.882
213, 61442, 1011, 1, 0, 0, 212562, 997.944
214, 61442, 1011, 0, 0, 0, 213573, 998.005
215, 57354, 1001, 1, 0, 0, 214574, 998.019
216, 57354, 1011, 0, 0, 0, 215585, 998.079
217, 59395, 1001, 2, 0, 0, 216586, 998.092
218, 57354, 1001, 0, 0, 0, 217587, 998.106
219, 59395, 1001, 0, 0, 0, 218588, 998.119
220, 59395, 1011, 3, 0, 0, 219599, 998.177
221, 63493, 1001, 3, 0, 0, 220600, 998.19
222, 63748, 1001, 0, 0, 0, 221601, 998.203
223, 61706, 991, 3, 0, 0, 222592, 998.17
224, 61706, 1011, 3, 0, 0, 223603, 998.228
225, 61706, 1011, 2, 0, 0, 224614, 998.284
226, 63748, 1001, 3, 0, 0, 225615, 998.296
227, 63493, 1001, 0, 0, 0, 226616, 998.308
228, 63493, 1011, 1, 0, 0, 227627, 998.364
229, 63748, 1001, 3, 0, 0, 228628, 998.376
230, 63493, 1001, 0, 0, 0, 229629, 998.387
231, 63493, 1011, 1, 0, 0, 230640, 998.442
232, 63748, 1001, 3, 0, 0, 231641, 998.453
233, 63493, 1001, 3, 0, 0, 232642, 998.464
234, 64768, 1001, 3, 0, 0, 233643, 998.474
235, 63493, 991, 3, 0, 0, 234634, 998.443
236, 63493, 991, 1, 0, 0, 235625, 998.411
237, 63493, 1001, 3, 0, 0, 236626, 998.422
238, 63493, 1001, 0, 0, 0, 237627, 998.433
239, 63493, 1011, 1, 0, 0, 238638, 998.485
240, 63493, 1001, 1, 0, 0, 239639, 998.496
241, 64768, 1001, 2, 0, 0, 240640, 998.506
242, 62730, 991, 3, 0, 0, 241631, 998.475
243, 62730, 1011, 1, 0, 0, 242642, 998.527
244, 62730, 1011, 0, 0, 0, 243653, 998.578
245, 64768, 1001, 2, 0, 0, 244654, 998.588
246, 62730, 1001, 1, 0, 0, 245655, 998.598
247, 62730, 1011, 1, 0, 0, 246666, 998.648
248, 62730, 1011, 1, 0, 0, 247677, 998.698
249, 62730, 1011, 3, 0, 0, 248688, 998.747
250, 62730, 1011, 0, 0, 0, 249699, 998.796
251, 64768, 1001, 3, 0, 0, 250700, 998.805
252, 63493, 1001, 3, 0, 0, 251701, 998.813
253, 63493, 1001, 1, 0, 0, 252702, 998.822
254, 63493, 1001, 0, 0, 0, 253703, 998.831
255, 63493, 1011, 2, 0, 0, 254714, 998.878
256, 63493, 1011, 2, 0, 0, 255725, 998.926
257, 63493, 1011, 1, 0, 0, 256736, 998.973
258, 64768, 1001, 3, 0, 0, 257737, 998.981
259, 63493, 1001, 2, 0, 0, 258738, 998.988
260, 63493, 1011, 0, 0, 0, 259749, 999.035
261, 63493, 1011, 2, 0, 0, 260760, 999.08
262, 63493, 1011, 0, 0, 0, 261771, 999.126
263, 63493, 1011, 1, 0, 0, 262782, 999.171
264, 64768, 1001, 2, 0, 0, 263783, 999.178
265, 62730, 1001, 0, 0, 0, 264784, 999.185
266, 64768, 1001, 1, 0, 0, 265785, 999.192
267, 59397, 1001, 0, 0, 0, 266786, 999.199
268, 59397, 1011, 3, 0, 0, 267797, 999.243
269, 64768, 1001, 1, 0, 0, 268798, 999.249
270, 59397, 1001, 0, 0, 0, 269799, 999.256
271, 59397, 1011, 2, 0, 0, 270810, 999.299
272, 59397, 1011, 3, 0, 0, 271821, 999.342
273, 64768, 1001, 2, 0, 0, 272822, 999.348
274, 62730, 1001, 0, 0, 0, 273823, 999.354
275, 64768, 1001, 2, 0, 0, 274824, 999.36
276, 62730, 1001, 0, 0, 0, 275825, 999.366
277, 64768, 1001, 1, 0, 0, 276826, 999.372
278, 26629, 1001, 0, 0, 0, 277827, 999.378
279, 26629, 1011, 2, 0, 0, 278838, 999.419
280, 26629, 1011, 1, 0, 0, 279849, 999.461
281, 30980, 1001, 0, 0, 0, 280850, 999.466
282, 28938, 1001, 1, 0, 0, 281851, 999.472
283, 28938, 1011, 1, 0, 0, 282862, 999.512
284, 28938, 1011, 1, 0, 0, 283873, 999.553
285, 28938, 1011, 0, 0, 0, 284884, 999.593
286, 29448, 991, 1, 0, 0, 285875, 999.563
287, 29189, 991, 2, 0, 0, 286866, 999.533
288, 29189, 1011, 3, 0, 0, 287877, 999.573
289, 29448, 1001, 0, 0, 0, 288878, 999.578
290, 24842, 1001, 3, 0, 0, 289879, 999.583
291, 24842, 1011, 0, 0, 0, 290890, 999.622
292, 16642, 1001, 0, 0, 0, 291891, 999.627
293, 24842, 1001, 1, 0, 0, 292892, 999.631
294, 24842, 1011, 3, 0, 0, 293903, 999.67
295, 24842, 1011, 0, 0, 0, 294914, 999.708
296, 28930, 1001, 2, 0, 0, 295915, 999.713
297, 24842, 1001, 3, 0, 0, 296916, 999.717
298, 24842, 1011, 1, 0, 0, 297927, 999.755
299, 24842, 1011, 2, 0, 0, 298938, 999.793
300, 16642, 1001, 1, 0, 0, 299939, 999.797
301, 16642, 1011, 2, 0, 0, 300950, 999.834
302, 24842, 1001, 2, 0, 0, 301951, 999.838
303, 29448, 1001, 3, 0, 0, 302952, 999.842
304, 29480, 1011, 2, 0, 0, 303963, 999.878
305, 24842, 1001, 3, 0, 0, 304964, 999.882
306, 24858, 1011, 3, 0, 0, 305975, 999.918
307, 24842, 961, 3, 0, 0, 306936, 999.792
308, 29962, 1011, 2, 0, 0, 307947, 999.828
309, 30472, 991, 1, 0, 0, 308938, 999.799
310, 29189, 991, 2, 0, 0, 309929, 999.771
311, 29189, 1011, 3, 0, 0, 310940, 999.807
312, 30472, 1001, 1, 0, 0, 311941, 999.811
313, 29189, 1001, 2, 0, 0, 312942, 999.815
314, 29189, 1011, 0, 0, 0, 313953, 999.85
315, 29189, 1011, 3, 0, 0, 314964, 999.886
316, 30472, 1001, 1, 0, 0, 315965, 999.889
317, 29189, 1001, 2, 0, 0, 316966, 999.893
318, 29189, 1011, 1, 0, 0, 317977, 999.928
319, 29954, 991, 2, 0, 0, 318968, 999.9
320, 29962, 991, 0, 0, 0, 319959, 999.872
321, 29954, 1001, 0, 0, 0, 320960, 999.875
322, 29962, 991, 2, 0, 0, 321951, 999.848
323, 29954, 1001, 0, 0, 0, 322952, 999.851
324, 29962, 1001, 0, 0, 0, 323953, 999.855
325, 32002, 991, 2, 0, 0, 324944, 999.828
326, 29962, 1001, 0, 0, 0, 325945, 999.831
327, 32002, 1001, 3, 0, 0, 326946, 999.835
328, 30725, 991, 2, 0, 0, 327937, 999.808
329, 30725, 1011, 3, 0, 0, 328948, 999.842
330, 29960, 991, 3, 0, 0, 329939, 999.815
331, 29960, 1011, 1, 0, 0, 330950, 999.849
332, 28677, 1001, 1, 0, 0, 331951, 999.852
333, 29954, 1001, 2, 0, 0, 332952, 999.856
334, 29962, 1001, 2, 0, 0, 333953, 999.859
335, 29954, 1001, 1, 0, 0, 334954, 999.863
336, 29954, 1011, 0, 0, 0, 335965, 999.896
337, 29962, 1001, 1, 0, 0, 336966, 999.899
338, 29962, 1011, 1, 0, 0, 337977, 999.932
339, 29962, 1011, 2, 0, 0, 338988, 999.965
340, 29954, 1001, 2, 0, 0, 339989, 999.968
341, 29978, 1001, 0, 0, 0, 340990, 999.971
342, 29970, 1001, 0, 0, 0, 341991, 999.974
343, 30026, 951, 3, 0, 0, 342942, 999.831
344, 29962, 1011, 1, 0, 0, 343953, 999.863
345, 29962, 1011, 0, 0, 0, 344964, 999.896
346, 30472, 991, 3, 0, 0, 345955, 999.87
347, 30472, 1011, 0, 0, 0, 346966, 999.902
348, 29962, 991, 3, 0, 0, 347957, 999.876
349, 29962, 1011, 1, 0, 0, 348968, 999.908
350, 29962, 1011, 3, 0, 0, 349979, 999.94
351, 29962, 1011, 2, 0, 0, 350990, 999.972
352, 30472, 1001, 0, 0, 0, 351991, 999.974
353, 29962, 1001, 0, 0, 0, 352992, 999.977
354, 32002, 991, 3, 0, 0, 353983, 999.952
355, 30725, 991, 0, 0, 0, 354974, 999.927
356, 30725, 1011, 0, 0, 0, 355985, 999.958
357, 30725, 1011, 0, 0, 0, 356996, 999.989
358, 30725, 1011, 2, 0, 0, 358007, 1000.02
359, 30725, 1011, 1, 0, 0, 359018, 1000.05
360, 32002, 1001, 0, 0, 0, 360019, 1000.05
361, 29962, 991, 2, 0, 0, 361010, 1000.03
362, 32002, 1001, 1, 0, 0, 362011, 1000.03
363, 32002, 1011, 2, 0, 0, 363022, 1000.06
364, 29962, 1001, 3, 0, 0, 364023, 1000.06
365, 29962, 1011, 0, 0, 0, 365034, 1000.09
366, 32002, 1001, 0, 0, 0, 366035, 1000.1
367, 29962, 1001, 1, 0, 0, 367036, 1000.1
368, 29962, 1011, 0, 0, 0, 368047, 1000.13
369, 32512, 991, 0, 0, 0, 369038, 1000.1
370, 29962, 991, 2, 0, 0, 370029, 1000.08
371, 32512, 1001, 2, 0, 0, 371030, 1000.08
372, 29962, 1001, 1, 0, 0, 372031, 1000.08
373, 29962, 1011, 0, 0, 0, 373042, 1000.11
374, 32512, 1001, 0, 0, 0, 374043, 1000.11
375, 29962, 1001, 0, 0, 0, 375044, 1000.12
376, 29962, 991, 1, 0, 0, 376035, 1000.09
377, 29962, 1011, 3, 0, 0, 377046, 1000.12
378, 29962, 1011, 0, 0, 0, 378057, 1000.15
379, 30217, 991, 2, 0, 0, 379048, 1000.13
380, 29706, 1001, 1, 0, 0, 380049, 1000.13
381, 29770, 1011, 1, 0, 0, 381060, 1000.16
382, 29770, 1011, 2, 0, 0, 382071, 1000.19
383, 29770, 1001, 3, 0, 0, 383072, 1000.19
384, 29706, 961, 0, 0, 0, 384033, 1000.09
385, 30472, 991, 2, 0, 0, 385024, 1000.06
386, 29962, 1001, 3, 0, 0, 386025, 1000.06
387, 29962, 1011, 3, 0, 0, 387036, 1000.09
388, 29962, 1011, 2, 0, 0, 388047, 1000.12
389, 30472, 991, 0, 0, 0, 389038, 1000.1
390, 29962, 1001, 3, 0, 0, 390039, 1000.1
391, 29962, 1011, 2, 0, 0, 391050, 1000.13
392, 30472, 1001, 1, 0, 0, 392051, 1000.13
393, 29189, 991, 1, 0, 0, 393042, 1000.11
394, 29954, 991, 2, 0, 0, 394033, 1000.08
395, 29962, 991, 0, 0, 0, 395024, 1000.06
396, 29954, 1001, 1, 0, 0, 396025, 1000.06
397, 29954, 1011, 0, 0, 0, 397036, 1000.09
398, 29962, 991, 2, 0, 0, 398027, 1000.07
399, 29954, 1001, 1, 0, 0, 399028, 1000.07
400, 29954, 1011, 2, 0, 0, 400039, 1000.1
401, 29962, 1001, 2, 0, 0, 401040, 1000.1
402, 30472, 991, 1, 0, 0, 402031, 1000.08
403, 29189, 991, 3, 0, 0, 403022, 1000.05
404, 30472, 1001, 0, 0, 0, 404023, 1000.06
405, 29962, 1001, 1, 0, 0, 405024, 1000.06
406, 29962, 1011, 2, 0, 0, 406035, 1000.09
407, 30472, 1001, 1, 0, 0, 407036, 1000.09
408, 29189, 1001, 3, 0, 0, 408037, 1000.09
409, 30472, 1001, 1, 0, 0, 409038, 1000.09
410, 29189, 1001, 1, 0, 0, 410039, 1000.1
411, 28934, 991, 1, 0, 0, 411030, 1000.07
412, 28934, 1011, 2, 0, 0, 412041, 1000.1
413, 28934, 1011, 0, 0, 0, 413052, 1000.13
414, 28938, 991, 3, 0, 0, 414043, 1000.1
415, 28938, 1011, 0, 0, 0, 415054, 1000.13
416, 29193, 991, 0, 0, 0, 416045, 1000.11
417, 29193, 1011, 1, 0, 0, 417056, 1000.13
418, 29189, 991, 2, 0, 0, 418047, 1000.11
419, 29189, 1011, 2, 0, 0, 419058, 1000.14
420, 29189, 1011, 0, 0, 0, 420069, 1000.16
421, 29189, 1011, 2, 0, 0, 421080, 1000.19
422, 29189, 1011, 0, 0, 0, 422091, 1000.22
423, 29189, 1011, 0, 0, 0, 423102, 1000.24
424, 29189, 1011, 1, 0, 0, 424113, 1000.27
425, 29954, 991, 1, 0, 0, 425104, 1000.24
426, 29954, 1011, 1, 0, 0, 426115, 1000.27
427, 29954, 1011, 1, 0, 0, 427126, 1000.3
428, 29954, 1011, 1, 0, 0, 428137, 1000.32
429, 29954, 1011, 0, 0, 0, 429148, 1000.34
430, 29962, 991, 0, 0, 0, 430139, 1000.32
431, 32002, 991, 3, 0, 0, 431130, 1000.3
432, 30725, 991, 0, 0, 0, 432121, 1000.28
433, 30725, 1011, 3, 0, 0, 433132, 1000.3
434, 28940, 991, 0, 0, 0, 434123, 1000.28
435, 28938, 991, 0, 0, 0, 435114, 1000.26
436, 30723, 991, 0, 0, 0, 436105, 1000.24
437, 30723, 1011, 2, 0, 0, 437116, 1000.27
438, 28682, 1001, 3, 0, 0, 438117, 1000.27
439, 28682, 1011, 0, 0, 0, 439128, 1000.29
440, 30723, 1001, 1, 0, 0, 440129, 1000.29
441, 30723, 1011, 0, 0, 0, 441140, 1000.32
442, 30723, 1011, 2, 0, 0, 442151, 1000.34
443, 28682, 1001, 0, 0, 0, 443152, 1000.34
444, 30723, 1001, 0, 0, 0, 444153, 1000.34
445, 30723, 1011, 3, 0, 0, 445164, 1000.37
446, 30725, 991, 3, 0, 0, 446155, 1000.35
447, 29960, 991, 2, 0, 0, 447146, 1000.33
448, 29962, 991, 2, 0, 0, 448137, 1000.31
449, 32002, 991, 0, 0, 0, 449128, 1000.29
450, 29962, 1001, 2, 0, 0, 450129, 1000.29
451, 32002, 1001, 1, 0, 0, 451130, 1000.29
452, 32002, 1011, 3, 0, 0, 452141, 1000.31
453, 28677, 991, 0, 0, 0, 453132, 1000.29
454, 28677, 1011, 2, 0, 0, 454143, 1000.31
455, 28677, 1011, 2, 0, 0, 455154, 1000.34
456, 28677, 1011, 1, 0, 0, 456165, 1000.36
457, 25858, 1001, 1, 0, 0, 457166, 1000.36
458, 25858, 1011, 0, 0, 0, 458177, 1000.39
459, 29962, 1001, 2, 0, 0, 459178, 1000.39
460, 25858, 1001, 3, 0, 0, 460179, 1000.39
461, 28677, 1001, 0, 0, 0, 461180, 1000.39
462, 28677, 1011, 3, 0, 0, 462191, 1000.41
463, 29960, 1001, 1, 0, 0, 463192, 1000.41
464, 28677, 1001, 3, 0, 0, 464193, 1000.42
465, 29960, 1001, 1, 0, 0, 465194, 1000.42
466, 28677, 1001, 0, 0, 0, 466195, 1000.42
467, 28677, 1011, 3, 0, 0, 467206, 1000.44
468, 29960, 951, 0, 0, 0, 468157, 1000.34
469, 30472, 991, 2, 0, 0, 469148, 1000.32
470, 29962, 1001, 2, 0, 0, 470149, 1000.32
471, 30472, 991, 3, 0, 0, 471140, 1000.3
472, 30472, 1011, 2, 0, 0, 472151, 1000.32
473, 29962, 991, 1, 0, 0, 473142, 1000.3
