cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 3494983166, 0, 3, 0, 0, 0, 0
2, 3494983166, 0, 7, 0, 0, 0, 0
3, 3494983166, 0, 6, 0, 0, 0, 0
4, 3494983166, 0, 2, 0, 0, 0, 0
5, 0, 3, 7, 0, 0, 3, 0.6
6, 131076, 2, 3, 0, 0, 5, 0.833333
7, 132102, 2, 7, 0, 0, 7, 1
8, 132102, 0, 7, 0, 0, 7, 0.875
9, 132102, 0, 6, 0, 0, 7, 0.777778
10, 164886, 2, 8, 0, 0, 9, 0.9
11, 164886, 0, 0, 0, 0, 9, 0.818182
12, 164886, 0, 2, 0, 0, 9, 0.75
13, 0, 1, 4, 0, 0, 10, 0.769231
14, 131328, 2, 1, 0, 0, 12, 0.857143
15, 149760, 2, 8, 0, 0, 14, 0.933333
16, 149889, 2, 6, 0, 0, 16, 1
17, 158097, 2, 7, 0, 0, 18, 1.05882
18, 0, 4, 1, 0, 0, 22, 1.22222
19, 147456, 2, 3, 0, 0, 24, 1.26316
20, 148608, 2, 1, 0, 0, 26, 1.3
21, 148608, 0, 6, 0, 0, 26, 1.2381
22, 148632, 2, 1, 0, 0, 28, 1.27273
23, 148632, 0, 6, 0, 0, 28, 1.21739
24, 148632, 0, 3, 0, 0, 28, 1.16667
25, 148632, 0, 3, 0, 0, 28, 1.12
26, 148632, 0, 4, 0, 0, 28, 1.07692
27, 157080, 2, 4, 0, 0, 30, 1.11111
28, 157080, 0, 8, 0, 0, 30, 1.07143
29, 0, 3, 8, 0, 0, 33, 1.13793
30, 131073, 2, 4, 0, 0, 35, 1.16667
31, 133377, 2, 3, 0, 0, 37, 1.19355
32, 133377, 0, 2, 0, 0, 37, 1.15625
33, 137481, 2, 8, 0, 0, 39, 1.18182
34, 137481, 0, 5, 0, 0, 39, 1.14706
35, 0, 4, 2, 0, 0, 43, 1.22857
36, 135168, 2, 0, 0, 0, 45, 1.25
37, 135168, 0, 7, 0, 0, 45, 1.21622
38, 135174, 2, 6, 0, 0, 47, 1.23684
39, 0, 1, 6, 0, 0, 48, 1.23077
40, 131088, 2, 7, 0, 0, 50, 1.25
41, 131604, 2, 6, 0, 0, 52, 1.26829
42, 131604, 0, 2, 0, 0, 52, 1.2381
43, 0, 1, 4, 0, 0, 53, 1.23256
44, 131328, 2, 0, 0, 0, 55, 1.25
45, 131328, 0, 3, 0, 0, 55, 1.22222
46, 132354, 2, 8, 0, 0, 57, 1.23913
47, 132354, 0, 0, 0, 0, 57, 1.21277
48, 132354, 0, 2, 0, 0, 57, 1.1875
49, 136482, 2, 8, 0, 0, 59, 1.20408
50, 136482, 0, 1, 0, 0, 59, 1.18
51, 0, 1, 0, 0, 0, 60, 1.17647
52, 65544, 2, 3, 0, 0, 62, 1.19231
53, 99336, 2, 0, 0, 0, 64, 1.20755
54, 99336, 0, 8, 0, 0, 64, 1.18519
55, 107529, 2, 1, 0, 0, 66, 1.2
56, 107529, 0, 1, 0, 0, 66, 1.17857
57, 107529, 0, 6, 0, 0, 66, 1.15789
58, 0, 4, 1, 0, 0, 70, 1.2069
59, 147456, 2, 6, 0, 0, 72, 1.22034
60, 149520, 2, 5, 0, 0, 74, 1.23333
61, 157776, 2, 4, 0, 0, 76, 1.2459
62, 158040, 2, 3, 0, 0, 78, 1.25806
63, 158040, 0, 0, 0, 0, 78, 1.2381
64, 158040, 0, 0, 0, 0, 78, 1.21875
65, 158040, 0, 4, 0, 0, 78, 1.2
66, 158040, 0, 0, 0, 0, 78, 1.18182
67, 158040, 0, 8, 0, 0, 78, 1.16418
68, 0, 3, 3, 0, 0, 81, 1.19118
69, 132096, 2, 1, 0, 0, 83, 1.2029
70, 148608, 2, 5, 0, 0, 85, 1.21429
71, 148608, 0, 8, 0, 0, 85, 1.19718
72, 156801, 2, 8, 0, 0, 87, 1.20833
73, 156801, 0, 1, 0, 0, 87, 1.19178
74, 156801, 0, 4, 0, 0, 87, 1.17568
75, 157065, 2, 6, 0, 0, 89, 1.18667
76, 0, 3, 5, 0, 0, 92, 1.21053
77, 131136, 2, 3, 0, 0, 94, 1.22078
78, 132672, 2, 0, 0, 0, 96, 1.23077
79, 132672, 0, 1, 0, 0, 96, 1.21519
80, 157248, 2, 7, 0, 0, 98, 1.225
81, 0, 1, 3, 0, 0, 99, 1.22222
82, 132096, 2, 4, 0, 0, 101, 1.23171
83, 132360, 2, 5, 0, 0, 103, 1.24096
84, 0, 4, 3, 0, 0, 107, 1.27381
85, 132096, 2, 7, 0, 0, 109, 1.28235
86, 140292, 2, 1, 0, 0, 111, 1.2907
87, 156708, 2, 2, 0, 0, 113, 1.29885
88, 156708, 0, 5, 0, 0, 113, 1.28409
89, 156774, 2, 7, 0, 0, 115, 1.29213
90, 156774, 0, 6, 0, 0, 115, 1.27778
91, 156774, 0, 7, 0, 0, 115, 1.26374
92, 156774, 0, 1, 0, 0, 115, 1.25
93, 156774, 0, 5, 0, 0, 115, 1.23656
94, 156774, 0, 5, 0, 0, 115, 1.2234
95, 156774, 0, 6, 0, 0, 115, 1.21053
96, 156774, 0, 2, 0, 0, 115, 1.19792
97, 156774, 0, 2, 0, 0, 115, 1.18557
98, 156774, 0, 2, 0, 0, 115, 1.17347
99, 156774, 0, 4, 0, 0, 115, 1.16162
100, 0, 4, 4, 0, 0, 119, 1.19
101, 131328, 2, 4, 0, 0, 121, 1.19802
102, 131328, 0, 6, 0, 0, 121, 1.18627
103, 131472, 2, 2, 0, 0, 123, 1.19417
104, 0, 4, 1, 0, 0, 127, 1.22115
105, 147456, 2, 6, 0, 0, 129, 1.22857
106, 147474, 2, 1, 0, 0, 131, 1.23585
107, 147474, 0, 1, 0, 0, 131, 1.2243
108, 147474, 0, 7, 0, 0, 131, 1.21296
109, 149526, 2, 2, 0, 0, 133, 1.22018
110, 153750, 2, 7, 0, 0, 135, 1.22727
111, 153750, 0, 4, 0, 0, 135, 1.21622
112, 0, 4, 6, 0, 0, 139, 1.24107
113, 131088, 2, 7, 0, 0, 141, 1.24779
114, 131220, 2, 0, 0, 0, 143, 1.25439
115, 131220, 0, 4, 0, 0, 143, 1.24348
116, 139668, 2, 8, 0, 0, 145, 1.25
117, 0, 4, 2, 0, 0, 149, 1.2735
118, 135168, 2, 4, 0, 0, 151, 1.27966
119, 135432, 2, 5, 0, 0, 153, 1.28571
120, 168264, 2, 7, 0, 0, 155, 1.29167
121, 168264, 0, 6, 0, 0, 155, 1.28099
122, 0, 4, 3, 0, 0, 159, 1.30328
123, 132096, 2, 1, 0, 0, 161, 1.30894
124, 148992, 2, 4, 0, 0, 163, 1.31452
125, 148992, 0, 5, 0, 0, 163, 1.304
126, 149064, 2, 8, 0, 0, 165, 1.30952
127, 149097, 2, 1, 0, 0, 167, 1.31496
128, 149097, 0, 0, 0, 0, 167, 1.30469
129, 149097, 0, 1, 0, 0, 167, 1.29457
130, 149097, 0, 0, 0, 0, 167, 1.28462
131, 149097, 0, 4, 0, 0, 167, 1.27481
132, 149097, 0, 6, 0, 0, 167, 1.26515
133, 149097, 0, 0, 0, 0, 167, 1.25564
134, 149097, 0, 1, 0, 0, 167, 1.24627
135, 149097, 0, 3, 0, 0, 167, 1.23704
136, 149097, 0, 1, 0, 0, 167, 1.22794
137, 149097, 0, 2, 0, 0, 167, 1.21898
138, 0, 4, 2, 0, 0, 171, 1.23913
139, 135168, 2, 4, 0, 0, 173, 1.2446
140, 135456, 2, 4, 0, 0, 175, 1.25
141, 135456, 0, 0, 0, 0, 175, 1.24113
142, 135456, 0, 8, 0, 0, 175, 1.23239
143, 135465, 2, 4, 0, 0, 177, 1.23776
144, 135465, 0, 0, 0, 0, 177, 1.22917
