cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1645276464, 0, 7, 1, 1, 0, 0
2, 1645276464, 0, 7, 1, 1, 0, 0
3, 1645276464, 0, 1, 1, 1, 0, 0
4, 1645276464, 0, 7, 1, 1, 0, 0
5, 1645276464, 0, 2, 1, 1, 0, 0
6, 1645411632, 2, 6, 1, 1, 2, 0.333333
7, 1645411632, 0, 0, 1, 1, 2, 0.285714
8, 1645411632, 0, 1, 1, 1, 2, 0.25
9, 1645411632, 0, 7, 1, 1, 2, 0.222222
10, 1645411632, 0, 2, 1, 1, 2, 0.2
11, 1645411632, 0, 7, 1, 1, 2, 0.181818
12, 1645411632, 0, 4, 1, 1, 2, 0.166667
13, 1645411632, 0, 0, 1, 1, 2, 0.153846
14, 1645411632, 0, 0, 1, 1, 2, 0.142857
15, 1645411632, 0, 0, 1, 1, 2, 0.133333
16, 1645411632, 0, 3, 1, 1, 2, 0.125
17, 1645411632, 0, 2, 1, 1, 2, 0.117647
18, 1645411632, 0, 5, 1, 1, 2, 0.111111
19, 1645411632, 0, 2, 1, 1, 2, 0.105263
20, 1645411632, 0, 6, 1, 1, 2, 0.1
21, 1645411632, 0, 2, 1, 1, 2, 0.0952381
22, 1645411632, 0, 7, 1, 1, 2, 0.0909091
23, 1645411632, 0, 2, 1, 1, 2, 0.0869565
24, 1645411632, 0, 8, 1, 1, 2, 0.0833333
25, 0, 3, 3, 1, 1, 5, 0.2
26, 132096, 2, 4, 1, 1, 7, 0.269231
27, 132354, 2, 3, 1, 1, 9, 0.333333
28, 132354, 0, 3, 1, 1, 9, 0.321429
29, 132354, 0, 5, 1, 1, 9, 0.310345
30, 0, 4, 4, 1, 1, 13, 0.433333
31, 131328, 2, 1, 1, 1, 15, 0.483871
32, 149760, 2, 5, 1, 1, 17, 0.53125
33, 158016, 2, 3, 1, 1, 19, 0.575758
34, 158016, 0, 8, 1, 1, 19, 0.558824
35, 158025, 2, 2, 1, 1, 21, 0.6
36, 158025, 0, 6, 1, 1, 21, 0.583333
37, 0, 3, 5, 1, 1, 24, 0.648649
38, 131136, 2, 3, 1, 1, 26, 0.684211
39, 132162, 2, 1, 1, 1, 28, 0.717949
40, 156738, 2, 1, 1, 1, 30, 0.75
41, 156738, 0, 2, 1, 1, 30, 0.731707
42, 156738, 0, 3, 1, 1, 30, 0.714286
43, 156738, 0, 2, 1, 1, 30, 0.697674
44, 156738, 0, 4, 1, 1, 30, 0.681818
45, 0, 4, 6, 1, 1, 34, 0.755556
46, 131088, 2, 0, 1, 1, 36, 0.782609
47, 131088, 0, 7, 1, 1, 36, 0.765957
48, 131094, 2, 6, 1, 1, 38, 0.791667
49, 131094, 0, 2, 1, 1, 38, 0.77551
50, 167958, 2, 6, 1, 1, 40, 0.8
51, 167958, 0, 3, 1, 1, 40, 0.784314
52, 0, 1, 3, 1, 1, 41, 0.788462
53, 132096, 2, 8, 1, 1, 43, 0.811321
54, 140289, 2, 6, 1, 1, 45, 0.833333
55, 140817, 2, 4, 1, 1, 47, 0.854545
56, 140817, 0, 2, 1, 1, 47, 0.839286
57, 140817, 0, 7, 1, 1, 47, 0.824561
58, 0, 4, 8, 1, 1, 51, 0.87931
59, 131073, 2, 6, 1, 1, 53, 0.898305
60, 163857, 2, 7, 1, 1, 55, 0.916667
61, 0, 4, 5, 1, 1, 59, 0.967213
62, 131136, 2, 7, 1, 1, 61, 0.983871
63, 139332, 2, 0, 1, 1, 63, 1
64, 139332, 0, 8, 1, 1, 63, 0.984375
65, 141381, 2, 7, 1, 1, 65, 1
66, 141381, 0, 2, 1, 1, 65, 0.984848
67, 141381, 0, 5, 1, 1, 65, 0.970149
68, 141381, 0, 2, 1, 1, 65, 0.955882
69, 141381, 0, 2, 1, 1, 65, 0.942029
70, 141381, 0, 3, 1, 1, 65, 0.928571
71, 141381, 0, 1, 1, 1, 65, 0.915493
72, 158277, 2, 7, 1, 1, 67, 0.930556
73, 158277, 0, 4, 1, 1, 67, 0.917808
74, 158277, 0, 4, 1, 1, 67, 0.905405
75, 158277, 0, 1, 1, 1, 67, 0.893333
76, 158277, 0, 2, 1, 1, 67, 0.881579
77, 158277, 0, 6, 1, 1, 67, 0.87013
78, 0, 4, 7, 1, 1, 71, 0.910256
79, 131076, 2, 2, 1, 1, 73, 0.924051
80, 167940, 2, 6, 1, 1, 75, 0.9375
81, 168084, 2, 1, 1, 1, 77, 0.950617
82, 168084, 0, 8, 1, 1, 77, 0.939024
83, 0, 4, 6, 1, 1, 81, 0.975904
84, 131088, 2, 3, 1, 1, 83, 0.988095
85, 140304, 2, 1, 1, 1, 85, 1
86, 157200, 2, 2, 1, 1, 87, 1.01163
87, 157200, 0, 4, 1, 1, 87, 1
88, 157200, 0, 0, 1, 1, 87, 0.988636
89, 157200, 0, 4, 1, 1, 87, 0.977528
90, 157200, 0, 2, 1, 1, 87, 0.966667
91, 157200, 0, 0, 1, 1, 87, 0.956044
92, 157200, 0, 3, 1, 1, 87, 0.945652
93, 157200, 0, 3, 1, 1, 87, 0.935484
94, 157200, 0, 2, 1, 1, 87, 0.925532
95, 157200, 0, 1, 1, 1, 87, 0.915789
96, 157200, 0, 5, 1, 1, 87, 0.90625
97, 0, 1, 6, 1, 1, 88, 0.907216
98, 131088, 2, 8, 1, 1, 90, 0.918367
99, 131217, 2, 5, 1, 1, 92, 0.929293
100, 131217, 0, 2, 1, 1, 92, 0.92
101, 137361, 2, 1, 1, 1, 94, 0.930693
102, 153753, 2, 1, 1, 1, 96, 0.941176
103, 153753, 0, 5, 1, 1, 96, 0.932039
104, 153753, 0, 3, 1, 1, 96, 0.923077
105, 153753, 0, 7, 1, 1, 96, 0.914286
106, 153753, 0, 8, 1, 1, 96, 0.90566
