cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 3, 0, 0.1, 0, 0
2, 7, 9, 1, 0, 0.1, 9, 4.5
3, 5, 9, 1, 0, 0.1, 18, 6
4, 12, 9, 2, 0, 0.1, 27, 6.75
5, 12, 0, 2, 0, 0.1, 27, 5.4
6, 12, 0, 3, 0, 0.1, 27, 4.5
7, 5, 9, 3, 0, 0.1, 36, 5.14286
8, 7, 9, 1, 0, 0.1, 45, 5.625
9, 5, 9, 3, 0, 0.1, 54, 6
10, 7, 9, 3, 0, 0.1, 63, 6.3
11, 7, 0, 2, 0, 0.1, 63, 5.72727
12, 7, 0, 2, 0, 0.1, 63, 5.25
13, 7, 0, 1, 0, 0.1, 63, 4.84615
14, 5, 9, 2, 0, 0.1, 72, 5.14286
15, 5, 0, 1, 0, 0.1, 72, 4.8
16, 12, 9, 3, 0, 0.1, 81, 5.0625
17, 5, 9, 3, 0, 0.1, 90, 5.29412
18, 7, 9, 3, 0, 0.1, 99, 5.5
19, 7, 0, 2, 0, 0.1, 99, 5.21053
20, 7, 0, 2, 0, 0.1, 99, 4.95
21, 7, 0, 2, 0, 0.1, 99, 4.71429
22, 7, 0, 2, 0, 0.1, 99, 4.5
23, 7, 0, 3, 1, 0.1, 99, 4.30435
24, 7, 0, 1, 0, 0.1, 99, 4.125
25, 5, 9, 1, 0, 0.1, 108, 4.32
26, 12, 9, 3, 0, 0.1, 117, 4.5
27, 5, 9, 2, 0, 0.1, 126, 4.66667
28, 5, 0, 2, 0, 0.1, 126, 4.5
29, 5, 0, 1, 0, 0.1, 126, 4.34483
30, 12, 9, 2, 0, 0.1, 135, 4.5
31, 12, 0, 1, 0, 0.1, 135, 4.35484
32, 12, 0, 2, 0, 0.1, 135, 4.21875
33, 12, 0, 2, 0, 0.1, 135, 4.09091
34, 12, 0, 2, 0, 0.1, 135, 3.97059
35, 12, 0, 2, 0, 0.1, 135, 3.85714
36, 12, 0, 1, 0, 0.1, 135, 3.75
37, 12, 0, 3, 0, 0.1, 135, 3.64865
38, 5, 9, 3, 0, 0.1, 144, 3.78947
39, 7, 9, 0, 0, 0.1, 153, 3.92308
40, 7, 0, 2, 1, 0.1, 153, 3.825
41, 7, 0, 3, 0, 0.1, 153, 3.73171
42, 7, 0, 0, 0, 0.1, 153, 3.64286
43, 7, 0, 3, 1, 0.1, 153, 3.55814
44, 7, 0, 3, 0, 0.1, 153, 3.47727
45, 7, 0, 3, 0, 0.1, 153, 3.4
46, 7, 0, 2, 1, 0.1, 153, 3.32609
47, 7, 0, 1, 0, 0.1, 153, 3.25532
48, 5, 9, 2, 1, 0.1, 162, 3.375
49, 5, 0, 1, 0, 0.1, 162, 3.30612
50, 12, 9, 3, 0, 0.1, 171, 3.42
51, 5, 9, 2, 0, 0.1, 180, 3.52941
52, 5, 0, 0, 0, 0.1, 180, 3.46154
53, 5, 0, 1, 0, 0.1, 180, 3.39623
54, 12, 9, 1, 0, 0.1, 189, 3.5
55, 12, 0, 0, 0, 0.1, 189, 3.43636
56, 10, 9, 1, 1, 0.1, 198, 3.53571
57, 10, 0, 2, 0, 0.1, 198, 3.47368
58, 12, 9, 2, 0, 0.1, 207, 3.56897
59, 12, 0, 0, 0, 0.1, 207, 3.50847
60, 10, 9, 2, 1, 0.1, 216, 3.6
61, 12, 9, 0, 0, 0.1, 225, 3.68852
