cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0, 1, 1
2, 0, 0, 1, 0, 0, 1, 0.5
3, 0, 0, 1, 0, 0, 1, 0.333333
4, 0, 0, 0, 0, 0, 1, 0.25
5, 0, 1, 1, 0, 0, 2, 0.4
6, 0, 0, 0, 0, 0, 2, 0.333333
7, 0, 1, 0, 0, 0, 3, 0.428571
8, 0, 0, 0, 0, 0, 3, 0.375
9, 0, 0, 0, 0, 0, 3, 0.333333
10, 0, 0, 1, 0, 0, 3, 0.3
11, 0, 0, 0, 0, 0, 3, 0.272727
12, 0, 0, 0, 0, 0, 3, 0.25
13, 0, 0, 1, 0, 0, 3, 0.230769
14, 0, 0, 1, 0, 0, 3, 0.214286
15, 0, 1, 1, 0, 0, 4, 0.266667
16, 0, 0, 1, 0, 0, 4, 0.25
17, 0, 0, 0, 0, 0, 4, 0.235294
18, 0, 1, 0, 0, 0, 5, 0.277778
19, 0, 0, 1, 0, 0, 5, 0.263158
20, 0, 1, 1, 0, 0, 6, 0.3
21, 0, 0, 1, 0, 0, 6, 0.285714
22, 0, 0, 1, 0, 0, 6, 0.272727
23, 0, 0, 1, 0, 0, 6, 0.26087
24, 0, 0, 0, 0, 0, 6, 0.25
25, 0, 1, 1, 0, 0, 7, 0.28
26, 0, 0, 1, 0, 0, 7, 0.269231
27, 0, 0, 0, 0, 0, 7, 0.259259
28, 0, 1, 1, 0, 0, 8, 0.285714
29, 0, 0, 1, 0, 0, 8, 0.275862
30, 0, 0, 0, 0, 0, 8, 0.266667
31, 0, 1, 0, 0, 0, 9, 0.290323
32, 0, 0, 0, 0, 0, 9, 0.28125
33, 0, 0, 1, 0, 0, 9, 0.272727
34, 0, 0, 0, 0, 0, 9, 0.264706
35, 0, 0, 1, 0, 0, 9, 0.257143
36, 0, 0, 1, 0, 0, 9, 0.25
37, 0, 1, 1, 0, 0, 10, 0.27027
38, 0, 0, 0, 0, 0, 10, 0.263158
39, 0, 1, 0, 0, 0, 11, 0.282051
40, 0, 0, 0, 0, 0, 11, 0.275
41, 0, 0, 1, 0, 0, 11, 0.268293
42, 0, 0, 1, 0, 0, 11, 0.261905
43, 0, 1, 1, 0, 0, 12, 0.27907
44, 0, 0, 0, 0, 0, 12, 0.272727
45, 0, 1, 0, 0, 0, 13, 0.288889
46, 0, 0, 0, 0, 0, 13, 0.282609
47, 0, 0, 0, 0, 0, 13, 0.276596
48, 0, 0, 1, 0, 0, 13, 0.270833
