cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 34664752, 0, 0, 0, 0, 0, 0
2, 34730290, 2, 6, 0, 0, 2, 1
3, 34730290, 0, 6, 0, 0, 2, 0.666667
4, 34730290, 0, 7, 0, 0, 2, 0.5
5, 34730290, 0, 3, 0, 0, 2, 0.4
6, 34730290, 0, 3, 0, 0, 2, 0.333333
7, 34730290, 0, 4, 0, 0, 2, 0.285714
8, 34730290, 0, 1, 0, 0, 2, 0.25
9, 34730290, 0, 1, 0, 0, 2, 0.222222
10, 34730290, 0, 1, 0, 0, 2, 0.2
11, 34730290, 0, 7, 0, 0, 2, 0.181818
12, 34730290, 0, 3, 0, 0, 2, 0.166667
13, 34730290, 0, 8, 0, 0, 2, 0.153846
14, 34730290, 0, 8, 0, 0, 2, 0.142857
15, 34730290, 0, 8, 0, 0, 2, 0.133333
16, 34730290, 0, 4, 0, 0, 2, 0.125
17, 34730290, 0, 8, 0, 0, 2, 0.117647
18, 34730290, 0, 2, 0, 0, 2, 0.111111
19, 0, 3, 6, 0, 0, 5, 0.263158
20, 131088, 2, 2, 0, 0, 7, 0.35
21, 135312, 2, 3, 0, 0, 9, 0.428571
22, 136338, 2, 0, 0, 0, 11, 0.5
23, 136338, 0, 8, 0, 0, 11, 0.478261
24, 136338, 0, 6, 0, 0, 11, 0.458333
25, 136338, 0, 8, 0, 0, 11, 0.44
26, 136338, 0, 7, 0, 0, 11, 0.423077
27, 169110, 2, 6, 0, 0, 13, 0.481481
28, 169110, 0, 5, 0, 0, 13, 0.464286
29, 169110, 0, 4, 0, 0, 13, 0.448276
30, 0, 4, 8, 0, 0, 17, 0.566667
31, 131073, 2, 2, 0, 0, 19, 0.612903
32, 135297, 2, 5, 0, 0, 21, 0.65625
33, 135297, 0, 2, 0, 0, 21, 0.636364
34, 135297, 0, 2, 0, 0, 21, 0.617647
35, 135297, 0, 2, 0, 0, 21, 0.6
36, 135297, 0, 6, 0, 0, 21, 0.583333
37, 168081, 2, 4, 0, 0, 23, 0.621622
38, 0, 4, 7, 0, 0, 27, 0.710526
39, 131076, 2, 1, 0, 0, 29, 0.74359
40, 147492, 2, 0, 0, 0, 31, 0.775
41, 147492, 0, 0, 0, 0, 31, 0.756098
42, 147492, 0, 3, 0, 0, 31, 0.738095
43, 156708, 2, 3, 0, 0, 33, 0.767442
44, 156708, 0, 5, 0, 0, 33, 0.75
45, 0, 1, 2, 0, 0, 34, 0.755556
46, 135168, 2, 5, 0, 0, 36, 0.782609
47, 135744, 2, 1, 0, 0, 38, 0.808511
48, 154176, 2, 0, 0, 0, 40, 0.833333
49, 154176, 0, 6, 0, 0, 40, 0.816327
50, 154200, 2, 2, 0, 0, 42, 0.84
51, 154200, 0, 1, 0, 0, 42, 0.823529
52, 154200, 0, 5, 0, 0, 42, 0.807692
53, 154200, 0, 2, 0, 0, 42, 0.792453
54, 154200, 0, 1, 0, 0, 42, 0.777778
55, 154200, 0, 1, 0, 0, 42, 0.763636
56, 154200, 0, 5, 0, 0, 42, 0.75
57, 154200, 0, 1, 0, 0, 42, 0.736842
58, 154200, 0, 3, 0, 0, 42, 0.724138
59, 154200, 0, 2, 0, 0, 42, 0.711864
60, 154200, 0, 2, 0, 0, 42, 0.7
61, 154200, 0, 6, 0, 0, 42, 0.688525
62, 154200, 0, 4, 0, 0, 42, 0.677419
63, 154200, 0, 2, 0, 0, 42, 0.666667
64, 154200, 0, 6, 0, 0, 42, 0.65625
65, 154200, 0, 1, 0, 0, 42, 0.646154
66, 154200, 0, 0, 0, 0, 42, 0.636364
67, 154200, 0, 5, 0, 0, 42, 0.626866
68, 154200, 0, 2, 0, 0, 42, 0.617647
69, 154200, 0, 0, 0, 0, 42, 0.608696
70, 154200, 0, 3, 0, 0, 42, 0.6
71, 154200, 0, 4, 0, 0, 42, 0.591549
72, 154200, 0, 0, 0, 0, 42, 0.583333
73, 154200, 0, 0, 0, 0, 42, 0.575342
74, 154200, 0, 5, 0, 0, 42, 0.567568
75, 154200, 0, 0, 0, 0, 42, 0.56
76, 154200, 0, 1, 0, 0, 42, 0.552632
77, 154200, 0, 4, 0, 0, 42, 0.545455
78, 154200, 0, 4, 0, 0, 42, 0.538462
79, 154200, 0, 4, 0, 0, 42, 0.531646
80, 154200, 0, 8, 0, 0, 42, 0.525
81, 0, 4, 2, 0, 0, 46, 0.567901
82, 135168, 2, 7, 0, 0, 48, 0.585366
83, 135684, 2, 6, 0, 0, 50, 0.60241
84, 168468, 2, 4, 0, 0, 52, 0.619048
85, 168468, 0, 1, 0, 0, 52, 0.611765
86, 168468, 0, 8, 0, 0, 52, 0.604651
87, 0, 4, 2, 0, 0, 56, 0.643678
88, 135168, 2, 0, 0, 0, 58, 0.659091
89, 135168, 0, 2, 0, 0, 58, 0.651685
90, 135168, 0, 0, 0, 0, 58, 0.644444
91, 135168, 0, 8, 0, 0, 58, 0.637363
92, 137217, 2, 8, 0, 0, 60, 0.652174
93, 137217, 0, 2, 0, 0, 60, 0.645161
94, 137217, 0, 2, 0, 0, 60, 0.638298
95, 137217, 0, 7, 0, 0, 60, 0.631579
96, 137349, 2, 0, 0, 0, 62, 0.645833
97, 137349, 0, 3, 0, 0, 62, 0.639175
98, 137349, 0, 6, 0, 0, 62, 0.632653
99, 0, 4, 8, 0, 0, 66, 0.666667
100, 131073, 2, 2, 0, 0, 68, 0.68
101, 135297, 2, 3, 0, 0, 70, 0.693069
102, 169089, 2, 2, 0, 0, 72, 0.705882
103, 169089, 0, 4, 0, 0, 72, 0.699029
104, 169353, 2, 2, 0, 0, 74, 0.711538
105, 169353, 0, 1, 0, 0, 74, 0.704762
106, 169353, 0, 3, 0, 0, 74, 0.698113
107, 169353, 0, 3, 0, 0, 74, 0.691589
108, 169353, 0, 7, 0, 0, 74, 0.685185
109, 169353, 0, 3, 0, 0, 74, 0.678899
110, 169353, 0, 7, 0, 0, 74, 0.672727
111, 169353, 0, 3, 0, 0, 74, 0.666667
112, 169353, 0, 5, 0, 0, 74, 0.660714
113, 169353, 0, 5, 0, 0, 74, 0.654867
114, 169353, 0, 3, 0, 0, 74, 0.649123
115, 169353, 0, 3, 0, 0, 74, 0.643478
116, 169353, 0, 8, 0, 0, 74, 0.637931
117, 169353, 0, 1, 0, 0, 74, 0.632479
118, 169353, 0, 4, 0, 0, 74, 0.627119
119, 169353, 0, 0, 0, 0, 74, 0.621849
120, 169353, 0, 2, 0, 0, 74, 0.616667
121, 169353, 0, 2, 0, 0, 74, 0.61157
122, 169353, 0, 8, 0, 0, 74, 0.606557
123, 169353, 0, 4, 0, 0, 74, 0.601626
124, 169353, 0, 0, 0, 0, 74, 0.596774
125, 169353, 0, 0, 0, 0, 74, 0.592
126, 169353, 0, 5, 0, 0, 74, 0.587302
127, 169353, 0, 0, 0, 0, 74, 0.582677
128, 169353, 0, 3, 0, 0, 74, 0.578125
129, 169353, 0, 2, 0, 0, 74, 0.573643
130, 169353, 0, 5, 0, 0, 74, 0.569231
131, 169353, 0, 5, 0, 0, 74, 0.564885
132, 169353, 0, 8, 0, 0, 74, 0.560606
133, 169353, 0, 2, 0, 0, 74, 0.556391
134, 169353, 0, 0, 0, 0, 74, 0.552239
135, 169353, 0, 1, 0, 0, 74, 0.548148
136, 169353, 0, 2, 0, 0, 74, 0.544118
137, 169353, 0, 4, 0, 0, 74, 0.540146
138, 169353, 0, 4, 0, 0, 74, 0.536232
139, 169353, 0, 8, 0, 0, 74, 0.532374
140, 169353, 0, 8, 0, 0, 74, 0.528571
141, 169353, 0, 3, 0, 0, 74, 0.524823
142, 169353, 0, 4, 0, 0, 74, 0.521127
143, 169353, 0, 1, 0, 0, 74, 0.517483
144, 169353, 0, 5, 0, 0, 74, 0.513889
145, 169353, 0, 7, 0, 0, 74, 0.510345
146, 169353, 0, 2, 0, 0, 74, 0.506849
147, 169353, 0, 1, 0, 0, 74, 0.503401
148, 169353, 0, 4, 0, 0, 74, 0.5
149, 169353, 0, 0, 0, 0, 74, 0.496644
150, 169353, 0, 0, 0, 0, 74, 0.493333
151, 169353, 0, 2, 0, 0, 74, 0.490066
152, 169353, 0, 5, 0, 0, 74, 0.486842
153, 169353, 0, 7, 0, 0, 74, 0.48366
154, 169353, 0, 4, 0, 0, 74, 0.480519
155, 169353, 0, 2, 0, 0, 74, 0.477419
156, 169353, 0, 6, 0, 0, 74, 0.474359
157, 0, 4, 6, 0, 0, 78, 0.496815
158, 131088, 2, 8, 0, 0, 80, 0.506329
159, 163857, 2, 8, 0, 0, 82, 0.515723
160, 163857, 0, 8, 0, 0, 82, 0.5125
161, 163857, 0, 0, 0, 0, 82, 0.509317
162, 163857, 0, 7, 0, 0, 82, 0.506173
163, 0, 4, 4, 0, 0, 86, 0.527607
164, 131328, 2, 3, 0, 0, 88, 0.536585
165, 132360, 2, 1, 0, 0, 90, 0.545455
166, 148746, 2, 4, 0, 0, 92, 0.554217
167, 148746, 0, 2, 0, 0, 92, 0.550898
168, 152970, 2, 6, 0, 0, 94, 0.559524
169, 0, 4, 7, 0, 0, 98, 0.579882
170, 131076, 2, 0, 0, 0, 100, 0.588235
171, 131076, 0, 5, 0, 0, 100, 0.584795
172, 131142, 2, 8, 0, 0, 102, 0.593023
173, 131142, 0, 1, 0, 0, 102, 0.589595
174, 149574, 2, 4, 0, 0, 104, 0.597701
175, 0, 4, 3, 0, 0, 108, 0.617143
176, 132096, 2, 4, 0, 0, 110, 0.625
177, 132384, 2, 8, 0, 0, 112, 0.632768
178, 132393, 2, 3, 0, 0, 114, 0.640449
179, 132393, 0, 5, 0, 0, 114, 0.636872
180, 0, 4, 3, 0, 0, 118, 0.655556
181, 132096, 2, 0, 0, 0, 120, 0.662983
182, 132096, 0, 4, 0, 0, 120, 0.659341
183, 140544, 2, 2, 0, 0, 122, 0.666667
184, 140544, 0, 0, 0, 0, 122, 0.663043
185, 140544, 0, 2, 0, 0, 122, 0.659459
186, 140544, 0, 6, 0, 0, 122, 0.655914
187, 140688, 2, 0, 0, 0, 124, 0.663102
188, 140688, 0, 5, 0, 0, 124, 0.659574
189, 140688, 0, 7, 0, 0, 124, 0.656085
190, 0, 1, 3, 0, 0, 125, 0.657895
191, 132096, 2, 2, 0, 0, 127, 0.664921
192, 136200, 2, 8, 0, 0, 129, 0.671875
193, 136233, 2, 2, 0, 0, 131, 0.678756
194, 136233, 0, 2, 0, 0, 131, 0.675258
195, 136233, 0, 2, 0, 0, 131, 0.671795
196, 136233, 0, 6, 0, 0, 131, 0.668367
197, 136233, 0, 1, 0, 0, 131, 0.664975
198, 153129, 2, 6, 0, 0, 133, 0.671717
199, 153129, 0, 1, 0, 0, 133, 0.668342
200, 153129, 0, 3, 0, 0, 133, 0.665
201, 153129, 0, 8, 0, 0, 133, 0.661692
202, 153129, 0, 3, 0, 0, 133, 0.658416
203, 153129, 0, 2, 0, 0, 133, 0.655172
204, 153129, 0, 8, 0, 0, 133, 0.651961
205, 153129, 0, 5, 0, 0, 133, 0.64878
206, 0, 4, 1, 0, 0, 137, 0.665049
207, 147456, 2, 3, 0, 0, 139, 0.671498
208, 148992, 2, 5, 0, 0, 141, 0.677885
209, 157248, 2, 2, 0, 0, 143, 0.684211
210, 157248, 0, 8, 0, 0, 143, 0.680952
211, 0, 1, 5, 0, 0, 144, 0.682464
212, 131136, 2, 7, 0, 0, 146, 0.688679
213, 133188, 2, 2, 0, 0, 148, 0.694836
214, 0, 1, 3, 0, 0, 149, 0.696262
215, 132096, 2, 2, 0, 0, 151, 0.702326
216, 168960, 2, 5, 0, 0, 153, 0.708333
217, 169032, 2, 8, 0, 0, 155, 0.714286
218, 0, 4, 6, 0, 0, 159, 0.729358
219, 131088, 2, 7, 0, 0, 161, 0.73516
220, 131094, 2, 6, 0, 0, 163, 0.740909
221, 131094, 0, 0, 0, 0, 163, 0.737557
222, 131094, 0, 5, 0, 0, 163, 0.734234
223, 0, 1, 2, 0, 0, 164, 0.735426
224, 135168, 2, 6, 0, 0, 166, 0.741071
225, 135186, 2, 4, 0, 0, 168, 0.746667
226, 0, 4, 0, 0, 0, 172, 0.761062
227, 65538, 2, 4, 0, 0, 174, 0.76652
228, 67842, 2, 4, 0, 0, 176, 0.77193
229, 67842, 0, 2, 0, 0, 176, 0.768559
230, 71946, 2, 7, 0, 0, 178, 0.773913
231, 71946, 0, 1, 0, 0, 178, 0.770563
232, 0, 4, 4, 0, 0, 182, 0.784483
233, 131328, 2, 4, 0, 0, 184, 0.7897
234, 131328, 0, 8, 0, 0, 184, 0.786325
235, 139521, 2, 0, 0, 0, 186, 0.791489
236, 139521, 0, 5, 0, 0, 186, 0.788136
237, 139593, 2, 8, 0, 0, 188, 0.793249
238, 139593, 0, 6, 0, 0, 188, 0.789916
239, 0, 1, 0, 0, 0, 189, 0.790795
240, 65568, 2, 6, 0, 0, 191, 0.795833
241, 65568, 0, 4, 0, 0, 191, 0.792531
242, 67872, 2, 0, 0, 0, 193, 0.797521
243, 67872, 0, 1, 0, 0, 193, 0.794239
244, 84258, 2, 1, 0, 0, 195, 0.79918
245, 84258, 0, 3, 0, 0, 195, 0.795918
246, 84258, 0, 1, 0, 0, 195, 0.792683
247, 84258, 0, 0, 0, 0, 195, 0.789474
248, 84258, 0, 7, 0, 0, 195, 0.78629
249, 0, 4, 2, 0, 0, 199, 0.799197
250, 135168, 2, 5, 0, 0, 201, 0.804
251, 135240, 2, 0, 0, 0, 203, 0.808765
252, 135240, 0, 0, 0, 0, 203, 0.805556
253, 135240, 0, 3, 0, 0, 203, 0.802372
254, 136776, 2, 8, 0, 0, 205, 0.807087
255, 0, 4, 4, 0, 0, 209, 0.819608
256, 131328, 2, 5, 0, 0, 211, 0.824219
257, 131424, 2, 4, 0, 0, 213, 0.828794
258, 131424, 0, 4, 0, 0, 213, 0.825581
259, 131424, 0, 3, 0, 0, 213, 0.822394
260, 0, 4, 5, 0, 0, 217, 0.834615
261, 131136, 2, 7, 0, 0, 219, 0.83908
262, 139332, 2, 6, 0, 0, 221, 0.843511
263, 0, 1, 3, 0, 0, 222, 0.844106
264, 132096, 2, 3, 0, 0, 224, 0.848485
265, 132096, 0, 2, 0, 0, 224, 0.845283
266, 136704, 2, 1, 0, 0, 226, 0.849624
267, 153216, 2, 7, 0, 0, 228, 0.853933
268, 153252, 2, 6, 0, 0, 230, 0.858209
269, 153252, 0, 8, 0, 0, 230, 0.855019
270, 0, 3, 6, 0, 0, 233, 0.862963
271, 131088, 2, 0, 0, 0, 235, 0.867159
272, 131088, 0, 6, 0, 0, 235, 0.863971
273, 131088, 0, 5, 0, 0, 235, 0.860806
274, 139344, 2, 2, 0, 0, 237, 0.864964
275, 139344, 0, 8, 0, 0, 237, 0.861818
276, 139857, 2, 3, 0, 0, 239, 0.865942
277, 140889, 2, 8, 0, 0, 241, 0.870036
278, 140889, 0, 3, 0, 0, 241, 0.866906
279, 140889, 0, 2, 0, 0, 241, 0.863799
280, 140889, 0, 2, 0, 0, 241, 0.860714
281, 140889, 0, 5, 0, 0, 241, 0.857651
282, 140889, 0, 8, 0, 0, 241, 0.85461
283, 140889, 0, 6, 0, 0, 241, 0.85159
284, 140889, 0, 0, 0, 0, 241, 0.848592
285, 140889, 0, 2, 0, 0, 241, 0.845614
286, 140889, 0, 1, 0, 0, 241, 0.842657
287, 0, 3, 5, 0, 0, 244, 0.850174
288, 131136, 2, 4, 0, 0, 246, 0.854167
289, 131424, 2, 7, 0, 0, 248, 0.858131
290, 164196, 2, 8, 0, 0, 250, 0.862069
291, 0, 1, 2, 0, 0, 251, 0.862543
292, 135168, 2, 1, 0, 0, 253, 0.866438
293, 152064, 2, 4, 0, 0, 255, 0.870307
294, 152064, 0, 8, 0, 0, 255, 0.867347
295, 152193, 2, 4, 0, 0, 257, 0.871186
296, 152193, 0, 4, 0, 0, 257, 0.868243
297, 152193, 0, 5, 0, 0, 257, 0.86532
298, 152193, 0, 2, 0, 0, 257, 0.862416
299, 152193, 0, 1, 0, 0, 257, 0.859532
300, 152193, 0, 4, 0, 0, 257, 0.856667
301, 152193, 0, 5, 0, 0, 257, 0.853821
302, 152193, 0, 5, 0, 0, 257, 0.850993
303, 152193, 0, 6, 0, 0, 257, 0.848185
304, 0, 1, 5, 0, 0, 258, 0.848684
305, 131136, 2, 6, 0, 0, 260, 0.852459
306, 133200, 2, 2, 0, 0, 262, 0.856209
307, 137808, 2, 6, 0, 0, 264, 0.859935
308, 137808, 0, 0, 0, 0, 264, 0.857143
309, 137808, 0, 4, 0, 0, 264, 0.854369
310, 137808, 0, 8, 0, 0, 264, 0.851613
311, 0, 4, 4, 0, 0, 268, 0.861736
312, 131328, 2, 6, 0, 0, 270, 0.865385
313, 131472, 2, 7, 0, 0, 272, 0.86901
314, 164244, 2, 7, 0, 0, 274, 0.872611
315, 164244, 0, 3, 0, 0, 274, 0.869841
316, 165270, 2, 8, 0, 0, 276, 0.873418
317, 165270, 0, 5, 0, 0, 276, 0.870662
318, 165270, 0, 3, 0, 0, 276, 0.867925
319, 165270, 0, 4, 0, 0, 276, 0.865204
320, 165270, 0, 0, 0, 0, 276, 0.8625
321, 165270, 0, 2, 0, 0, 276, 0.859813
322, 0, 4, 2, 0, 0, 280, 0.869565
323, 135168, 2, 1, 0, 0, 282, 0.873065
324, 151680, 2, 3, 0, 0, 284, 0.876543
325, 152736, 2, 7, 0, 0, 286, 0.88
326, 152742, 2, 5, 0, 0, 288, 0.883436
327, 152742, 0, 2, 0, 0, 288, 0.880734
328, 152742, 0, 5, 0, 0, 288, 0.878049
329, 152742, 0, 5, 0, 0, 288, 0.87538
330, 152742, 0, 2, 0, 0, 288, 0.872727
331, 152742, 0, 4, 0, 0, 288, 0.870091
332, 0, 4, 5, 0, 0, 292, 0.879518
333, 131136, 2, 3, 0, 0, 294, 0.882883
334, 132672, 2, 4, 0, 0, 296, 0.886228
335, 132672, 0, 3, 0, 0, 296, 0.883582
336, 132672, 0, 1, 0, 0, 296, 0.880952
337, 149064, 2, 3, 0, 0, 298, 0.884273
338, 149064, 0, 7, 0, 0, 298, 0.881657
339, 149064, 0, 0, 0, 0, 298, 0.879056
340, 149064, 0, 2, 0, 0, 298, 0.876471
341, 153192, 2, 5, 0, 0, 300, 0.879765
342, 153192, 0, 7, 0, 0, 300, 0.877193
343, 153192, 0, 6, 0, 0, 300, 0.874636
344, 153192, 0, 1, 0, 0, 300, 0.872093
345, 153192, 0, 5, 0, 0, 300, 0.869565
346, 153192, 0, 4, 0, 0, 300, 0.867052
347, 153192, 0, 4, 0, 0, 300, 0.864553
348, 153192, 0, 2, 0, 0, 300, 0.862069
349, 153192, 0, 2, 0, 0, 300, 0.859599
350, 153192, 0, 7, 0, 0, 300, 0.857143
351, 153192, 0, 8, 0, 0, 300, 0.854701
352, 0, 4, 6, 0, 0, 304, 0.863636
353, 131088, 2, 1, 0, 0, 306, 0.866856
354, 147600, 2, 2, 0, 0, 308, 0.870056
355, 151698, 2, 1, 0, 0, 310, 0.873239
356, 151698, 0, 0, 0, 0, 310, 0.870787
357, 151698, 0, 1, 0, 0, 310, 0.868347
358, 151698, 0, 5, 0, 0, 310, 0.865922
359, 151698, 0, 7, 0, 0, 310, 0.86351
360, 153750, 2, 3, 0, 0, 312, 0.866667
361, 153750, 0, 1, 0, 0, 312, 0.864266
362, 153750, 0, 1, 0, 0, 312, 0.861878
