cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32537, 0, 3, 0, 0.1, 0, 0
2, 29962, 1011, 3, 0, 0.1, 1011, 505.5
3, 29962, 1011, 1, 0, 0.1, 2022, 674
4, 29962, 1011, 1, 0, 0.1, 3033, 758.25
5, 29962, 1011, 2, 0, 0.1, 4044, 808.8
6, 30472, 991, 2, 0, 0.1, 5035, 839.167
7, 29962, 991, 0, 0, 0.1, 6026, 860.857
8, 30472, 1001, 3, 0, 0.1, 7027, 878.375
9, 30472, 1011, 0, 1, 0.1, 8038, 893.111
10, 29962, 1001, 0, 0, 0.1, 9039, 903.9
11, 30472, 991, 0, 0, 0.1, 10030, 911.818
12, 29962, 991, 2, 0, 0.1, 11021, 918.417
13, 30472, 1001, 0, 0, 0.1, 12022, 924.769
14, 29962, 1001, 0, 0, 0.1, 13023, 930.214
15, 32002, 991, 3, 0, 0.1, 14014, 934.267
16, 30725, 991, 0, 1, 0.1, 15005, 937.812
17, 30725, 1011, 1, 0, 0.1, 16016, 942.118
18, 32002, 1001, 1, 1, 0.1, 17017, 945.389
19, 32002, 1011, 2, 0, 0.1, 18028, 948.842
20, 29962, 1001, 0, 0, 0.1, 19029, 951.45
21, 32002, 1001, 3, 0, 0.1, 20030, 953.81
22, 30725, 1001, 1, 0, 0.1, 21031, 955.955
23, 32002, 1001, 3, 0, 0.1, 22032, 957.913
24, 30725, 1001, 1, 0, 0.1, 23033, 959.708
25, 32002, 1001, 1, 0, 0.1, 24034, 961.36
26, 32002, 1011, 3, 0, 0.1, 25045, 963.269
27, 30725, 1001, 3, 0, 0.1, 26046, 964.667
28, 31745, 991, 2, 0, 0.1, 27037, 965.607
29, 29706, 991, 3, 1, 0.1, 28028, 966.483
30, 29706, 1011, 2, 1, 0.1, 29039, 967.967
31, 29706, 991, 2, 0, 0.1, 30030, 968.71
32, 29706, 991, 0, 0, 0.1, 31021, 969.406
33, 29706, 1001, 3, 0, 0.1, 32022, 970.364
34, 29706, 1011, 1, 0, 0.1, 33033, 971.559
35, 29706, 1011, 0, 0, 0.1, 34044, 972.686
36, 29706, 1001, 2, 0, 0.1, 35045, 973.472
37, 29706, 1001, 2, 1, 0.1, 36046, 974.216
38, 29706, 1001, 1, 0, 0.1, 37047, 974.921
39, 29706, 1011, 3, 0, 0.1, 38058, 975.846
40, 29706, 1011, 1, 0, 0.1, 39069, 976.725
41, 29706, 1011, 0, 0, 0.1, 40080, 977.561
42, 29706, 1001, 0, 1, 0.1, 41081, 978.119
43, 29706, 1001, 2, 0, 0.1, 42082, 978.651
44, 29706, 1001, 2, 0, 0.1, 43083, 979.159
45, 29706, 1001, 0, 0, 0.1, 44084, 979.644
46, 29706, 1001, 2, 0, 0.1, 45085, 980.109
47, 29706, 1001, 2, 0, 0.1, 46086, 980.553
48, 29706, 991, 2, 0, 0.1, 47077, 980.771
49, 29706, 991, 3, 0, 0.1, 48068, 980.98
50, 29706, 1011, 0, 0, 0.1, 49079, 981.58
51, 29706, 1001, 3, 0, 0.1, 50080, 981.961
52, 29706, 1011, 2, 0, 0.1, 51091, 982.519
53, 29706, 1001, 3, 0, 0.1, 52092, 982.868
54, 29706, 1011, 2, 0, 0.1, 53103, 983.389
55, 31236, 991, 0, 0, 0.1, 54094, 983.527
56, 28682, 1001, 2, 0, 0.1, 55095, 983.839
57, 31236, 1001, 0, 0, 0.1, 56096, 984.14
58, 28682, 1001, 0, 1, 0.1, 57097, 984.431
59, 24586, 1001, 2, 0, 0.1, 58098, 984.712
60, 28682, 1001, 0, 0, 0.1, 59099, 984.983
61, 24586, 1001, 0, 0, 0.1, 60100, 985.246
62, 16394, 1001, 1, 1, 0.1, 61101, 985.5
63, 16394, 1011, 1, 0, 0.1, 62112, 985.905
64, 16394, 1011, 0, 1, 0.1, 63123, 986.297
65, 24586, 1001, 2, 0, 0.1, 64124, 986.523
66, 16394, 1001, 2, 0, 0.1, 65125, 986.742
67, 24586, 1001, 1, 0, 0.1, 66126, 986.955
68, 24586, 1011, 0, 0, 0.1, 67137, 987.309
69, 16394, 1001, 2, 0, 0.1, 68138, 987.507
70, 24586, 1001, 0, 0, 0.1, 69139, 987.7
71, 16394, 1001, 2, 0, 0.1, 70140, 987.887
72, 24586, 1001, 1, 0, 0.1, 71141, 988.069
73, 24586, 1011, 0, 0, 0.1, 72152, 988.384
74, 16394, 1001, 2, 0, 0.1, 73153, 988.554
75, 24586, 1001, 2, 0, 0.1, 74154, 988.72
76, 28682, 1001, 1, 0, 0.1, 75155, 988.882
77, 28682, 1011, 0, 0, 0.1, 76166, 989.169
78, 24586, 1001, 1, 0, 0.1, 77167, 989.321
79, 24586, 1011, 2, 0, 0.1, 78178, 989.595
80, 28682, 1001, 2, 0, 0.1, 79179, 989.737
81, 31236, 1001, 3, 0, 0.1, 80180, 989.877
82, 31237, 991, 1, 0, 0.1, 81171, 989.89
83, 31236, 1001, 2, 0, 0.1, 82172, 990.024
84, 31236, 1011, 0, 0, 0.1, 83183, 990.274
85, 28682, 1001, 1, 0, 0.1, 84184, 990.4
86, 28682, 1011, 1, 0, 0.1, 85195, 990.64
87, 28682, 1011, 1, 0, 0.1, 86206, 990.874
88, 28682, 1011, 1, 0, 0.1, 87217, 991.102
89, 28682, 1011, 1, 0, 0.1, 88228, 991.326
90, 28682, 1011, 2, 0, 0.1, 89239, 991.544
