cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32669, 0, 1, 1, 1, 0, 0
2, 29962, 1011, 3, 0, 0.95, 1011, 505.5
3, 29962, 1011, 3, 1, 0.9025, 2022, 674
4, 29962, 1011, 2, 1, 0.857375, 3033, 758.25
5, 30472, 991, 3, 1, 0.814506, 4024, 804.8
6, 30472, 1011, 3, 1, 0.773781, 5035, 839.167
7, 30472, 1011, 3, 1, 0.735092, 6046, 863.714
8, 30472, 1011, 0, 1, 0.698337, 7057, 882.125
9, 29962, 1001, 1, 1, 0.66342, 8058, 895.333
10, 29962, 1011, 1, 1, 0.630249, 9069, 906.9
11, 29962, 1011, 1, 0, 0.598737, 10080, 916.364
12, 29962, 1011, 3, 0, 0.5688, 11091, 924.25
13, 29962, 1011, 3, 0, 0.54036, 12102, 930.923
14, 29978, 1011, 3, 0, 0.513342, 13113, 936.643
15, 29978, 1011, 1, 1, 0.487675, 14124, 941.6
16, 29978, 1011, 3, 0, 0.463291, 15135, 945.938
17, 29962, 961, 0, 0, 0.440127, 16096, 946.824
18, 30472, 991, 2, 0, 0.41812, 17087, 949.278
19, 29962, 1001, 0, 1, 0.397214, 18088, 952
20, 30472, 1001, 2, 0, 0.377354, 19089, 954.45
21, 29962, 1001, 0, 1, 0.358486, 20090, 956.667
22, 30472, 1001, 3, 0, 0.340562, 21091, 958.682
23, 30472, 1011, 2, 0, 0.323534, 22102, 960.957
24, 29962, 1001, 3, 0, 0.307357, 23103, 962.625
25, 29962, 1011, 2, 1, 0.291989, 24114, 964.56
26, 30472, 991, 0, 0, 0.27739, 25105, 965.577
27, 29962, 1001, 1, 1, 0.26352, 26106, 966.889
28, 29962, 1011, 3, 0, 0.250344, 27117, 968.464
29, 29962, 1011, 2, 0, 0.237827, 28128, 969.931
30, 30472, 1001, 2, 0, 0.225936, 29129, 970.967
31, 29962, 991, 3, 1, 0.214639, 30120, 971.613
32, 29962, 1011, 1, 0, 0.203907, 31131, 972.844
33, 29962, 1011, 1, 0, 0.193711, 32142, 974
34, 29962, 1011, 0, 0, 0.184026, 33153, 975.088
35, 30472, 1001, 3, 1, 0.174825, 34154, 975.829
