cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32584, 0, 3, 0, 0, 0, 0
2, 29962, 1011, 1, 0, 0, 1011, 505.5
3, 29962, 1011, 1, 0, 0, 2022, 674
4, 29962, 1011, 1, 0, 0, 3033, 758.25
5, 29962, 1011, 1, 0, 0, 4044, 808.8
6, 29962, 1011, 3, 0, 0, 5055, 842.5
7, 29962, 1011, 3, 0, 0, 6066, 866.571
8, 29962, 1011, 0, 0, 0, 7077, 884.625
9, 30472, 991, 1, 0, 0, 8068, 896.444
10, 29189, 991, 3, 0, 0, 9059, 905.9
11, 30472, 1001, 1, 0, 0, 10060, 914.545
12, 29189, 1001, 0, 0, 0, 11061, 921.75
13, 29189, 1011, 3, 0, 0, 12072, 928.615
14, 30472, 1001, 1, 0, 0, 13073, 933.786
15, 29189, 1001, 3, 0, 0, 14074, 938.267
16, 30472, 1001, 0, 0, 0, 15075, 942.188
17, 29962, 991, 0, 0, 0, 16066, 945.059
18, 32002, 991, 0, 0, 0, 17057, 947.611
19, 29962, 991, 3, 0, 0, 18048, 949.895
20, 29962, 1011, 3, 0, 0, 19059, 952.95
21, 29962, 1011, 3, 0, 0, 20070, 955.714
22, 29962, 1011, 2, 0, 0, 21081, 958.227
23, 32002, 1001, 1, 0, 0, 22082, 960.087
24, 32002, 1011, 1, 0, 0, 23093, 962.208
25, 32002, 1011, 2, 0, 0, 24104, 964.16
26, 29962, 1001, 0, 0, 0, 25105, 965.577
27, 32002, 1001, 0, 0, 0, 26106, 966.889
28, 29962, 1001, 3, 0, 0, 27107, 968.107
29, 29962, 1011, 1, 0, 0, 28118, 969.586
30, 29962, 1011, 0, 0, 0, 29129, 970.967
31, 32512, 991, 0, 0, 0, 30120, 971.613
32, 29962, 991, 2, 0, 0, 31111, 972.219
33, 32512, 1001, 2, 0, 0, 32112, 973.091
34, 29962, 1001, 0, 0, 0, 33113, 973.912
35, 32512, 1001, 3, 0, 0, 34114, 974.686
36, 31237, 991, 0, 0, 0, 35105, 975.139
