cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32725, 0, 0, 0, 0.05, 0, 0
2, 30472, 127, 3, 0, 0.05, 127, 127
3, 30472, 117, 1, 0, 0.05, 244, 122
4, 28677, 137, 3, 0, 0.05, 381, 127
5, 29960, 127, 1, 0, 0.05, 508, 127
6, 28677, 127, 0, 0, 0.05, 635, 127
7, 28677, 117, 1, 0, 0.05, 752, 125.333
8, 29954, 127, 0, 0, 0.05, 879, 125.571
9, 29962, 127, 3, 0, 0.05, 1006, 125.75
10, 29962, 117, 1, 0, 0.05, 1123, 124.778
11, 29962, 117, 3, 0, 0.05, 1240, 124
12, 29962, 117, 2, 0, 0.05, 1357, 123.364
13, 29954, 127, 0, 0, 0.05, 1484, 123.667
14, 29962, 127, 1, 0, 0.05, 1611, 123.923
15, 29962, 117, 0, 0, 0.05, 1728, 123.429
16, 30472, 137, 1, 0, 0.05, 1865, 124.333
17, 29189, 127, 2, 0, 0.05, 1992, 124.5
18, 29189, 117, 2, 0, 0.05, 2109, 124.059
19, 29189, 117, 2, 0, 0.05, 2226, 123.667
20, 29189, 117, 3, 0, 0.05, 2343, 123.316
21, 30472, 127, 2, 0, 0.05, 2470, 123.5
22, 29962, 127, 1, 0, 0.05, 2597, 123.667
23, 29962, 117, 3, 0, 0.05, 2714, 123.364
24, 29962, 117, 2, 0, 0.05, 2831, 123.087
25, 29954, 127, 1, 0, 0.05, 2958, 123.25
26, 29954, 117, 1, 0, 0.05, 3075, 123
27, 29954, 117, 2, 0, 0.05, 3192, 122.769
28, 29962, 137, 2, 0, 0.05, 3329, 123.296
29, 32002, 137, 3, 0, 0.05, 3466, 123.786
30, 30725, 137, 3, 0, 0.05, 3603, 124.241
31, 29960, 137, 3, 0, 0.05, 3740, 124.667
32, 29960, 117, 2, 0, 0.05, 3857, 124.419
33, 29962, 137, 3, 0, 0.05, 3994, 124.812
34, 29962, 117, 2, 0, 0.05, 4111, 124.576
35, 27906, 137, 0, 0, 0.05, 4248, 124.941
36, 17674, 127, 0, 0, 0.05, 4375, 125
37, 25864, 127, 2, 1, 0.05, 4502, 125.056
38, 17674, 127, 0, 0, 0.05, 4629, 125.108
39, 25864, 127, 0, 0, 0.05, 4756, 125.158
40, 29962, 127, 3, 0, 0.05, 4883, 125.205
41, 29962, 117, 0, 0, 0.05, 5000, 125
42, 29960, 127, 3, 0, 0.05, 5127, 125.049
43, 29976, 117, 2, 0, 0.05, 5244, 124.857
44, 29978, 127, 1, 0, 0.05, 5371, 124.907
45, 29978, 117, 3, 0, 0.05, 5488, 124.727
46, 29962, 67, 3, 0, 0.05, 5555, 123.444
47, 29962, 117, 0, 0, 0.05, 5672, 123.304
48, 30472, 127, 3, 0, 0.05, 5799, 123.383
49, 30472, 117, 3, 0, 0.05, 5916, 123.25
50, 30472, 117, 2, 0, 0.05, 6033, 123.122
51, 29962, 127, 0, 0, 0.05, 6160, 123.2
52, 30472, 127, 2, 0, 0.05, 6287, 123.275
53, 29962, 127, 0, 0, 0.05, 6414, 123.346
54, 30472, 127, 0, 0, 0.05, 6541, 123.415
55, 29962, 127, 1, 0, 0.05, 6668, 123.481
56, 29962, 117, 0, 0, 0.05, 6785, 123.364
57, 27650, 137, 0, 0, 0.05, 6922, 123.607
58, 29706, 127, 0, 0, 0.05, 7049, 123.667
59, 32256, 127, 1, 0, 0.05, 7176, 123.724
60, 31237, 127, 3, 1, 0.05, 7303, 123.78
61, 32256, 127, 2, 0, 0.05, 7430, 123.833
62, 29706, 127, 2, 0, 0.05, 7557, 123.885
63, 27650, 127, 0, 0, 0.05, 7684, 123.935
64, 29706, 127, 3, 0, 0.05, 7811, 123.984
65, 29706, 117, 1, 0, 0.05, 7928, 123.875
66, 29706, 117, 2, 0, 0.05, 8045, 123.769
67, 27650, 127, 0, 0, 0.05, 8172, 123.818
68, 29706, 127, 1, 0, 0.05, 8299, 123.866
69, 29706, 117, 3, 0, 0.05, 8416, 123.765
70, 29706, 117, 1, 0, 0.05, 8533, 123.667
71, 29706, 117, 1, 0, 0.05, 8650, 123.571
72, 29706, 117, 3, 0, 0.05, 8767, 123.479
73, 29706, 117, 2, 0, 0.05, 8884, 123.389
74, 27650, 127, 2, 0, 0.05, 9011, 123.438
75, 29706, 127, 3, 0, 0.05, 9138, 123.486
76, 29706, 117, 2, 0, 0.05, 9255, 123.4
77, 30216, 127, 3, 0, 0.05, 9382, 123.447
78, 30216, 117, 1, 0, 0.05, 9499, 123.364
79, 28677, 137, 2, 0, 0.05, 9636, 123.538
80, 28677, 117, 3, 0, 0.05, 9753, 123.456
81, 25608, 127, 0, 0, 0.05, 9880, 123.5
82, 17418, 127, 2, 0, 0.05, 10007, 123.543
83, 25608, 127, 2, 0, 0.05, 10134, 123.585
84, 29706, 127, 0, 0, 0.05, 10261, 123.627
85, 25608, 127, 2, 0, 0.05, 10388, 123.667
86, 29706, 127, 3, 0, 0.05, 10515, 123.706
87, 29706, 117, 2, 0, 0.05, 10632, 123.628
88, 30216, 127, 3, 0, 0.05, 10759, 123.667
89, 30216, 117, 1, 0, 0.05, 10876, 123.591
90, 24581, 137, 1, 0, 0.05, 11013, 123.742
91, 25858, 127, 0, 0, 0.05, 11140, 123.778
