cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 3, 1, 0.9999, 0, 0
2, 29962, 117, 2, 1, 0.99989, 117, 117
3, 30472, 127, 0, 1, 0.99988, 244, 122
4, 29962, 127, 0, 1, 0.99987, 371, 123.667
5, 30472, 137, 1, 1, 0.99986, 508, 127
6, 24581, 137, 1, 1, 0.99985, 645, 129
7, 29954, 127, 1, 1, 0.99984, 772, 128.667
8, 29954, 117, 3, 1, 0.99983, 889, 127
9, 24581, 127, 0, 1, 0.99982, 1016, 127
10, 24581, 117, 1, 1, 0.99981, 1133, 125.889
11, 29954, 127, 3, 1, 0.9998, 1260, 126
12, 24581, 127, 0, 1, 0.99979, 1387, 126.091
13, 24581, 117, 1, 1, 0.99978, 1504, 125.333
14, 29954, 127, 2, 1, 0.99977, 1631, 125.462
15, 29962, 127, 3, 1, 0.99976, 1758, 125.571
16, 29962, 117, 1, 1, 0.99975, 1875, 125
17, 29962, 117, 0, 1, 0.99974, 1992, 124.5
18, 29954, 127, 1, 1, 0.99973, 2119, 124.647
19, 29954, 117, 3, 1, 0.99972, 2236, 124.222
20, 24581, 127, 3, 1, 0.99971, 2363, 124.368
21, 29976, 127, 0, 1, 0.9997, 2490, 124.5
22, 30026, 77, 2, 1, 0.99969, 2567, 122.238
23, 30472, 127, 0, 1, 0.99968, 2694, 122.455
24, 29962, 127, 0, 1, 0.99967, 2821, 122.652
25, 25864, 137, 3, 1, 0.99966, 2958, 123.25
26, 25864, 117, 3, 1, 0.99965, 3075, 123
27, 25864, 117, 3, 1, 0.99964, 3192, 122.769
28, 25864, 117, 1, 1, 0.99963, 3309, 122.556
29, 28677, 127, 1, 1, 0.99962, 3436, 122.714
30, 29954, 127, 1, 1, 0.99961, 3563, 122.862
31, 29954, 117, 0, 1, 0.9996, 3680, 122.667
32, 29962, 137, 1, 1, 0.99959, 3817, 123.129
33, 29962, 117, 3, 1, 0.99958, 3934, 122.938
34, 29962, 117, 0, 1, 0.99957, 4051, 122.758
35, 30472, 127, 0, 1, 0.99956, 4178, 122.882
36, 29706, 137, 1, 1, 0.99955, 4315, 123.286
37, 29706, 117, 3, 1, 0.99954, 4432, 123.111
38, 29706, 117, 2, 1, 0.99953, 4549, 122.946
39, 30216, 127, 2, 1, 0.99952, 4676, 123.053
40, 29722, 127, 3, 1, 0.99951, 4803, 123.154
41, 29722, 117, 1, 1, 0.9995, 4920, 123
42, 29722, 117, 2, 1, 0.99949, 5037, 122.854
43, 29714, 127, 0, 1, 0.99948, 5164, 122.952
44, 29770, 77, 2, 1, 0.99947, 5241, 121.884
45, 30472, 127, 1, 1, 0.99946, 5368, 122
46, 29189, 127, 0, 1, 0.99945, 5495, 122.111
47, 29189, 117, 2, 1, 0.99944, 5612, 122
48, 29189, 117, 1, 1, 0.99943, 5729, 121.894
49, 29954, 137, 1, 1, 0.99942, 5866, 122.208
50, 29954, 117, 1, 1, 0.99941, 5983, 122.102
51, 29954, 117, 2, 1, 0.9994, 6100, 122
52, 29962, 127, 3, 1, 0.99939, 6227, 122.098
53, 29962, 117, 0, 1, 0.99938, 6344, 122
54, 29954, 127, 0, 1, 0.99937, 6471, 122.094
55, 29962, 137, 2, 1, 0.99936, 6608, 122.37
56, 29954, 127, 3, 1, 0.99935, 6735, 122.455
57, 28677, 127, 0, 1, 0.99934, 6862, 122.536
58, 28677, 117, 2, 1, 0.99933, 6979, 122.439
59, 28677, 117, 3, 1, 0.99932, 7096, 122.345
60, 29960, 127, 2, 1, 0.99931, 7223, 122.424
61, 29962, 137, 1, 1, 0.9993, 7360, 122.667
62, 29962, 117, 3, 1, 0.99929, 7477, 122.574
63, 29962, 117, 2, 1, 0.99928, 7594, 122.484
