cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0.1, 1, 1
2, 0, 0, 1, 0, 0.1, 1, 0.5
3, 0, 0, 1, 0, 0.1, 1, 0.333333
4, 0, 0, 0, 0, 0.1, 1, 0.25
5, 0, 1, 1, 0, 0.1, 2, 0.4
6, 0, 0, 0, 0, 0.1, 2, 0.333333
7, 0, 1, 1, 0, 0.1, 3, 0.428571
8, 0, 0, 0, 0, 0.1, 3, 0.375
9, 0, 1, 0, 0, 0.1, 4, 0.444444
10, 0, 0, 0, 0, 0.1, 4, 0.4
11, 0, 0, 1, 0, 0.1, 4, 0.363636
12, 0, 0, 0, 0, 0.1, 4, 0.333333
13, 0, 0, 1, 0, 0.1, 4, 0.307692
14, 0, 0, 0, 0, 0.1, 4, 0.285714
15, 0, 0, 1, 0, 0.1, 4, 0.266667
16, 0, 0, 0, 0, 0.1, 4, 0.25
17, 0, 0, 0, 0, 0.1, 4, 0.235294
18, 0, 0, 0, 0, 0.1, 4, 0.222222
19, 0, 0, 1, 0, 0.1, 4, 0.210526
20, 0, 0, 0, 0, 0.1, 4, 0.2
21, 0, 0, 1, 0, 0.1, 4, 0.190476
22, 0, 0, 1, 0, 0.1, 4, 0.181818
23, 0, 1, 1, 0, 0.1, 5, 0.217391
24, 0, 0, 1, 0, 0.1, 5, 0.208333
25, 0, 0, 1, 1, 0.1, 5, 0.2
26, 0, 0, 0, 0, 0.1, 5, 0.192308
27, 0, 1, 0, 1, 0.1, 6, 0.222222
28, 0, 0, 0, 0, 0.1, 6, 0.214286
29, 0, 0, 0, 0, 0.1, 6, 0.206897
30, 0, 0, 1, 0, 0.1, 6, 0.2
31, 0, 0, 0, 0, 0.1, 6, 0.193548
32, 0, 0, 0, 0, 0.1, 6, 0.1875
33, 0, 0, 0, 0, 0.1, 6, 0.181818
34, 0, 0, 1, 0, 0.1, 6, 0.176471
35, 0, 0, 1, 0, 0.1, 6, 0.171429
36, 0, 1, 1, 0, 0.1, 7, 0.194444
37, 0, 0, 1, 0, 0.1, 7, 0.189189
38, 0, 0, 0, 0, 0.1, 7, 0.184211
39, 0, 1, 0, 0, 0.1, 8, 0.205128
40, 0, 0, 0, 1, 0.1, 8, 0.2
41, 0, 0, 0, 0, 0.1, 8, 0.195122
42, 0, 0, 0, 0, 0.1, 8, 0.190476
43, 0, 0, 1, 0, 0.1, 8, 0.186047
44, 0, 0, 0, 0, 0.1, 8, 0.181818
45, 0, 0, 0, 0, 0.1, 8, 0.177778
46, 0, 0, 1, 0, 0.1, 8, 0.173913
47, 0, 0, 0, 0, 0.1, 8, 0.170213
48, 0, 0, 1, 0, 0.1, 8, 0.166667
49, 0, 0, 1, 0, 0.1, 8, 0.163265
50, 0, 1, 1, 0, 0.1, 9, 0.18
51, 0, 0, 0, 0, 0.1, 9, 0.176471
52, 0, 1, 0, 0, 0.1, 10, 0.192308
53, 0, 0, 1, 0, 0.1, 10, 0.188679
54, 0, 1, 0, 0, 0.1, 11, 0.203704
55, 0, 0, 1, 0, 0.1, 11, 0.2
56, 0, 1, 1, 0, 0.1, 12, 0.214286
57, 0, 0, 0, 0, 0.1, 12, 0.210526
58, 0, 1, 0, 0, 0.1, 13, 0.224138
59, 0, 0, 1, 0, 0.1, 13, 0.220339
60, 0, 1, 0, 0, 0.1, 14, 0.233333
61, 0, 0, 1, 0, 0.1, 14, 0.229508
62, 0, 1, 0, 0, 0.1, 15, 0.241935
63, 0, 0, 1, 0, 0.1, 15, 0.238095
64, 0, 1, 0, 0, 0.1, 16, 0.25
65, 0, 0, 1, 0, 0.1, 16, 0.246154
66, 0, 1, 0, 1, 0.1, 17, 0.257576
67, 0, 0, 1, 0, 0.1, 17, 0.253731
68, 0, 1, 0, 0, 0.1, 18, 0.264706
69, 0, 0, 1, 0, 0.1, 18, 0.26087
70, 0, 1, 1, 0, 0.1, 19, 0.271429
71, 0, 0, 1, 0, 0.1, 19, 0.267606
72, 0, 0, 1, 0, 0.1, 19, 0.263889
73, 0, 0, 1, 0, 0.1, 19, 0.260274
74, 0, 0, 1, 0, 0.1, 19, 0.256757
75, 0, 0, 1, 0, 0.1, 19, 0.253333
76, 0, 0, 1, 0, 0.1, 19, 0.25
77, 0, 0, 1, 0, 0.1, 19, 0.246753
78, 0, 0, 1, 1, 0.1, 19, 0.24359
79, 0, 0, 1, 0, 0.1, 19, 0.240506
80, 0, 0, 1, 1, 0.1, 19, 0.2375
81, 0, 0, 1, 0, 0.1, 19, 0.234568
82, 0, 0, 1, 0, 0.1, 19, 0.231707
83, 0, 0, 1, 0, 0.1, 19, 0.228916
84, 0, 0, 1, 0, 0.1, 19, 0.22619
85, 0, 0, 0, 0, 0.1, 19, 0.223529
86, 0, 1, 0, 0, 0.1, 20, 0.232558
87, 0, 0, 1, 0, 0.1, 20, 0.229885
88, 0, 1, 0, 0, 0.1, 21, 0.238636
89, 0, 0, 1, 0, 0.1, 21, 0.235955
90, 0, 1, 0, 0, 0.1, 22, 0.244444
91, 0, 0, 1, 0, 0.1, 22, 0.241758
92, 0, 1, 0, 1, 0.1, 23, 0.25
93, 0, 0, 0, 0, 0.1, 23, 0.247312
94, 0, 0, 1, 0, 0.1, 23, 0.244681
95, 0, 0, 0, 0, 0.1, 23, 0.242105
96, 0, 0, 1, 0, 0.1, 23, 0.239583
97, 0, 0, 1, 0, 0.1, 23, 0.237113
98, 0, 1, 0, 0, 0.1, 24, 0.244898
99, 0, 0, 1, 0, 0.1, 24, 0.242424
100, 0, 1, 0, 0, 0.1, 25, 0.25
101, 0, 0, 1, 0, 0.1, 25, 0.247525
102, 0, 1, 0, 1, 0.1, 26, 0.254902
103, 0, 0, 1, 0, 0.1, 26, 0.252427
104, 0, 1, 0, 0, 0.1, 27, 0.259615
105, 0, 0, 1, 0, 0.1, 27, 0.257143
106, 0, 1, 0, 0, 0.1, 28, 0.264151
107, 0, 0, 1, 0, 0.1, 28, 0.261682
108, 0, 1, 0, 0, 0.1, 29, 0.268519
109, 0, 0, 1, 0, 0.1, 29, 0.266055
110, 0, 1, 0, 0, 0.1, 30, 0.272727
111, 0, 0, 1, 0, 0.1, 30, 0.27027
112, 0, 1, 0, 0, 0.1, 31, 0.276786
113, 0, 0, 1, 0, 0.1, 31, 0.274336
114, 0, 1, 0, 0, 0.1, 32, 0.280702
115, 0, 0, 1, 0, 0.1, 32, 0.278261
116, 0, 1, 0, 0, 0.1, 33, 0.284483
117, 0, 0, 1, 0, 0.1, 33, 0.282051
118, 0, 1, 0, 0, 0.1, 34, 0.288136
119, 0, 0, 1, 0, 0.1, 34, 0.285714
120, 0, 1, 0, 0, 0.1, 35, 0.291667
121, 0, 0, 1, 0, 0.1, 35, 0.289256
122, 0, 1, 0, 0, 0.1, 36, 0.295082
123, 0, 0, 1, 0, 0.1, 36, 0.292683
124, 0, 1, 0, 0, 0.1, 37, 0.298387
125, 0, 0, 1, 1, 0.1, 37, 0.296
126, 0, 1, 0, 0, 0.1, 38, 0.301587
127, 0, 0, 1, 0, 0.1, 38, 0.299213
128, 0, 1, 0, 0, 0.1, 39, 0.304688
129, 0, 0, 1, 0, 0.1, 39, 0.302326
130, 0, 1, 1, 1, 0.1, 40, 0.307692
131, 0, 0, 1, 0, 0.1, 40, 0.305344
132, 0, 0, 1, 0, 0.1, 40, 0.30303
133, 0, 0, 1, 0, 0.1, 40, 0.300752
134, 0, 0, 1, 0, 0.1, 40, 0.298507
135, 0, 0, 1, 0, 0.1, 40, 0.296296
136, 0, 0, 1, 0, 0.1, 40, 0.294118
137, 0, 0, 1, 0, 0.1, 40, 0.291971
138, 0, 0, 1, 0, 0.1, 40, 0.289855
139, 0, 0, 1, 0, 0.1, 40, 0.28777
140, 0, 0, 1, 0, 0.1, 40, 0.285714
141, 0, 0, 1, 0, 0.1, 40, 0.283688
142, 0, 0, 1, 0, 0.1, 40, 0.28169
143, 0, 0, 1, 0, 0.1, 40, 0.27972
144, 0, 0, 1, 0, 0.1, 40, 0.277778
145, 0, 0, 1, 0, 0.1, 40, 0.275862
146, 0, 0, 1, 0, 0.1, 40, 0.273973
147, 0, 0, 1, 0, 0.1, 40, 0.272109
148, 0, 0, 1, 0, 0.1, 40, 0.27027
149, 0, 0, 1, 0, 0.1, 40, 0.268456
150, 0, 0, 1, 0, 0.1, 40, 0.266667
151, 0, 0, 1, 0, 0.1, 40, 0.264901
152, 0, 0, 1, 0, 0.1, 40, 0.263158
153, 0, 0, 1, 0, 0.1, 40, 0.261438
154, 0, 0, 1, 0, 0.1, 40, 0.25974
155, 0, 0, 1, 0, 0.1, 40, 0.258065
156, 0, 0, 1, 0, 0.1, 40, 0.25641
157, 0, 0, 1, 0, 0.1, 40, 0.254777
158, 0, 0, 1, 0, 0.1, 40, 0.253165
159, 0, 0, 1, 0, 0.1, 40, 0.251572
160, 0, 0, 1, 0, 0.1, 40, 0.25
161, 0, 0, 1, 0, 0.1, 40, 0.248447
162, 0, 0, 1, 0, 0.1, 40, 0.246914
163, 0, 0, 1, 0, 0.1, 40, 0.245399
164, 0, 0, 1, 0, 0.1, 40, 0.243902
165, 0, 0, 1, 0, 0.1, 40, 0.242424
166, 0, 0, 1, 1, 0.1, 40, 0.240964
167, 0, 0, 1, 0, 0.1, 40, 0.239521
168, 0, 0, 1, 0, 0.1, 40, 0.238095
169, 0, 0, 1, 0, 0.1, 40, 0.236686
170, 0, 0, 1, 0, 0.1, 40, 0.235294
171, 0, 0, 1, 0, 0.1, 40, 0.233918
172, 0, 0, 1, 0, 0.1, 40, 0.232558
173, 0, 0, 1, 0, 0.1, 40, 0.231214
174, 0, 0, 1, 0, 0.1, 40, 0.229885
175, 0, 0, 1, 0, 0.1, 40, 0.228571
176, 0, 0, 1, 0, 0.1, 40, 0.227273
177, 0, 0, 1, 0, 0.1, 40, 0.225989
178, 0, 0, 1, 0, 0.1, 40, 0.224719
179, 0, 0, 1, 0, 0.1, 40, 0.223464
180, 0, 0, 1, 0, 0.1, 40, 0.222222
181, 0, 0, 1, 0, 0.1, 40, 0.220994
182, 0, 0, 1, 0, 0.1, 40, 0.21978
183, 0, 0, 1, 0, 0.1, 40, 0.218579
184, 0, 0, 1, 0, 0.1, 40, 0.217391
185, 0, 0, 1, 0, 0.1, 40, 0.216216
186, 0, 0, 1, 0, 0.1, 40, 0.215054
187, 0, 0, 1, 0, 0.1, 40, 0.213904
188, 0, 0, 1, 0, 0.1, 40, 0.212766
189, 0, 0, 1, 0, 0.1, 40, 0.21164
190, 0, 0, 1, 0, 0.1, 40, 0.210526
191, 0, 0, 0, 1, 0.1, 40, 0.209424
192, 0, 1, 0, 0, 0.1, 41, 0.213542
193, 0, 0, 1, 0, 0.1, 41, 0.212435
194, 0, 1, 0, 0, 0.1, 42, 0.216495
195, 0, 0, 0, 1, 0.1, 42, 0.215385
196, 0, 0, 1, 0, 0.1, 42, 0.214286
197, 0, 0, 1, 0, 0.1, 42, 0.213198
198, 0, 1, 0, 0, 0.1, 43, 0.217172
199, 0, 0, 1, 0, 0.1, 43, 0.21608
200, 0, 1, 0, 0, 0.1, 44, 0.22
201, 0, 0, 1, 0, 0.1, 44, 0.218905
202, 0, 1, 0, 0, 0.1, 45, 0.222772
203, 0, 0, 1, 0, 0.1, 45, 0.221675
204, 0, 1, 0, 0, 0.1, 46, 0.22549
205, 0, 0, 1, 0, 0.1, 46, 0.22439
206, 0, 1, 0, 0, 0.1, 47, 0.228155
207, 0, 0, 1, 0, 0.1, 47, 0.227053
208, 0, 1, 0, 0, 0.1, 48, 0.230769
209, 0, 0, 1, 0, 0.1, 48, 0.229665
210, 0, 1, 0, 0, 0.1, 49, 0.233333
211, 0, 0, 1, 0, 0.1, 49, 0.232227
212, 0, 1, 0, 0, 0.1, 50, 0.235849
213, 0, 0, 1, 0, 0.1, 50, 0.234742
214, 0, 1, 0, 0, 0.1, 51, 0.238318
215, 0, 0, 1, 1, 0.1, 51, 0.237209
216, 0, 1, 0, 0, 0.1, 52, 0.240741
217, 0, 0, 1, 0, 0.1, 52, 0.239631
218, 0, 1, 0, 0, 0.1, 53, 0.243119
219, 0, 0, 1, 0, 0.1, 53, 0.242009
220, 0, 1, 0, 0, 0.1, 54, 0.245455
221, 0, 0, 1, 0, 0.1, 54, 0.244344
222, 0, 1, 1, 1, 0.1, 55, 0.247748
223, 0, 0, 1, 0, 0.1, 55, 0.246637
224, 0, 0, 1, 0, 0.1, 55, 0.245536
225, 0, 0, 1, 0, 0.1, 55, 0.244444
226, 0, 0, 1, 0, 0.1, 55, 0.243363
227, 0, 0, 1, 0, 0.1, 55, 0.242291
228, 0, 0, 0, 1, 0.1, 55, 0.241228
229, 0, 1, 0, 1, 0.1, 56, 0.244541
230, 0, 0, 1, 0, 0.1, 56, 0.243478
231, 0, 1, 0, 0, 0.1, 57, 0.246753
232, 0, 0, 1, 0, 0.1, 57, 0.24569
233, 0, 1, 0, 0, 0.1, 58, 0.248927
234, 0, 0, 1, 0, 0.1, 58, 0.247863
235, 0, 1, 0, 0, 0.1, 59, 0.251064
236, 0, 0, 1, 0, 0.1, 59, 0.25
237, 0, 1, 0, 0, 0.1, 60, 0.253165
238, 0, 0, 1, 0, 0.1, 60, 0.252101
239, 0, 1, 0, 0, 0.1, 61, 0.25523
240, 0, 0, 1, 0, 0.1, 61, 0.254167
241, 0, 1, 0, 0, 0.1, 62, 0.257261
242, 0, 0, 1, 0, 0.1, 62, 0.256198
243, 0, 1, 0, 0, 0.1, 63, 0.259259
244, 0, 0, 1, 0, 0.1, 63, 0.258197
245, 0, 1, 0, 0, 0.1, 64, 0.261224
246, 0, 0, 1, 0, 0.1, 64, 0.260163
247, 0, 1, 0, 0, 0.1, 65, 0.263158
248, 0, 0, 1, 0, 0.1, 65, 0.262097
249, 0, 1, 0, 0, 0.1, 66, 0.26506
250, 0, 0, 1, 0, 0.1, 66, 0.264
251, 0, 1, 0, 0, 0.1, 67, 0.266932
252, 0, 0, 1, 0, 0.1, 67, 0.265873
253, 0, 1, 0, 0, 0.1, 68, 0.268775
254, 0, 0, 1, 0, 0.1, 68, 0.267717
255, 0, 1, 0, 0, 0.1, 69, 0.270588
256, 0, 0, 1, 0, 0.1, 69, 0.269531
257, 0, 1, 0, 0, 0.1, 70, 0.272374
258, 0, 0, 1, 0, 0.1, 70, 0.271318
259, 0, 1, 0, 0, 0.1, 71, 0.274131
260, 0, 0, 1, 0, 0.1, 71, 0.273077
261, 0, 1, 0, 0, 0.1, 72, 0.275862
262, 0, 0, 1, 0, 0.1, 72, 0.274809
263, 0, 1, 0, 1, 0.1, 73, 0.277567
264, 0, 0, 1, 0, 0.1, 73, 0.276515
265, 0, 1, 0, 0, 0.1, 74, 0.279245
266, 0, 0, 1, 1, 0.1, 74, 0.278195
267, 0, 1, 0, 1, 0.1, 75, 0.280899
268, 0, 0, 1, 0, 0.1, 75, 0.279851
269, 0, 1, 0, 0, 0.1, 76, 0.282528
270, 0, 0, 1, 0, 0.1, 76, 0.281481
271, 0, 1, 0, 0, 0.1, 77, 0.284133
272, 0, 0, 1, 0, 0.1, 77, 0.283088
273, 0, 1, 0, 0, 0.1, 78, 0.285714
274, 0, 0, 1, 0, 0.1, 78, 0.284672
275, 0, 1, 0, 0, 0.1, 79, 0.287273
276, 0, 0, 1, 0, 0.1, 79, 0.286232
277, 0, 1, 0, 0, 0.1, 80, 0.288809
278, 0, 0, 1, 0, 0.1, 80, 0.28777
279, 0, 1, 0, 0, 0.1, 81, 0.290323
280, 0, 0, 1, 0, 0.1, 81, 0.289286
281, 0, 1, 0, 0, 0.1, 82, 0.291815
282, 0, 0, 1, 0, 0.1, 82, 0.29078
283, 0, 1, 0, 0, 0.1, 83, 0.293286
284, 0, 0, 1, 0, 0.1, 83, 0.292254
285, 0, 1, 0, 0, 0.1, 84, 0.294737
286, 0, 0, 1, 0, 0.1, 84, 0.293706
287, 0, 1, 0, 0, 0.1, 85, 0.296167
288, 0, 0, 1, 0, 0.1, 85, 0.295139
289, 0, 1, 0, 0, 0.1, 86, 0.297578
290, 0, 0, 1, 0, 0.1, 86, 0.296552
291, 0, 1, 0, 0, 0.1, 87, 0.298969
292, 0, 0, 1, 0, 0.1, 87, 0.297945
293, 0, 1, 0, 0, 0.1, 88, 0.300341
294, 0, 0, 1, 0, 0.1, 88, 0.29932
295, 0, 1, 0, 0, 0.1, 89, 0.301695
296, 0, 0, 1, 0, 0.1, 89, 0.300676
297, 0, 1, 0, 1, 0.1, 90, 0.30303
298, 0, 0, 1, 0, 0.1, 90, 0.302013
299, 0, 1, 0, 0, 0.1, 91, 0.304348
300, 0, 0, 1, 0, 0.1, 91, 0.303333
301, 0, 1, 0, 0, 0.1, 92, 0.305648
302, 0, 0, 1, 0, 0.1, 92, 0.304636
303, 0, 1, 0, 0, 0.1, 93, 0.306931
304, 0, 0, 1, 0, 0.1, 93, 0.305921
305, 0, 1, 0, 0, 0.1, 94, 0.308197
306, 0, 0, 1, 0, 0.1, 94, 0.30719
307, 0, 1, 0, 0, 0.1, 95, 0.309446
308, 0, 0, 1, 0, 0.1, 95, 0.308442
309, 0, 1, 0, 0, 0.1, 96, 0.31068
310, 0, 0, 1, 1, 0.1, 96, 0.309677
311, 0, 1, 0, 0, 0.1, 97, 0.311897
312, 0, 0, 1, 0, 0.1, 97, 0.310897
313, 0, 1, 0, 0, 0.1, 98, 0.313099
314, 0, 0, 1, 0, 0.1, 98, 0.312102
315, 0, 1, 0, 0, 0.1, 99, 0.314286
316, 0, 0, 1, 0, 0.1, 99, 0.313291
317, 0, 1, 0, 0, 0.1, 100, 0.315457
318, 0, 0, 1, 0, 0.1, 100, 0.314465
319, 0, 1, 0, 0, 0.1, 101, 0.316614
320, 0, 0, 1, 0, 0.1, 101, 0.315625
321, 0, 1, 0, 0, 0.1, 102, 0.317757
322, 0, 0, 1, 0, 0.1, 102, 0.31677
323, 0, 1, 0, 0, 0.1, 103, 0.318885
324, 0, 0, 1, 0, 0.1, 103, 0.317901
325, 0, 1, 0, 0, 0.1, 104, 0.32
326, 0, 0, 1, 0, 0.1, 104, 0.319018
327, 0, 1, 0, 0, 0.1, 105, 0.321101
328, 0, 0, 1, 0, 0.1, 105, 0.320122
329, 0, 1, 0, 0, 0.1, 106, 0.322188
330, 0, 0, 1, 0, 0.1, 106, 0.321212
331, 0, 1, 0, 0, 0.1, 107, 0.323263
332, 0, 0, 1, 0, 0.1, 107, 0.322289
333, 0, 1, 0, 0, 0.1, 108, 0.324324
334, 0, 0, 1, 0, 0.1, 108, 0.323353
335, 0, 1, 0, 0, 0.1, 109, 0.325373
336, 0, 0, 1, 0, 0.1, 109, 0.324405
337, 0, 1, 0, 0, 0.1, 110, 0.326409
338, 0, 0, 1, 1, 0.1, 110, 0.325444
339, 0, 1, 0, 0, 0.1, 111, 0.327434
340, 0, 0, 1, 0, 0.1, 111, 0.326471
341, 0, 1, 0, 0, 0.1, 112, 0.328446
342, 0, 0, 1, 1, 0.1, 112, 0.327485
343, 0, 1, 0, 0, 0.1, 113, 0.329446
344, 0, 0, 1, 0, 0.1, 113, 0.328488
345, 0, 1, 0, 0, 0.1, 114, 0.330435
346, 0, 0, 1, 0, 0.1, 114, 0.32948
347, 0, 1, 0, 0, 0.1, 115, 0.331412
348, 0, 0, 0, 1, 0.1, 115, 0.33046
349, 0, 0, 1, 0, 0.1, 115, 0.329513
350, 0, 0, 1, 0, 0.1, 115, 0.328571
351, 0, 1, 0, 0, 0.1, 116, 0.330484
352, 0, 0, 1, 0, 0.1, 116, 0.329545
353, 0, 1, 0, 0, 0.1, 117, 0.331445
354, 0, 0, 0, 1, 0.1, 117, 0.330508
355, 0, 0, 1, 0, 0.1, 117, 0.329577
356, 0, 0, 1, 0, 0.1, 117, 0.328652
