cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 0, 0, 0.1, 0, 0
2, 5, 0, 3, 0, 0.1, 0, 0
3, 7, 9, 3, 0, 0.1, 9, 3
4, 7, 0, 3, 0, 0.1, 9, 2.25
5, 7, 0, 3, 0, 0.1, 9, 1.8
6, 7, 0, 2, 0, 0.1, 9, 1.5
7, 7, 0, 3, 0, 0.1, 9, 1.28571
8, 7, 0, 0, 1, 0.1, 9, 1.125
9, 7, 0, 2, 0, 0.1, 9, 1
10, 7, 0, 3, 0, 0.1, 9, 0.9
11, 7, 0, 1, 0, 0.1, 9, 0.818182
12, 5, 9, 3, 0, 0.1, 18, 1.5
13, 7, 9, 0, 0, 0.1, 27, 2.07692
14, 7, 0, 1, 0, 0.1, 27, 1.92857
15, 5, 9, 2, 0, 0.1, 36, 2.4
16, 5, 0, 3, 0, 0.1, 36, 2.25
17, 7, 9, 2, 0, 0.1, 45, 2.64706
18, 7, 0, 2, 0, 0.1, 45, 2.5
19, 7, 0, 2, 1, 0.1, 45, 2.36842
20, 7, 0, 1, 0, 0.1, 45, 2.25
21, 5, 9, 2, 0, 0.1, 54, 2.57143
22, 5, 0, 3, 0, 0.1, 54, 2.45455
23, 7, 9, 0, 0, 0.1, 63, 2.73913
24, 7, 0, 0, 0, 0.1, 63, 2.625
25, 7, 0, 1, 0, 0.1, 63, 2.52
26, 5, 9, 2, 0, 0.1, 72, 2.76923
27, 5, 0, 1, 0, 0.1, 72, 2.66667
28, 12, 9, 3, 0, 0.1, 81, 2.89286
29, 5, 9, 1, 0, 0.1, 90, 3.10345
30, 12, 9, 3, 0, 0.1, 99, 3.3
31, 5, 9, 3, 0, 0.1, 108, 3.48387
32, 7, 9, 1, 0, 0.1, 117, 3.65625
33, 5, 9, 1, 0, 0.1, 126, 3.81818
34, 12, 9, 3, 0, 0.1, 135, 3.97059
35, 5, 9, 3, 0, 0.1, 144, 4.11429
36, 7, 9, 2, 0, 0.1, 153, 4.25
37, 7, 0, 1, 0, 0.1, 153, 4.13514
38, 5, 9, 2, 0, 0.1, 162, 4.26316
39, 5, 0, 0, 0, 0.1, 162, 4.15385
40, 5, 0, 0, 0, 0.1, 162, 4.05
41, 5, 0, 3, 0, 0.1, 162, 3.95122
42, 7, 9, 0, 0, 0.1, 171, 4.07143
43, 7, 0, 0, 0, 0.1, 171, 3.97674
44, 7, 0, 3, 0, 0.1, 171, 3.88636
45, 7, 0, 1, 1, 0.1, 171, 3.8
46, 5, 9, 2, 0, 0.1, 180, 3.91304
47, 5, 0, 1, 0, 0.1, 180, 3.82979
48, 12, 9, 3, 0, 0.1, 189, 3.9375
49, 5, 9, 1, 0, 0.1, 198, 4.04082
50, 12, 9, 1, 0, 0.1, 207, 4.14
51, 12, 0, 3, 0, 0.1, 207, 4.05882
52, 5, 9, 2, 0, 0.1, 216, 4.15385
53, 5, 0, 2, 0, 0.1, 216, 4.07547
54, 5, 0, 0, 0, 0.1, 216, 4
55, 5, 0, 3, 0, 0.1, 216, 3.92727
56, 7, 9, 0, 0, 0.1, 225, 4.01786
57, 7, 0, 0, 0, 0.1, 225, 3.94737
58, 7, 0, 2, 0, 0.1, 225, 3.87931
59, 7, 0, 0, 1, 0.1, 225, 3.81356
60, 7, 0, 0, 0, 0.1, 225, 3.75
61, 7, 0, 1, 0, 0.1, 225, 3.68852
62, 5, 9, 3, 1, 0.1, 234, 3.77419
63, 7, 9, 0, 0, 0.1, 243, 3.85714
64, 7, 0, 3, 0, 0.1, 243, 3.79688
65, 7, 0, 2, 0, 0.1, 243, 3.73846
66, 7, 0, 1, 0, 0.1, 243, 3.68182
67, 5, 9, 0, 0, 0.1, 252, 3.76119
68, 5, 0, 1, 0, 0.1, 252, 3.70588
69, 12, 9, 0, 0, 0.1, 261, 3.78261
70, 10, 9, 1, 0, 0.1, 270, 3.85714
71, 10, 0, 1, 0, 0.1, 270, 3.80282
72, 10, 0, 3, 0, 0.1, 270, 3.75
73, 10, 0, 3, 0, 0.1, 270, 3.69863
74, 10, 0, 3, 0, 0.1, 270, 3.64865
75, 10, 0, 1, 0, 0.1, 270, 3.6
76, 10, 0, 3, 0, 0.1, 270, 3.55263
77, 10, 0, 2, 0, 0.1, 270, 3.50649
78, 12, 9, 0, 0, 0.1, 279, 3.57692
79, 10, 9, 2, 0, 0.1, 288, 3.64557
80, 12, 9, 1, 0, 0.1, 297, 3.7125
81, 12, 0, 3, 0, 0.1, 297, 3.66667
82, 5, 9, 1, 1, 0.1, 306, 3.73171
83, 12, 9, 3, 0, 0.1, 315, 3.79518
84, 5, 9, 2, 1, 0.1, 324, 3.85714
85, 5, 0, 3, 0, 0.1, 324, 3.81176
86, 7, 9, 2, 1, 0.1, 333, 3.87209
87, 7, 0, 3, 0, 0.1, 333, 3.82759
88, 7, 0, 1, 0, 0.1, 333, 3.78409
89, 5, 9, 3, 0, 0.1, 342, 3.8427
90, 7, 9, 3, 0, 0.1, 351, 3.9
91, 7, 0, 1, 1, 0.1, 351, 3.85714
92, 5, 9, 1, 1, 0.1, 360, 3.91304
93, 12, 9, 3, 1, 0.1, 369, 3.96774
94, 5, 9, 0, 0, 0.1, 378, 4.02128
95, 5, 0, 2, 0, 0.1, 378, 3.97895
96, 5, 0, 0, 1, 0.1, 378, 3.9375
97, 5, 0, 3, 0, 0.1, 378, 3.89691
98, 7, 9, 1, 0, 0.1, 387, 3.94898
99, 5, 9, 3, 0, 0.1, 396, 4
100, 7, 9, 1, 0, 0.1, 405, 4.05
101, 5, 9, 3, 0, 0.1, 414, 4.09901
102, 7, 9, 0, 0, 0.1, 423, 4.14706
103, 7, 0, 3, 0, 0.1, 423, 4.1068
104, 7, 0, 3, 0, 0.1, 423, 4.06731
105, 7, 0, 1, 0, 0.1, 423, 4.02857
106, 5, 9, 0, 0, 0.1, 432, 4.07547
107, 5, 0, 1, 0, 0.1, 432, 4.03738
108, 12, 9, 3, 0, 0.1, 441, 4.08333
109, 5, 9, 2, 0, 0.1, 450, 4.12844
110, 5, 0, 2, 0, 0.1, 450, 4.09091
111, 5, 0, 0, 0, 0.1, 450, 4.05405
112, 5, 0, 1, 0, 0.1, 450, 4.01786
113, 12, 9, 1, 0, 0.1, 459, 4.06195
114, 12, 0, 1, 0, 0.1, 459, 4.02632
115, 12, 0, 3, 0, 0.1, 459, 3.9913
116, 5, 9, 0, 0, 0.1, 468, 4.03448
117, 5, 0, 1, 0, 0.1, 468, 4
118, 12, 9, 2, 0, 0.1, 477, 4.04237
119, 12, 0, 0, 0, 0.1, 477, 4.0084
120, 10, 9, 3, 0, 0.1, 486, 4.05
121, 10, 0, 2, 0, 0.1, 486, 4.01653
122, 12, 9, 2, 0, 0.1, 495, 4.05738
123, 12, 0, 0, 0, 0.1, 495, 4.02439
124, 10, 9, 1, 1, 0.1, 504, 4.06452
125, 10, 0, 0, 0, 0.1, 504, 4.032
126, 8, 9, 1, 0, 0.1, 513, 4.07143
