cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 0, 0.1, 0, 0
2, 0, 0, 1, 0, 0.1, 0, 0
3, 0, 0, 1, 0, 0.1, 0, 0
4, 0, 0, 0, 0, 0.1, 0, 0
5, 0, 1, 0, 0, 0.1, 1, 0.25
6, 0, 1, 0, 0, 0.1, 2, 0.4
7, 0, 1, 0, 0, 0.1, 3, 0.5
8, 0, 1, 0, 0, 0.1, 4, 0.571429
9, 1, 0, 1, 0, 0.1, 4, 0.5
10, 0, 0, 0, 0, 0.1, 4, 0.444444
11, 0, 1, 0, 0, 0.1, 5, 0.5
12, 0, 1, 0, 0, 0.1, 6, 0.545455
13, 0, 1, 0, 0, 0.1, 7, 0.583333
14, 1, 0, 1, 0, 0.1, 7, 0.538462
15, 0, 0, 0, 0, 0.1, 7, 0.5
16, 1, 0, 1, 0, 0.1, 7, 0.466667
17, 1, 1, 1, 0, 0.1, 8, 0.5
18, 0, 0, 0, 0, 0.1, 8, 0.470588
19, 0, 1, 1, 0, 0.1, 9, 0.5
20, 1, 1, 1, 0, 0.1, 10, 0.526316
21, 0, 0, 1, 0, 0.1, 10, 0.5
22, 0, 0, 0, 0, 0.1, 10, 0.47619
23, 1, 0, 1, 0, 0.1, 10, 0.454545
24, 0, 0, 1, 0, 0.1, 10, 0.434783
25, 0, 0, 1, 0, 0.1, 10, 0.416667
26, 0, 0, 0, 0, 0.1, 10, 0.4
27, 0, 1, 1, 0, 0.1, 11, 0.423077
28, 0, 0, 0, 0, 0.1, 11, 0.407407
29, 0, 1, 1, 0, 0.1, 12, 0.428571
30, 0, 0, 0, 0, 0.1, 12, 0.413793
31, 0, 1, 0, 0, 0.1, 13, 0.433333
32, 0, 1, 0, 0, 0.1, 14, 0.451613
33, 0, 1, 0, 0, 0.1, 15, 0.46875
34, 0, 1, 1, 1, 0.1, 16, 0.484848
35, 1, 1, 1, 0, 0.1, 17, 0.5
36, 0, 0, 0, 0, 0.1, 17, 0.485714
37, 0, 1, 1, 1, 0.1, 18, 0.5
38, 0, 0, 1, 1, 0.1, 18, 0.486486
39, 0, 0, 0, 0, 0.1, 18, 0.473684
40, 0, 1, 1, 1, 0.1, 19, 0.487179
41, 0, 0, 0, 0, 0.1, 19, 0.475
42, 0, 1, 1, 0, 0.1, 20, 0.487805
43, 0, 0, 0, 0, 0.1, 20, 0.47619
44, 0, 1, 0, 0, 0.1, 21, 0.488372
45, 0, 1, 1, 1, 0.1, 22, 0.5
46, 0, 0, 0, 0, 0.1, 22, 0.488889
47, 0, 1, 0, 0, 0.1, 23, 0.5
48, 0, 1, 0, 0, 0.1, 24, 0.510638
49, 0, 1, 0, 0, 0.1, 25, 0.520833
50, 0, 1, 0, 0, 0.1, 26, 0.530612
51, 0, 1, 0, 0, 0.1, 27, 0.54
