cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32736, 0, 2, 0, 0.1, 0, 0
2, 30472, 991, 3, 0, 0.1, 991, 495.5
3, 30472, 1011, 3, 0, 0.1, 2002, 667.333
4, 30472, 1011, 0, 0, 0.1, 3013, 753.25
5, 29962, 1001, 2, 0, 0.1, 4014, 802.8
6, 30472, 1001, 0, 0, 0.1, 5015, 835.833
7, 29962, 1001, 0, 0, 0.1, 6016, 859.429
8, 30472, 991, 0, 0, 0.1, 7007, 875.875
9, 29962, 991, 0, 0, 0.1, 7998, 888.667
10, 32002, 991, 1, 0, 0.1, 8989, 898.9
11, 32002, 1011, 0, 0, 0.1, 10000, 909.091
12, 29962, 991, 2, 1, 0.1, 10991, 915.917
13, 32002, 1001, 2, 0, 0.1, 11992, 922.462
14, 29962, 1001, 3, 0, 0.1, 12993, 928.071
15, 29962, 1011, 3, 0, 0.1, 14004, 933.6
16, 29962, 1011, 0, 0, 0.1, 15015, 938.438
17, 32002, 1001, 2, 0, 0.1, 16016, 942.118
18, 29962, 1001, 3, 0, 0.1, 17017, 945.389
19, 29962, 1011, 2, 0, 0.1, 18028, 948.842
20, 30472, 1001, 1, 0, 0.1, 19029, 951.45
21, 29189, 991, 1, 0, 0.1, 20020, 953.333
22, 29954, 991, 3, 0, 0.1, 21011, 955.045
23, 28677, 1001, 2, 0, 0.1, 22012, 957.043
24, 28677, 1011, 3, 0, 0.1, 23023, 959.292
25, 25864, 1001, 1, 0, 0.1, 24024, 960.96
26, 28677, 1001, 1, 0, 0.1, 25025, 962.5
27, 29954, 1001, 0, 0, 0.1, 26026, 963.926
28, 29962, 991, 2, 0, 0.1, 27017, 964.893
29, 29954, 1001, 1, 0, 0.1, 28018, 966.138
30, 29954, 1011, 2, 0, 0.1, 29029, 967.633
31, 29962, 991, 2, 0, 0.1, 30020, 968.387
32, 32002, 991, 1, 1, 0.1, 31011, 969.094
33, 32002, 1011, 1, 0, 0.1, 32022, 970.364
34, 32002, 1011, 2, 0, 0.1, 33033, 971.559
35, 29962, 991, 3, 0, 0.1, 34024, 972.114
36, 29962, 1011, 3, 0, 0.1, 35035, 973.194
37, 29962, 1011, 1, 1, 0.1, 36046, 974.216
38, 29962, 1011, 3, 0, 0.1, 37057, 975.184
39, 29978, 1011, 2, 0, 0.1, 38068, 976.103
40, 30488, 991, 3, 0, 0.1, 39059, 976.475
41, 30472, 961, 1, 0, 0.1, 40020, 976.098
42, 29962, 1011, 3, 0, 0.1, 41031, 976.929
43, 29962, 1011, 2, 0, 0.1, 42042, 977.721
44, 30472, 991, 0, 0, 0.1, 43033, 978.023
45, 29962, 1001, 1, 1, 0.1, 44034, 978.533
46, 29962, 1011, 3, 1, 0.1, 45045, 979.239
47, 29962, 1011, 2, 0, 0.1, 46056, 979.915
48, 30472, 1001, 0, 0, 0.1, 47057, 980.354
49, 29962, 1001, 2, 1, 0.1, 48058, 980.776
50, 30472, 1001, 0, 0, 0.1, 49059, 981.18
51, 29962, 1001, 3, 0, 0.1, 50060, 981.569
52, 29962, 1011, 1, 0, 0.1, 51071, 982.135
53, 29962, 1011, 3, 0, 0.1, 52082, 982.679
54, 29962, 1011, 3, 0, 0.1, 53093, 983.204
55, 29962, 1011, 1, 0, 0.1, 54104, 983.709
56, 29962, 1011, 0, 0, 0.1, 55115, 984.196
57, 30472, 991, 2, 1, 0.1, 56106, 984.316
58, 29962, 1001, 2, 0, 0.1, 57107, 984.603
59, 30472, 1001, 2, 0, 0.1, 58108, 984.881
60, 29962, 991, 0, 0, 0.1, 59099, 984.983
61, 30472, 1001, 1, 0, 0.1, 60100, 985.246
62, 29189, 991, 0, 0, 0.1, 61091, 985.339
63, 29189, 1011, 3, 0, 0.1, 62102, 985.746
64, 30472, 1001, 2, 0, 0.1, 63103, 985.984
65, 29962, 1001, 2, 1, 0.1, 64104, 986.215
66, 32002, 991, 0, 0, 0.1, 65095, 986.288
67, 29962, 1001, 2, 0, 0.1, 66096, 986.507
68, 32002, 1001, 2, 0, 0.1, 67097, 986.721
69, 29962, 991, 2, 1, 0.1, 68088, 986.783
70, 32512, 991, 0, 0, 0.1, 69079, 986.843
71, 29962, 1001, 0, 1, 0.1, 70080, 987.042
72, 32002, 1001, 1, 0, 0.1, 71081, 987.236
73, 32002, 1011, 1, 0, 0.1, 72092, 987.562
74, 32002, 1011, 1, 0, 0.1, 73103, 987.878
75, 32002, 1011, 1, 0, 0.1, 74114, 988.187
76, 32002, 1011, 1, 0, 0.1, 75125, 988.487
77, 32002, 1011, 2, 0, 0.1, 76136, 988.779
78, 29962, 1001, 3, 0, 0.1, 77137, 988.936
79, 29962, 1011, 1, 0, 0.1, 78148, 989.215
80, 29962, 1011, 1, 0, 0.1, 79159, 989.487
81, 29962, 1011, 3, 0, 0.1, 80170, 989.753
82, 29962, 1011, 2, 0, 0.1, 81181, 990.012
83, 32512, 1001, 0, 0, 0.1, 82182, 990.145
84, 29978, 1001, 0, 0, 0.1, 83183, 990.274
85, 32066, 901, 1, 0, 0.1, 84084, 989.224
86, 29962, 1011, 3, 0, 0.1, 85095, 989.477
87, 29962, 1011, 3, 0, 0.1, 86106, 989.724
88, 29962, 1011, 2, 0, 0.1, 87117, 989.966
89, 30472, 991, 1, 0, 0.1, 88108, 989.978
90, 29189, 991, 0, 1, 0.1, 89099, 989.989
91, 29189, 1011, 3, 0, 0.1, 90110, 990.22
92, 30472, 1001, 3, 0, 0.1, 91111, 990.337
93, 30472, 1011, 2, 0, 0.1, 92122, 990.559
94, 29962, 991, 1, 0, 0.1, 93113, 990.564
95, 29962, 1011, 0, 0, 0.1, 94124, 990.779
96, 30472, 1001, 1, 0, 0.1, 95125, 990.885
97, 29189, 1001, 1, 0, 0.1, 96126, 990.99
98, 29954, 991, 2, 0, 0.1, 97117, 990.99
99, 29962, 991, 1, 0, 0.1, 98108, 990.99
100, 29962, 1011, 1, 0, 0.1, 99119, 991.19
101, 29962, 1011, 0, 0, 0.1, 100130, 991.386
102, 29954, 1001, 2, 0, 0.1, 101131, 991.48
103, 29962, 1001, 0, 0, 0.1, 102132, 991.573
104, 29954, 1001, 1, 0, 0.1, 103133, 991.663
105, 29954, 1011, 0, 0, 0.1, 104144, 991.848
106, 29962, 991, 3, 0, 0.1, 105135, 991.84
107, 29962, 1011, 3, 0, 0.1, 106146, 992.019
108, 29962, 1011, 1, 1, 0.1, 107157, 992.194
109, 29962, 1011, 1, 0, 0.1, 108168, 992.367
110, 29962, 1011, 3, 1, 0.1, 109179, 992.536
111, 29962, 1011, 3, 0, 0.1, 110190, 992.703
112, 29962, 1011, 2, 0, 0.1, 111201, 992.866
113, 29954, 1001, 0, 0, 0.1, 112202, 992.938
114, 29962, 1001, 1, 0, 0.1, 113203, 993.009
115, 29962, 1011, 1, 0, 0.1, 114214, 993.165
116, 29962, 1011, 3, 0, 0.1, 115225, 993.319
117, 29962, 1011, 2, 0, 0.1, 116236, 993.47
118, 29954, 1001, 0, 0, 0.1, 117237, 993.534
119, 29962, 1001, 0, 1, 0.1, 118238, 993.597
120, 32002, 991, 3, 0, 0.1, 119229, 993.575
121, 30725, 991, 2, 0, 0.1, 120220, 993.554
122, 30725, 1011, 1, 0, 0.1, 121231, 993.697
123, 32002, 1001, 2, 0, 0.1, 122232, 993.756
124, 29962, 1001, 1, 0, 0.1, 123233, 993.815
125, 29962, 1011, 3, 1, 0.1, 124244, 993.952
126, 29962, 1011, 3, 0, 0.1, 125255, 994.087
127, 29962, 1011, 2, 1, 0.1, 126266, 994.22
128, 29954, 1001, 0, 0, 0.1, 127267, 994.273
129, 29962, 1001, 0, 0, 0.1, 128268, 994.326
130, 32002, 1001, 2, 0, 0.1, 129269, 994.377
131, 29962, 1001, 0, 1, 0.1, 130270, 994.427
132, 32002, 1001, 3, 0, 0.1, 131271, 994.477
133, 30725, 1001, 2, 0, 0.1, 132272, 994.526
134, 30725, 1011, 3, 0, 0.1, 133283, 994.649
135, 29960, 991, 3, 0, 0.1, 134274, 994.622
136, 29960, 1011, 2, 0, 0.1, 135285, 994.743
137, 29962, 1001, 3, 0, 0.1, 136286, 994.788
138, 29962, 1011, 0, 0, 0.1, 137297, 994.906
139, 29960, 1001, 1, 0, 0.1, 138298, 994.95
140, 28677, 1001, 2, 1, 0.1, 139299, 994.993
