cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 110886912, 0, 6, 0, 0.1, 0, 0
2, 111018000, 2, 5, 0, 0.1, 2, 1
3, 111026256, 2, 5, 0, 0.1, 4, 1.33333
4, 111026256, 0, 2, 0, 0.1, 4, 1
5, 111026256, 0, 6, 1, 0.1, 4, 0.8
6, 111026256, 0, 6, 1, 0.1, 4, 0.666667
7, 111026256, 0, 3, 0, 0.1, 4, 0.571429
8, 111027792, 2, 8, 1, 0.1, 6, 0.75
9, 0, 3, 7, 0, 0.1, 9, 1
10, 131076, 2, 3, 0, 0.1, 11, 1.1
11, 132612, 2, 8, 0, 0.1, 13, 1.18182
12, 165381, 2, 2, 1, 0.1, 15, 1.25
13, 169509, 2, 3, 0, 0.1, 17, 1.30769
14, 169509, 0, 2, 0, 0.1, 17, 1.21429
15, 169509, 0, 7, 0, 0.1, 17, 1.13333
16, 169509, 0, 3, 0, 0.1, 17, 1.0625
17, 169509, 0, 2, 0, 0.1, 17, 1
18, 169509, 0, 3, 0, 0.1, 17, 0.944444
19, 169509, 0, 8, 0, 0.1, 17, 0.894737
20, 169509, 0, 4, 0, 0.1, 17, 0.85
21, 169509, 0, 0, 0, 0.1, 17, 0.809524
22, 169509, 0, 2, 1, 0.1, 17, 0.772727
23, 169509, 0, 6, 0, 0.1, 17, 0.73913
24, 169509, 0, 3, 0, 0.1, 17, 0.708333
25, 169509, 0, 5, 1, 0.1, 17, 0.68
26, 0, 4, 4, 0, 0.1, 21, 0.807692
27, 131328, 2, 7, 0, 0.1, 23, 0.851852
28, 133380, 2, 7, 0, 0.1, 25, 0.892857
29, 133380, 0, 2, 0, 0.1, 25, 0.862069
30, 170244, 2, 8, 0, 0.1, 27, 0.9
31, 170373, 2, 4, 0, 0.1, 29, 0.935484
32, 170373, 0, 7, 0, 0.1, 29, 0.90625
33, 170373, 0, 1, 0, 0.1, 29, 0.878788
34, 170373, 0, 2, 0, 0.1, 29, 0.852941
35, 170373, 0, 7, 0, 0.1, 29, 0.828571
36, 170373, 0, 1, 0, 0.1, 29, 0.805556
37, 170373, 0, 3, 0, 0.1, 29, 0.783784
38, 170373, 0, 7, 1, 0.1, 29, 0.763158
39, 170373, 0, 6, 0, 0.1, 29, 0.74359
40, 0, 4, 3, 0, 0.1, 33, 0.825
41, 132096, 2, 6, 0, 0.1, 35, 0.853659
42, 132120, 2, 2, 0, 0.1, 37, 0.880952
43, 136728, 2, 0, 0, 0.1, 39, 0.906977
44, 136728, 0, 8, 0, 0.1, 39, 0.886364
45, 136857, 2, 3, 0, 0.1, 41, 0.911111
46, 136857, 0, 7, 0, 0.1, 41, 0.891304
47, 136857, 0, 3, 1, 0.1, 41, 0.87234
48, 136857, 0, 1, 1, 0.1, 41, 0.854167
49, 0, 3, 8, 0, 0.1, 44, 0.897959
50, 131073, 2, 1, 0, 0.1, 46, 0.92
51, 155649, 2, 0, 0, 0.1, 48, 0.941176
52, 155649, 0, 2, 0, 0.1, 48, 0.923077
53, 155649, 0, 1, 0, 0.1, 48, 0.90566
54, 155649, 0, 3, 0, 0.1, 48, 0.888889
55, 156705, 2, 0, 0, 0.1, 50, 0.909091
56, 156705, 0, 2, 0, 0.1, 50, 0.892857
57, 156705, 0, 3, 0, 0.1, 50, 0.877193
58, 156705, 0, 4, 1, 0.1, 50, 0.862069
59, 157089, 2, 7, 0, 0.1, 52, 0.881356
60, 0, 4, 2, 0, 0.1, 56, 0.933333
61, 135168, 2, 1, 0, 0.1, 58, 0.95082
62, 151680, 2, 4, 0, 0.1, 60, 0.967742
63, 151938, 2, 7, 0, 0.1, 62, 0.984127
64, 0, 4, 4, 0, 0.1, 66, 1.03125
65, 131328, 2, 1, 0, 0.1, 68, 1.04615
66, 149760, 2, 3, 1, 0.1, 70, 1.06061
67, 149760, 0, 1, 0, 0.1, 70, 1.04478
68, 149760, 0, 6, 0, 0.1, 70, 1.02941
69, 149784, 2, 3, 0, 0.1, 72, 1.04348
70, 149784, 0, 4, 0, 0.1, 72, 1.02857
71, 149784, 0, 3, 0, 0.1, 72, 1.01408
72, 149784, 0, 1, 0, 0.1, 72, 1
73, 149784, 0, 2, 0, 0.1, 72, 0.986301
74, 0, 4, 3, 0, 0.1, 76, 1.02703
75, 132096, 2, 1, 0, 0.1, 78, 1.04
76, 148608, 2, 3, 0, 0.1, 80, 1.05263
77, 148608, 0, 5, 0, 0.1, 80, 1.03896
78, 148608, 0, 6, 0, 0.1, 80, 1.02564
79, 148632, 2, 0, 0, 0.1, 82, 1.03797
80, 148632, 0, 8, 0, 0.1, 82, 1.025
