cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 1, 1, 1, 1
2, 0, 0, 1, 1, 0.95, 1, 0.5
3, 0, 0, 1, 1, 0.9025, 1, 0.333333
4, 0, 0, 1, 1, 0.857375, 1, 0.25
5, 0, 0, 0, 1, 0.814506, 1, 0.2
6, 0, 1, 0, 0, 0.773781, 2, 0.333333
7, 0, 0, 0, 1, 0.735092, 2, 0.285714
8, 0, 0, 0, 1, 0.698337, 2, 0.25
9, 0, 0, 0, 1, 0.66342, 2, 0.222222
10, 0, 0, 1, 1, 0.630249, 2, 0.2
11, 0, 0, 0, 1, 0.598737, 2, 0.181818
12, 0, 0, 1, 0, 0.5688, 2, 0.166667
13, 0, 0, 1, 1, 0.54036, 2, 0.153846
14, 0, 1, 0, 1, 0.513342, 3, 0.214286
15, 0, 0, 1, 0, 0.487675, 3, 0.2
16, 0, 1, 0, 1, 0.463291, 4, 0.25
17, 0, 0, 1, 1, 0.440127, 4, 0.235294
18, 0, 1, 1, 0, 0.41812, 5, 0.277778
19, 0, 0, 1, 1, 0.397214, 5, 0.263158
20, 0, 0, 1, 1, 0.377354, 5, 0.25
21, 0, 0, 1, 0, 0.358486, 5, 0.238095
22, 0, 0, 1, 0, 0.340562, 5, 0.227273
23, 0, 0, 0, 1, 0.323534, 5, 0.217391
24, 0, 1, 1, 1, 0.307357, 6, 0.25
25, 0, 0, 0, 0, 0.291989, 6, 0.24
26, 0, 1, 1, 0, 0.27739, 7, 0.269231
27, 0, 0, 1, 1, 0.26352, 7, 0.259259
28, 0, 0, 0, 0, 0.250344, 7, 0.25
29, 0, 1, 0, 0, 0.237827, 8, 0.275862
30, 0, 0, 0, 0, 0.225936, 8, 0.266667
31, 0, 0, 1, 0, 0.214639, 8, 0.258065
32, 0, 0, 0, 0, 0.203907, 8, 0.25
33, 0, 0, 0, 1, 0.193711, 8, 0.242424
34, 0, 0, 0, 0, 0.184026, 8, 0.235294
35, 0, 0, 1, 0, 0.174825, 8, 0.228571
36, 0, 0, 0, 0, 0.166083, 8, 0.222222
37, 0, 0, 1, 0, 0.157779, 8, 0.216216
38, 0, 0, 0, 0, 0.14989, 8, 0.210526
39, 0, 0, 0, 0, 0.142396, 8, 0.205128
40, 0, 0, 1, 0, 0.135276, 8, 0.2
41, 0, 0, 0, 0, 0.128512, 8, 0.195122
42, 0, 0, 1, 0, 0.122087, 8, 0.190476
43, 0, 0, 1, 0, 0.115982, 8, 0.186047
44, 0, 1, 0, 0, 0.110183, 9, 0.204545
45, 0, 0, 0, 0, 0.104674, 9, 0.2
46, 0, 0, 1, 0, 0.0994403, 9, 0.195652
47, 0, 0, 1, 0, 0.0944682, 9, 0.191489
48, 0, 1, 1, 1, 0.0897448, 10, 0.208333
49, 0, 0, 1, 0, 0.0852576, 10, 0.204082
50, 0, 0, 1, 0, 0.0809947, 10, 0.2
51, 0, 0, 0, 0, 0.076945, 10, 0.196078
52, 0, 1, 0, 0, 0.0730977, 11, 0.211538
53, 0, 0, 1, 0, 0.0694428, 11, 0.207547
54, 0, 1, 0, 0, 0.0659707, 12, 0.222222
55, 0, 0, 0, 0, 0.0626722, 12, 0.218182
56, 0, 0, 1, 0, 0.0595386, 12, 0.214286
57, 0, 0, 0, 0, 0.0565616, 12, 0.210526
58, 0, 0, 1, 0, 0.0537335, 12, 0.206897
59, 0, 0, 0, 0, 0.0510469, 12, 0.20339
60, 0, 0, 0, 0, 0.0484945, 12, 0.2
61, 0, 0, 1, 0, 0.0460698, 12, 0.196721
62, 0, 0, 1, 0, 0.0437663, 12, 0.193548
63, 0, 1, 1, 1, 0.041578, 13, 0.206349
64, 0, 0, 0, 1, 0.0394991, 13, 0.203125
65, 0, 1, 0, 0, 0.0375241, 14, 0.215385
66, 0, 0, 1, 0, 0.0356479, 14, 0.212121
67, 0, 1, 0, 1, 0.0338655, 15, 0.223881
68, 0, 0, 0, 0, 0.0321723, 15, 0.220588
69, 0, 0, 1, 0, 0.0305636, 15, 0.217391
70, 0, 0, 1, 0, 0.0290355, 15, 0.214286
71, 0, 1, 0, 0, 0.0275837, 16, 0.225352
72, 0, 0, 0, 0, 0.0262045, 16, 0.222222
73, 0, 0, 0, 0, 0.0248943, 16, 0.219178
74, 0, 0, 1, 0, 0.0236496, 16, 0.216216
75, 0, 0, 0, 0, 0.0224671, 16, 0.213333
76, 0, 0, 1, 0, 0.0213437, 16, 0.210526
