cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.95, 9, 4.5
3, 5, 9, 1, 1, 0.9025, 18, 6
4, 12, 9, 1, 1, 0.857375, 27, 6.75
5, 12, 0, 0, 1, 0.814506, 27, 5.4
6, 10, 9, 0, 0, 0.773781, 36, 6
7, 8, 9, 2, 1, 0.735092, 45, 6.42857
8, 10, 9, 3, 1, 0.698337, 54, 6.75
9, 10, 0, 3, 0, 0.66342, 54, 6
10, 10, 0, 2, 1, 0.630249, 54, 5.4
11, 12, 9, 0, 1, 0.598737, 63, 5.72727
12, 10, 9, 3, 0, 0.5688, 72, 6
13, 10, 0, 1, 1, 0.54036, 72, 5.53846
14, 10, 0, 1, 0, 0.513342, 72, 5.14286
15, 10, 0, 3, 1, 0.487675, 72, 4.8
16, 10, 0, 1, 1, 0.463291, 72, 4.5
17, 10, 0, 0, 0, 0.440127, 72, 4.23529
18, 8, 9, 3, 0, 0.41812, 81, 4.5
19, 5, 9, 3, 1, 0.397214, 90, 4.73684
20, 7, 20, 1, 1, 0.377354, 110, 5.5
21, 5, 9, 3, 0, 0.358486, 119, 5.66667
22, 7, 20, 2, 0, 0.340562, 139, 6.31818
23, 7, 0, 0, 1, 0.323534, 139, 6.04348
24, 7, 0, 2, 0, 0.307357, 139, 5.79167
25, 7, 0, 2, 0, 0.291989, 139, 5.56
26, 7, 0, 1, 0, 0.27739, 139, 5.34615
27, 5, 9, 3, 0, 0.26352, 148, 5.48148
28, 7, 20, 1, 0, 0.250344, 168, 6
29, 5, 9, 1, 0, 0.237827, 177, 6.10345
30, 8, 9, 3, 0, 0.225936, 186, 6.2
31, 5, 9, 3, 0, 0.214639, 195, 6.29032
32, 7, 20, 0, 0, 0.203907, 215, 6.71875
33, 7, 0, 1, 0, 0.193711, 215, 6.51515
34, 5, 9, 3, 0, 0.184026, 224, 6.58824
35, 7, 20, 0, 0, 0.174825, 244, 6.97143
36, 7, 0, 2, 0, 0.166083, 244, 6.77778
37, 7, 0, 3, 1, 0.157779, 244, 6.59459
38, 7, 0, 0, 0, 0.14989, 244, 6.42105
39, 7, 0, 2, 0, 0.142396, 244, 6.25641
40, 7, 0, 3, 0, 0.135276, 244, 6.1
41, 7, 0, 0, 0, 0.128512, 244, 5.95122
42, 7, 0, 0, 1, 0.122087, 244, 5.80952
43, 7, 0, 1, 0, 0.115982, 244, 5.67442
44, 5, 9, 0, 0, 0.110183, 253, 5.75
45, 5, 0, 2, 0, 0.104674, 253, 5.62222
46, 5, 0, 2, 0, 0.0994403, 253, 5.5
47, 5, 0, 3, 0, 0.0944682, 253, 5.38298
48, 7, 20, 3, 0, 0.0897448, 273, 5.6875
49, 7, 0, 3, 0, 0.0852576, 273, 5.57143
50, 7, 0, 1, 0, 0.0809947, 273, 5.46
51, 5, 9, 0, 0, 0.076945, 282, 5.52941
52, 5, 0, 1, 0, 0.0730977, 282, 5.42308
53, 8, 9, 3, 0, 0.0694428, 291, 5.49057
54, 5, 9, 3, 1, 0.0659707, 300, 5.55556
55, 7, 20, 3, 0, 0.0626722, 320, 5.81818
56, 7, 0, 2, 0, 0.0595386, 320, 5.71429
57, 7, 0, 0, 1, 0.0565616, 320, 5.61404
58, 7, 0, 0, 0, 0.0537335, 320, 5.51724
59, 7, 0, 0, 0, 0.0510469, 320, 5.42373
60, 7, 0, 3, 0, 0.0484945, 320, 5.33333
61, 7, 0, 2, 0, 0.0460698, 320, 5.2459
62, 7, 0, 1, 0, 0.0437663, 320, 5.16129
63, 5, 9, 1, 0, 0.041578, 329, 5.22222
64, 8, 9, 2, 0, 0.0394991, 338, 5.28125
65, 10, 9, 1, 0, 0.0375241, 347, 5.33846
66, 10, 0, 2, 0, 0.0356479, 347, 5.25758
67, 12, 9, 3, 0, 0.0338655, 356, 5.31343
68, 5, 9, 3, 0, 0.0321723, 365, 5.36765
69, 7, 9, 0, 0, 0.0305636, 374, 5.42029
70, 7, 0, 1, 0, 0.0290355, 374, 5.34286
71, 5, 9, 0, 0, 0.0275837, 383, 5.39437
72, 5, 0, 3, 0, 0.0262045, 383, 5.31944
73, 7, 9, 1, 1, 0.0248943, 392, 5.36986
74, 5, 9, 3, 0, 0.0236496, 401, 5.41892
75, 7, 9, 0, 0, 0.0224671, 410, 5.46667
