cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 1, 1, 0, 0
2, 0, 0, 1, 0, 0.95, 0, 0
3, 0, 0, 0, 1, 0.9025, 0, 0
4, 0, 1, 1, 1, 0.857375, 1, 0.333333
5, 0, 0, 1, 0, 0.814506, 1, 0.25
6, 0, 0, 1, 1, 0.773781, 1, 0.2
7, 0, 0, 1, 1, 0.735092, 1, 0.166667
8, 0, 0, 0, 1, 0.698337, 1, 0.142857
9, 0, 1, 1, 1, 0.66342, 2, 0.25
10, 0, 0, 1, 1, 0.630249, 2, 0.222222
11, 0, 0, 0, 0, 0.598737, 2, 0.2
12, 0, 1, 0, 1, 0.5688, 3, 0.272727
13, 0, 1, 0, 1, 0.54036, 4, 0.333333
14, 0, 1, 0, 1, 0.513342, 5, 0.384615
15, 0, 1, 0, 0, 0.487675, 6, 0.428571
16, 0, 1, 1, 1, 0.463291, 7, 0.466667
17, 0, 0, 0, 0, 0.440127, 7, 0.4375
18, 0, 1, 0, 1, 0.41812, 8, 0.470588
19, 0, 1, 0, 0, 0.397214, 9, 0.5
20, 0, 1, 0, 0, 0.377354, 10, 0.526316
21, 0, 1, 0, 0, 0.358486, 11, 0.55
22, 0, 1, 1, 1, 0.340562, 12, 0.571429
23, 0, 0, 0, 1, 0.323534, 12, 0.545455
24, 0, 1, 0, 1, 0.307357, 13, 0.565217
25, 0, 1, 0, 0, 0.291989, 14, 0.583333
26, 0, 1, 0, 0, 0.27739, 15, 0.6
27, 0, 1, 0, 0, 0.26352, 16, 0.615385
28, 0, 1, 0, 0, 0.250344, 17, 0.62963
29, 0, 1, 0, 0, 0.237827, 18, 0.642857
30, 0, 1, 0, 0, 0.225936, 19, 0.655172
31, 0, 1, 0, 0, 0.214639, 20, 0.666667
32, 0, 1, 0, 0, 0.203907, 21, 0.677419
33, 0, 1, 0, 0, 0.193711, 22, 0.6875
34, 0, 1, 0, 1, 0.184026, 23, 0.69697
35, 0, 1, 0, 0, 0.174825, 24, 0.705882
36, 0, 1, 0, 0, 0.166083, 25, 0.714286
37, 0, 1, 0, 0, 0.157779, 26, 0.722222
38, 0, 1, 0, 0, 0.14989, 27, 0.72973
39, 0, 1, 0, 0, 0.142396, 28, 0.736842
40, 0, 1, 0, 1, 0.135276, 29, 0.74359
41, 0, 1, 1, 1, 0.128512, 30, 0.75
42, 0, 0, 0, 0, 0.122087, 30, 0.731707
43, 1, 0, 1, 0, 0.115982, 30, 0.714286
44, 0, 0, 0, 0, 0.110183, 30, 0.697674
45, 0, 1, 0, 0, 0.104674, 31, 0.704545
46, 0, 1, 0, 0, 0.0994403, 32, 0.711111
47, 0, 1, 0, 1, 0.0944682, 33, 0.717391
48, 0, 1, 0, 0, 0.0897448, 34, 0.723404
49, 1, 0, 1, 0, 0.0852576, 34, 0.708333
50, 0, 0, 0, 0, 0.0809947, 34, 0.693878
51, 0, 1, 0, 0, 0.076945, 35, 0.7
52, 0, 1, 0, 0, 0.0730977, 36, 0.705882
53, 1, 0, 1, 0, 0.0694428, 36, 0.692308
