cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32568, 0, 1, 1, 1, 0, 0
2, 29962, 1011, 2, 0, 0.95, 1011, 505.5
3, 30472, 991, 3, 0, 0.9025, 2002, 667.333
4, 30472, 1011, 3, 0, 0.857375, 3013, 753.25
5, 30472, 1011, 3, 0, 0.814506, 4024, 804.8
6, 30472, 1011, 0, 1, 0.773781, 5035, 839.167
7, 29962, 1001, 2, 1, 0.735092, 6036, 862.286
8, 30472, 1001, 2, 1, 0.698337, 7037, 879.625
9, 29962, 991, 2, 1, 0.66342, 8028, 892
10, 32002, 991, 2, 1, 0.630249, 9019, 901.9
11, 29962, 991, 0, 0, 0.598737, 10010, 910
12, 32002, 1001, 0, 1, 0.5688, 11011, 917.583
13, 29962, 1001, 2, 0, 0.54036, 12012, 924
14, 32002, 1001, 3, 0, 0.513342, 13013, 929.5
15, 30725, 991, 0, 0, 0.487675, 14004, 933.6
16, 30725, 1011, 0, 1, 0.463291, 15015, 938.438
17, 30725, 1011, 2, 0, 0.440127, 16026, 942.706
18, 30725, 1011, 3, 0, 0.41812, 17037, 946.5
19, 30980, 991, 1, 0, 0.397214, 18028, 948.842
20, 30725, 1001, 2, 0, 0.377354, 19029, 951.45
21, 30725, 1011, 0, 0, 0.358486, 20040, 954.286
22, 30725, 1011, 0, 1, 0.340562, 21051, 956.864
23, 30725, 1011, 2, 1, 0.323534, 22062, 959.217
24, 30725, 1011, 1, 0, 0.307357, 23073, 961.375
25, 32002, 1001, 2, 0, 0.291989, 24074, 962.96
26, 29962, 1001, 3, 0, 0.27739, 25075, 964.423
27, 29962, 1011, 1, 0, 0.26352, 26086, 966.148
28, 29962, 1011, 1, 0, 0.250344, 27097, 967.75
29, 29962, 1011, 1, 0, 0.237827, 28108, 969.241
30, 29962, 1011, 2, 0, 0.225936, 29119, 970.633
31, 32512, 991, 1, 1, 0.214639, 30110, 971.29
32, 31237, 991, 1, 0, 0.203907, 31101, 971.906
33, 31492, 991, 3, 0, 0.193711, 32092, 972.485
34, 31237, 1001, 2, 0, 0.184026, 33093, 973.324
35, 31237, 1011, 2, 0, 0.174825, 34104, 974.4
36, 31237, 1011, 0, 0, 0.166083, 35115, 975.417
37, 31237, 1011, 2, 0, 0.157779, 36126, 976.378
38, 31237, 1011, 0, 1, 0.14989, 37137, 977.289
39, 31237, 1011, 3, 1, 0.142396, 38148, 978.154
40, 32512, 1001, 2, 0, 0.135276, 39149, 978.725
41, 29962, 991, 1, 0, 0.128512, 40140, 979.024
42, 29962, 1011, 2, 0, 0.122087, 41151, 979.786
43, 29962, 991, 0, 0, 0.115982, 42142, 980.047
44, 29962, 1001, 0, 0, 0.110183, 43143, 980.523
45, 32512, 1001, 2, 0, 0.104674, 44144, 980.978
46, 29962, 1001, 2, 0, 0.0994403, 45145, 981.413
47, 29978, 1001, 3, 0, 0.0944682, 46146, 981.83
48, 29978, 1011, 0, 0, 0.0897448, 47157, 982.438
49, 29978, 1001, 3, 0, 0.0852576, 48158, 982.816
50, 29962, 961, 3, 0, 0.0809947, 49119, 982.38
51, 29962, 1011, 3, 0, 0.076945, 50130, 982.941
52, 29962, 1011, 3, 0, 0.0730977, 51141, 983.481
53, 29962, 1011, 0, 0, 0.0694428, 52152, 984
54, 30472, 991, 2, 0, 0.0659707, 53143, 984.13
55, 29962, 1001, 2, 0, 0.0626722, 54144, 984.436
56, 30472, 991, 1, 0, 0.0595386, 55135, 984.554
57, 29189, 991, 0, 0, 0.0565616, 56126, 984.667
58, 29189, 1011, 3, 0, 0.0537335, 57137, 985.121
59, 30472, 1001, 3, 0, 0.0510469, 58138, 985.39
60, 30472, 1011, 2, 0, 0.0484945, 59149, 985.817
61, 29962, 991, 0, 0, 0.0460698, 60140, 985.902
62, 30472, 1001, 3, 0, 0.0437663, 61141, 986.145
63, 30472, 1011, 1, 0, 0.041578, 62152, 986.54
64, 29189, 1001, 1, 0, 0.0394991, 63153, 986.766
65, 29954, 991, 1, 0, 0.0375241, 64144, 986.831
66, 29954, 1011, 3, 0, 0.0356479, 65155, 987.197
67, 28677, 1001, 3, 0, 0.0338655, 66156, 987.403
68, 29960, 1001, 1, 0, 0.0321723, 67157, 987.603
69, 28677, 1001, 0, 0, 0.0305636, 68158, 987.797
70, 28677, 1011, 0, 0, 0.0290355, 69169, 988.129
71, 28677, 1011, 2, 0, 0.0275837, 70180, 988.451
72, 28677, 1011, 0, 0, 0.0262045, 71191, 988.764
73, 28677, 1011, 1, 0, 0.0248943, 72202, 989.068
74, 29954, 1001, 1, 0, 0.0236496, 73203, 989.23
75, 29954, 1011, 2, 0, 0.0224671, 74214, 989.52
76, 29962, 991, 2, 0, 0.0213437, 75205, 989.539
77, 30472, 991, 2, 0, 0.0202765, 76196, 989.558
78, 29962, 991, 3, 0, 0.0192627, 77187, 989.577
79, 29962, 1011, 3, 0, 0.0182996, 78198, 989.848
80, 29962, 1011, 1, 0, 0.0173846, 79209, 990.112
81, 29962, 1011, 1, 0, 0.0165154, 80220, 990.37
82, 29962, 1011, 1, 0, 0.0156896, 81231, 990.622
83, 29962, 1011, 0, 0, 0.0149051, 82242, 990.867
84, 30472, 1001, 3, 0, 0.0141599, 83243, 990.988
85, 30472, 1011, 2, 0, 0.0134519, 84254, 991.224
86, 29962, 1001, 0, 0, 0.0127793, 85255, 991.337
87, 30472, 1001, 0, 0, 0.0121403, 86256, 991.448
88, 29962, 1001, 1, 0, 0.0115333, 87257, 991.557
89, 29962, 1011, 3, 0, 0.0109566, 88268, 991.775
90, 29962, 1011, 2, 0, 0.0104088, 89279, 991.989
91, 30472, 1001, 2, 0, 0.00988836, 90280, 992.088
92, 29962, 1001, 3, 0, 0.00939395, 91281, 992.185
93, 29962, 1011, 0, 0, 0.00892425, 92292, 992.387
94, 30472, 1001, 3, 0, 0.00847804, 93293, 992.479
95, 30488, 1011, 3, 0, 0.00805413, 94304, 992.674
96, 30488, 1011, 2, 0, 0.00765143, 95315, 992.865
97, 29978, 1001, 3, 0, 0.00726886, 96316, 992.948
98, 29962, 961, 1, 0, 0.00690541, 97277, 992.622
99, 29962, 1011, 1, 0, 0.00656014, 98288, 992.808
100, 29962, 1011, 3, 0, 0.00623214, 99299, 992.99
101, 29962, 1011, 0, 0, 0.00592053, 100310, 993.168
102, 30472, 991, 0, 0, 0.0056245, 101301, 993.147
103, 29962, 991, 3, 0, 0.00534328, 102292, 993.126
104, 29962, 1011, 0, 0, 0.00507611, 103303, 993.298
105, 32002, 991, 3, 0, 0.00482231, 104294, 993.276
106, 30725, 991, 1, 0, 0.00458119, 105285, 993.255
107, 32002, 1001, 1, 0, 0.00435213, 106286, 993.327
108, 32002, 1011, 0, 0, 0.00413453, 107297, 993.491
109, 29962, 991, 0, 0, 0.0039278, 108288, 993.468
110, 32512, 991, 1, 0, 0.00373141, 109279, 993.445
111, 31237, 991, 0, 0, 0.00354484, 110270, 993.423
112, 31237, 1011, 1, 0, 0.0033676, 111281, 993.58
113, 32257, 991, 0, 0, 0.00319922, 112272, 993.558
114, 32257, 1011, 1, 0, 0.00303926, 113283, 993.711
115, 31237, 991, 1, 0, 0.00288729, 114274, 993.687
116, 30982, 991, 1, 0, 0.00274293, 115265, 993.664
117, 30982, 1011, 3, 0, 0.00260578, 116276, 993.812
118, 30725, 1001, 0, 0, 0.00247549, 117277, 993.873
119, 30725, 1011, 3, 0, 0.00235172, 118288, 994.017
120, 31745, 1001, 0, 0, 0.00223413, 119289, 994.075
121, 31745, 1011, 1, 0, 0.00212243, 120300, 994.215
122, 30725, 1001, 1, 0, 0.00201631, 121301, 994.27
123, 30982, 1001, 0, 0, 0.00191549, 122302, 994.325
124, 28938, 991, 0, 0, 0.00181972, 123293, 994.298
125, 30978, 991, 0, 0, 0.00172873, 124284, 994.272
126, 29193, 991, 1, 0, 0.00164229, 125275, 994.246
127, 29189, 991, 0, 0, 0.00156018, 126266, 994.22
128, 29189, 1011, 1, 0, 0.00148217, 127277, 994.352
129, 29699, 991, 2, 0, 0.00140806, 128268, 994.326
130, 29706, 991, 3, 0, 0.00133766, 129259, 994.3
131, 29706, 1011, 3, 0, 0.00127078, 130270, 994.427
132, 29706, 1011, 0, 0, 0.00120724, 131281, 994.553
133, 29699, 1001, 3, 0, 0.00114687, 132282, 994.602
134, 24581, 1001, 2, 0, 0.00108953, 133283, 994.649
135, 24581, 1011, 0, 0, 0.00103505, 134294, 994.77
136, 24581, 1011, 0, 0, 0.000983302, 135305, 994.89
137, 24581, 1011, 3, 0, 0.000934136, 136316, 995.007
138, 28681, 1001, 0, 0, 0.00088743, 137317, 995.051
