cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 1, 1, 0, 0
2, 2, 0, 2, 0, 0.95, 0, 0
3, 0, 0, 0, 1, 0.9025, 0, 0
4, 0, 1, 1, 1, 0.857375, 1, 0.25
5, 2, 0, 1, 1, 0.814506, 1, 0.2
6, 0, 2, 1, 1, 0.773781, 3, 0.5
7, 1, 1, 2, 1, 0.735092, 4, 0.571429
8, 1, 2, 2, 1, 0.698337, 6, 0.75
9, 2, 1, 1, 0, 0.66342, 7, 0.777778
10, 2, 0, 0, 1, 0.630249, 7, 0.7
11, 1, 0, 1, 1, 0.598737, 7, 0.636364
12, 1, 1, 2, 0, 0.5688, 8, 0.666667
13, 2, 1, 1, 1, 0.54036, 9, 0.692308
14, 0, 2, 2, 0, 0.513342, 11, 0.785714
15, 2, 1, 2, 1, 0.487675, 12, 0.8
16, 2, 1, 0, 0, 0.463291, 13, 0.8125
17, 0, 1, 2, 0, 0.440127, 14, 0.823529
18, 2, 1, 1, 0, 0.41812, 15, 0.833333
19, 1, 1, 2, 0, 0.397214, 16, 0.842105
20, 1, 2, 0, 0, 0.377354, 18, 0.9
21, 2, 2, 1, 0, 0.358486, 20, 0.952381
22, 2, 0, 1, 0, 0.340562, 20, 0.909091
23, 1, 1, 2, 1, 0.323534, 21, 0.913043
24, 1, 2, 1, 0, 0.307357, 23, 0.958333
25, 0, 2, 2, 0, 0.291989, 25, 1
26, 1, 2, 0, 0, 0.27739, 27, 1.03846
27, 2, 2, 1, 0, 0.26352, 29, 1.07407
28, 0, 2, 1, 0, 0.250344, 31, 1.10714
29, 0, 2, 1, 1, 0.237827, 33, 1.13793
30, 2, 0, 1, 0, 0.225936, 33, 1.1
31, 0, 2, 1, 0, 0.214639, 35, 1.12903
32, 1, 1, 2, 0, 0.203907, 36, 1.125
33, 2, 1, 1, 0, 0.193711, 37, 1.12121
34, 2, 0, 1, 0, 0.184026, 37, 1.08824
35, 0, 2, 1, 0, 0.174825, 39, 1.11429
36, 1, 1, 1, 0, 0.166083, 40, 1.11111
37, 2, 0, 1, 0, 0.157779, 40, 1.08108
38, 1, 1, 2, 0, 0.14989, 41, 1.07895
39, 2, 1, 0, 0, 0.142396, 42, 1.07692
40, 1, 0, 0, 0, 0.135276, 42, 1.05
41, 1, 0, 0, 0, 0.128512, 42, 1.02439
42, 0, 1, 1, 1, 0.122087, 43, 1.02381
43, 0, 2, 2, 0, 0.115982, 45, 1.04651
44, 2, 1, 2, 0, 0.110183, 46, 1.04545
45, 2, 1, 1, 0, 0.104674, 47, 1.04444
46, 1, 1, 2, 0, 0.0994403, 48, 1.04348
47, 1, 2, 2, 0, 0.0944682, 50, 1.06383
48, 1, 2, 2, 0, 0.0897448, 52, 1.08333
49, 1, 2, 1, 0, 0.0852576, 54, 1.10204
50, 0, 2, 1, 0, 0.0809947, 56, 1.12
51, 0, 2, 2, 1, 0.076945, 58, 1.13725
52, 0, 0, 0, 0, 0.0730977, 58, 1.11538
53, 0, 1, 0, 0, 0.0694428, 59, 1.11321
54, 2, 2, 1, 0, 0.0659707, 61, 1.12963
55, 1, 1, 1, 0, 0.0626722, 62, 1.12727
56, 0, 2, 1, 0, 0.0595386, 64, 1.14286
57, 2, 0, 1, 0, 0.0565616, 64, 1.12281
58, 0, 2, 0, 0, 0.0537335, 66, 1.13793
59, 2, 2, 1, 0, 0.0510469, 68, 1.15254
60, 2, 0, 0, 0, 0.0484945, 68, 1.13333
61, 2, 2, 0, 0, 0.0460698, 70, 1.14754
62, 1, 0, 0, 0, 0.0437663, 70, 1.12903
63, 1, 0, 1, 0, 0.041578, 70, 1.11111
64, 2, 0, 2, 0, 0.0394991, 70, 1.09375
65, 1, 2, 0, 0, 0.0375241, 72, 1.10769
66, 1, 0, 2, 0, 0.0356479, 72, 1.09091
67, 2, 1, 1, 0, 0.0338655, 73, 1.08955
68, 2, 0, 0, 0, 0.0321723, 73, 1.07353
69, 1, 0, 0, 0, 0.0305636, 73, 1.05797
70, 0, 1, 0, 0, 0.0290355, 74, 1.05714
71, 2, 2, 1, 0, 0.0275837, 76, 1.07042
72, 0, 2, 0, 0, 0.0262045, 78, 1.08333
73, 1, 0, 1, 0, 0.0248943, 78, 1.06849
74, 1, 1, 0, 0, 0.0236496, 79, 1.06757
75, 0, 1, 2, 0, 0.0224671, 80, 1.06667
76, 2, 1, 0, 0, 0.0213437, 81, 1.06579
77, 2, 2, 1, 0, 0.0202765, 83, 1.07792
78, 1, 1, 2, 0, 0.0192627, 84, 1.07692
79, 1, 2, 0, 0, 0.0182996, 86, 1.08861
80, 0, 1, 2, 0, 0.0173846, 87, 1.0875
81, 0, 0, 1, 0, 0.0165154, 87, 1.07407
82, 0, 2, 0, 0, 0.0156896, 89, 1.08537
83, 0, 1, 1, 0, 0.0149051, 90, 1.08434
84, 0, 2, 0, 0, 0.0141599, 92, 1.09524
85, 0, 1, 1, 0, 0.0134519, 93, 1.09412
86, 1, 1, 1, 0, 0.0127793, 94, 1.09302
