cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2526806016, 0, 7, 1, 1, 0, 0
2, 2526937092, 2, 7, 1, 0.95, 2, 1
3, 2526937092, 0, 1, 1, 0.9025, 2, 0.666667
4, 2526937092, 0, 7, 1, 0.857375, 2, 0.5
5, 2526937092, 0, 2, 1, 0.814506, 2, 0.4
6, 2526941700, 2, 2, 1, 0.773781, 4, 0.666667
7, 2526941700, 0, 7, 1, 0.735092, 4, 0.571429
8, 2526941700, 0, 1, 0, 0.698337, 4, 0.5
9, 2526941700, 0, 6, 1, 0.66342, 4, 0.444444
10, 2526941844, 2, 0, 0, 0.630249, 6, 0.6
11, 2526941844, 0, 7, 0, 0.598737, 6, 0.545455
12, 2526941844, 0, 5, 0, 0.5688, 6, 0.5
13, 2526941844, 0, 1, 1, 0.54036, 6, 0.461538
14, 2526941844, 0, 8, 1, 0.513342, 6, 0.428571
15, 0, 4, 4, 1, 0.487675, 10, 0.666667
16, 131328, 2, 6, 1, 0.463291, 12, 0.75
17, 139536, 2, 3, 1, 0.440127, 14, 0.823529
18, 140568, 2, 0, 1, 0.41812, 16, 0.888889
19, 140568, 0, 7, 0, 0.397214, 16, 0.842105
20, 140568, 0, 7, 0, 0.377354, 16, 0.8
21, 140568, 0, 5, 0, 0.358486, 16, 0.761905
22, 0, 4, 4, 1, 0.340562, 20, 0.909091
23, 131328, 2, 3, 1, 0.323534, 22, 0.956522
24, 165120, 2, 7, 0, 0.307357, 24, 1
25, 165126, 2, 8, 0, 0.291989, 26, 1.04
26, 165126, 0, 8, 0, 0.27739, 26, 1
27, 165126, 0, 0, 0, 0.26352, 26, 0.962963
28, 165126, 0, 1, 0, 0.250344, 26, 0.928571
29, 165126, 0, 3, 1, 0.237827, 26, 0.896552
30, 165126, 0, 2, 1, 0.225936, 26, 0.866667
31, 169350, 2, 1, 0, 0.214639, 28, 0.903226
32, 169350, 0, 6, 0, 0.203907, 28, 0.875
33, 0, 4, 6, 1, 0.193711, 32, 0.969697
34, 131088, 2, 5, 0, 0.184026, 34, 1
35, 131154, 2, 2, 0, 0.174825, 36, 1.02857
36, 137298, 2, 2, 0, 0.166083, 38, 1.05556
37, 137298, 0, 7, 0, 0.157779, 38, 1.02703
38, 170070, 2, 1, 0, 0.14989, 40, 1.05263
39, 170070, 0, 7, 0, 0.142396, 40, 1.02564
40, 170070, 0, 1, 0, 0.135276, 40, 1
41, 170070, 0, 3, 0, 0.128512, 40, 0.97561
42, 170070, 0, 3, 0, 0.122087, 40, 0.952381
43, 170070, 0, 6, 0, 0.115982, 40, 0.930233
44, 170070, 0, 7, 1, 0.110183, 40, 0.909091
45, 170070, 0, 5, 0, 0.104674, 40, 0.888889
46, 170070, 0, 5, 0, 0.0994403, 40, 0.869565
47, 170070, 0, 6, 0, 0.0944682, 40, 0.851064
48, 170070, 0, 7, 0, 0.0897448, 40, 0.833333
49, 170070, 0, 5, 1, 0.0852576, 40, 0.816327
50, 170070, 0, 3, 0, 0.0809947, 40, 0.8
51, 170070, 0, 0, 0, 0.076945, 40, 0.784314
52, 170070, 0, 8, 1, 0.0730977, 40, 0.769231
53, 170070, 0, 1, 0, 0.0694428, 40, 0.754717
54, 170070, 0, 3, 0, 0.0659707, 40, 0.740741
55, 170070, 0, 2, 0, 0.0626722, 40, 0.727273
56, 170070, 0, 7, 0, 0.0595386, 40, 0.714286
57, 170070, 0, 4, 1, 0.0565616, 40, 0.701754
58, 0, 4, 3, 0, 0.0537335, 44, 0.758621
59, 132096, 2, 1, 0, 0.0510469, 46, 0.779661
60, 148488, 2, 7, 0, 0.0484945, 48, 0.8
61, 148488, 0, 8, 0, 0.0460698, 48, 0.786885
62, 149001, 2, 4, 0, 0.0437663, 50, 0.806452
63, 149001, 0, 0, 0, 0.041578, 50, 0.793651
64, 149001, 0, 1, 0, 0.0394991, 50, 0.78125
65, 149001, 0, 2, 0, 0.0375241, 50, 0.769231
66, 153225, 2, 5, 0, 0.0356479, 52, 0.787879
67, 153225, 0, 1, 0, 0.0338655, 52, 0.776119
68, 153225, 0, 1, 0, 0.0321723, 52, 0.764706
69, 153225, 0, 6, 0, 0.0305636, 52, 0.753623
70, 0, 3, 2, 0, 0.0290355, 55, 0.785714
71, 135168, 2, 5, 0, 0.0275837, 57, 0.802817
72, 168000, 2, 2, 0, 0.0262045, 59, 0.819444
73, 168000, 0, 7, 0, 0.0248943, 59, 0.808219
74, 168006, 2, 8, 0, 0.0236496, 61, 0.824324
75, 168006, 0, 5, 0, 0.0224671, 61, 0.813333
76, 168006, 0, 8, 0, 0.0213437, 61, 0.802632
77, 168006, 0, 7, 0, 0.0202765, 61, 0.792208
78, 168006, 0, 5, 0, 0.0192627, 61, 0.782051
79, 168006, 0, 5, 0, 0.0182996, 61, 0.772152
80, 168006, 0, 8, 0, 0.0173846, 61, 0.7625
81, 168006, 0, 2, 0, 0.0165154, 61, 0.753086
82, 168006, 0, 7, 0, 0.0156896, 61, 0.743902
83, 168006, 0, 5, 0, 0.0149051, 61, 0.73494
84, 168006, 0, 2, 0, 0.0141599, 61, 0.72619
85, 168006, 0, 1, 0, 0.0134519, 61, 0.717647
86, 168006, 0, 7, 0, 0.0127793, 61, 0.709302
87, 168006, 0, 5, 0, 0.0121403, 61, 0.701149
88, 168006, 0, 2, 0, 0.0115333, 61, 0.693182
89, 168006, 0, 1, 0, 0.0109566, 61, 0.685393
90, 168006, 0, 6, 0, 0.0104088, 61, 0.677778
91, 170070, 2, 1, 0, 0.00988836, 63, 0.692308
92, 170070, 0, 5, 0, 0.00939395, 63, 0.684783
93, 170070, 0, 0, 0, 0.00892425, 63, 0.677419
94, 170070, 0, 8, 0, 0.00847804, 63, 0.670213
95, 170070, 0, 0, 0, 0.00805413, 63, 0.663158
96, 170070, 0, 6, 0, 0.00765143, 63, 0.65625
97, 170070, 0, 2, 0, 0.00726886, 63, 0.649485
98, 170070, 0, 0, 0, 0.00690541, 63, 0.642857
99, 170070, 0, 3, 0, 0.00656014, 63, 0.636364
100, 170070, 0, 1, 0, 0.00623214, 63, 0.63
101, 170070, 0, 4, 0, 0.00592053, 63, 0.623762
102, 0, 4, 0, 0, 0.0056245, 67, 0.656863
103, 65664, 2, 0, 0, 0.00534328, 69, 0.669903
104, 65664, 0, 7, 0, 0.00507611, 69, 0.663462
105, 73860, 2, 8, 0, 0.00482231, 71, 0.67619
106, 73893, 2, 6, 0, 0.00458119, 73, 0.688679
107, 73893, 0, 0, 0, 0.00435213, 73, 0.682243
108, 73893, 0, 2, 0, 0.00413453, 73, 0.675926
109, 73893, 0, 3, 0, 0.0039278, 73, 0.669725
110, 107685, 2, 1, 0, 0.00373141, 75, 0.681818
111, 107685, 0, 1, 0, 0.00354484, 75, 0.675676
112, 107685, 0, 6, 0, 0.0033676, 75, 0.669643
113, 107685, 0, 7, 0, 0.00319922, 75, 0.663717
114, 107685, 0, 8, 0, 0.00303926, 75, 0.657895
115, 107685, 0, 2, 0, 0.00288729, 75, 0.652174
116, 107685, 0, 8, 0, 0.00274293, 75, 0.646552
117, 107685, 0, 0, 0, 0.00260578, 75, 0.641026
118, 107685, 0, 0, 0, 0.00247549, 75, 0.635593
119, 107685, 0, 7, 0, 0.00235172, 75, 0.630252
120, 107685, 0, 0, 0, 0.00223413, 75, 0.625
121, 107685, 0, 3, 0, 0.00212243, 75, 0.619835
122, 107685, 0, 3, 0, 0.00201631, 75, 0.614754
123, 107685, 0, 3, 0, 0.00191549, 75, 0.609756
124, 107685, 0, 7, 0, 0.00181972, 75, 0.604839
125, 107685, 0, 5, 0, 0.00172873, 75, 0.6
126, 107685, 0, 1, 0, 0.00164229, 75, 0.595238
127, 107685, 0, 2, 0, 0.00156018, 75, 0.590551
128, 107685, 0, 7, 0, 0.00148217, 75, 0.585938
129, 107685, 0, 7, 0, 0.00140806, 75, 0.581395
130, 107685, 0, 7, 0, 0.00133766, 75, 0.576923
131, 107685, 0, 0, 0, 0.00127078, 75, 0.572519
132, 107685, 0, 0, 0, 0.00120724, 75, 0.568182
133, 107685, 0, 3, 0, 0.00114687, 75, 0.56391
134, 107685, 0, 5, 0, 0.00108953, 75, 0.559701
135, 107685, 0, 6, 0, 0.00103505, 75, 0.555556
136, 107685, 0, 7, 0, 0.000983302, 75, 0.551471
137, 107685, 0, 1, 0, 0.000934136, 75, 0.547445
138, 107685, 0, 8, 0, 0.00088743, 75, 0.543478
139, 107685, 0, 7, 0, 0.000843058, 75, 0.539568
140, 107685, 0, 0, 0, 0.000800905, 75, 0.535714
141, 107685, 0, 1, 0, 0.00076086, 75, 0.531915
142, 107685, 0, 6, 0, 0.000722817, 75, 0.528169
143, 107685, 0, 3, 0, 0.000686676, 75, 0.524476
144, 107685, 0, 5, 0, 0.000652342, 75, 0.520833
145, 107685, 0, 2, 0, 0.000619725, 75, 0.517241
146, 107685, 0, 2, 0, 0.000588739, 75, 0.513699
147, 107685, 0, 7, 0, 0.000559302, 75, 0.510204
148, 107685, 0, 4, 0, 0.000531337, 75, 0.506757
149, 0, 4, 7, 0, 0.00050477, 79, 0.530201
150, 131076, 2, 3, 0, 0.000479532, 81, 0.54
151, 140292, 2, 5, 0, 0.000455555, 83, 0.549669
152, 0, 1, 8, 0, 0.000432777, 84, 0.552632
153, 131073, 2, 8, 0, 0.000411138, 86, 0.562092
154, 131073, 0, 3, 0, 0.000390581, 86, 0.558442
155, 132105, 2, 8, 0, 0.000371052, 88, 0.567742
156, 132105, 0, 6, 0, 0.0003525, 88, 0.564103
157, 132633, 2, 8, 0, 0.000334875, 90, 0.573248
158, 132633, 0, 6, 0, 0.000318131, 90, 0.56962
159, 132633, 0, 2, 0, 0.000302224, 90, 0.566038
160, 0, 1, 0, 0, 0.000287113, 91, 0.56875
161, 66048, 2, 4, 0, 0.000272758, 93, 0.57764
162, 66048, 0, 4, 0, 0.00025912, 93, 0.574074
163, 66048, 0, 7, 0, 0.000246164, 93, 0.570552
164, 98820, 2, 4, 0, 0.000233856, 95, 0.579268
165, 98820, 0, 3, 0, 0.000222163, 95, 0.575758
166, 108036, 2, 6, 0, 0.000211055, 97, 0.584337
167, 0, 4, 2, 0, 0.000200502, 101, 0.60479
168, 135168, 2, 8, 0, 0.000190477, 103, 0.613095
169, 135297, 2, 0, 0, 0.000180953, 105, 0.621302
170, 135297, 0, 7, 0, 0.000171905, 105, 0.617647
171, 137349, 2, 6, 0, 0.00016331, 107, 0.625731
172, 0, 4, 6, 0, 0.000155145, 111, 0.645349
173, 131088, 2, 5, 0, 0.000147387, 113, 0.653179
174, 163920, 2, 1, 0, 0.000140018, 115, 0.66092
175, 163920, 0, 7, 0, 0.000133017, 115, 0.657143
176, 165972, 2, 2, 0, 0.000126366, 117, 0.664773
177, 170070, 2, 7, 0, 0.000120048, 119, 0.672316
178, 170070, 0, 7, 0, 0.000114045, 119, 0.668539
179, 170070, 0, 2, 0, 0.000108343, 119, 0.664804
180, 170070, 0, 8, 0, 0.000102926, 119, 0.661111
181, 170070, 0, 7, 0, 9.77798e-05, 119, 0.657459
182, 170070, 0, 5, 0, 9.28908e-05, 119, 0.653846
183, 170070, 0, 7, 0, 8.82462e-05, 119, 0.650273
184, 170070, 0, 0, 0, 8.38339e-05, 119, 0.646739
185, 170070, 0, 4, 0, 7.96422e-05, 119, 0.643243
186, 0, 4, 4, 0, 7.56601e-05, 123, 0.66129
187, 131328, 2, 4, 0, 7.18771e-05, 125, 0.668449
188, 131328, 0, 6, 0, 6.82833e-05, 125, 0.664894
189, 133392, 2, 4, 0, 6.48691e-05, 127, 0.671958
190, 133392, 0, 4, 0, 6.16256e-05, 127, 0.668421
191, 133392, 0, 3, 0, 5.85444e-05, 127, 0.664921
192, 133392, 0, 5, 0, 5.56171e-05, 127, 0.661458
193, 141648, 2, 6, 0, 5.28363e-05, 129, 0.668394
194, 141648, 0, 8, 0, 5.01945e-05, 129, 0.664948
195, 0, 1, 4, 0, 4.76847e-05, 130, 0.666667
196, 131328, 2, 4, 0, 4.53005e-05, 132, 0.673469
197, 131328, 0, 4, 0, 4.30355e-05, 132, 0.670051
198, 131328, 0, 4, 0, 4.08837e-05, 132, 0.666667
199, 131328, 0, 2, 0, 3.88395e-05, 132, 0.663317
200, 135426, 2, 5, 0, 3.68975e-05, 134, 0.67
201, 168258, 2, 6, 0, 3.50527e-05, 136, 0.676617
202, 0, 4, 8, 0, 3.33e-05, 140, 0.693069
203, 131073, 2, 4, 0, 3.1635e-05, 142, 0.699507
204, 131337, 2, 4, 0, 3.00533e-05, 144, 0.705882
205, 131337, 0, 1, 0, 2.85506e-05, 144, 0.702439
206, 155913, 2, 7, 0, 2.71231e-05, 146, 0.708738
207, 155913, 0, 2, 0, 2.57669e-05, 146, 0.705314
208, 155913, 0, 5, 0, 2.44786e-05, 146, 0.701923
209, 156009, 2, 3, 0, 2.32547e-05, 148, 0.708134
210, 0, 4, 1, 0, 2.20919e-05, 152, 0.72381
211, 147456, 2, 8, 0, 2.09873e-05, 154, 0.729858
212, 147489, 2, 0, 0, 1.9938e-05, 156, 0.735849
213, 147489, 0, 6, 0, 1.89411e-05, 156, 0.732394
214, 147489, 0, 8, 0, 1.7994e-05, 156, 0.728972
215, 147489, 0, 7, 0, 1.70943e-05, 156, 0.725581
216, 155685, 2, 7, 0, 1.62396e-05, 158, 0.731481
217, 155685, 0, 3, 0, 1.54276e-05, 158, 0.728111
218, 0, 1, 0, 0, 1.46562e-05, 159, 0.729358
219, 73728, 2, 8, 0, 1.39234e-05, 161, 0.73516
220, 73761, 2, 3, 0, 1.32272e-05, 163, 0.740909
221, 74913, 2, 1, 0, 1.25659e-05, 165, 0.746606
222, 91305, 2, 3, 0, 1.19376e-05, 167, 0.752252
223, 91305, 0, 1, 0, 1.13407e-05, 167, 0.748879
224, 91305, 0, 7, 0, 1.07737e-05, 167, 0.745536
225, 91305, 0, 1, 0, 1.0235e-05, 167, 0.742222
226, 91305, 0, 5, 0, 9.72324e-06, 167, 0.738938
227, 91305, 0, 7, 0, 9.23708e-06, 167, 0.735683
228, 91305, 0, 3, 0, 8.77523e-06, 167, 0.732456
229, 91305, 0, 4, 0, 8.33647e-06, 167, 0.729258
230, 0, 4, 8, 0, 7.91964e-06, 171, 0.743478
231, 131073, 2, 1, 0, 7.52366e-06, 173, 0.748918
232, 155649, 2, 4, 0, 7.14748e-06, 175, 0.75431
233, 156033, 2, 5, 0, 6.7901e-06, 177, 0.759657
234, 156033, 0, 2, 0, 6.4506e-06, 177, 0.75641
235, 156033, 0, 8, 0, 6.12807e-06, 177, 0.753191
236, 156033, 0, 1, 0, 5.82167e-06, 177, 0.75
237, 156033, 0, 4, 0, 5.53058e-06, 177, 0.746835
238, 156033, 0, 0, 0, 5.25405e-06, 177, 0.743697
239, 156033, 0, 2, 0, 4.99135e-06, 177, 0.740586
240, 156033, 0, 0, 0, 4.74178e-06, 177, 0.7375
241, 156033, 0, 5, 0, 4.50469e-06, 177, 0.73444
242, 156033, 0, 5, 0, 4.27946e-06, 177, 0.731405
243, 156033, 0, 1, 0, 4.06549e-06, 177, 0.728395
244, 156033, 0, 6, 0, 3.86221e-06, 177, 0.72541
245, 158097, 2, 7, 0, 3.6691e-06, 179, 0.730612
246, 0, 4, 2, 0, 3.48565e-06, 183, 0.743902
247, 135168, 2, 7, 0, 3.31136e-06, 185, 0.748988
248, 135204, 2, 8, 0, 3.1458e-06, 187, 0.754032
249, 135717, 2, 5, 0, 2.98851e-06, 189, 0.759036
250, 0, 4, 6, 0, 2.83908e-06, 193, 0.772
251, 131088, 2, 5, 0, 2.69713e-06, 195, 0.776892
252, 163920, 2, 3, 0, 2.56227e-06, 197, 0.781746
253, 0, 1, 7, 0, 2.43416e-06, 198, 0.782609
254, 131076, 2, 0, 0, 2.31245e-06, 200, 0.787402
255, 131076, 0, 4, 0, 2.19683e-06, 200, 0.784314
256, 139524, 2, 4, 0, 2.08699e-06, 202, 0.789062
257, 139524, 0, 3, 0, 1.98264e-06, 202, 0.785992
258, 140580, 2, 3, 0, 1.8835e-06, 204, 0.790698
259, 140580, 0, 6, 0, 1.78933e-06, 204, 0.787645
260, 140580, 0, 6, 0, 1.69986e-06, 204, 0.784615
261, 140580, 0, 7, 0, 1.61487e-06, 204, 0.781609
262, 140580, 0, 0, 0, 1.53413e-06, 204, 0.778626
263, 140580, 0, 1, 0, 1.45742e-06, 204, 0.775665
264, 0, 4, 0, 0, 1.38455e-06, 208, 0.787879
265, 73728, 2, 3, 0, 1.31532e-06, 210, 0.792453
266, 74880, 2, 3, 0, 1.24956e-06, 212, 0.796992
267, 74880, 0, 0, 0, 1.18708e-06, 212, 0.794007
268, 74880, 0, 3, 0, 1.12772e-06, 212, 0.791045
269, 74880, 0, 1, 0, 1.07134e-06, 212, 0.788104
270, 0, 1, 8, 0, 1.01777e-06, 213, 0.788889
271, 131073, 2, 7, 0, 9.66882e-07, 215, 0.793358
272, 131109, 2, 2, 0, 9.18538e-07, 217, 0.797794
273, 0, 1, 8, 0, 8.72611e-07, 218, 0.798535
274, 131073, 2, 3, 0, 8.2898e-07, 220, 0.80292
275, 132105, 2, 0, 0, 7.87531e-07, 222, 0.807273
276, 132105, 0, 0, 0, 7.48155e-07, 222, 0.804348
277, 132105, 0, 7, 0, 7.10747e-07, 222, 0.801444
278, 132105, 0, 2, 0, 6.7521e-07, 222, 0.798561
279, 136233, 2, 2, 0, 6.41449e-07, 224, 0.802867
280, 136233, 0, 5, 0, 6.09377e-07, 224, 0.8
281, 0, 4, 5, 0, 5.78908e-07, 228, 0.811388
282, 131136, 2, 7, 0, 5.49963e-07, 230, 0.815603
283, 131172, 2, 5, 0, 5.22464e-07, 232, 0.819788
284, 131172, 0, 7, 0, 4.96341e-07, 232, 0.816901
285, 131172, 0, 5, 0, 4.71524e-07, 232, 0.814035
286, 131172, 0, 4, 0, 4.47948e-07, 232, 0.811189
287, 0, 1, 4, 0, 4.25551e-07, 233, 0.811847
288, 131328, 2, 0, 0, 4.04273e-07, 235, 0.815972
289, 131328, 0, 0, 0, 3.84059e-07, 235, 0.813149
290, 131328, 0, 3, 0, 3.64856e-07, 235, 0.810345
291, 165120, 2, 6, 0, 3.46614e-07, 237, 0.814433
292, 165264, 2, 0, 0, 3.29283e-07, 239, 0.818493
293, 165264, 0, 0, 0, 3.12819e-07, 239, 0.8157
294, 165264, 0, 1, 0, 2.97178e-07, 239, 0.812925
295, 165264, 0, 0, 0, 2.82319e-07, 239, 0.810169
296, 165264, 0, 8, 0, 2.68203e-07, 239, 0.807432
297, 165273, 2, 0, 0, 2.54793e-07, 241, 0.811448
298, 165273, 0, 2, 0, 2.42053e-07, 241, 0.808725
299, 0, 4, 4, 0, 2.29951e-07, 245, 0.819398
300, 131328, 2, 2, 0, 2.18453e-07, 247, 0.823333
301, 135552, 2, 0, 0, 2.0753e-07, 249, 0.827243
302, 135552, 0, 4, 0, 1.97154e-07, 249, 0.824503
303, 135552, 0, 0, 0, 1.87296e-07, 249, 0.821782
304, 135552, 0, 0, 0, 1.77931e-07, 249, 0.819079
305, 135552, 0, 8, 0, 1.69035e-07, 249, 0.816393
306, 135585, 2, 8, 0, 1.60583e-07, 251, 0.820261
307, 135585, 0, 8, 0, 1.52554e-07, 251, 0.81759
308, 135585, 0, 2, 0, 1.44926e-07, 251, 0.814935
309, 135585, 0, 6, 0, 1.3768e-07, 251, 0.812298
310, 135585, 0, 2, 0, 1.30796e-07, 251, 0.809677
311, 135585, 0, 8, 0, 1.24256e-07, 251, 0.807074
312, 135585, 0, 8, 0, 1.18043e-07, 251, 0.804487
313, 135585, 0, 5, 0, 1.12141e-07, 251, 0.801917
314, 135585, 0, 6, 0, 1.06534e-07, 251, 0.799363
315, 135585, 0, 5, 0, 1.01207e-07, 251, 0.796825
316, 135585, 0, 3, 0, 9.6147e-08, 251, 0.794304
317, 169377, 2, 7, 0, 9.13396e-08, 253, 0.798107
318, 0, 3, 5, 0, 8.67727e-08, 256, 0.805031
319, 131136, 2, 8, 0, 8.2434e-08, 258, 0.808777
