cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0, 1, 1
2, 0, 0, 1, 0, 0, 1, 0.5
3, 0, 0, 1, 0, 0, 1, 0.333333
4, 0, 0, 0, 0, 0, 1, 0.25
5, 0, 1, 1, 0, 0, 2, 0.4
6, 0, 0, 0, 0, 0, 2, 0.333333
7, 0, 1, 1, 0, 0, 3, 0.428571
8, 0, 0, 0, 0, 0, 3, 0.375
9, 0, 1, 0, 0, 0, 4, 0.444444
10, 0, 0, 0, 0, 0, 4, 0.4
11, 0, 0, 1, 0, 0, 4, 0.363636
12, 0, 0, 0, 0, 0, 4, 0.333333
13, 0, 0, 1, 0, 0, 4, 0.307692
14, 0, 0, 0, 0, 0, 4, 0.285714
15, 0, 0, 1, 0, 0, 4, 0.266667
16, 0, 0, 0, 0, 0, 4, 0.25
17, 0, 0, 0, 0, 0, 4, 0.235294
18, 0, 0, 0, 0, 0, 4, 0.222222
19, 0, 0, 1, 0, 0, 4, 0.210526
20, 0, 0, 0, 0, 0, 4, 0.2
21, 0, 0, 1, 0, 0, 4, 0.190476
22, 0, 0, 1, 0, 0, 4, 0.181818
23, 0, 1, 1, 0, 0, 5, 0.217391
24, 0, 0, 1, 0, 0, 5, 0.208333
25, 0, 0, 1, 0, 0, 5, 0.2
26, 0, 0, 0, 0, 0, 5, 0.192308
27, 0, 1, 0, 0, 0, 6, 0.222222
28, 0, 0, 0, 0, 0, 6, 0.214286
29, 0, 0, 1, 0, 0, 6, 0.206897
30, 0, 0, 0, 0, 0, 6, 0.2
31, 0, 0, 0, 0, 0, 6, 0.193548
32, 0, 0, 0, 0, 0, 6, 0.1875
33, 0, 0, 1, 0, 0, 6, 0.181818
34, 0, 0, 0, 0, 0, 6, 0.176471
35, 0, 0, 1, 0, 0, 6, 0.171429
36, 0, 0, 1, 0, 0, 6, 0.166667
37, 0, 1, 1, 0, 0, 7, 0.189189
38, 0, 0, 0, 0, 0, 7, 0.184211
39, 0, 1, 0, 0, 0, 8, 0.205128
40, 0, 0, 0, 0, 0, 8, 0.2
41, 0, 0, 1, 0, 0, 8, 0.195122
42, 0, 0, 0, 0, 0, 8, 0.190476
43, 0, 0, 0, 0, 0, 8, 0.186047
44, 0, 0, 0, 0, 0, 8, 0.181818
45, 0, 0, 0, 0, 0, 8, 0.177778
46, 0, 0, 1, 0, 0, 8, 0.173913
47, 0, 0, 0, 0, 0, 8, 0.170213
48, 0, 0, 0, 0, 0, 8, 0.166667
