cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 0, 0, 0, 0, 0
2, 5, 0, 3, 0, 0, 0, 0
3, 7, 9, 3, 0, 0, 9, 3
4, 7, 0, 3, 0, 0, 9, 2.25
5, 7, 0, 3, 0, 0, 9, 1.8
6, 7, 0, 2, 0, 0, 9, 1.5
7, 7, 0, 3, 0, 0, 9, 1.28571
8, 7, 0, 3, 0, 0, 9, 1.125
9, 7, 0, 2, 0, 0, 9, 1
10, 7, 0, 2, 0, 0, 9, 0.9
11, 7, 0, 2, 0, 0, 9, 0.818182
12, 7, 0, 3, 0, 0, 9, 0.75
13, 7, 0, 3, 0, 0, 9, 0.692308
14, 7, 0, 0, 0, 0, 9, 0.642857
15, 7, 0, 1, 0, 0, 9, 0.6
16, 5, 9, 2, 0, 0, 18, 1.125
17, 5, 0, 3, 0, 0, 18, 1.05882
18, 7, 9, 0, 0, 0, 27, 1.5
19, 7, 0, 0, 0, 0, 27, 1.42105
20, 7, 0, 3, 0, 0, 27, 1.35
21, 7, 0, 3, 0, 0, 27, 1.28571
22, 7, 0, 3, 0, 0, 27, 1.22727
23, 7, 0, 0, 0, 0, 27, 1.17391
24, 7, 0, 3, 0, 0, 27, 1.125
25, 7, 0, 3, 0, 0, 27, 1.08
26, 7, 0, 1, 0, 0, 27, 1.03846
27, 5, 9, 0, 0, 0, 36, 1.33333
28, 5, 0, 1, 0, 0, 36, 1.28571
29, 12, 9, 2, 0, 0, 45, 1.55172
30, 12, 0, 3, 0, 0, 45, 1.5
31, 5, 9, 0, 0, 0, 54, 1.74194
32, 5, 0, 3, 0, 0, 54, 1.6875
33, 7, 9, 2, 0, 0, 63, 1.90909
34, 7, 0, 3, 0, 0, 63, 1.85294
35, 7, 0, 3, 0, 0, 63, 1.8
36, 7, 0, 1, 0, 0, 63, 1.75
37, 5, 9, 3, 0, 0, 72, 1.94595
38, 7, 9, 3, 0, 0, 81, 2.13158
39, 7, 0, 1, 0, 0, 81, 2.07692
40, 5, 9, 2, 0, 0, 90, 2.25
41, 5, 0, 0, 0, 0, 90, 2.19512
42, 5, 0, 1, 0, 0, 90, 2.14286
43, 12, 9, 3, 0, 0, 99, 2.30233
44, 5, 9, 3, 0, 0, 108, 2.45455
45, 7, 9, 1, 0, 0, 117, 2.6
46, 5, 9, 0, 0, 0, 126, 2.73913
47, 5, 0, 0, 0, 0, 126, 2.68085
48, 5, 0, 0, 0, 0, 126, 2.625
49, 5, 0, 1, 0, 0, 126, 2.57143
50, 12, 9, 2, 0, 0, 135, 2.7
51, 12, 0, 0, 0, 0, 135, 2.64706
52, 10, 9, 3, 0, 0, 144, 2.76923
53, 10, 0, 1, 0, 0, 144, 2.71698
54, 10, 0, 3, 0, 0, 144, 2.66667
55, 10, 0, 0, 0, 0, 144, 2.61818
56, 8, 9, 0, 0, 0, 153, 2.73214
57, 10, 9, 2, 0, 0, 162, 2.84211
58, 8, 9, 0, 0, 0, 171, 2.94828
59, 10, 9, 1, 0, 0, 180, 3.05085
60, 10, 0, 2, 0, 0, 180, 3
61, 8, 9, 1, 0, 0, 189, 3.09836
62, 8, 0, 2, 0, 0, 189, 3.04839
63, 10, 9, 0, 0, 0, 198, 3.14286
64, 8, 9, 0, 0, 0, 207, 3.23438
65, 10, 9, 2, 0, 0, 216, 3.32308
66, 8, 9, 1, 0, 0, 225, 3.40909
67, 8, 0, 3, 0, 0, 225, 3.35821
68, 5, 9, 2, 0, 0, 234, 3.44118
69, 5, 0, 2, 0, 0, 234, 3.3913
70, 5, 0, 2, 0, 0, 234, 3.34286
71, 5, 0, 1, 0, 0, 234, 3.29577
72, 8, 9, 0, 0, 0, 243, 3.375
73, 10, 9, 0, 0, 0, 252, 3.45205
74, 9, 9, 0, 0, 0, 261, 3.52703
75, 9, 0, 3, 0, 0, 261, 3.48
76, 5, 9, 0, 0, 0, 270, 3.55263
77, 5, 0, 0, 0, 0, 270, 3.50649
78, 5, 0, 0, 0, 0, 270, 3.46154
79, 5, 0, 1, 0, 0, 270, 3.41772
