cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0
3, 0, 0, 1, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0
5, 0, 1, 0, 0, 0, 1, 0.25
6, 0, 1, 0, 0, 0, 2, 0.4
7, 0, 1, 0, 0, 0, 3, 0.5
8, 0, 1, 0, 0, 0, 4, 0.571429
9, 1, 0, 1, 0, 0, 4, 0.5
10, 0, 0, 0, 0, 0, 4, 0.444444
11, 0, 1, 0, 0, 0, 5, 0.5
12, 0, 1, 0, 0, 0, 6, 0.545455
13, 0, 1, 0, 0, 0, 7, 0.583333
14, 1, 0, 1, 0, 0, 7, 0.538462
15, 0, 0, 0, 0, 0, 7, 0.5
16, 1, 0, 1, 0, 0, 7, 0.466667
17, 1, 1, 1, 0, 0, 8, 0.5
18, 0, 0, 0, 0, 0, 8, 0.470588
19, 0, 1, 1, 0, 0, 9, 0.5
20, 1, 1, 1, 0, 0, 10, 0.526316
21, 0, 0, 1, 0, 0, 10, 0.5
22, 0, 0, 0, 0, 0, 10, 0.47619
23, 1, 0, 1, 0, 0, 10, 0.454545
24, 0, 0, 1, 0, 0, 10, 0.434783
25, 0, 0, 1, 0, 0, 10, 0.416667
26, 0, 0, 0, 0, 0, 10, 0.4
27, 0, 1, 1, 0, 0, 11, 0.423077
28, 0, 0, 0, 0, 0, 11, 0.407407
29, 0, 1, 1, 0, 0, 12, 0.428571
30, 0, 0, 0, 0, 0, 12, 0.413793
31, 0, 1, 0, 0, 0, 13, 0.433333
32, 0, 1, 0, 0, 0, 14, 0.451613
33, 0, 1, 0, 0, 0, 15, 0.46875
34, 0, 1, 0, 0, 0, 16, 0.484848
35, 0, 1, 0, 0, 0, 17, 0.5
36, 1, 0, 1, 0, 0, 17, 0.485714
37, 0, 0, 0, 0, 0, 17, 0.472222
38, 0, 1, 1, 0, 0, 18, 0.486486
39, 0, 0, 0, 0, 0, 18, 0.473684
40, 0, 1, 0, 0, 0, 19, 0.487179
41, 0, 1, 0, 0, 0, 20, 0.5
42, 0, 1, 0, 0, 0, 21, 0.512195
43, 0, 1, 0, 0, 0, 22, 0.52381
44, 0, 1, 0, 0, 0, 23, 0.534884
45, 0, 1, 0, 0, 0, 24, 0.545455
46, 0, 1, 0, 0, 0, 25, 0.555556
47, 0, 1, 0, 0, 0, 26, 0.565217
48, 0, 1, 0, 0, 0, 27, 0.574468
49, 0, 1, 0, 0, 0, 28, 0.583333
50, 0, 1, 0, 0, 0, 29, 0.591837
51, 0, 1, 0, 0, 0, 30, 0.6
52, 0, 1, 0, 0, 0, 31, 0.607843
53, 0, 1, 0, 0, 0, 32, 0.615385
54, 0, 1, 0, 0, 0, 33, 0.622642
55, 0, 1, 0, 0, 0, 34, 0.62963
56, 0, 1, 0, 0, 0, 35, 0.636364
57, 0, 1, 0, 0, 0, 36, 0.642857
58, 0, 1, 0, 0, 0, 37, 0.649123
59, 0, 1, 0, 0, 0, 38, 0.655172
60, 0, 1, 0, 0, 0, 39, 0.661017
61, 0, 1, 0, 0, 0, 40, 0.666667
62, 0, 1, 0, 0, 0, 41, 0.672131
63, 0, 1, 0, 0, 0, 42, 0.677419
64, 0, 1, 0, 0, 0, 43, 0.68254
65, 0, 1, 0, 0, 0, 44, 0.6875
66, 0, 1, 0, 0, 0, 45, 0.692308
67, 0, 1, 0, 0, 0, 46, 0.69697
68, 0, 1, 0, 0, 0, 47, 0.701493
69, 0, 1, 0, 0, 0, 48, 0.705882
70, 0, 1, 0, 0, 0, 49, 0.710145
71, 0, 1, 0, 0, 0, 50, 0.714286
72, 0, 1, 0, 0, 0, 51, 0.71831
73, 0, 1, 0, 0, 0, 52, 0.722222
74, 0, 1, 0, 0, 0, 53, 0.726027
75, 0, 1, 0, 0, 0, 54, 0.72973
76, 0, 1, 0, 0, 0, 55, 0.733333
77, 0, 1, 0, 0, 0, 56, 0.736842
78, 1, 0, 1, 0, 0, 56, 0.727273
79, 0, 0, 0, 0, 0, 56, 0.717949
80, 0, 1, 0, 0, 0, 57, 0.721519
81, 1, 0, 1, 0, 0, 57, 0.7125
82, 0, 0, 0, 0, 0, 57, 0.703704
83, 0, 1, 0, 0, 0, 58, 0.707317
84, 0, 1, 0, 0, 0, 59, 0.710843
85, 0, 1, 0, 0, 0, 60, 0.714286
86, 0, 1, 0, 0, 0, 61, 0.717647
87, 0, 1, 0, 0, 0, 62, 0.72093
88, 0, 1, 0, 0, 0, 63, 0.724138
89, 1, 0, 1, 0, 0, 63, 0.715909
90, 0, 0, 0, 0, 0, 63, 0.707865
91, 0, 1, 0, 0, 0, 64, 0.711111
92, 1, 0, 1, 0, 0, 64, 0.703297
93, 0, 0, 0, 0, 0, 64, 0.695652
94, 0, 1, 0, 0, 0, 65, 0.698925
95, 0, 1, 0, 0, 0, 66, 0.702128
96, 0, 1, 0, 0, 0, 67, 0.705263
97, 0, 1, 0, 0, 0, 68, 0.708333
98, 0, 1, 0, 0, 0, 69, 0.71134
99, 1, 0, 1, 0, 0, 69, 0.704082
100, 0, 0, 0, 0, 0, 69, 0.69697
101, 0, 1, 0, 0, 0, 70, 0.7
102, 0, 1, 0, 0, 0, 71, 0.70297
103, 0, 1, 0, 0, 0, 72, 0.705882
104, 0, 1, 0, 0, 0, 73, 0.708738
105, 0, 1, 0, 0, 0, 74, 0.711538
106, 0, 1, 0, 0, 0, 75, 0.714286
107, 0, 1, 0, 0, 0, 76, 0.716981
108, 0, 1, 0, 0, 0, 77, 0.719626
109, 0, 1, 0, 0, 0, 78, 0.722222
110, 0, 1, 0, 0, 0, 79, 0.724771
111, 0, 1, 0, 0, 0, 80, 0.727273
112, 0, 1, 0, 0, 0, 81, 0.72973
113, 0, 1, 0, 0, 0, 82, 0.732143
114, 0, 1, 0, 0, 0, 83, 0.734513
115, 0, 1, 0, 0, 0, 84, 0.736842
116, 0, 1, 0, 0, 0, 85, 0.73913
117, 0, 1, 0, 0, 0, 86, 0.741379
118, 0, 1, 0, 0, 0, 87, 0.74359
119, 0, 1, 0, 0, 0, 88, 0.745763
120, 0, 1, 0, 0, 0, 89, 0.747899
121, 0, 1, 0, 0, 0, 90, 0.75
122, 0, 1, 0, 0, 0, 91, 0.752066
123, 0, 1, 0, 0, 0, 92, 0.754098
124, 0, 1, 0, 0, 0, 93, 0.756098
125, 0, 1, 0, 0, 0, 94, 0.758065
126, 0, 1, 0, 0, 0, 95, 0.76
127, 0, 1, 0, 0, 0, 96, 0.761905
128, 0, 1, 0, 0, 0, 97, 0.76378
129, 0, 1, 0, 0, 0, 98, 0.765625
130, 0, 1, 0, 0, 0, 99, 0.767442
131, 0, 1, 0, 0, 0, 100, 0.769231
132, 0, 1, 0, 0, 0, 101, 0.770992
133, 1, 0, 1, 0, 0, 101, 0.765152
134, 1, 1, 1, 0, 0, 102, 0.766917
135, 0, 0, 0, 0, 0, 102, 0.761194
136, 0, 1, 0, 0, 0, 103, 0.762963
137, 0, 1, 0, 0, 0, 104, 0.764706
138, 0, 1, 0, 0, 0, 105, 0.766423
139, 0, 1, 0, 0, 0, 106, 0.768116
140, 0, 1, 0, 0, 0, 107, 0.769784
141, 0, 1, 0, 0, 0, 108, 0.771429
142, 0, 1, 0, 0, 0, 109, 0.77305
143, 0, 1, 0, 0, 0, 110, 0.774648
144, 0, 1, 0, 0, 0, 111, 0.776224
145, 0, 1, 0, 0, 0, 112, 0.777778
146, 0, 1, 0, 0, 0, 113, 0.77931
147, 0, 1, 0, 0, 0, 114, 0.780822
148, 0, 1, 0, 0, 0, 115, 0.782313
149, 0, 1, 0, 0, 0, 116, 0.783784
150, 0, 1, 0, 0, 0, 117, 0.785235
151, 0, 1, 0, 0, 0, 118, 0.786667
152, 0, 1, 0, 0, 0, 119, 0.788079
153, 0, 1, 0, 0, 0, 120, 0.789474
154, 1, 0, 1, 0, 0, 120, 0.784314
155, 0, 0, 0, 0, 0, 120, 0.779221
156, 0, 1, 0, 0, 0, 121, 0.780645
157, 0, 1, 0, 0, 0, 122, 0.782051
158, 0, 1, 0, 0, 0, 123, 0.783439
159, 0, 1, 0, 0, 0, 124, 0.78481
160, 0, 1, 0, 0, 0, 125, 0.786164
161, 0, 1, 0, 0, 0, 126, 0.7875
162, 0, 1, 0, 0, 0, 127, 0.78882
163, 0, 1, 0, 0, 0, 128, 0.790123
164, 0, 1, 0, 0, 0, 129, 0.791411
165, 0, 1, 0, 0, 0, 130, 0.792683
166, 0, 1, 0, 0, 0, 131, 0.793939
167, 0, 1, 0, 0, 0, 132, 0.795181
168, 0, 1, 0, 0, 0, 133, 0.796407
169, 0, 1, 0, 0, 0, 134, 0.797619
170, 0, 1, 0, 0, 0, 135, 0.798817
171, 0, 1, 0, 0, 0, 136, 0.8
172, 0, 1, 0, 0, 0, 137, 0.80117
173, 1, 0, 1, 0, 0, 137, 0.796512
174, 0, 0, 0, 0, 0, 137, 0.791908
175, 0, 1, 0, 0, 0, 138, 0.793103
176, 0, 1, 0, 0, 0, 139, 0.794286
177, 0, 1, 0, 0, 0, 140, 0.795455
178, 0, 1, 0, 0, 0, 141, 0.79661
179, 0, 1, 0, 0, 0, 142, 0.797753
180, 0, 1, 0, 0, 0, 143, 0.798883
181, 0, 1, 0, 0, 0, 144, 0.8
182, 0, 1, 0, 0, 0, 145, 0.801105
183, 1, 0, 1, 0, 0, 145, 0.796703
184, 0, 0, 0, 0, 0, 145, 0.79235
185, 0, 1, 0, 0, 0, 146, 0.793478
186, 0, 1, 0, 0, 0, 147, 0.794595
187, 0, 1, 0, 0, 0, 148, 0.795699
188, 0, 1, 0, 0, 0, 149, 0.796791
189, 0, 1, 0, 0, 0, 150, 0.797872
190, 1, 0, 1, 0, 0, 150, 0.793651
191, 0, 0, 0, 0, 0, 150, 0.789474
192, 0, 1, 0, 0, 0, 151, 0.790576
193, 0, 1, 0, 0, 0, 152, 0.791667
194, 0, 1, 0, 0, 0, 153, 0.792746
195, 0, 1, 0, 0, 0, 154, 0.793814
