cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32559, 0, 2, 0, 0, 0, 0
2, 30472, 991, 2, 0, 0, 991, 495.5
3, 29962, 991, 2, 0, 0, 1982, 660.667
4, 32002, 991, 0, 0, 0, 2973, 743.25
5, 29962, 1001, 3, 0, 0, 3974, 794.8
6, 29962, 1011, 3, 0, 0, 4985, 830.833
7, 29962, 1011, 2, 0, 0, 5996, 856.571
8, 32002, 1001, 3, 0, 0, 6997, 874.625
9, 30725, 991, 3, 0, 0, 7988, 887.556
10, 30980, 991, 3, 0, 0, 8979, 897.9
11, 30725, 991, 1, 0, 0, 9970, 906.364
12, 30980, 1001, 2, 0, 0, 10971, 914.25
13, 30980, 1011, 1, 0, 0, 11982, 921.692
14, 30725, 1001, 0, 0, 0, 12983, 927.357
15, 30725, 1011, 3, 0, 0, 13994, 932.933
16, 30980, 1001, 2, 0, 0, 14995, 937.188
17, 30980, 1011, 1, 0, 0, 16006, 941.529
18, 30725, 1001, 0, 0, 0, 17007, 944.833
19, 30725, 1011, 3, 0, 0, 18018, 948.316
20, 30980, 1001, 2, 0, 0, 19019, 950.95
21, 30980, 1011, 0, 0, 0, 20030, 953.81
22, 28938, 991, 2, 0, 0, 21021, 955.5
23, 30980, 1001, 2, 0, 0, 22022, 957.478
24, 30980, 1011, 0, 0, 0, 23033, 959.708
25, 28938, 1001, 2, 0, 0, 24034, 961.36
26, 30980, 1001, 1, 0, 0, 25035, 962.885
27, 30725, 1001, 1, 0, 0, 26036, 964.296
28, 32002, 1001, 2, 0, 0, 27037, 965.607
29, 29962, 991, 2, 0, 0, 28028, 966.483
30, 32512, 991, 3, 0, 0, 29019, 967.3
31, 31237, 991, 0, 0, 0, 30010, 968.065
32, 31237, 1011, 0, 0, 0, 31021, 969.406
33, 31237, 1011, 3, 0, 0, 32032, 970.667
34, 31237, 991, 3, 0, 0, 33023, 971.265
35, 31237, 991, 0, 0, 0, 34014, 971.829
36, 31237, 1011, 2, 0, 0, 35025, 972.917
37, 31237, 1011, 3, 0, 0, 36036, 973.946
38, 32257, 991, 3, 0, 0, 37027, 974.395
39, 31237, 991, 1, 0, 0, 38018, 974.821
40, 32257, 1001, 3, 0, 0, 39019, 975.475
41, 31237, 1001, 2, 0, 0, 40020, 976.098
42, 31237, 1011, 0, 0, 0, 41031, 976.929
43, 31237, 1011, 0, 0, 0, 42042, 977.721
44, 31237, 1011, 0, 0, 0, 43053, 978.477
45, 31237, 1011, 3, 0, 0, 44064, 979.2
46, 31237, 991, 0, 0, 0, 45055, 979.457
47, 31237, 1011, 3, 0, 0, 46066, 980.128
48, 31237, 991, 1, 0, 0, 47057, 980.354
49, 31237, 1001, 1, 0, 0, 48058, 980.776
50, 31237, 1001, 1, 0, 0, 49059, 981.18
51, 32257, 1001, 0, 0, 0, 50060, 981.569
52, 32257, 1011, 0, 0, 0, 51071, 982.135
53, 32257, 1011, 2, 0, 0, 52082, 982.679
54, 29706, 991, 2, 0, 0, 53073, 982.833
55, 29706, 991, 0, 0, 0, 54064, 982.982
56, 29706, 1001, 3, 0, 0, 55065, 983.304
57, 29706, 1011, 0, 0, 0, 56076, 983.789
58, 28161, 1001, 0, 0, 0, 57077, 984.086
59, 28161, 1011, 2, 0, 0, 58088, 984.542
60, 29706, 1001, 2, 0, 0, 59089, 984.817
61, 29706, 1001, 2, 0, 0, 60090, 985.082
62, 29706, 991, 0, 0, 0, 61081, 985.177
63, 29706, 1001, 2, 0, 0, 62082, 985.429
64, 29706, 1001, 1, 0, 0, 63083, 985.672
65, 29706, 1011, 0, 0, 0, 64094, 986.062
66, 29706, 1001, 0, 0, 0, 65095, 986.288
67, 25610, 1001, 3, 0, 0, 66096, 986.507
68, 25610, 1011, 3, 0, 0, 67107, 986.868
69, 25610, 1011, 2, 0, 0, 68118, 987.217
70, 29706, 1001, 0, 0, 0, 69119, 987.414
71, 25610, 1001, 3, 0, 0, 70120, 987.606
72, 25610, 1011, 3, 0, 0, 71131, 987.931
73, 25610, 1011, 1, 0, 0, 72142, 988.247
74, 25610, 1011, 3, 0, 0, 73153, 988.554
75, 25610, 1011, 3, 0, 0, 74164, 988.853
76, 25610, 1011, 2, 0, 0, 75175, 989.145
77, 29706, 1001, 1, 0, 0, 76176, 989.299
78, 29706, 1011, 1, 0, 0, 77187, 989.577
79, 29706, 1011, 2, 0, 0, 78198, 989.848
80, 29706, 1001, 2, 0, 0, 79199, 989.987
81, 29706, 991, 0, 0, 0, 80190, 990
82, 29706, 1001, 3, 0, 0, 81191, 990.134
83, 29706, 1011, 0, 0, 0, 82202, 990.386
84, 25610, 1001, 1, 0, 0, 83203, 990.512
85, 25610, 1011, 0, 0, 0, 84214, 990.753
86, 17418, 1001, 2, 0, 0, 85215, 990.872
87, 25610, 1001, 1, 0, 0, 86216, 990.989
88, 25610, 1011, 1, 0, 0, 87227, 991.216
89, 25610, 1011, 3, 0, 0, 88238, 991.438
90, 25610, 1011, 0, 0, 0, 89249, 991.656
91, 17418, 1001, 3, 0, 0, 90250, 991.758
92, 17418, 1011, 2, 0, 0, 91261, 991.967
93, 25610, 1001, 3, 0, 0, 92262, 992.065
94, 25610, 1011, 0, 0, 0, 93273, 992.266
95, 17418, 1001, 1, 0, 0, 94274, 992.358
96, 17418, 1011, 0, 0, 0, 95285, 992.552
97, 19969, 1001, 2, 0, 0, 96286, 992.639
98, 17418, 1001, 1, 0, 0, 97287, 992.724
99, 17418, 1011, 2, 0, 0, 98298, 992.909
100, 25610, 1001, 3, 0, 0, 99299, 992.99
101, 25610, 1011, 2, 0, 0, 100310, 993.168
102, 29706, 1001, 2, 0, 0, 101311, 993.245
103, 29706, 1001, 0, 0, 0, 102312, 993.32
104, 29706, 1001, 3, 0, 0, 103313, 993.394
105, 29706, 1011, 0, 0, 0, 104324, 993.562
106, 25610, 1001, 0, 0, 0, 105325, 993.632
107, 17418, 1001, 3, 0, 0, 106326, 993.701
108, 17418, 1011, 0, 0, 0, 107337, 993.861
109, 20097, 1001, 2, 0, 0, 108338, 993.927
110, 17418, 1001, 2, 0, 0, 109339, 993.991
111, 25610, 1001, 3, 0, 0, 110340, 994.054
112, 25610, 1011, 2, 0, 0, 111351, 994.205
113, 29706, 1001, 1, 0, 0, 112352, 994.265
114, 29706, 1011, 1, 0, 0, 113363, 994.412
115, 29706, 1011, 3, 0, 0, 114374, 994.557
116, 29706, 1011, 3, 0, 0, 115385, 994.698
