cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 3935830016, 0, 6, 0, 0, 0, 0
2, 3935961104, 2, 5, 0, 0, 2, 1
3, 3935969360, 2, 5, 0, 0, 4, 1.33333
4, 3935969360, 0, 2, 0, 0, 4, 1
5, 3935969360, 0, 5, 0, 0, 4, 0.8
6, 3935969360, 0, 7, 0, 0, 4, 0.666667
7, 3935971412, 2, 3, 0, 0, 6, 0.857143
8, 3935971412, 0, 4, 0, 0, 6, 0.75
9, 0, 3, 4, 0, 0, 9, 1
10, 131328, 2, 5, 0, 0, 11, 1.1
11, 133440, 2, 4, 0, 0, 13, 1.18182
12, 133440, 0, 2, 0, 0, 13, 1.08333
13, 137538, 2, 7, 0, 0, 15, 1.15385
14, 170310, 2, 3, 0, 0, 17, 1.21429
15, 170310, 0, 8, 0, 0, 17, 1.13333
16, 170310, 0, 3, 0, 0, 17, 1.0625
17, 170310, 0, 2, 0, 0, 17, 1
18, 170310, 0, 3, 0, 0, 17, 0.944444
19, 170310, 0, 5, 0, 0, 17, 0.894737
20, 170310, 0, 3, 0, 0, 17, 0.85
21, 170310, 0, 4, 0, 0, 17, 0.809524
22, 170310, 0, 7, 0, 0, 17, 0.772727
23, 170310, 0, 8, 0, 0, 17, 0.73913
24, 170310, 0, 5, 0, 0, 17, 0.708333
25, 170310, 0, 2, 0, 0, 17, 0.68
26, 170310, 0, 3, 0, 0, 17, 0.653846
27, 170310, 0, 0, 0, 0, 17, 0.62963
28, 170310, 0, 4, 0, 0, 17, 0.607143
29, 170310, 0, 6, 0, 0, 17, 0.586207
30, 0, 4, 2, 0, 0, 21, 0.7
31, 135168, 2, 6, 0, 0, 23, 0.741935
32, 137232, 2, 8, 0, 0, 25, 0.78125
33, 137361, 2, 0, 0, 0, 27, 0.818182
34, 137361, 0, 6, 0, 0, 27, 0.794118
35, 137361, 0, 5, 0, 0, 27, 0.771429
36, 137361, 0, 1, 0, 0, 27, 0.75
37, 0, 1, 3, 0, 0, 28, 0.756757
38, 132096, 2, 1, 0, 0, 30, 0.789474
39, 148608, 2, 1, 0, 0, 32, 0.820513
40, 148608, 0, 5, 0, 0, 32, 0.8
41, 148608, 0, 1, 0, 0, 32, 0.780488
42, 148608, 0, 3, 0, 0, 32, 0.761905
43, 148608, 0, 1, 0, 0, 32, 0.744186
44, 148608, 0, 8, 0, 0, 32, 0.727273
45, 148617, 2, 2, 0, 0, 34, 0.755556
46, 153225, 2, 7, 0, 0, 36, 0.782609
47, 153225, 0, 7, 0, 0, 36, 0.765957
48, 153225, 0, 4, 0, 0, 36, 0.75
49, 153225, 0, 5, 0, 0, 36, 0.734694
50, 153225, 0, 2, 0, 0, 36, 0.72
51, 153225, 0, 1, 0, 0, 36, 0.705882
52, 153225, 0, 2, 0, 0, 36, 0.692308
53, 153225, 0, 2, 0, 0, 36, 0.679245
54, 153225, 0, 6, 0, 0, 36, 0.666667
55, 0, 3, 2, 0, 0, 39, 0.709091
56, 135168, 2, 6, 0, 0, 41, 0.732143
57, 135696, 2, 8, 0, 0, 43, 0.754386
58, 168465, 2, 1, 0, 0, 45, 0.775862
59, 168465, 0, 5, 0, 0, 45, 0.762712
60, 0, 4, 7, 0, 0, 49, 0.816667
61, 131076, 2, 6, 0, 0, 51, 0.836066
62, 131094, 2, 3, 0, 0, 53, 0.854839
63, 164886, 2, 5, 0, 0, 55, 0.873016
64, 0, 1, 5, 0, 0, 56, 0.875
65, 131136, 2, 2, 0, 0, 58, 0.892308
66, 135744, 2, 0, 0, 0, 60, 0.909091
67, 135744, 0, 0, 0, 0, 60, 0.895522
68, 135744, 0, 4, 0, 0, 60, 0.882353
69, 135744, 0, 0, 0, 0, 60, 0.869565
70, 135744, 0, 7, 0, 0, 60, 0.857143
71, 135780, 2, 0, 0, 0, 62, 0.873239
72, 135780, 0, 1, 0, 0, 62, 0.861111
73, 0, 1, 1, 0, 0, 63, 0.863014
74, 147456, 2, 4, 0, 0, 65, 0.878378
75, 147744, 2, 3, 0, 0, 67, 0.893333
76, 148896, 2, 6, 0, 0, 69, 0.907895
77, 148896, 0, 3, 0, 0, 69, 0.896104
78, 148896, 0, 2, 0, 0, 69, 0.884615
79, 153000, 2, 8, 0, 0, 71, 0.898734
80, 0, 3, 6, 0, 0, 74, 0.925
81, 131088, 2, 4, 0, 0, 76, 0.938272
82, 164112, 2, 1, 0, 0, 78, 0.95122
83, 164112, 0, 8, 0, 0, 78, 0.939759
84, 0, 1, 5, 0, 0, 79, 0.940476
85, 131136, 2, 7, 0, 0, 81, 0.952941
86, 133188, 2, 8, 0, 0, 83, 0.965116
87, 133701, 2, 2, 0, 0, 85, 0.977011
88, 0, 4, 1, 0, 0, 89, 1.01136
89, 147456, 2, 5, 0, 0, 91, 1.02247
90, 147552, 2, 6, 0, 0, 93, 1.03333
91, 147552, 0, 6, 0, 0, 93, 1.02198
92, 147552, 0, 5, 0, 0, 93, 1.01087
93, 147552, 0, 5, 0, 0, 93, 1
94, 147552, 0, 5, 0, 0, 93, 0.989362
95, 147552, 0, 4, 0, 0, 93, 0.978947
96, 147810, 2, 2, 0, 0, 95, 0.989583
97, 0, 1, 2, 0, 0, 96, 0.989691
98, 135168, 2, 8, 0, 0, 98, 1
99, 135177, 2, 4, 0, 0, 100, 1.0101
100, 135561, 2, 6, 0, 0, 102, 1.02
101, 0, 4, 2, 0, 0, 106, 1.0495
102, 135168, 2, 5, 0, 0, 108, 1.05882
103, 135234, 2, 4, 0, 0, 110, 1.06796
104, 137538, 2, 0, 0, 0, 112, 1.07692
105, 137538, 0, 8, 0, 0, 112, 1.06667
106, 137538, 0, 4, 0, 0, 112, 1.0566
107, 137538, 0, 7, 0, 0, 112, 1.04673
108, 0, 1, 0, 0, 0, 113, 1.0463
109, 66048, 2, 6, 0, 0, 115, 1.05505
110, 68112, 2, 2, 0, 0, 117, 1.06364
111, 72210, 2, 1, 0, 0, 119, 1.07207
112, 0, 4, 6, 0, 0, 123, 1.09821
113, 131088, 2, 6, 0, 0, 125, 1.10619
114, 131088, 0, 6, 0, 0, 125, 1.09649
115, 131088, 0, 2, 0, 0, 125, 1.08696
116, 137232, 2, 6, 0, 0, 127, 1.09483
117, 137232, 0, 7, 0, 0, 127, 1.08547
118, 137748, 2, 1, 0, 0, 129, 1.09322
119, 0, 1, 4, 0, 0, 130, 1.09244
120, 131328, 2, 7, 0, 0, 132, 1.1
121, 133380, 2, 0, 0, 0, 134, 1.10744
122, 133380, 0, 4, 0, 0, 134, 1.09836
123, 133380, 0, 4, 0, 0, 134, 1.08943
124, 133380, 0, 0, 0, 0, 134, 1.08065
125, 133380, 0, 8, 0, 0, 134, 1.072
126, 141573, 2, 2, 0, 0, 136, 1.07937
127, 141573, 0, 1, 0, 0, 136, 1.07087
128, 0, 4, 4, 0, 0, 140, 1.09375
129, 131328, 2, 5, 0, 0, 142, 1.10078
130, 131400, 2, 3, 0, 0, 144, 1.10769
131, 0, 4, 7, 0, 0, 148, 1.12977
132, 131076, 2, 6, 0, 0, 150, 1.13636
133, 139284, 2, 4, 0, 0, 152, 1.14286
134, 141588, 2, 2, 0, 0, 154, 1.14925
135, 141588, 0, 8, 0, 0, 154, 1.14074
136, 0, 4, 4, 0, 0, 158, 1.16176
137, 131328, 2, 5, 0, 0, 160, 1.16788
138, 131400, 2, 1, 0, 0, 162, 1.17391
139, 147816, 2, 2, 0, 0, 164, 1.17986
140, 0, 1, 3, 0, 0, 165, 1.17857
141, 132096, 2, 6, 0, 0, 167, 1.1844
142, 132624, 2, 2, 0, 0, 169, 1.19014
143, 136848, 2, 1, 0, 0, 171, 1.1958
144, 153240, 2, 4, 0, 0, 173, 1.20139
145, 153240, 0, 1, 0, 0, 173, 1.1931
146, 153240, 0, 5, 0, 0, 173, 1.18493
147, 153240, 0, 6, 0, 0, 173, 1.17687
148, 153240, 0, 7, 0, 0, 173, 1.16892
149, 153240, 0, 5, 0, 0, 173, 1.16107
150, 153240, 0, 7, 0, 0, 173, 1.15333
151, 153240, 0, 6, 0, 0, 173, 1.1457
152, 153240, 0, 7, 0, 0, 173, 1.13816
153, 153240, 0, 1, 0, 0, 173, 1.13072
154, 153240, 0, 5, 0, 0, 173, 1.12338
155, 153240, 0, 6, 0, 0, 173, 1.11613
156, 153240, 0, 6, 0, 0, 173, 1.10897
157, 153240, 0, 0, 0, 0, 173, 1.10191
158, 153240, 0, 1, 0, 0, 173, 1.09494
159, 153240, 0, 7, 0, 0, 173, 1.08805
160, 153240, 0, 0, 0, 0, 173, 1.08125
161, 153240, 0, 1, 0, 0, 173, 1.07453
162, 153240, 0, 8, 0, 0, 173, 1.0679
163, 0, 3, 2, 0, 0, 176, 1.07975
164, 135168, 2, 1, 0, 0, 178, 1.08537
165, 152064, 2, 7, 0, 0, 180, 1.09091
166, 154116, 2, 4, 0, 0, 182, 1.09639
167, 154116, 0, 3, 0, 0, 182, 1.08982
168, 154116, 0, 5, 0, 0, 182, 1.08333
169, 0, 1, 4, 0, 0, 183, 1.08284
170, 131328, 2, 0, 0, 0, 185, 1.08824
171, 131328, 0, 8, 0, 0, 185, 1.08187
172, 131337, 2, 7, 0, 0, 187, 1.08721
173, 131337, 0, 7, 0, 0, 187, 1.08092
174, 131337, 0, 6, 0, 0, 187, 1.07471
175, 133401, 2, 2, 0, 0, 189, 1.08
176, 0, 4, 6, 0, 0, 193, 1.09659
177, 131088, 2, 0, 0, 0, 195, 1.10169
178, 131088, 0, 5, 0, 0, 195, 1.09551
179, 131160, 2, 1, 0, 0, 197, 1.10056
180, 147546, 2, 0, 0, 0, 199, 1.10556
181, 147546, 0, 3, 0, 0, 199, 1.09945
182, 0, 1, 6, 0, 0, 200, 1.0989
183, 131088, 2, 7, 0, 0, 202, 1.10383
184, 131094, 2, 7, 0, 0, 204, 1.1087
185, 131094, 0, 4, 0, 0, 204, 1.1027
186, 164118, 2, 6, 0, 0, 206, 1.10753
187, 164118, 0, 2, 0, 0, 206, 1.1016
188, 0, 4, 1, 0, 0, 210, 1.11702
189, 147456, 2, 0, 0, 0, 212, 1.12169
190, 147456, 0, 7, 0, 0, 212, 1.11579
191, 147492, 2, 7, 0, 0, 214, 1.12042
192, 147492, 0, 2, 0, 0, 214, 1.11458
193, 0, 1, 4, 0, 0, 215, 1.11399
194, 131328, 2, 3, 0, 0, 217, 1.11856
195, 132354, 2, 5, 0, 0, 219, 1.12308
196, 0, 4, 5, 0, 0, 223, 1.13776
197, 131136, 2, 8, 0, 0, 225, 1.14213
198, 163905, 2, 6, 0, 0, 227, 1.14646
199, 0, 1, 2, 0, 0, 228, 1.14573
200, 135168, 2, 7, 0, 0, 230, 1.15
201, 135684, 2, 8, 0, 0, 232, 1.15423
202, 135717, 2, 2, 0, 0, 234, 1.15842
203, 135717, 0, 4, 0, 0, 234, 1.15271
204, 135717, 0, 8, 0, 0, 234, 1.14706
205, 135717, 0, 3, 0, 0, 234, 1.14146
206, 169509, 2, 4, 0, 0, 236, 1.14563
207, 169509, 0, 3, 0, 0, 236, 1.1401
208, 169509, 0, 1, 0, 0, 236, 1.13462
209, 169509, 0, 1, 0, 0, 236, 1.12919
210, 169509, 0, 2, 0, 0, 236, 1.12381
211, 169509, 0, 4, 0, 0, 236, 1.11848
212, 169509, 0, 1, 0, 0, 236, 1.11321
213, 169509, 0, 0, 0, 0, 236, 1.10798
214, 169509, 0, 5, 0, 0, 236, 1.1028
215, 0, 4, 7, 0, 0, 240, 1.11628
216, 131076, 2, 5, 0, 0, 242, 1.12037
217, 131172, 2, 1, 0, 0, 244, 1.12442
218, 0, 1, 6, 0, 0, 245, 1.12385
219, 131088, 2, 8, 0, 0, 247, 1.12785
220, 163857, 2, 4, 0, 0, 249, 1.13182
221, 164121, 2, 2, 0, 0, 251, 1.13575
222, 0, 4, 4, 0, 0, 255, 1.14865
223, 131328, 2, 6, 0, 0, 257, 1.15247
224, 139536, 2, 8, 0, 0, 259, 1.15625
225, 139665, 2, 3, 0, 0, 261, 1.16
226, 0, 1, 0, 0, 0, 262, 1.15929
227, 73728, 2, 0, 0, 0, 264, 1.163
228, 73728, 0, 1, 0, 0, 264, 1.15789
229, 90240, 2, 2, 0, 0, 266, 1.16157
230, 90240, 0, 8, 0, 0, 266, 1.15652
