cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 3, 0, 0, 0, 0
2, 7, 9, 0, 0, 0, 9, 4.5
3, 7, 0, 3, 0, 0, 9, 3
4, 7, 0, 0, 0, 0, 9, 2.25
5, 7, 0, 2, 0, 0, 9, 1.8
6, 7, 0, 0, 0, 0, 9, 1.5
7, 7, 0, 3, 0, 0, 9, 1.28571
8, 7, 0, 2, 0, 0, 9, 1.125
9, 7, 0, 1, 0, 0, 9, 1
10, 5, 9, 3, 0, 0, 18, 1.8
11, 7, 9, 3, 0, 0, 27, 2.45455
12, 7, 0, 1, 0, 0, 27, 2.25
13, 5, 9, 0, 0, 0, 36, 2.76923
14, 5, 0, 3, 0, 0, 36, 2.57143
15, 7, 9, 1, 0, 0, 45, 3
16, 5, 9, 0, 0, 0, 54, 3.375
17, 5, 0, 0, 0, 0, 54, 3.17647
18, 5, 0, 0, 0, 0, 54, 3
19, 5, 0, 3, 0, 0, 54, 2.84211
20, 7, 9, 1, 0, 0, 63, 3.15
21, 5, 9, 0, 0, 0, 72, 3.42857
22, 5, 0, 3, 0, 0, 72, 3.27273
23, 7, 9, 0, 0, 0, 81, 3.52174
24, 7, 0, 3, 0, 0, 81, 3.375
25, 7, 0, 2, 0, 0, 81, 3.24
26, 7, 0, 0, 0, 0, 81, 3.11538
27, 7, 0, 2, 0, 0, 81, 3
28, 7, 0, 3, 0, 0, 81, 2.89286
29, 7, 0, 0, 0, 0, 81, 2.7931
30, 7, 0, 2, 0, 0, 81, 2.7
31, 7, 0, 1, 0, 0, 81, 2.6129
32, 5, 9, 0, 0, 0, 90, 2.8125
33, 5, 0, 3, 0, 0, 90, 2.72727
34, 7, 9, 1, 0, 0, 99, 2.91176
35, 5, 9, 1, 0, 0, 108, 3.08571
36, 12, 9, 1, 0, 0, 117, 3.25
37, 12, 0, 2, 0, 0, 117, 3.16216
38, 12, 0, 3, 0, 0, 117, 3.07895
39, 5, 9, 3, 0, 0, 126, 3.23077
40, 7, 9, 1, 0, 0, 135, 3.375
41, 5, 9, 2, 0, 0, 144, 3.5122
42, 5, 0, 1, 0, 0, 144, 3.42857
43, 12, 9, 3, 0, 0, 153, 3.55814
44, 5, 9, 0, 0, 0, 162, 3.68182
45, 5, 0, 2, 0, 0, 162, 3.6
46, 5, 0, 0, 0, 0, 162, 3.52174
47, 5, 0, 2, 0, 0, 162, 3.44681
48, 5, 0, 1, 0, 0, 162, 3.375
49, 12, 9, 0, 0, 0, 171, 3.4898
50, 10, 9, 1, 0, 0, 180, 3.6
51, 10, 0, 2, 0, 0, 180, 3.52941
52, 12, 9, 3, 0, 0, 189, 3.63462
53, 5, 9, 3, 0, 0, 198, 3.73585
54, 7, 9, 1, 0, 0, 207, 3.83333
55, 5, 9, 0, 0, 0, 216, 3.92727
56, 5, 0, 3, 0, 0, 216, 3.85714
57, 7, 9, 0, 0, 0, 225, 3.94737
58, 7, 0, 3, 0, 0, 225, 3.87931
59, 7, 0, 1, 0, 0, 225, 3.81356
60, 5, 9, 2, 0, 0, 234, 3.9
61, 5, 0, 2, 0, 0, 234, 3.83607
62, 5, 0, 2, 0, 0, 234, 3.77419
63, 5, 0, 0, 0, 0, 234, 3.71429
64, 5, 0, 3, 0, 0, 234, 3.65625
65, 7, 9, 1, 0, 0, 243, 3.73846
66, 5, 9, 3, 0, 0, 252, 3.81818
67, 7, 9, 3, 0, 0, 261, 3.89552
68, 7, 0, 3, 0, 0, 261, 3.83824
69, 7, 0, 2, 0, 0, 261, 3.78261
70, 7, 0, 3, 0, 0, 261, 3.72857
71, 7, 0, 3, 0, 0, 261, 3.67606
72, 7, 0, 3, 0, 0, 261, 3.625
73, 7, 0, 1, 0, 0, 261, 3.57534
74, 5, 9, 1, 0, 0, 270, 3.64865
75, 12, 9, 1, 0, 0, 279, 3.72
76, 12, 0, 1, 0, 0, 279, 3.67105
77, 12, 0, 3, 0, 0, 279, 3.62338
78, 5, 9, 2, 0, 0, 288, 3.69231
79, 5, 0, 3, 0, 0, 288, 3.64557
80, 7, 9, 0, 0, 0, 297, 3.7125
81, 7, 0, 1, 0, 0, 297, 3.66667
82, 5, 9, 1, 0, 0, 306, 3.73171
83, 12, 9, 1, 0, 0, 315, 3.79518
84, 12, 0, 0, 0, 0, 315, 3.75
85, 10, 9, 0, 0, 0, 324, 3.81176
86, 8, 9, 1, 0, 0, 333, 3.87209
87, 8, 0, 3, 0, 0, 333, 3.82759
88, 5, 9, 0, 0, 0, 342, 3.88636
89, 5, 0, 0, 0, 0, 342, 3.8427
90, 5, 0, 1, 0, 0, 342, 3.8
91, 8, 9, 1, 0, 0, 351, 3.85714
92, 8, 0, 2, 0, 0, 351, 3.81522
93, 10, 9, 2, 0, 0, 360, 3.87097
94, 12, 9, 3, 0, 0, 369, 3.92553
95, 5, 9, 3, 0, 0, 378, 3.97895
96, 7, 9, 2, 0, 0, 387, 4.03125
97, 7, 0, 0, 0, 0, 387, 3.98969
98, 7, 0, 1, 0, 0, 387, 3.94898
99, 5, 9, 0, 0, 0, 396, 4
100, 5, 0, 2, 0, 0, 396, 3.96
101, 5, 0, 3, 0, 0, 396, 3.92079
102, 7, 9, 3, 0, 0, 405, 3.97059
103, 7, 0, 3, 0, 0, 405, 3.93204
104, 7, 0, 1, 0, 0, 405, 3.89423
105, 5, 9, 2, 0, 0, 414, 3.94286
106, 5, 0, 3, 0, 0, 414, 3.90566
107, 7, 9, 1, 0, 0, 423, 3.95327
108, 5, 9, 3, 0, 0, 432, 4
109, 7, 9, 0, 0, 0, 441, 4.04587
110, 7, 0, 0, 0, 0, 441, 4.00909
111, 7, 0, 1, 0, 0, 441, 3.97297
112, 5, 9, 2, 0, 0, 450, 4.01786
113, 5, 0, 3, 0, 0, 450, 3.9823
114, 7, 9, 3, 0, 0, 459, 4.02632
115, 7, 0, 2, 0, 0, 459, 3.9913
116, 7, 0, 3, 0, 0, 459, 3.9569
117, 7, 0, 1, 0, 0, 459, 3.92308
118, 5, 9, 1, 0, 0, 468, 3.9661
119, 12, 9, 1, 0, 0, 477, 4.0084
120, 12, 0, 0, 0, 0, 477, 3.975
121, 10, 9, 3, 0, 0, 486, 4.01653
122, 10, 0, 1, 0, 0, 486, 3.98361
123, 10, 0, 2, 0, 0, 486, 3.95122
124, 12, 9, 0, 0, 0, 495, 3.99194
125, 10, 9, 2, 0, 0, 504, 4.032
126, 12, 9, 0, 0, 0, 513, 4.07143
127, 10, 9, 1, 0, 0, 522, 4.11024
128, 10, 0, 0, 0, 0, 522, 4.07812
129, 8, 9, 1, 0, 0, 531, 4.11628
130, 8, 0, 0, 0, 0, 531, 4.08462
131, 10, 9, 3, 0, 0, 540, 4.12214
132, 10, 0, 1, 0, 0, 540, 4.09091
133, 10, 0, 0, 0, 0, 540, 4.06015
134, 9, 9, 0, 0, 0, 549, 4.09701
135, 9, 0, 3, 0, 0, 549, 4.06667
136, 5, 9, 3, 0, 0, 558, 4.10294
137, 7, 9, 1, 0, 0, 567, 4.13869
138, 5, 9, 2, 0, 0, 576, 4.17391
139, 5, 0, 1, 0, 0, 576, 4.14388
140, 9, 9, 0, 0, 0, 585, 4.17857
141, 9, 0, 2, 0, 0, 585, 4.14894
142, 10, 9, 3, 0, 0, 594, 4.1831
143, 10, 0, 1, 0, 0, 594, 4.15385
144, 10, 0, 1, 0, 0, 594, 4.125
145, 10, 0, 1, 0, 0, 594, 4.09655
146, 10, 0, 2, 0, 0, 594, 4.06849
147, 8, 9, 3, 0, 0, 603, 4.10204
148, 5, 9, 2, 0, 0, 612, 4.13514
149, 5, 0, 3, 0, 0, 612, 4.10738
150, 7, 20, 2, 0, 0, 632, 4.21333
151, 7, 0, 0, 0, 0, 632, 4.18543
152, 7, 0, 1, 0, 0, 632, 4.15789
153, 5, 9, 3, 0, 0, 641, 4.18954
154, 7, 20, 0, 0, 0, 661, 4.29221
155, 7, 0, 2, 0, 0, 661, 4.26452
156, 7, 0, 2, 0, 0, 661, 4.23718
157, 7, 0, 1, 0, 0, 661, 4.21019
158, 5, 9, 3, 0, 0, 670, 4.24051
159, 7, 20, 1, 0, 0, 690, 4.33962
160, 5, 9, 0, 0, 0, 699, 4.36875
161, 5, 0, 2, 0, 0, 699, 4.34161
162, 5, 0, 3, 0, 0, 699, 4.31481
163, 7, 20, 0, 0, 0, 719, 4.41104
164, 7, 0, 1, 0, 0, 719, 4.38415
165, 5, 9, 3, 0, 0, 728, 4.41212
166, 7, 20, 1, 0, 0, 748, 4.50602
167, 5, 9, 2, 0, 0, 757, 4.53293
168, 5, 0, 3, 0, 0, 757, 4.50595
169, 7, 20, 2, 0, 0, 777, 4.59763
170, 7, 0, 0, 0, 0, 777, 4.57059
171, 7, 0, 1, 0, 0, 777, 4.54386
172, 5, 9, 3, 0, 0, 786, 4.56977
173, 7, 20, 0, 0, 0, 806, 4.65896
174, 7, 0, 3, 0, 0, 806, 4.63218
175, 7, 0, 1, 0, 0, 806, 4.60571
176, 5, 9, 0, 0, 0, 815, 4.63068
177, 5, 0, 2, 0, 0, 815, 4.60452
178, 5, 0, 2, 0, 0, 815, 4.57865
179, 5, 0, 1, 0, 0, 815, 4.55307
180, 8, 9, 2, 0, 0, 824, 4.57778
181, 10, 9, 3, 0, 0, 833, 4.60221
182, 10, 0, 3, 0, 0, 833, 4.57692
183, 10, 0, 3, 0, 0, 833, 4.55191
184, 10, 0, 0, 0, 0, 833, 4.52717
185, 8, 9, 2, 0, 0, 842, 4.55135
186, 10, 9, 2, 0, 0, 851, 4.57527
187, 12, 9, 2, 0, 0, 860, 4.59893
188, 12, 0, 2, 0, 0, 860, 4.57447
189, 12, 0, 2, 0, 0, 860, 4.55026
190, 12, 0, 1, 0, 0, 860, 4.52632
191, 12, 0, 2, 0, 0, 860, 4.50262
192, 12, 0, 2, 0, 0, 860, 4.47917
193, 12, 0, 3, 0, 0, 860, 4.45596
194, 5, 9, 2, 0, 0, 869, 4.47938
195, 5, 0, 3, 0, 0, 869, 4.45641
196, 7, 9, 0, 0, 0, 878, 4.47959
197, 7, 0, 0, 0, 0, 878, 4.45685
198, 7, 0, 1, 0, 0, 878, 4.43434
199, 5, 9, 0, 0, 0, 887, 4.45729
200, 5, 0, 0, 0, 0, 887, 4.435
201, 5, 0, 1, 0, 0, 887, 4.41294
202, 12, 9, 1, 0, 0, 896, 4.43564
203, 12, 0, 0, 0, 0, 896, 4.41379
204, 10, 9, 1, 0, 0, 905, 4.43627
205, 10, 0, 0, 0, 0, 905, 4.41463
206, 8, 9, 2, 0, 0, 914, 4.43689
207, 10, 9, 3, 0, 0, 923, 4.45894
208, 10, 0, 2, 0, 0, 923, 4.4375
209, 12, 9, 2, 0, 0, 932, 4.45933
210, 12, 0, 1, 0, 0, 932, 4.4381
211, 12, 0, 0, 0, 0, 932, 4.41706
212, 10, 9, 1, 0, 0, 941, 4.43868
213, 10, 0, 1, 0, 0, 941, 4.41784
214, 10, 0, 2, 0, 0, 941, 4.3972
215, 12, 9, 1, 0, 0, 950, 4.4186
216, 12, 0, 0, 0, 0, 950, 4.39815
217, 10, 9, 2, 0, 0, 959, 4.41935
218, 12, 9, 3, 0, 0, 968, 4.44037
219, 5, 9, 3, 0, 0, 977, 4.46119
220, 7, 9, 2, 0, 0, 986, 4.48182
221, 7, 0, 0, 0, 0, 986, 4.46154
222, 7, 0, 0, 0, 0, 986, 4.44144
223, 7, 0, 0, 0, 0, 986, 4.42152
224, 7, 0, 1, 0, 0, 986, 4.40179
225, 5, 9, 3, 0, 0, 995, 4.42222
226, 7, 9, 3, 0, 0, 1004, 4.44248
227, 7, 0, 2, 0, 0, 1004, 4.42291
228, 7, 0, 1, 0, 0, 1004, 4.40351
229, 5, 9, 2, 0, 0, 1013, 4.42358
230, 5, 0, 0, 0, 0, 1013, 4.40435
231, 5, 0, 1, 0, 0, 1013, 4.38528
232, 12, 9, 0, 0, 0, 1022, 4.40517
233, 10, 9, 2, 0, 0, 1031, 4.42489
234, 12, 9, 3, 0, 0, 1040, 4.44444
235, 5, 9, 1, 0, 0, 1049, 4.46383
236, 12, 9, 2, 0, 0, 1058, 4.48305
237, 12, 0, 1, 0, 0, 1058, 4.46414
238, 12, 0, 2, 0, 0, 1058, 4.44538
239, 12, 0, 0, 0, 0, 1058, 4.42678
240, 10, 9, 3, 0, 0, 1067, 4.44583
241, 10, 0, 2, 0, 0, 1067, 4.42739
242, 12, 9, 2, 0, 0, 1076, 4.44628
243, 12, 0, 2, 0, 0, 1076, 4.42798
244, 12, 0, 3, 0, 0, 1076, 4.40984
245, 5, 9, 3, 0, 0, 1085, 4.42857
246, 7, 9, 2, 0, 0, 1094, 4.44715
247, 7, 0, 1, 0, 0, 1094, 4.42915
248, 5, 9, 0, 0, 0, 1103, 4.44758
249, 5, 0, 2, 0, 0, 1103, 4.42972
250, 5, 0, 0, 0, 0, 1103, 4.412
251, 5, 0, 3, 0, 0, 1103, 4.39442
252, 7, 9, 1, 0, 0, 1112, 4.4127
253, 5, 9, 2, 0, 0, 1121, 4.43083
254, 5, 0, 3, 0, 0, 1121, 4.41339
255, 7, 9, 0, 0, 0, 1130, 4.43137
256, 7, 0, 3, 0, 0, 1130, 4.41406
257, 7, 0, 0, 0, 0, 1130, 4.39689
258, 7, 0, 2, 0, 0, 1130, 4.37984
259, 7, 0, 0, 0, 0, 1130, 4.36293
260, 7, 0, 1, 0, 0, 1130, 4.34615
261, 5, 9, 3, 0, 0, 1139, 4.36398
262, 7, 9, 1, 0, 0, 1148, 4.38168
263, 5, 9, 2, 0, 0, 1157, 4.39924
264, 5, 0, 1, 0, 0, 1157, 4.38258
265, 12, 9, 1, 0, 0, 1166, 4.4
266, 12, 0, 1, 0, 0, 1166, 4.38346
267, 12, 0, 1, 0, 0, 1166, 4.36704
268, 12, 0, 2, 0, 0, 1166, 4.35075
269, 12, 0, 3, 0, 0, 1166, 4.33457
270, 5, 9, 1, 0, 0, 1175, 4.35185
271, 12, 9, 3, 0, 0, 1184, 4.369
272, 5, 9, 1, 0, 0, 1193, 4.38603
273, 12, 9, 0, 0, 0, 1202, 4.40293
274, 10, 9, 2, 0, 0, 1211, 4.41971
275, 12, 9, 0, 0, 0, 1220, 4.43636
276, 10, 9, 1, 0, 0, 1229, 4.4529
277, 10, 0, 0, 0, 0, 1229, 4.43682
278, 8, 9, 1, 0, 0, 1238, 4.45324
279, 8, 0, 1, 0, 0, 1238, 4.43728
280, 8, 0, 0, 0, 0, 1238, 4.42143
281, 10, 9, 1, 0, 0, 1247, 4.43772
282, 10, 0, 0, 0, 0, 1247, 4.42199
283, 9, 9, 3, 0, 0, 1256, 4.43816
284, 5, 9, 1, 0, 0, 1265, 4.45423
285, 9, 9, 3, 0, 0, 1274, 4.47018
286, 5, 9, 0, 0, 0, 1283, 4.48601
287, 5, 0, 2, 0, 0, 1283, 4.47038
288, 5, 0, 0, 0, 0, 1283, 4.45486
289, 5, 0, 1, 0, 0, 1283, 4.43945
290, 9, 9, 0, 0, 0, 1292, 4.45517
291, 9, 0, 0, 0, 0, 1292, 4.43986
292, 9, 0, 2, 0, 0, 1292, 4.42466
293, 10, 9, 0, 0, 0, 1301, 4.44027
294, 9, 9, 0, 0, 0, 1310, 4.45578
295, 9, 0, 1, 0, 0, 1310, 4.44068
296, 9, 0, 1, 0, 0, 1310, 4.42568
297, 9, 0, 2, 0, 0, 1310, 4.41077
298, 10, 9, 0, 0, 0, 1319, 4.42617
299, 9, 9, 3, 0, 0, 1328, 4.44147
300, 5, 9, 3, 0, 0, 1337, 4.45667
301, 7, 9, 3, 0, 0, 1346, 4.47176
302, 7, 0, 0, 0, 0, 1346, 4.45695
303, 7, 0, 1, 0, 0, 1346, 4.44224
304, 5, 9, 0, 0, 0, 1355, 4.45724
305, 5, 0, 3, 0, 0, 1355, 4.44262
306, 7, 9, 3, 0, 0, 1364, 4.45752
307, 7, 0, 2, 0, 0, 1364, 4.443
308, 7, 0, 3, 0, 0, 1364, 4.42857
309, 7, 0, 2, 0, 0, 1364, 4.41424
310, 7, 0, 2, 0, 0, 1364, 4.4
311, 7, 0, 1, 0, 0, 1364, 4.38585
312, 5, 9, 2, 0, 0, 1373, 4.40064
313, 5, 0, 3, 0, 0, 1373, 4.38658
314, 7, 9, 2, 0, 0, 1382, 4.40127
315, 7, 0, 2, 0, 0, 1382, 4.3873
316, 7, 0, 0, 0, 0, 1382, 4.37342
317, 7, 0, 2, 0, 0, 1382, 4.35962
318, 7, 0, 1, 0, 0, 1382, 4.34591
319, 5, 9, 2, 0, 0, 1391, 4.3605
320, 5, 0, 0, 0, 0, 1391, 4.34687
321, 5, 0, 3, 0, 0, 1391, 4.33333
322, 7, 9, 0, 0, 0, 1400, 4.34783
323, 7, 0, 1, 0, 0, 1400, 4.33437
324, 5, 9, 3, 0, 0, 1409, 4.34877
325, 7, 9, 1, 0, 0, 1418, 4.36308
326, 5, 9, 0, 0, 0, 1427, 4.3773
327, 5, 0, 3, 0, 0, 1427, 4.36391
328, 7, 9, 0, 0, 0, 1436, 4.37805
