cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0
3, 0, 0, 1, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0
5, 0, 1, 0, 0, 0, 1, 0.25
6, 0, 1, 0, 0, 0, 2, 0.4
7, 0, 1, 0, 0, 0, 3, 0.5
8, 0, 1, 0, 0, 0, 4, 0.571429
9, 1, 0, 1, 0, 0, 4, 0.5
10, 0, 0, 0, 0, 0, 4, 0.444444
11, 0, 1, 0, 0, 0, 5, 0.5
12, 0, 1, 0, 0, 0, 6, 0.545455
13, 0, 1, 0, 0, 0, 7, 0.583333
14, 0, 1, 0, 0, 0, 8, 0.615385
15, 0, 1, 0, 0, 0, 9, 0.642857
16, 0, 1, 0, 0, 0, 10, 0.666667
17, 0, 1, 0, 0, 0, 11, 0.6875
18, 0, 1, 0, 0, 0, 12, 0.705882
19, 0, 1, 0, 0, 0, 13, 0.722222
20, 0, 1, 0, 0, 0, 14, 0.736842
21, 0, 1, 0, 0, 0, 15, 0.75
22, 1, 0, 1, 0, 0, 15, 0.714286
23, 1, 1, 1, 0, 0, 16, 0.727273
24, 0, 0, 0, 0, 0, 16, 0.695652
25, 0, 1, 0, 0, 0, 17, 0.708333
26, 0, 1, 0, 0, 0, 18, 0.72
27, 0, 1, 0, 0, 0, 19, 0.730769
28, 0, 1, 0, 0, 0, 20, 0.740741
29, 0, 1, 0, 0, 0, 21, 0.75
30, 1, 0, 1, 0, 0, 21, 0.724138
31, 0, 0, 0, 0, 0, 21, 0.7
32, 0, 1, 0, 0, 0, 22, 0.709677
33, 0, 1, 0, 0, 0, 23, 0.71875
34, 1, 0, 1, 0, 0, 23, 0.69697
35, 0, 0, 0, 0, 0, 23, 0.676471
36, 0, 1, 0, 0, 0, 24, 0.685714
37, 0, 1, 0, 0, 0, 25, 0.694444
38, 0, 1, 0, 0, 0, 26, 0.702703
39, 0, 1, 0, 0, 0, 27, 0.710526
40, 0, 1, 0, 0, 0, 28, 0.717949
41, 0, 1, 0, 0, 0, 29, 0.725
42, 0, 1, 0, 0, 0, 30, 0.731707
43, 0, 1, 0, 0, 0, 31, 0.738095
44, 0, 1, 0, 0, 0, 32, 0.744186
45, 0, 1, 0, 0, 0, 33, 0.75
46, 0, 1, 0, 0, 0, 34, 0.755556
47, 1, 0, 1, 0, 0, 34, 0.73913
48, 0, 0, 0, 0, 0, 34, 0.723404
49, 0, 1, 0, 0, 0, 35, 0.729167
50, 0, 1, 0, 0, 0, 36, 0.734694
51, 0, 1, 0, 0, 0, 37, 0.74
52, 0, 1, 0, 0, 0, 38, 0.745098
53, 0, 1, 0, 0, 0, 39, 0.75
54, 0, 1, 0, 0, 0, 40, 0.754717
55, 0, 1, 0, 0, 0, 41, 0.759259
56, 0, 1, 0, 0, 0, 42, 0.763636
57, 0, 1, 0, 0, 0, 43, 0.767857
58, 0, 1, 0, 0, 0, 44, 0.77193
59, 0, 1, 0, 0, 0, 45, 0.775862
60, 0, 1, 0, 0, 0, 46, 0.779661
61, 0, 1, 0, 0, 0, 47, 0.783333
62, 1, 0, 1, 0, 0, 47, 0.770492
63, 0, 0, 0, 0, 0, 47, 0.758065
64, 0, 1, 0, 0, 0, 48, 0.761905
65, 0, 1, 0, 0, 0, 49, 0.765625
66, 0, 1, 0, 0, 0, 50, 0.769231
67, 1, 0, 1, 0, 0, 50, 0.757576
68, 0, 0, 0, 0, 0, 50, 0.746269
69, 0, 1, 0, 0, 0, 51, 0.75
70, 0, 1, 0, 0, 0, 52, 0.753623
71, 0, 1, 0, 0, 0, 53, 0.757143
72, 0, 1, 0, 0, 0, 54, 0.760563
73, 0, 1, 0, 0, 0, 55, 0.763889
74, 0, 1, 0, 0, 0, 56, 0.767123
75, 0, 1, 0, 0, 0, 57, 0.77027
76, 0, 1, 0, 0, 0, 58, 0.773333
77, 0, 1, 0, 0, 0, 59, 0.776316
78, 0, 1, 0, 0, 0, 60, 0.779221
79, 0, 1, 0, 0, 0, 61, 0.782051
80, 0, 1, 0, 0, 0, 62, 0.78481
81, 0, 1, 0, 0, 0, 63, 0.7875
82, 0, 1, 0, 0, 0, 64, 0.790123
83, 0, 1, 0, 0, 0, 65, 0.792683
84, 0, 1, 0, 0, 0, 66, 0.795181
85, 0, 1, 0, 0, 0, 67, 0.797619
86, 0, 1, 0, 0, 0, 68, 0.8
87, 0, 1, 0, 0, 0, 69, 0.802326
88, 0, 1, 0, 0, 0, 70, 0.804598
89, 0, 1, 0, 0, 0, 71, 0.806818
90, 0, 1, 0, 0, 0, 72, 0.808989
91, 0, 1, 0, 0, 0, 73, 0.811111
92, 0, 1, 0, 0, 0, 74, 0.813187
93, 0, 1, 0, 0, 0, 75, 0.815217
94, 0, 1, 0, 0, 0, 76, 0.817204
95, 0, 1, 0, 0, 0, 77, 0.819149
96, 0, 1, 0, 0, 0, 78, 0.821053
97, 0, 1, 0, 0, 0, 79, 0.822917
98, 0, 1, 0, 0, 0, 80, 0.824742
99, 0, 1, 0, 0, 0, 81, 0.826531
100, 0, 1, 0, 0, 0, 82, 0.828283
101, 1, 0, 1, 0, 0, 82, 0.82
102, 0, 0, 0, 0, 0, 82, 0.811881
103, 0, 1, 0, 0, 0, 83, 0.813725
104, 0, 1, 0, 0, 0, 84, 0.815534
105, 0, 1, 0, 0, 0, 85, 0.817308
106, 0, 1, 0, 0, 0, 86, 0.819048
107, 0, 1, 0, 0, 0, 87, 0.820755
108, 0, 1, 0, 0, 0, 88, 0.82243
109, 0, 1, 0, 0, 0, 89, 0.824074
110, 0, 1, 0, 0, 0, 90, 0.825688
111, 0, 1, 0, 0, 0, 91, 0.827273
112, 0, 1, 0, 0, 0, 92, 0.828829
113, 0, 1, 0, 0, 0, 93, 0.830357
114, 0, 1, 0, 0, 0, 94, 0.831858
115, 0, 1, 0, 0, 0, 95, 0.833333
116, 1, 0, 1, 0, 0, 95, 0.826087
117, 0, 0, 0, 0, 0, 95, 0.818966
118, 0, 1, 0, 0, 0, 96, 0.820513
119, 0, 1, 0, 0, 0, 97, 0.822034
120, 0, 1, 0, 0, 0, 98, 0.823529
121, 0, 1, 0, 0, 0, 99, 0.825
122, 0, 1, 0, 0, 0, 100, 0.826446
123, 0, 1, 0, 0, 0, 101, 0.827869
124, 0, 1, 0, 0, 0, 102, 0.829268
125, 0, 1, 0, 0, 0, 103, 0.830645
126, 1, 0, 1, 0, 0, 103, 0.824
127, 0, 0, 0, 0, 0, 103, 0.81746
128, 0, 1, 0, 0, 0, 104, 0.818898
129, 0, 1, 0, 0, 0, 105, 0.820312
130, 0, 1, 0, 0, 0, 106, 0.821705
131, 0, 1, 0, 0, 0, 107, 0.823077
132, 0, 1, 0, 0, 0, 108, 0.824427
133, 0, 1, 0, 0, 0, 109, 0.825758
134, 0, 1, 0, 0, 0, 110, 0.827068
135, 0, 1, 0, 0, 0, 111, 0.828358
136, 0, 1, 0, 0, 0, 112, 0.82963
137, 0, 1, 0, 0, 0, 113, 0.830882
138, 0, 1, 0, 0, 0, 114, 0.832117
139, 0, 1, 0, 0, 0, 115, 0.833333
140, 0, 1, 0, 0, 0, 116, 0.834532
141, 0, 1, 0, 0, 0, 117, 0.835714
142, 0, 1, 0, 0, 0, 118, 0.836879
143, 0, 1, 0, 0, 0, 119, 0.838028
144, 1, 0, 1, 0, 0, 119, 0.832168
145, 0, 0, 0, 0, 0, 119, 0.826389
146, 0, 1, 0, 0, 0, 120, 0.827586
147, 0, 1, 0, 0, 0, 121, 0.828767
148, 0, 1, 0, 0, 0, 122, 0.829932
149, 0, 1, 0, 0, 0, 123, 0.831081
150, 0, 1, 0, 0, 0, 124, 0.832215
151, 0, 1, 0, 0, 0, 125, 0.833333
152, 1, 0, 1, 0, 0, 125, 0.827815
153, 0, 0, 0, 0, 0, 125, 0.822368
154, 1, 0, 1, 0, 0, 125, 0.816993
155, 0, 0, 0, 0, 0, 125, 0.811688
156, 0, 1, 0, 0, 0, 126, 0.812903
157, 0, 1, 0, 0, 0, 127, 0.814103
158, 0, 1, 0, 0, 0, 128, 0.815287
159, 0, 1, 0, 0, 0, 129, 0.816456
160, 0, 1, 0, 0, 0, 130, 0.81761
161, 0, 1, 0, 0, 0, 131, 0.81875
162, 0, 1, 0, 0, 0, 132, 0.819876
163, 0, 1, 0, 0, 0, 133, 0.820988
164, 0, 1, 0, 0, 0, 134, 0.822086
165, 1, 0, 1, 0, 0, 134, 0.817073
166, 0, 0, 0, 0, 0, 134, 0.812121
167, 0, 1, 0, 0, 0, 135, 0.813253
168, 0, 1, 0, 0, 0, 136, 0.814371
169, 0, 1, 0, 0, 0, 137, 0.815476
170, 0, 1, 0, 0, 0, 138, 0.816568
171, 0, 1, 0, 0, 0, 139, 0.817647
172, 0, 1, 0, 0, 0, 140, 0.818713
173, 0, 1, 0, 0, 0, 141, 0.819767
174, 1, 0, 1, 0, 0, 141, 0.815029
175, 0, 0, 0, 0, 0, 141, 0.810345
176, 0, 1, 0, 0, 0, 142, 0.811429
177, 0, 1, 0, 0, 0, 143, 0.8125
178, 0, 1, 0, 0, 0, 144, 0.813559
179, 0, 1, 0, 0, 0, 145, 0.814607
180, 0, 1, 0, 0, 0, 146, 0.815642
181, 0, 1, 0, 0, 0, 147, 0.816667
182, 1, 0, 1, 0, 0, 147, 0.812155
183, 0, 0, 0, 0, 0, 147, 0.807692
184, 0, 1, 0, 0, 0, 148, 0.808743
185, 0, 1, 0, 0, 0, 149, 0.809783
186, 0, 1, 0, 0, 0, 150, 0.810811
187, 0, 1, 0, 0, 0, 151, 0.811828
188, 0, 1, 0, 0, 0, 152, 0.812834
189, 0, 1, 0, 0, 0, 153, 0.81383
190, 0, 1, 0, 0, 0, 154, 0.814815
191, 0, 1, 0, 0, 0, 155, 0.815789
192, 1, 0, 1, 0, 0, 155, 0.811518
193, 0, 0, 0, 0, 0, 155, 0.807292
194, 0, 1, 0, 0, 0, 156, 0.80829
195, 1, 0, 1, 0, 0, 156, 0.804124
