cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32598, 0, 3, 0, 0, 0, 0
2, 29962, 1011, 2, 0, 0, 1011, 505.5
3, 30472, 991, 3, 0, 0, 2002, 667.333
4, 30472, 1011, 0, 0, 0, 3013, 753.25
5, 29962, 1001, 1, 0, 0, 4014, 802.8
6, 29962, 1011, 0, 0, 0, 5025, 837.5
7, 30472, 991, 3, 0, 0, 6016, 859.429
8, 30472, 1011, 3, 0, 0, 7027, 878.375
9, 30472, 1011, 2, 0, 0, 8038, 893.111
10, 29962, 1001, 3, 0, 0, 9039, 903.9
11, 29962, 1011, 1, 0, 0, 10050, 913.636
12, 29962, 1011, 2, 0, 0, 11061, 921.75
13, 30472, 1001, 2, 0, 0, 12062, 927.846
14, 29962, 991, 0, 0, 0, 13053, 932.357
15, 30472, 1001, 1, 0, 0, 14054, 936.933
16, 29189, 991, 3, 0, 0, 15045, 940.312
17, 30472, 1001, 3, 0, 0, 16046, 943.882
18, 30472, 1011, 0, 0, 0, 17057, 947.611
19, 29962, 1001, 2, 0, 0, 18058, 950.421
20, 30472, 1001, 2, 0, 0, 19059, 952.95
21, 29962, 1001, 2, 0, 0, 20060, 955.238
22, 32002, 991, 3, 0, 0, 21051, 956.864
23, 30853, 991, 0, 0, 0, 22042, 958.348
24, 30853, 1011, 3, 0, 0, 23053, 960.542
25, 31108, 991, 3, 0, 0, 24044, 961.76
26, 30725, 941, 1, 0, 0, 24985, 960.962
27, 29962, 1011, 2, 0, 0, 25996, 962.815
28, 30472, 991, 3, 0, 0, 26987, 963.821
29, 30472, 1011, 3, 0, 0, 27998, 965.448
30, 30472, 1011, 2, 0, 0, 29009, 966.967
31, 29962, 991, 1, 0, 0, 30000, 967.742
32, 29962, 1011, 3, 0, 0, 31011, 969.094
33, 29962, 1011, 1, 0, 0, 32022, 970.364
34, 29962, 1011, 2, 0, 0, 33033, 971.559
35, 32002, 991, 1, 0, 0, 34024, 972.114
36, 32002, 1011, 0, 0, 0, 35035, 973.194
37, 29962, 1001, 2, 0, 0, 36036, 973.946
38, 32130, 1001, 3, 0, 0, 37037, 974.658
39, 30853, 991, 1, 0, 0, 38028, 975.077
40, 32130, 1001, 1, 0, 0, 39029, 975.725
41, 32130, 1011, 0, 0, 0, 40040, 976.585
42, 29962, 1001, 1, 0, 0, 41041, 977.167
43, 29962, 1011, 1, 0, 0, 42052, 977.953
44, 29962, 1011, 2, 0, 0, 43063, 978.705
45, 32002, 1001, 0, 0, 0, 44064, 979.2
46, 29962, 1001, 2, 0, 0, 45065, 979.674
47, 32002, 1001, 1, 0, 0, 46066, 980.128
48, 32130, 1011, 0, 0, 0, 47077, 980.771
49, 29962, 1001, 0, 0, 0, 48078, 981.184
50, 30536, 1001, 2, 0, 0, 49079, 981.58
51, 29962, 951, 1, 0, 0, 50030, 980.98
52, 29962, 1011, 2, 0, 0, 51041, 981.558
53, 30472, 991, 3, 0, 0, 52032, 981.736
54, 30472, 1011, 0, 0, 0, 53043, 982.278
55, 29962, 1001, 2, 0, 0, 54044, 982.618
