cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1923350528, 0, 7, 0, 0, 0, 0
2, 1923481604, 2, 5, 0, 0, 2, 1
3, 1923489860, 2, 5, 0, 0, 4, 1.33333
4, 1923489860, 0, 3, 0, 0, 4, 1
5, 1923491396, 2, 2, 0, 0, 6, 1.2
6, 1923491396, 0, 3, 0, 0, 6, 1
7, 1923491396, 0, 1, 0, 0, 6, 0.857143
8, 1923491396, 0, 2, 0, 0, 6, 0.75
9, 1923491396, 0, 3, 0, 0, 6, 0.666667
10, 1923491396, 0, 5, 0, 0, 6, 0.6
11, 1923491396, 0, 8, 0, 0, 6, 0.545455
12, 0, 1, 3, 0, 0, 7, 0.583333
13, 132096, 2, 7, 0, 0, 9, 0.692308
14, 132102, 2, 8, 0, 0, 11, 0.785714
15, 132102, 0, 0, 0, 0, 11, 0.733333
16, 132102, 0, 2, 0, 0, 11, 0.6875
17, 136230, 2, 5, 0, 0, 13, 0.764706
18, 169062, 2, 4, 0, 0, 15, 0.833333
19, 0, 4, 8, 0, 0, 19, 1
20, 131073, 2, 5, 0, 0, 21, 1.05
21, 131649, 2, 3, 0, 0, 23, 1.09524
22, 132681, 2, 5, 0, 0, 25, 1.13636
23, 132681, 0, 7, 0, 0, 25, 1.08696
24, 132681, 0, 7, 0, 0, 25, 1.04167
25, 132681, 0, 1, 0, 0, 25, 1
26, 149097, 2, 2, 0, 0, 27, 1.03846
27, 0, 4, 6, 0, 0, 31, 1.14815
28, 131088, 2, 3, 0, 0, 33, 1.17857
29, 132120, 2, 5, 0, 0, 35, 1.2069
30, 132696, 2, 2, 0, 0, 37, 1.23333
31, 0, 1, 0, 0, 0, 38, 1.22581
32, 73728, 2, 2, 0, 0, 40, 1.25
33, 73728, 0, 3, 0, 0, 40, 1.21212
34, 74760, 2, 7, 0, 0, 42, 1.23529
35, 74760, 0, 1, 0, 0, 42, 1.2
36, 91656, 2, 8, 0, 0, 44, 1.22222
37, 91785, 2, 5, 0, 0, 46, 1.24324
38, 91785, 0, 1, 0, 0, 46, 1.21053
39, 91785, 0, 7, 0, 0, 46, 1.17949
40, 91785, 0, 4, 0, 0, 46, 1.15
41, 91785, 0, 1, 0, 0, 46, 1.12195
42, 91785, 0, 6, 0, 0, 46, 1.09524
43, 0, 4, 1, 0, 0, 50, 1.16279
44, 147456, 2, 8, 0, 0, 52, 1.18182
45, 147489, 2, 2, 0, 0, 54, 1.2
46, 151713, 2, 6, 0, 0, 56, 1.21739
47, 151713, 0, 2, 0, 0, 56, 1.19149
48, 151713, 0, 6, 0, 0, 56, 1.16667
49, 151713, 0, 5, 0, 0, 56, 1.14286
50, 151713, 0, 8, 0, 0, 56, 1.12
51, 151713, 0, 4, 0, 0, 56, 1.09804
52, 151977, 2, 4, 0, 0, 58, 1.11538
53, 151977, 0, 4, 0, 0, 58, 1.09434
54, 151977, 0, 1, 0, 0, 58, 1.07407
55, 151977, 0, 3, 0, 0, 58, 1.05455
56, 0, 3, 0, 0, 0, 61, 1.08929
57, 65664, 2, 2, 0, 0, 63, 1.10526
58, 70272, 2, 2, 0, 0, 65, 1.12069
59, 70272, 0, 6, 0, 0, 65, 1.10169
60, 70296, 2, 2, 0, 0, 67, 1.11667
61, 70296, 0, 0, 0, 0, 67, 1.09836
62, 70296, 0, 7, 0, 0, 67, 1.08065
63, 70296, 0, 0, 0, 0, 67, 1.06349
64, 70296, 0, 8, 0, 0, 67, 1.04688
65, 0, 1, 4, 0, 0, 68, 1.04615
66, 131328, 2, 4, 0, 0, 70, 1.06061
67, 131328, 0, 1, 0, 0, 70, 1.04478
68, 147714, 2, 2, 0, 0, 72, 1.05882
69, 151938, 2, 7, 0, 0, 74, 1.07246
70, 0, 4, 7, 0, 0, 78, 1.11429
71, 131076, 2, 3, 0, 0, 80, 1.12676
72, 132228, 2, 3, 0, 0, 82, 1.13889
73, 132228, 0, 0, 0, 0, 82, 1.12329
74, 132228, 0, 2, 0, 0, 82, 1.10811
75, 136836, 2, 5, 0, 0, 84, 1.12
76, 136836, 0, 3, 0, 0, 84, 1.10526
77, 136836, 0, 7, 0, 0, 84, 1.09091
78, 136836, 0, 6, 0, 0, 84, 1.07692
79, 0, 1, 0, 0, 0, 85, 1.07595
80, 65568, 2, 5, 0, 0, 87, 1.0875
81, 66144, 2, 4, 0, 0, 89, 1.09877
82, 66144, 0, 3, 0, 0, 89, 1.08537
83, 67170, 2, 1, 0, 0, 91, 1.09639
84, 0, 1, 2, 0, 0, 92, 1.09524
85, 135168, 2, 8, 0, 0, 94, 1.10588
86, 135177, 2, 7, 0, 0, 96, 1.11628
87, 135177, 0, 6, 0, 0, 96, 1.10345
88, 167961, 2, 5, 0, 0, 98, 1.11364
89, 0, 4, 8, 0, 0, 102, 1.14607
90, 131073, 2, 5, 0, 0, 104, 1.15556
91, 131649, 2, 6, 0, 0, 106, 1.16484
92, 131673, 2, 0, 0, 0, 108, 1.17391
93, 131673, 0, 3, 0, 0, 108, 1.16129
94, 0, 1, 6, 0, 0, 109, 1.15957
95, 131088, 2, 0, 0, 0, 111, 1.16842
96, 131088, 0, 1, 0, 0, 111, 1.15625
97, 147474, 2, 0, 0, 0, 113, 1.16495
98, 147474, 0, 7, 0, 0, 113, 1.15306
99, 147606, 2, 3, 0, 0, 115, 1.16162
100, 0, 1, 4, 0, 0, 116, 1.16
101, 131328, 2, 4, 0, 0, 118, 1.16832
102, 131328, 0, 5, 0, 0, 118, 1.15686
103, 131424, 2, 8, 0, 0, 120, 1.16505
104, 0, 1, 5, 0, 0, 121, 1.16346
105, 131136, 2, 6, 0, 0, 123, 1.17143
106, 131664, 2, 7, 0, 0, 125, 1.17925
107, 133716, 2, 6, 0, 0, 127, 1.18692
108, 133716, 0, 1, 0, 0, 127, 1.17593
109, 0, 1, 6, 0, 0, 128, 1.17431
110, 131088, 2, 7, 0, 0, 130, 1.18182
111, 131220, 2, 4, 0, 0, 132, 1.18919
112, 139668, 2, 7, 0, 0, 134, 1.19643
113, 139668, 0, 2, 0, 0, 134, 1.18584
114, 139668, 0, 3, 0, 0, 134, 1.17544
115, 0, 1, 1, 0, 0, 135, 1.17391
116, 147456, 2, 5, 0, 0, 137, 1.18103
117, 147552, 2, 5, 0, 0, 139, 1.18803
118, 147552, 0, 3, 0, 0, 139, 1.17797
119, 148578, 2, 8, 0, 0, 141, 1.18487
120, 148578, 0, 0, 0, 0, 141, 1.175
121, 148578, 0, 4, 0, 0, 141, 1.16529
122, 0, 4, 2, 0, 0, 145, 1.18852
