cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 1, 1, 0, 0
2, 0, 0, 1, 1, 1, 0, 0
3, 0, 0, 1, 1, 1, 0, 0
4, 1, 1, 1, 1, 1, 1, 0.333333
5, 0, 0, 1, 1, 1, 1, 0.25
6, 0, 0, 1, 1, 1, 1, 0.2
7, 0, 0, 0, 1, 1, 1, 0.166667
8, 0, 1, 0, 1, 1, 2, 0.285714
9, 1, 0, 0, 1, 1, 2, 0.25
10, 0, 1, 1, 1, 1, 3, 0.333333
11, 0, 0, 1, 1, 1, 3, 0.3
12, 1, 1, 0, 1, 1, 4, 0.363636
13, 0, 1, 1, 1, 1, 5, 0.416667
14, 0, 0, 1, 1, 1, 5, 0.384615
15, 0, 0, 0, 1, 1, 5, 0.357143
16, 0, 1, 0, 1, 1, 6, 0.4
17, 0, 1, 1, 1, 1, 7, 0.4375
18, 0, 0, 0, 1, 1, 7, 0.411765
19, 0, 1, 0, 1, 1, 8, 0.444444
20, 0, 1, 0, 1, 1, 9, 0.473684
21, 0, 1, 0, 1, 1, 10, 0.5
22, 0, 1, 1, 1, 1, 11, 0.52381
23, 0, 0, 0, 1, 1, 11, 0.5
24, 0, 1, 0, 1, 1, 12, 0.521739
25, 0, 1, 0, 1, 1, 13, 0.541667
26, 0, 1, 0, 1, 1, 14, 0.56
27, 0, 1, 0, 1, 1, 15, 0.576923
28, 0, 1, 0, 1, 1, 16, 0.592593
29, 1, 0, 0, 1, 1, 16, 0.571429
30, 0, 1, 1, 1, 1, 17, 0.586207
31, 0, 0, 1, 1, 1, 17, 0.566667
32, 0, 0, 1, 1, 1, 17, 0.548387
33, 1, 1, 0, 1, 1, 18, 0.5625
34, 0, 1, 1, 1, 1, 19, 0.575758
35, 0, 0, 0, 1, 1, 19, 0.558824
36, 0, 1, 1, 1, 1, 20, 0.571429
37, 0, 0, 1, 1, 1, 20, 0.555556
38, 0, 0, 0, 1, 1, 20, 0.540541
39, 0, 1, 0, 1, 1, 21, 0.552632
40, 0, 1, 0, 1, 1, 22, 0.564103
41, 0, 1, 0, 1, 1, 23, 0.575
42, 0, 1, 1, 1, 1, 24, 0.585366
43, 0, 0, 0, 1, 1, 24, 0.571429
44, 0, 1, 0, 1, 1, 25, 0.581395
45, 0, 1, 1, 1, 1, 26, 0.590909
46, 0, 0, 1, 1, 1, 26, 0.577778
47, 0, 0, 1, 1, 1, 26, 0.565217
48, 0, 0, 1, 1, 1, 26, 0.553191
49, 0, 0, 1, 1, 1, 26, 0.541667
50, 0, 0, 1, 1, 1, 26, 0.530612
51, 0, 0, 0, 1, 1, 26, 0.52
52, 0, 1, 0, 1, 1, 27, 0.529412
53, 1, 0, 1, 1, 1, 27, 0.519231
54, 0, 0, 0, 1, 1, 27, 0.509434
55, 1, 0, 0, 1, 1, 27, 0.5
56, 0, 1, 1, 1, 1, 28, 0.509091
57, 0, 0, 1, 1, 1, 28, 0.5
58, 0, 0, 0, 1, 1, 28, 0.491228
59, 0, 1, 0, 1, 1, 29, 0.5
60, 0, 1, 1, 1, 1, 30, 0.508475
61, 0, 0, 0, 1, 1, 30, 0.5
62, 0, 1, 0, 1, 1, 31, 0.508197
63, 0, 1, 1, 1, 1, 32, 0.516129
64, 0, 0, 0, 1, 1, 32, 0.507937
65, 0, 1, 0, 1, 1, 33, 0.515625
66, 1, 0, 1, 1, 1, 33, 0.507692
67, 0, 0, 1, 1, 1, 33, 0.5
68, 0, 0, 1, 1, 1, 33, 0.492537
69, 0, 0, 1, 1, 1, 33, 0.485294
70, 0, 0, 0, 1, 1, 33, 0.478261
71, 1, 0, 1, 1, 1, 33, 0.471429
72, 0, 0, 0, 1, 1, 33, 0.464789
73, 0, 1, 0, 1, 1, 34, 0.472222
74, 0, 1, 0, 1, 1, 35, 0.479452
75, 0, 1, 0, 1, 1, 36, 0.486486
76, 0, 1, 1, 1, 1, 37, 0.493333
77, 0, 0, 0, 1, 1, 37, 0.486842
78, 1, 0, 0, 1, 1, 37, 0.480519
79, 0, 1, 0, 1, 1, 38, 0.487179
80, 0, 1, 1, 1, 1, 39, 0.493671
81, 0, 0, 1, 1, 1, 39, 0.4875
82, 0, 0, 1, 1, 1, 39, 0.481481
83, 0, 0, 1, 1, 1, 39, 0.47561
84, 0, 0, 1, 1, 1, 39, 0.46988
85, 0, 0, 1, 1, 1, 39, 0.464286
86, 0, 0, 0, 1, 1, 39, 0.458824
87, 0, 1, 0, 1, 1, 40, 0.465116
88, 0, 1, 0, 1, 1, 41, 0.471264
89, 0, 1, 0, 1, 1, 42, 0.477273
90, 0, 1, 1, 1, 1, 43, 0.483146
91, 0, 0, 0, 1, 1, 43, 0.477778
92, 0, 1, 0, 1, 1, 44, 0.483516
93, 0, 1, 0, 1, 1, 45, 0.48913
94, 0, 1, 1, 1, 1, 46, 0.494624
95, 0, 0, 0, 1, 1, 46, 0.489362
96, 0, 1, 0, 1, 1, 47, 0.494737
97, 0, 1, 0, 1, 1, 48, 0.5
98, 0, 1, 1, 1, 1, 49, 0.505155
99, 0, 0, 0, 1, 1, 49, 0.5
100, 0, 1, 1, 1, 1, 50, 0.505051
101, 1, 1, 0, 1, 1, 51, 0.51
102, 0, 1, 1, 1, 1, 52, 0.514851
103, 0, 0, 0, 1, 1, 52, 0.509804
104, 0, 1, 1, 1, 1, 53, 0.514563
105, 0, 0, 0, 1, 1, 53, 0.509615
106, 0, 1, 0, 1, 1, 54, 0.514286
107, 0, 1, 1, 1, 1, 55, 0.518868
108, 0, 0, 0, 1, 1, 55, 0.514019
109, 0, 1, 1, 1, 1, 56, 0.518519
110, 0, 0, 0, 1, 1, 56, 0.513761
111, 0, 1, 1, 1, 1, 57, 0.518182
112, 0, 0, 1, 1, 1, 57, 0.513514
113, 0, 0, 0, 1, 1, 57, 0.508929
114, 0, 1, 0, 1, 1, 58, 0.513274
115, 0, 1, 0, 1, 1, 59, 0.517544
116, 0, 1, 0, 1, 1, 60, 0.521739
117, 0, 1, 0, 1, 1, 61, 0.525862
118, 0, 1, 1, 1, 1, 62, 0.529915
119, 0, 0, 1, 1, 1, 62, 0.525424
120, 0, 0, 0, 1, 1, 62, 0.521008
121, 1, 0, 0, 1, 1, 62, 0.516667
122, 0, 1, 0, 1, 1, 63, 0.520661
123, 0, 1, 0, 1, 1, 64, 0.52459
124, 0, 1, 0, 1, 1, 65, 0.528455
125, 0, 1, 0, 1, 1, 66, 0.532258
126, 0, 1, 0, 1, 1, 67, 0.536
127, 0, 1, 1, 1, 1, 68, 0.539683
128, 0, 0, 1, 1, 1, 68, 0.535433
129, 0, 0, 1, 1, 1, 68, 0.53125
130, 0, 0, 1, 1, 1, 68, 0.527132
