cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1117257728, 0, 7, 1, 1, 0, 0
2, 1117388804, 2, 7, 1, 1, 2, 1
3, 1117388804, 0, 1, 1, 1, 2, 0.666667
4, 1117388804, 0, 7, 1, 1, 2, 0.5
5, 1117388804, 0, 2, 1, 1, 2, 0.4
6, 1117393412, 2, 2, 1, 1, 4, 0.666667
7, 1117393412, 0, 7, 1, 1, 4, 0.571429
8, 1117393412, 0, 4, 1, 1, 4, 0.5
9, 1117393412, 0, 0, 1, 1, 4, 0.444444
10, 1117393412, 0, 0, 1, 1, 4, 0.4
11, 1117393412, 0, 0, 1, 1, 4, 0.363636
12, 1117393412, 0, 3, 1, 1, 4, 0.333333
13, 0, 1, 2, 1, 1, 5, 0.384615
14, 135168, 2, 6, 1, 1, 7, 0.5
15, 135186, 2, 7, 1, 1, 9, 0.6
16, 137238, 2, 4, 1, 1, 11, 0.6875
17, 0, 4, 5, 1, 1, 15, 0.882353
18, 131136, 2, 3, 1, 1, 17, 0.944444
19, 132192, 2, 5, 1, 1, 19, 1
20, 132192, 0, 4, 1, 1, 19, 0.95
21, 0, 4, 1, 1, 1, 23, 1.09524
22, 147456, 2, 7, 1, 1, 25, 1.13636
23, 149508, 2, 5, 1, 1, 27, 1.17391
24, 157764, 2, 3, 1, 1, 29, 1.20833
25, 157764, 0, 8, 1, 1, 29, 1.16
26, 0, 1, 5, 1, 1, 30, 1.15385
27, 131136, 2, 3, 1, 1, 32, 1.18519
28, 132162, 2, 1, 1, 1, 34, 1.21429
29, 156738, 2, 1, 1, 1, 36, 1.24138
30, 156738, 0, 2, 1, 1, 36, 1.2
31, 156738, 0, 3, 1, 1, 36, 1.16129
32, 156738, 0, 2, 1, 1, 36, 1.125
33, 156738, 0, 4, 1, 1, 36, 1.09091
34, 0, 4, 6, 1, 1, 40, 1.17647
35, 131088, 2, 0, 1, 1, 42, 1.2
36, 131088, 0, 7, 1, 1, 42, 1.16667
37, 131094, 2, 6, 1, 1, 44, 1.18919
38, 131094, 0, 2, 1, 1, 44, 1.15789
39, 167958, 2, 6, 1, 1, 46, 1.17949
40, 167958, 0, 3, 1, 1, 46, 1.15
41, 0, 1, 3, 1, 1, 47, 1.14634
42, 132096, 2, 8, 1, 1, 49, 1.16667
43, 140289, 2, 6, 1, 1, 51, 1.18605
44, 140817, 2, 4, 1, 1, 53, 1.20455
45, 140817, 0, 2, 1, 1, 53, 1.17778
46, 140817, 0, 7, 1, 1, 53, 1.15217
47, 0, 4, 8, 1, 1, 57, 1.21277
48, 131073, 2, 6, 1, 1, 59, 1.22917
49, 163857, 2, 7, 1, 1, 61, 1.2449
50, 0, 4, 5, 1, 1, 65, 1.3
51, 131136, 2, 7, 1, 1, 67, 1.31373
52, 139332, 2, 0, 1, 1, 69, 1.32692
53, 139332, 0, 8, 1, 1, 69, 1.30189
54, 141381, 2, 7, 1, 1, 71, 1.31481
55, 141381, 0, 2, 1, 1, 71, 1.29091
56, 141381, 0, 5, 1, 1, 71, 1.26786
57, 141381, 0, 2, 1, 1, 71, 1.24561
58, 141381, 0, 2, 1, 1, 71, 1.22414
59, 141381, 0, 3, 1, 1, 71, 1.20339
60, 141381, 0, 1, 1, 1, 71, 1.18333
61, 158277, 2, 7, 1, 1, 73, 1.19672
62, 158277, 0, 4, 1, 1, 73, 1.17742
63, 158277, 0, 4, 1, 1, 73, 1.15873
64, 158277, 0, 1, 1, 1, 73, 1.14062
65, 158277, 0, 2, 1, 1, 73, 1.12308
66, 158277, 0, 6, 1, 1, 73, 1.10606
67, 0, 4, 7, 1, 1, 77, 1.14925
68, 131076, 2, 2, 1, 1, 79, 1.16176
69, 167940, 2, 6, 1, 1, 81, 1.17391
70, 168084, 2, 1, 1, 1, 83, 1.18571
71, 168084, 0, 8, 1, 1, 83, 1.16901
72, 0, 4, 6, 1, 1, 87, 1.20833
73, 131088, 2, 3, 1, 1, 89, 1.21918
74, 140304, 2, 1, 1, 1, 91, 1.22973
75, 157200, 2, 2, 1, 1, 93, 1.24
76, 157200, 0, 4, 1, 1, 93, 1.22368
77, 157200, 0, 0, 1, 1, 93, 1.20779
78, 157200, 0, 4, 1, 1, 93, 1.19231
79, 157200, 0, 2, 1, 1, 93, 1.17722
80, 157200, 0, 0, 1, 1, 93, 1.1625
81, 157200, 0, 3, 1, 1, 93, 1.14815
82, 157200, 0, 3, 1, 1, 93, 1.13415
83, 157200, 0, 2, 1, 1, 93, 1.12048
84, 157200, 0, 1, 1, 1, 93, 1.10714
85, 157200, 0, 5, 1, 1, 93, 1.09412
86, 0, 1, 6, 1, 1, 94, 1.09302
87, 131088, 2, 8, 1, 1, 96, 1.10345
88, 131217, 2, 5, 1, 1, 98, 1.11364
89, 131217, 0, 2, 1, 1, 98, 1.10112
90, 137361, 2, 1, 1, 1, 100, 1.11111
91, 153753, 2, 1, 1, 1, 102, 1.12088
92, 153753, 0, 5, 1, 1, 102, 1.1087
93, 153753, 0, 3, 1, 1, 102, 1.09677
94, 153753, 0, 7, 1, 1, 102, 1.08511
95, 153753, 0, 8, 1, 1, 102, 1.07368
96, 153753, 0, 3, 1, 1, 102, 1.0625
97, 153753, 0, 1, 1, 1, 102, 1.05155
98, 153753, 0, 2, 1, 1, 102, 1.04082
99, 153753, 0, 6, 1, 1, 102, 1.0303
100, 153753, 0, 2, 1, 1, 102, 1.02
101, 153753, 0, 0, 1, 1, 102, 1.0099
102, 153753, 0, 0, 1, 1, 102, 1
103, 153753, 0, 5, 1, 1, 102, 0.990291
104, 153753, 0, 3, 1, 1, 102, 0.980769
105, 153753, 0, 6, 1, 1, 102, 0.971429
106, 153753, 0, 3, 1, 1, 102, 0.962264
107, 153753, 0, 6, 1, 1, 102, 0.953271
108, 153753, 0, 4, 1, 1, 102, 0.944444
109, 0, 4, 2, 1, 1, 106, 0.972477
110, 135168, 2, 2, 1, 1, 108, 0.981818
111, 135168, 0, 5, 1, 1, 108, 0.972973
112, 135240, 2, 6, 1, 1, 110, 0.982143
113, 168024, 2, 1, 1, 1, 112, 0.99115
114, 168024, 0, 1, 1, 1, 112, 0.982456
115, 168024, 0, 3, 1, 1, 112, 0.973913
116, 0, 1, 1, 1, 1, 113, 0.974138
117, 147456, 2, 7, 1, 1, 115, 0.982906
118, 147462, 2, 6, 1, 1, 117, 0.991525
119, 155670, 2, 2, 1, 1, 119, 1
120, 155670, 0, 6, 1, 1, 119, 0.991667
121, 155670, 0, 7, 1, 1, 119, 0.983471
122, 155670, 0, 1, 1, 1, 119, 0.97541
123, 155670, 0, 7, 1, 1, 119, 0.96748
124, 155670, 0, 0, 1, 1, 119, 0.959677
125, 155670, 0, 7, 1, 1, 119, 0.952
126, 155670, 0, 8, 1, 1, 119, 0.944444
127, 155670, 0, 7, 1, 1, 119, 0.937008
128, 155670, 0, 0, 1, 1, 119, 0.929688
129, 155670, 0, 3, 1, 1, 119, 0.922481
130, 0, 1, 5, 1, 1, 120, 0.923077
131, 131136, 2, 4, 1, 1, 122, 0.931298
132, 133440, 2, 4, 1, 1, 124, 0.939394
133, 133440, 0, 6, 1, 1, 124, 0.932331
134, 166224, 2, 7, 1, 1, 126, 0.940299
135, 0, 1, 1, 1, 1, 127, 0.940741
136, 147456, 2, 0, 1, 1, 129, 0.948529
137, 147456, 0, 7, 1, 1, 129, 0.941606
138, 147972, 2, 7, 1, 1, 131, 0.949275
139, 147972, 0, 1, 1, 1, 131, 0.942446
140, 147972, 0, 4, 1, 1, 131, 0.935714
141, 147972, 0, 1, 1, 1, 131, 0.929078
142, 147972, 0, 8, 1, 1, 131, 0.922535
143, 148005, 2, 2, 1, 1, 133, 0.93007
144, 152229, 2, 7, 1, 1, 135, 0.9375
145, 152229, 0, 1, 1, 1, 135, 0.931034
146, 152229, 0, 8, 1, 1, 135, 0.924658
147, 152229, 0, 8, 1, 1, 135, 0.918367
148, 152229, 0, 8, 1, 1, 135, 0.912162
149, 152229, 0, 7, 1, 1, 135, 0.90604
150, 152229, 0, 7, 1, 1, 135, 0.9
151, 152229, 0, 0, 1, 1, 135, 0.89404
152, 152229, 0, 4, 1, 1, 135, 0.888158
153, 152229, 0, 4, 1, 1, 135, 0.882353
154, 152229, 0, 0, 1, 1, 135, 0.876623
155, 152229, 0, 0, 1, 1, 135, 0.870968
156, 152229, 0, 3, 1, 1, 135, 0.865385
157, 0, 3, 1, 1, 1, 138, 0.878981
158, 147456, 2, 3, 1, 1, 140, 0.886076
159, 148488, 2, 7, 1, 1, 142, 0.893082
160, 148488, 0, 3, 1, 1, 142, 0.8875
161, 148488, 0, 4, 1, 1, 142, 0.881988
162, 156936, 2, 3, 1, 1, 144, 0.888889
163, 156936, 0, 3, 1, 1, 144, 0.883436
164, 156936, 0, 2, 1, 1, 144, 0.878049
165, 156936, 0, 6, 1, 1, 144, 0.872727
166, 156954, 2, 2, 1, 1, 146, 0.879518
167, 156954, 0, 4, 1, 1, 146, 0.874251
168, 156954, 0, 3, 1, 1, 146, 0.869048
169, 156954, 0, 6, 1, 1, 146, 0.863905
170, 156954, 0, 6, 1, 1, 146, 0.858824
171, 156954, 0, 8, 1, 1, 146, 0.853801
172, 156954, 0, 8, 1, 1, 146, 0.848837
173, 156954, 0, 3, 1, 1, 146, 0.843931
174, 156954, 0, 8, 1, 1, 146, 0.83908
175, 156954, 0, 2, 1, 1, 146, 0.834286
176, 156954, 0, 2, 1, 1, 146, 0.829545
177, 156954, 0, 0, 1, 1, 146, 0.824859
178, 156954, 0, 2, 1, 1, 146, 0.820225
179, 156954, 0, 2, 1, 1, 146, 0.815642
180, 156954, 0, 7, 1, 1, 146, 0.811111
181, 156954, 0, 0, 1, 1, 146, 0.80663
182, 156954, 0, 0, 1, 1, 146, 0.802198
183, 156954, 0, 2, 1, 1, 146, 0.797814
184, 156954, 0, 8, 1, 1, 146, 0.793478
185, 156954, 0, 6, 1, 1, 146, 0.789189
186, 156954, 0, 6, 1, 1, 146, 0.784946
187, 156954, 0, 3, 1, 1, 146, 0.780749
