cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2703807834, 0, 7, 1, 1, 0, 0
2, 2703807834, 0, 7, 1, 1, 0, 0
3, 2703807834, 0, 1, 1, 1, 0, 0
4, 2703807834, 0, 7, 1, 1, 0, 0
5, 2703807834, 0, 2, 1, 1, 0, 0
6, 0, 3, 6, 1, 1, 3, 0.5
7, 131088, 2, 0, 1, 1, 5, 0.714286
8, 131088, 0, 1, 1, 1, 5, 0.625
9, 147984, 2, 2, 1, 1, 7, 0.777778
10, 152088, 2, 4, 1, 1, 9, 0.9
11, 152088, 0, 0, 1, 1, 9, 0.818182
12, 152088, 0, 0, 1, 1, 9, 0.75
13, 152088, 0, 0, 1, 1, 9, 0.692308
14, 152088, 0, 3, 1, 1, 9, 0.642857
15, 0, 1, 2, 1, 1, 10, 0.666667
16, 135168, 2, 6, 1, 1, 12, 0.75
17, 135186, 2, 7, 1, 1, 14, 0.823529
18, 137238, 2, 4, 1, 1, 16, 0.888889
19, 0, 4, 5, 1, 1, 20, 1.05263
20, 131136, 2, 3, 1, 1, 22, 1.1
21, 132192, 2, 5, 1, 1, 24, 1.14286
22, 132192, 0, 4, 1, 1, 24, 1.09091
23, 0, 4, 1, 1, 1, 28, 1.21739
24, 147456, 2, 7, 1, 1, 30, 1.25
25, 149508, 2, 5, 1, 1, 32, 1.28
26, 157764, 2, 3, 1, 1, 34, 1.30769
27, 157764, 0, 8, 1, 1, 34, 1.25926
28, 0, 1, 5, 1, 1, 35, 1.25
29, 131136, 2, 3, 1, 1, 37, 1.27586
30, 132162, 2, 1, 1, 1, 39, 1.3
31, 156738, 2, 1, 1, 1, 41, 1.32258
32, 156738, 0, 2, 1, 1, 41, 1.28125
33, 156738, 0, 3, 1, 1, 41, 1.24242
34, 156738, 0, 2, 1, 1, 41, 1.20588
35, 156738, 0, 4, 1, 1, 41, 1.17143
36, 0, 4, 6, 1, 1, 45, 1.25
37, 131088, 2, 0, 1, 1, 47, 1.27027
38, 131088, 0, 7, 1, 1, 47, 1.23684
39, 131094, 2, 6, 1, 1, 49, 1.25641
40, 131094, 0, 2, 1, 1, 49, 1.225
41, 167958, 2, 6, 1, 1, 51, 1.2439
42, 167958, 0, 3, 1, 1, 51, 1.21429
43, 0, 1, 3, 1, 1, 52, 1.2093
44, 132096, 2, 8, 1, 1, 54, 1.22727
45, 140289, 2, 6, 1, 1, 56, 1.24444
46, 140817, 2, 4, 1, 1, 58, 1.26087
47, 140817, 0, 2, 1, 1, 58, 1.23404
48, 140817, 0, 7, 1, 1, 58, 1.20833
49, 0, 4, 8, 1, 1, 62, 1.26531
50, 131073, 2, 6, 1, 1, 64, 1.28
51, 163857, 2, 7, 1, 1, 66, 1.29412
52, 0, 4, 5, 1, 1, 70, 1.34615
53, 131136, 2, 7, 1, 1, 72, 1.35849
54, 139332, 2, 0, 1, 1, 74, 1.37037
55, 139332, 0, 8, 1, 1, 74, 1.34545
56, 141381, 2, 7, 1, 1, 76, 1.35714
57, 141381, 0, 2, 1, 1, 76, 1.33333
58, 141381, 0, 5, 1, 1, 76, 1.31034
59, 141381, 0, 2, 1, 1, 76, 1.28814
60, 141381, 0, 2, 1, 1, 76, 1.26667
61, 141381, 0, 3, 1, 1, 76, 1.2459
62, 141381, 0, 1, 1, 1, 76, 1.22581
63, 158277, 2, 7, 1, 1, 78, 1.2381
64, 158277, 0, 4, 1, 1, 78, 1.21875
65, 158277, 0, 4, 1, 1, 78, 1.2
66, 158277, 0, 1, 1, 1, 78, 1.18182
67, 158277, 0, 2, 1, 1, 78, 1.16418
68, 158277, 0, 6, 1, 1, 78, 1.14706
69, 0, 4, 7, 1, 1, 82, 1.18841
70, 131076, 2, 2, 1, 1, 84, 1.2
71, 167940, 2, 6, 1, 1, 86, 1.21127
72, 168084, 2, 1, 1, 1, 88, 1.22222
73, 168084, 0, 8, 1, 1, 88, 1.20548
74, 0, 4, 6, 1, 1, 92, 1.24324
75, 131088, 2, 3, 1, 1, 94, 1.25333
76, 140304, 2, 1, 1, 1, 96, 1.26316
77, 157200, 2, 2, 1, 1, 98, 1.27273
78, 157200, 0, 4, 1, 1, 98, 1.25641
79, 157200, 0, 0, 1, 1, 98, 1.24051
80, 157200, 0, 4, 1, 1, 98, 1.225
81, 157200, 0, 2, 1, 1, 98, 1.20988
