cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32590, 0, 3, 0, 0.1, 0, 0
2, 29962, 1011, 0, 1, 0.1, 1011, 505.5
3, 30472, 991, 2, 0, 0.1, 2002, 667.333
4, 29962, 1001, 1, 0, 0.1, 3003, 750.75
5, 29962, 1011, 2, 0, 0.1, 4014, 802.8
6, 30472, 991, 0, 0, 0.1, 5005, 834.167
7, 29962, 1001, 0, 0, 0.1, 6006, 858
8, 30472, 1001, 3, 0, 0.1, 7007, 875.875
9, 30472, 1011, 0, 0, 0.1, 8018, 890.889
10, 29962, 991, 1, 0, 0.1, 9009, 900.9
11, 29962, 1011, 3, 0, 0.1, 10020, 910.909
12, 29962, 1011, 0, 0, 0.1, 11031, 919.25
13, 32002, 991, 1, 1, 0.1, 12022, 924.769
14, 32002, 1011, 3, 0, 0.1, 13033, 930.929
15, 30725, 991, 3, 0, 0.1, 14024, 934.933
16, 31745, 991, 0, 0, 0.1, 15015, 938.438
17, 31745, 1011, 1, 0, 0.1, 16026, 942.706
18, 30725, 1001, 0, 0, 0.1, 17027, 945.944
19, 30725, 1011, 0, 0, 0.1, 18038, 949.368
20, 30725, 1011, 3, 0, 0.1, 19049, 952.45
21, 31745, 1001, 3, 0, 0.1, 20050, 954.762
22, 30725, 991, 3, 0, 0.1, 21041, 956.409
23, 30725, 991, 2, 0, 0.1, 22032, 957.913
24, 30725, 1011, 1, 0, 0.1, 23043, 960.125
25, 30725, 1001, 1, 0, 0.1, 24044, 961.76
26, 31745, 1001, 3, 1, 0.1, 25045, 963.269
27, 30725, 1001, 1, 0, 0.1, 26046, 964.667
28, 31745, 1001, 2, 0, 0.1, 27047, 965.964
29, 29706, 991, 2, 0, 0.1, 28038, 966.828
30, 29706, 991, 1, 0, 0.1, 29029, 967.633
31, 29706, 1011, 0, 0, 0.1, 30040, 969.032
32, 29706, 1001, 2, 0, 0.1, 31041, 970.031
33, 29706, 1001, 1, 0, 0.1, 32042, 970.97
34, 29706, 1011, 3, 0, 0.1, 33053, 972.147
35, 29706, 1011, 1, 0, 0.1, 34064, 973.257
36, 29706, 1011, 1, 0, 0.1, 35075, 974.306
37, 29706, 1011, 0, 0, 0.1, 36086, 975.297
38, 29706, 1001, 3, 0, 0.1, 37087, 975.974
39, 29706, 1011, 0, 0, 0.1, 38098, 976.872
40, 27649, 1001, 3, 0, 0.1, 39099, 977.475
41, 30725, 1001, 3, 1, 0.1, 40100, 978.049
42, 30725, 1001, 3, 0, 0.1, 41101, 978.595
43, 30725, 991, 0, 1, 0.1, 42092, 978.884
44, 30725, 1011, 3, 0, 0.1, 43103, 979.614
45, 29705, 991, 2, 0, 0.1, 44094, 979.867
46, 29770, 991, 0, 0, 0.1, 45085, 980.109
47, 29769, 1001, 2, 0, 0.1, 46086, 980.553
48, 29722, 851, 0, 0, 0.1, 46937, 977.854
49, 30472, 991, 0, 0, 0.1, 47928, 978.122
50, 29962, 991, 2, 0, 0.1, 48919, 978.38
51, 30472, 1001, 3, 0, 0.1, 49920, 978.824
52, 30472, 1011, 3, 0, 0.1, 50931, 979.442
53, 30472, 1011, 2, 0, 0.1, 51942, 980.038
54, 29962, 1001, 3, 1, 0.1, 52943, 980.426
55, 29962, 1011, 1, 0, 0.1, 53954, 980.982
56, 29962, 1011, 1, 0, 0.1, 54965, 981.518
57, 29962, 1011, 3, 0, 0.1, 55976, 982.035
58, 29962, 1011, 3, 0, 0.1, 56987, 982.534
59, 29962, 1011, 0, 0, 0.1, 57998, 983.017
60, 30472, 1001, 0, 0, 0.1, 58999, 983.317
61, 29962, 1001, 0, 0, 0.1, 60000, 983.607
62, 32002, 991, 0, 0, 0.1, 60991, 983.726
63, 29962, 991, 2, 1, 0.1, 61982, 983.841
64, 32002, 1001, 0, 0, 0.1, 62983, 984.109
65, 29962, 1001, 1, 0, 0.1, 63984, 984.369
66, 29962, 1011, 1, 0, 0.1, 64995, 984.773
67, 29962, 1011, 2, 0, 0.1, 66006, 985.164
68, 32002, 1001, 1, 0, 0.1, 67007, 985.397
69, 32002, 1011, 1, 0, 0.1, 68018, 985.768
70, 32002, 1011, 3, 0, 0.1, 69029, 986.129
71, 30725, 991, 0, 0, 0.1, 70020, 986.197
72, 30725, 1011, 1, 0, 0.1, 71031, 986.542
73, 32002, 1001, 1, 0, 0.1, 72032, 986.74
74, 32002, 1011, 0, 0, 0.1, 73043, 987.068
75, 29962, 1001, 2, 0, 0.1, 74044, 987.253
76, 32002, 1001, 2, 0, 0.1, 75045, 987.434
77, 29962, 1001, 2, 0, 0.1, 76046, 987.61
78, 30472, 1001, 0, 0, 0.1, 77047, 987.782
79, 29962, 1001, 1, 0, 0.1, 78048, 987.949
80, 29962, 1011, 3, 0, 0.1, 79059, 988.237
81, 29962, 1011, 2, 0, 0.1, 80070, 988.519
82, 30472, 1001, 2, 0, 0.1, 81071, 988.671
83, 29962, 1001, 3, 0, 0.1, 82072, 988.819
84, 29962, 1011, 3, 0, 0.1, 83083, 989.083
85, 29962, 1011, 1, 0, 0.1, 84094, 989.341
86, 29962, 1011, 3, 0, 0.1, 85105, 989.593
87, 29962, 1011, 3, 0, 0.1, 86116, 989.839
88, 29962, 1011, 0, 0, 0.1, 87127, 990.08
89, 30472, 1001, 3, 0, 0.1, 88128, 990.202
90, 30472, 1011, 1, 0, 0.1, 89139, 990.433
91, 29189, 991, 0, 0, 0.1, 90130, 990.44
92, 29189, 1011, 2, 0, 0.1, 91141, 990.663
93, 29189, 1011, 1, 0, 0.1, 92152, 990.882
94, 29954, 991, 3, 0, 0.1, 93143, 990.883
95, 28677, 1001, 0, 0, 0.1, 94144, 990.989
96, 28677, 1011, 3, 0, 0.1, 95155, 991.198
97, 29960, 1001, 3, 0, 0.1, 96156, 991.299
98, 29960, 1011, 0, 0, 0.1, 97167, 991.5
99, 25866, 1001, 3, 0, 0.1, 98168, 991.596
100, 25866, 1011, 3, 0, 0.1, 99179, 991.79
101, 25866, 1011, 0, 0, 0.1, 100190, 991.98
102, 32002, 1001, 1, 1, 0.1, 101191, 992.069
103, 32002, 1011, 1, 0, 0.1, 102202, 992.252
104, 32002, 1011, 1, 0, 0.1, 103213, 992.433
105, 32002, 1011, 3, 1, 0.1, 104224, 992.61
106, 30725, 1001, 0, 0, 0.1, 105225, 992.689
107, 30725, 1011, 0, 0, 0.1, 106236, 992.86
108, 30725, 1011, 2, 0, 0.1, 107247, 993.028
109, 30725, 1011, 3, 0, 0.1, 108258, 993.193
110, 31745, 991, 0, 0, 0.1, 109249, 993.173
111, 31745, 1011, 0, 0, 0.1, 110260, 993.333
112, 31745, 1011, 0, 0, 0.1, 111271, 993.491
113, 31745, 1011, 3, 0, 0.1, 112282, 993.646
114, 30725, 991, 2, 1, 0.1, 113273, 993.623
115, 30725, 1011, 2, 0, 0.1, 114284, 993.774
116, 30725, 1011, 3, 0, 0.1, 115295, 993.922
117, 30725, 991, 2, 0, 0.1, 116286, 993.897
118, 30725, 1011, 3, 0, 0.1, 117297, 994.042
119, 30725, 991, 1, 0, 0.1, 118288, 994.017
120, 30725, 1001, 1, 1, 0.1, 119289, 994.075
121, 30725, 1001, 3, 1, 0.1, 120290, 994.132
122, 30725, 1001, 2, 1, 0.1, 121291, 994.189
123, 30725, 1011, 3, 0, 0.1, 122302, 994.325
124, 30725, 1001, 3, 0, 0.1, 123303, 994.379
125, 29705, 991, 2, 0, 0.1, 124294, 994.352
126, 29706, 991, 0, 0, 0.1, 125285, 994.325
127, 29769, 1001, 2, 1, 0.1, 126286, 994.378
128, 29706, 951, 3, 0, 0.1, 127237, 994.039
129, 29962, 1011, 0, 0, 0.1, 128248, 994.171
130, 30472, 991, 0, 0, 0.1, 129239, 994.146
131, 29962, 991, 0, 0, 0.1, 130230, 994.122
132, 32002, 991, 0, 0, 0.1, 131221, 994.098
133, 29962, 991, 0, 0, 0.1, 132212, 994.075
134, 32512, 991, 2, 0, 0.1, 133203, 994.052
135, 29962, 1001, 0, 0, 0.1, 134204, 994.104
136, 32512, 1001, 0, 0, 0.1, 135205, 994.154
137, 29962, 991, 3, 0, 0.1, 136196, 994.131
138, 29962, 1011, 2, 0, 0.1, 137207, 994.254
139, 32512, 1001, 2, 1, 0.1, 138208, 994.302
140, 29962, 1001, 2, 0, 0.1, 139209, 994.35
141, 32002, 1001, 1, 0, 0.1, 140210, 994.397
142, 32002, 1011, 3, 0, 0.1, 141221, 994.514
143, 30725, 991, 1, 0, 0.1, 142212, 994.49
144, 32002, 1001, 0, 0, 0.1, 143213, 994.535
145, 29962, 1001, 3, 0, 0.1, 144214, 994.579
146, 29962, 1011, 1, 0, 0.1, 145225, 994.692
147, 29962, 1011, 1, 0, 0.1, 146236, 994.803
148, 29962, 1011, 0, 0, 0.1, 147247, 994.912
149, 32512, 1001, 2, 0, 0.1, 148248, 994.953
150, 29962, 1001, 0, 0, 0.1, 149249, 994.993
151, 32512, 1001, 2, 0, 0.1, 150250, 995.033
152, 29962, 1001, 0, 0, 0.1, 151251, 995.072
