cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 1, 1, 1, 1
2, 0, 0, 1, 1, 0.95, 1, 0.5
3, 0, 0, 1, 1, 0.9025, 1, 0.333333
4, 0, 0, 1, 1, 0.857375, 1, 0.25
5, 0, 0, 0, 1, 0.814506, 1, 0.2
6, 0, 1, 1, 0, 0.773781, 2, 0.333333
7, 0, 0, 1, 1, 0.735092, 2, 0.285714
8, 0, 0, 1, 0, 0.698337, 2, 0.25
9, 0, 0, 0, 1, 0.66342, 2, 0.222222
10, 0, 1, 1, 0, 0.630249, 3, 0.3
11, 0, 0, 1, 1, 0.598737, 3, 0.272727
12, 0, 0, 0, 1, 0.5688, 3, 0.25
13, 0, 1, 0, 1, 0.54036, 4, 0.307692
14, 0, 0, 0, 1, 0.513342, 4, 0.285714
15, 0, 0, 0, 0, 0.487675, 4, 0.266667
16, 0, 0, 1, 1, 0.463291, 4, 0.25
17, 0, 0, 1, 0, 0.440127, 4, 0.235294
18, 0, 1, 0, 0, 0.41812, 5, 0.277778
19, 0, 0, 1, 0, 0.397214, 5, 0.263158
20, 0, 1, 1, 1, 0.377354, 6, 0.3
21, 0, 0, 0, 0, 0.358486, 6, 0.285714
22, 0, 1, 1, 1, 0.340562, 7, 0.318182
23, 0, 0, 0, 0, 0.323534, 7, 0.304348
24, 0, 1, 1, 0, 0.307357, 8, 0.333333
25, 0, 0, 1, 0, 0.291989, 8, 0.32
26, 0, 0, 1, 0, 0.27739, 8, 0.307692
27, 0, 0, 1, 1, 0.26352, 8, 0.296296
28, 0, 0, 0, 0, 0.250344, 8, 0.285714
29, 0, 1, 0, 0, 0.237827, 9, 0.310345
30, 0, 0, 1, 1, 0.225936, 9, 0.3
31, 0, 1, 1, 0, 0.214639, 10, 0.322581
32, 0, 0, 0, 0, 0.203907, 10, 0.3125
33, 0, 1, 0, 0, 0.193711, 11, 0.333333
34, 0, 0, 0, 0, 0.184026, 11, 0.323529
35, 0, 0, 0, 0, 0.174825, 11, 0.314286
36, 0, 0, 1, 0, 0.166083, 11, 0.305556
37, 0, 0, 1, 0, 0.157779, 11, 0.297297
38, 0, 1, 0, 0, 0.14989, 12, 0.315789
39, 0, 0, 1, 0, 0.142396, 12, 0.307692
40, 0, 1, 0, 0, 0.135276, 13, 0.325
41, 0, 0, 0, 1, 0.128512, 13, 0.317073
42, 0, 0, 0, 0, 0.122087, 13, 0.309524
43, 0, 0, 0, 1, 0.115982, 13, 0.302326
44, 0, 0, 0, 0, 0.110183, 13, 0.295455
45, 0, 0, 1, 0, 0.104674, 13, 0.288889
46, 0, 0, 1, 0, 0.0994403, 13, 0.282609
47, 0, 1, 0, 0, 0.0944682, 14, 0.297872
48, 0, 0, 1, 1, 0.0897448, 14, 0.291667
49, 0, 1, 0, 0, 0.0852576, 15, 0.306122
50, 0, 0, 1, 0, 0.0809947, 15, 0.3
51, 0, 1, 0, 0, 0.076945, 16, 0.313725
52, 0, 0, 1, 0, 0.0730977, 16, 0.307692
53, 0, 1, 0, 0, 0.0694428, 17, 0.320755
54, 0, 0, 1, 0, 0.0659707, 17, 0.314815
55, 0, 1, 0, 0, 0.0626722, 18, 0.327273
56, 0, 0, 1, 0, 0.0595386, 18, 0.321429
57, 0, 1, 0, 0, 0.0565616, 19, 0.333333
58, 0, 0, 1, 0, 0.0537335, 19, 0.327586
59, 0, 1, 0, 0, 0.0510469, 20, 0.338983
60, 0, 0, 1, 0, 0.0484945, 20, 0.333333
61, 0, 1, 0, 0, 0.0460698, 21, 0.344262
62, 0, 0, 1, 0, 0.0437663, 21, 0.33871
63, 0, 1, 0, 0, 0.041578, 22, 0.349206
64, 0, 0, 1, 0, 0.0394991, 22, 0.34375
65, 0, 1, 0, 0, 0.0375241, 23, 0.353846
66, 0, 0, 1, 0, 0.0356479, 23, 0.348485
67, 0, 1, 0, 0, 0.0338655, 24, 0.358209
68, 0, 0, 1, 0, 0.0321723, 24, 0.352941
69, 0, 1, 0, 0, 0.0305636, 25, 0.362319
70, 0, 0, 1, 0, 0.0290355, 25, 0.357143
71, 0, 1, 0, 0, 0.0275837, 26, 0.366197
72, 0, 0, 1, 0, 0.0262045, 26, 0.361111
73, 0, 1, 0, 0, 0.0248943, 27, 0.369863
74, 0, 0, 1, 0, 0.0236496, 27, 0.364865
75, 0, 1, 0, 0, 0.0224671, 28, 0.373333
76, 0, 0, 1, 0, 0.0213437, 28, 0.368421
