cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0, 1, 1
2, 0, 0, 0, 0, 0, 1, 0.5
3, 0, 1, 1, 0, 0, 2, 0.666667
4, 0, 0, 1, 0, 0, 2, 0.5
5, 0, 0, 0, 0, 0, 2, 0.4
6, 0, 1, 1, 0, 0, 3, 0.5
7, 0, 0, 1, 0, 0, 3, 0.428571
8, 0, 0, 1, 0, 0, 3, 0.375
9, 0, 0, 1, 0, 0, 3, 0.333333
10, 0, 0, 0, 0, 0, 3, 0.3
11, 0, 1, 0, 0, 0, 4, 0.363636
12, 0, 0, 0, 0, 0, 4, 0.333333
13, 0, 0, 0, 0, 0, 4, 0.307692
14, 0, 0, 1, 0, 0, 4, 0.285714
15, 0, 0, 1, 0, 0, 4, 0.266667
16, 0, 1, 1, 0, 0, 5, 0.3125
17, 0, 0, 0, 0, 0, 5, 0.294118
18, 0, 1, 0, 0, 0, 6, 0.333333
19, 0, 0, 1, 0, 0, 6, 0.315789
20, 0, 1, 1, 0, 0, 7, 0.35
21, 0, 0, 1, 0, 0, 7, 0.333333
22, 0, 0, 1, 0, 0, 7, 0.318182
23, 0, 0, 0, 0, 0, 7, 0.304348
24, 0, 1, 0, 0, 0, 8, 0.333333
25, 0, 0, 1, 0, 0, 8, 0.32
26, 0, 1, 0, 0, 0, 9, 0.346154
27, 0, 0, 1, 0, 0, 9, 0.333333
28, 0, 1, 0, 0, 0, 10, 0.357143
29, 0, 0, 1, 0, 0, 10, 0.344828
30, 0, 1, 0, 0, 0, 11, 0.366667
31, 0, 0, 1, 0, 0, 11, 0.354839
32, 0, 1, 0, 0, 0, 12, 0.375
33, 0, 0, 1, 0, 0, 12, 0.363636
34, 0, 1, 0, 0, 0, 13, 0.382353
35, 0, 0, 1, 0, 0, 13, 0.371429
36, 0, 1, 0, 0, 0, 14, 0.388889
37, 0, 0, 1, 0, 0, 14, 0.378378
38, 0, 1, 0, 0, 0, 15, 0.394737
39, 0, 0, 1, 0, 0, 15, 0.384615
40, 0, 1, 0, 0, 0, 16, 0.4
