cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 0, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0, 0
4, 0, 1, 0, 0, 0, 1, 0.25
5, 0, 1, 1, 0, 0, 2, 0.4
6, 0, 0, 1, 0, 0, 2, 0.333333
7, 0, 0, 1, 0, 0, 2, 0.285714
8, 0, 0, 0, 0, 0, 2, 0.25
9, 0, 1, 1, 0, 0, 3, 0.333333
10, 0, 0, 1, 0, 0, 3, 0.3
11, 0, 0, 0, 0, 0, 3, 0.272727
12, 0, 1, 1, 0, 0, 4, 0.333333
13, 0, 0, 0, 0, 0, 4, 0.307692
14, 0, 1, 1, 0, 0, 5, 0.357143
15, 0, 0, 0, 0, 0, 5, 0.333333
16, 1, 0, 1, 0, 0, 5, 0.3125
17, 0, 0, 0, 0, 0, 5, 0.294118
18, 0, 1, 1, 0, 0, 6, 0.333333
19, 1, 1, 1, 0, 0, 7, 0.368421
20, 0, 0, 1, 0, 0, 7, 0.35
21, 0, 0, 0, 0, 0, 7, 0.333333
22, 0, 1, 1, 0, 0, 8, 0.363636
23, 0, 0, 0, 0, 0, 8, 0.347826
24, 0, 1, 1, 0, 0, 9, 0.375
25, 0, 0, 0, 0, 0, 9, 0.36
26, 0, 1, 0, 0, 0, 10, 0.384615
27, 0, 1, 0, 0, 0, 11, 0.407407
28, 0, 1, 0, 0, 0, 12, 0.428571
29, 1, 0, 1, 0, 0, 12, 0.413793
30, 0, 0, 0, 0, 0, 12, 0.4
31, 0, 1, 1, 0, 0, 13, 0.419355
32, 0, 0, 0, 0, 0, 13, 0.40625
33, 1, 0, 1, 0, 0, 13, 0.393939
34, 0, 0, 0, 0, 0, 13, 0.382353
35, 0, 1, 1, 0, 0, 14, 0.4
36, 0, 0, 0, 0, 0, 14, 0.388889
37, 0, 1, 0, 0, 0, 15, 0.405405
38, 0, 1, 1, 0, 0, 16, 0.421053
39, 0, 0, 0, 0, 0, 16, 0.410256
40, 0, 1, 1, 0, 0, 17, 0.425
41, 0, 0, 0, 0, 0, 17, 0.414634
42, 0, 1, 1, 0, 0, 18, 0.428571
43, 0, 0, 0, 0, 0, 18, 0.418605
44, 0, 1, 0, 0, 0, 19, 0.431818
45, 0, 1, 1, 0, 0, 20, 0.444444
46, 0, 0, 0, 0, 0, 20, 0.434783
47, 0, 1, 0, 0, 0, 21, 0.446809
48, 0, 1, 0, 0, 0, 22, 0.458333
49, 0, 1, 1, 0, 0, 23, 0.469388
50, 1, 1, 1, 0, 0, 24, 0.48
51, 0, 0, 0, 0, 0, 24, 0.470588
52, 0, 1, 0, 0, 0, 25, 0.480769
53, 0, 1, 0, 0, 0, 26, 0.490566
54, 0, 1, 0, 0, 0, 27, 0.5
55, 0, 1, 0, 0, 0, 28, 0.509091
56, 0, 1, 0, 0, 0, 29, 0.517857
57, 0, 1, 0, 0, 0, 30, 0.526316
58, 0, 1, 0, 0, 0, 31, 0.534483
59, 1, 0, 1, 0, 0, 31, 0.525424
60, 0, 0, 0, 0, 0, 31, 0.516667
61, 0, 1, 0, 0, 0, 32, 0.52459
62, 0, 1, 0, 0, 0, 33, 0.532258
63, 0, 1, 0, 0, 0, 34, 0.539683
64, 0, 1, 0, 0, 0, 35, 0.546875
65, 0, 1, 0, 0, 0, 36, 0.553846
66, 0, 1, 0, 0, 0, 37, 0.560606
67, 0, 1, 0, 0, 0, 38, 0.567164
68, 1, 0, 1, 0, 0, 38, 0.558824
69, 0, 0, 0, 0, 0, 38, 0.550725
70, 0, 1, 0, 0, 0, 39, 0.557143
71, 0, 1, 0, 0, 0, 40, 0.56338
72, 0, 1, 0, 0, 0, 41, 0.569444
73, 0, 1, 0, 0, 0, 42, 0.575342
74, 0, 1, 0, 0, 0, 43, 0.581081
75, 0, 1, 0, 0, 0, 44, 0.586667
76, 0, 1, 0, 0, 0, 45, 0.592105
77, 0, 1, 0, 0, 0, 46, 0.597403
78, 0, 1, 0, 0, 0, 47, 0.602564
79, 0, 1, 0, 0, 0, 48, 0.607595
80, 0, 1, 0, 0, 0, 49, 0.6125
81, 0, 1, 0, 0, 0, 50, 0.617284
82, 0, 1, 0, 0, 0, 51, 0.621951
83, 0, 1, 0, 0, 0, 52, 0.626506
84, 0, 1, 0, 0, 0, 53, 0.630952
85, 0, 1, 0, 0, 0, 54, 0.635294
86, 0, 1, 0, 0, 0, 55, 0.639535
87, 0, 1, 0, 0, 0, 56, 0.643678
88, 0, 1, 0, 0, 0, 57, 0.647727
89, 0, 1, 0, 0, 0, 58, 0.651685
90, 0, 1, 0, 0, 0, 59, 0.655556
91, 1, 0, 1, 0, 0, 59, 0.648352
92, 0, 0, 0, 0, 0, 59, 0.641304
93, 0, 1, 0, 0, 0, 60, 0.645161
94, 1, 0, 1, 0, 0, 60, 0.638298
95, 0, 0, 0, 0, 0, 60, 0.631579
96, 0, 1, 0, 0, 0, 61, 0.635417
97, 0, 1, 0, 0, 0, 62, 0.639175
98, 0, 1, 0, 0, 0, 63, 0.642857
99, 0, 1, 0, 0, 0, 64, 0.646465
100, 0, 1, 0, 0, 0, 65, 0.65
101, 1, 0, 1, 0, 0, 65, 0.643564
102, 0, 0, 0, 0, 0, 65, 0.637255
103, 0, 1, 0, 0, 0, 66, 0.640777
104, 0, 1, 0, 0, 0, 67, 0.644231
105, 0, 1, 0, 0, 0, 68, 0.647619
106, 0, 1, 0, 0, 0, 69, 0.650943
107, 0, 1, 0, 0, 0, 70, 0.654206
108, 0, 1, 0, 0, 0, 71, 0.657407
109, 0, 1, 0, 0, 0, 72, 0.66055
110, 0, 1, 0, 0, 0, 73, 0.663636
111, 0, 1, 0, 0, 0, 74, 0.666667
112, 0, 1, 0, 0, 0, 75, 0.669643
113, 0, 1, 0, 0, 0, 76, 0.672566
114, 1, 0, 1, 0, 0, 76, 0.666667
115, 1, 1, 1, 0, 0, 77, 0.669565
116, 0, 0, 0, 0, 0, 77, 0.663793
117, 0, 1, 0, 0, 0, 78, 0.666667
118, 0, 1, 0, 0, 0, 79, 0.669492
119, 0, 1, 0, 0, 0, 80, 0.672269
120, 0, 1, 0, 0, 0, 81, 0.675
121, 0, 1, 0, 0, 0, 82, 0.677686
122, 0, 1, 0, 0, 0, 83, 0.680328
123, 0, 1, 0, 0, 0, 84, 0.682927
124, 0, 1, 0, 0, 0, 85, 0.685484
125, 0, 1, 0, 0, 0, 86, 0.688
126, 0, 1, 0, 0, 0, 87, 0.690476
127, 0, 1, 0, 0, 0, 88, 0.692913
128, 0, 1, 0, 0, 0, 89, 0.695312
129, 0, 1, 0, 0, 0, 90, 0.697674
130, 0, 1, 0, 0, 0, 91, 0.7
131, 0, 1, 0, 0, 0, 92, 0.70229
132, 0, 1, 0, 0, 0, 93, 0.704545
133, 0, 1, 0, 0, 0, 94, 0.706767
134, 1, 0, 1, 0, 0, 94, 0.701493
135, 0, 0, 0, 0, 0, 94, 0.696296
136, 0, 1, 0, 0, 0, 95, 0.698529
137, 0, 1, 0, 0, 0, 96, 0.70073
138, 0, 1, 0, 0, 0, 97, 0.702899
139, 0, 1, 0, 0, 0, 98, 0.705036
140, 0, 1, 0, 0, 0, 99, 0.707143
141, 1, 0, 1, 0, 0, 99, 0.702128
142, 0, 0, 0, 0, 0, 99, 0.697183
143, 0, 1, 0, 0, 0, 100, 0.699301
144, 0, 1, 0, 0, 0, 101, 0.701389
145, 0, 1, 0, 0, 0, 102, 0.703448
146, 0, 1, 0, 0, 0, 103, 0.705479
147, 0, 1, 0, 0, 0, 104, 0.707483
148, 0, 1, 0, 0, 0, 105, 0.709459
149, 1, 0, 1, 0, 0, 105, 0.704698
150, 0, 0, 0, 0, 0, 105, 0.7
151, 0, 1, 0, 0, 0, 106, 0.701987
152, 0, 1, 0, 0, 0, 107, 0.703947
153, 0, 1, 0, 0, 0, 108, 0.705882
154, 0, 1, 0, 0, 0, 109, 0.707792
155, 0, 1, 0, 0, 0, 110, 0.709677
156, 1, 0, 1, 0, 0, 110, 0.705128
157, 0, 0, 0, 0, 0, 110, 0.700637
158, 0, 1, 0, 0, 0, 111, 0.702532
159, 0, 1, 0, 0, 0, 112, 0.704403
160, 0, 1, 0, 0, 0, 113, 0.70625
161, 0, 1, 0, 0, 0, 114, 0.708075
162, 0, 1, 0, 0, 0, 115, 0.709877
163, 0, 1, 0, 0, 0, 116, 0.711656
164, 0, 1, 0, 0, 0, 117, 0.713415
165, 0, 1, 0, 0, 0, 118, 0.715152
166, 0, 1, 0, 0, 0, 119, 0.716867
167, 0, 1, 0, 0, 0, 120, 0.718563
168, 0, 1, 0, 0, 0, 121, 0.720238
169, 0, 1, 0, 0, 0, 122, 0.721893
170, 0, 1, 0, 0, 0, 123, 0.723529
171, 0, 1, 0, 0, 0, 124, 0.725146
172, 0, 1, 0, 0, 0, 125, 0.726744
173, 1, 0, 1, 0, 0, 125, 0.722543
174, 0, 0, 0, 0, 0, 125, 0.718391
175, 0, 1, 0, 0, 0, 126, 0.72
176, 0, 1, 0, 0, 0, 127, 0.721591
177, 0, 1, 0, 0, 0, 128, 0.723164
178, 0, 1, 0, 0, 0, 129, 0.724719
179, 0, 1, 0, 0, 0, 130, 0.726257
180, 0, 1, 0, 0, 0, 131, 0.727778
181, 0, 1, 0, 0, 0, 132, 0.729282
182, 0, 1, 0, 0, 0, 133, 0.730769
183, 0, 1, 0, 0, 0, 134, 0.73224
184, 1, 0, 1, 0, 0, 134, 0.728261
185, 0, 0, 0, 0, 0, 134, 0.724324
186, 0, 1, 0, 0, 0, 135, 0.725806
187, 0, 1, 0, 0, 0, 136, 0.727273
188, 0, 1, 0, 0, 0, 137, 0.728723
189, 0, 1, 0, 0, 0, 138, 0.730159
190, 0, 1, 0, 0, 0, 139, 0.731579
191, 0, 1, 0, 0, 0, 140, 0.732984
192, 0, 1, 0, 0, 0, 141, 0.734375
193, 0, 1, 0, 0, 0, 142, 0.735751
194, 0, 1, 0, 0, 0, 143, 0.737113
195, 0, 1, 0, 0, 0, 144, 0.738462
