cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 1, 1, 0, 0
2, 12, 9, 3, 1, 0.95, 9, 9
3, 5, 9, 1, 1, 0.9025, 18, 9
4, 12, 9, 1, 1, 0.857375, 27, 9
5, 12, 0, 0, 1, 0.814506, 27, 6.75
6, 10, 9, 3, 0, 0.773781, 36, 7.2
7, 10, 0, 3, 1, 0.735092, 36, 6
8, 10, 0, 0, 1, 0.698337, 36, 5.14286
9, 8, 9, 1, 1, 0.66342, 45, 5.625
10, 8, 0, 2, 1, 0.630249, 45, 5
11, 10, 9, 3, 0, 0.598737, 54, 5.4
12, 10, 0, 1, 1, 0.5688, 54, 4.90909
13, 10, 0, 3, 0, 0.54036, 54, 4.5
14, 10, 0, 1, 1, 0.513342, 54, 4.15385
15, 10, 0, 2, 0, 0.487675, 54, 3.85714
16, 12, 9, 3, 1, 0.463291, 63, 4.2
17, 5, 9, 0, 0, 0.440127, 72, 4.5
18, 5, 0, 2, 0, 0.41812, 72, 4.23529
19, 5, 0, 1, 1, 0.397214, 72, 4
20, 12, 9, 3, 0, 0.377354, 81, 4.26316
21, 5, 9, 2, 0, 0.358486, 90, 4.5
22, 5, 0, 3, 1, 0.340562, 90, 4.28571
23, 7, 9, 1, 0, 0.323534, 99, 4.5
24, 5, 9, 3, 0, 0.307357, 108, 4.69565
25, 7, 9, 0, 0, 0.291989, 117, 4.875
26, 7, 0, 3, 0, 0.27739, 117, 4.68
27, 7, 0, 0, 0, 0.26352, 117, 4.5
28, 7, 0, 2, 0, 0.250344, 117, 4.33333
29, 7, 0, 3, 0, 0.237827, 117, 4.17857
30, 7, 0, 0, 0, 0.225936, 117, 4.03448
31, 7, 0, 3, 0, 0.214639, 117, 3.9
32, 7, 0, 3, 0, 0.203907, 117, 3.77419
33, 7, 0, 0, 1, 0.193711, 117, 3.65625
34, 7, 0, 0, 0, 0.184026, 117, 3.54545
35, 7, 0, 2, 0, 0.174825, 117, 3.44118
36, 7, 0, 0, 0, 0.166083, 117, 3.34286
37, 7, 0, 1, 0, 0.157779, 117, 3.25
38, 5, 9, 1, 0, 0.14989, 126, 3.40541
39, 12, 9, 1, 0, 0.142396, 135, 3.55263
40, 12, 0, 3, 0, 0.135276, 135, 3.46154
41, 5, 9, 3, 0, 0.128512, 144, 3.6
42, 7, 9, 1, 0, 0.122087, 153, 3.73171
43, 5, 9, 2, 0, 0.115982, 162, 3.85714
44, 5, 0, 1, 0, 0.110183, 162, 3.76744
45, 12, 9, 3, 0, 0.104674, 171, 3.88636
46, 5, 9, 0, 1, 0.0994403, 180, 4
47, 5, 0, 2, 0, 0.0944682, 180, 3.91304
48, 5, 0, 2, 0, 0.0897448, 180, 3.82979
49, 5, 0, 1, 0, 0.0852576, 180, 3.75
50, 12, 9, 3, 0, 0.0809947, 189, 3.85714
51, 5, 9, 0, 0, 0.076945, 198, 3.96
52, 5, 0, 3, 0, 0.0730977, 198, 3.88235
53, 7, 9, 3, 0, 0.0694428, 207, 3.98077
54, 7, 0, 3, 0, 0.0659707, 207, 3.90566
55, 7, 0, 2, 0, 0.0626722, 207, 3.83333
56, 7, 0, 3, 0, 0.0595386, 207, 3.76364
57, 7, 0, 2, 0, 0.0565616, 207, 3.69643
58, 7, 0, 2, 0, 0.0537335, 207, 3.63158
59, 7, 0, 2, 0, 0.0510469, 207, 3.56897
60, 7, 0, 1, 0, 0.0484945, 207, 3.50847
61, 5, 9, 1, 0, 0.0460698, 216, 3.6
62, 12, 9, 1, 0, 0.0437663, 225, 3.68852
63, 12, 0, 0, 0, 0.041578, 225, 3.62903
64, 10, 9, 1, 0, 0.0394991, 234, 3.71429
65, 10, 0, 0, 0, 0.0375241, 234, 3.65625
66, 8, 9, 1, 0, 0.0356479, 243, 3.73846
67, 8, 0, 2, 0, 0.0338655, 243, 3.68182
68, 10, 9, 1, 0, 0.0321723, 252, 3.76119
69, 10, 0, 3, 0, 0.0305636, 252, 3.70588
70, 10, 0, 0, 0, 0.0290355, 252, 3.65217
71, 8, 9, 2, 0, 0.0275837, 261, 3.72857
72, 10, 9, 3, 0, 0.0262045, 270, 3.80282
73, 10, 0, 0, 0, 0.0248943, 270, 3.75
74, 8, 9, 2, 0, 0.0236496, 279, 3.82192
75, 10, 9, 2, 0, 0.0224671, 288, 3.89189
76, 12, 9, 2, 0, 0.0213437, 297, 3.96
77, 12, 0, 1, 0, 0.0202765, 297, 3.90789
78, 12, 0, 1, 0, 0.0192627, 297, 3.85714
79, 12, 0, 0, 0, 0.0182996, 297, 3.80769
80, 10, 9, 2, 0, 0.0173846, 306, 3.87342
81, 12, 9, 0, 0, 0.0165154, 315, 3.9375
82, 10, 9, 3, 0, 0.0156896, 324, 4
83, 10, 0, 3, 0, 0.0149051, 324, 3.95122
84, 10, 0, 1, 0, 0.0141599, 324, 3.90361
85, 10, 0, 2, 0, 0.0134519, 324, 3.85714
86, 12, 9, 1, 0, 0.0127793, 333, 3.91765
87, 12, 0, 1, 0, 0.0121403, 333, 3.87209
88, 12, 0, 2, 0, 0.0115333, 333, 3.82759
89, 12, 0, 2, 0, 0.0109566, 333, 3.78409
90, 12, 0, 2, 0, 0.0104088, 333, 3.74157
91, 12, 0, 0, 0, 0.00988836, 333, 3.7
92, 10, 9, 0, 0, 0.00939395, 342, 3.75824
93, 8, 9, 1, 0, 0.00892425, 351, 3.81522
94, 8, 0, 2, 0, 0.00847804, 351, 3.77419
95, 10, 9, 1, 0, 0.00805413, 360, 3.82979
96, 10, 0, 1, 0, 0.00765143, 360, 3.78947
97, 10, 0, 2, 0, 0.00726886, 360, 3.75
98, 12, 9, 2, 0, 0.00690541, 369, 3.80412
99, 12, 0, 1, 0, 0.00656014, 369, 3.76531
100, 12, 0, 2, 0, 0.00623214, 369, 3.72727
101, 12, 0, 3, 0, 0.00592053, 369, 3.69
102, 5, 9, 0, 0, 0.0056245, 378, 3.74257
103, 5, 0, 0, 0, 0.00534328, 378, 3.70588
104, 5, 0, 0, 0, 0.00507611, 378, 3.6699
105, 5, 0, 0, 0, 0.00482231, 378, 3.63462
106, 5, 0, 2, 0, 0.00458119, 378, 3.6
107, 5, 0, 1, 0, 0.00435213, 378, 3.56604
108, 12, 9, 2, 0, 0.00413453, 387, 3.61682
109, 12, 0, 1, 0, 0.0039278, 387, 3.58333
110, 12, 0, 3, 0, 0.00373141, 387, 3.55046
111, 5, 9, 2, 0, 0.00354484, 396, 3.6
112, 5, 0, 3, 0, 0.0033676, 396, 3.56757
113, 7, 9, 2, 0, 0.00319922, 405, 3.61607
114, 7, 0, 1, 0, 0.00303926, 405, 3.58407
115, 5, 9, 2, 0, 0.00288729, 414, 3.63158
116, 5, 0, 3, 0, 0.00274293, 414, 3.6
117, 7, 9, 3, 0, 0.00260578, 423, 3.64655
118, 7, 0, 3, 0, 0.00247549, 423, 3.61538
119, 7, 0, 1, 0, 0.00235172, 423, 3.58475
120, 5, 9, 1, 0, 0.00223413, 432, 3.63025
121, 12, 9, 0, 0, 0.00212243, 441, 3.675
122, 10, 9, 1, 0, 0.00201631, 450, 3.71901
123, 10, 0, 3, 0, 0.00191549, 450, 3.68852
124, 10, 0, 2, 0, 0.00181972, 450, 3.65854
125, 12, 9, 0, 0, 0.00172873, 459, 3.70161
126, 10, 9, 0, 0, 0.00164229, 468, 3.744
127, 8, 9, 3, 0, 0.00156018, 477, 3.78571
128, 5, 9, 0, 0, 0.00148217, 486, 3.82677
129, 5, 0, 0, 0, 0.00140806, 486, 3.79688
130, 5, 0, 1, 0, 0.00133766, 486, 3.76744
131, 8, 9, 0, 0, 0.00127078, 495, 3.80769
132, 10, 9, 0, 0, 0.00120724, 504, 3.84733
133, 9, 9, 0, 0, 0.00114687, 513, 3.88636
134, 9, 0, 1, 0, 0.00108953, 513, 3.85714
135, 9, 0, 2, 0, 0.00103505, 513, 3.82836
136, 10, 9, 0, 0, 0.000983302, 522, 3.86667
137, 9, 9, 3, 0, 0.000934136, 531, 3.90441
138, 5, 9, 1, 0, 0.00088743, 540, 3.94161
139, 9, 9, 2, 0, 0.000843058, 549, 3.97826
140, 10, 9, 0, 0, 0.000800905, 558, 4.01439
141, 9, 9, 1, 0, 0.00076086, 567, 4.05
142, 9, 0, 1, 0, 0.000722817, 567, 4.02128
143, 9, 0, 2, 0, 0.000686676, 567, 3.99296
144, 10, 9, 0, 0, 0.000652342, 576, 4.02797
145, 9, 9, 2, 0, 0.000619725, 585, 4.0625
146, 10, 9, 0, 0, 0.000588739, 594, 4.09655
147, 9, 9, 1, 0, 0.000559302, 603, 4.13014
148, 9, 0, 1, 0, 0.000531337, 603, 4.10204
149, 9, 0, 3, 0, 0.00050477, 603, 4.07432
150, 5, 9, 1, 0, 0.000479532, 612, 4.10738
151, 9, 9, 0, 0, 0.000455555, 621, 4.14
152, 9, 0, 0, 0, 0.000432777, 621, 4.11258
153, 9, 0, 0, 0, 0.000411138, 621, 4.08553
154, 9, 0, 3, 0, 0.000390581, 621, 4.05882
155, 5, 9, 1, 0, 0.000371052, 630, 4.09091
156, 9, 9, 0, 0, 0.0003525, 639, 4.12258
157, 9, 0, 2, 0, 0.000334875, 639, 4.09615
158, 10, 9, 2, 0, 0.000318131, 648, 4.12739
159, 8, 9, 2, 0, 0.000302224, 657, 4.15823
160, 10, 9, 1, 0, 0.000287113, 666, 4.18868
161, 10, 0, 1, 0, 0.000272758, 666, 4.1625
162, 10, 0, 1, 0, 0.00025912, 666, 4.13665
163, 10, 0, 1, 0, 0.000246164, 666, 4.11111
164, 10, 0, 0, 0, 0.000233856, 666, 4.08589
165, 8, 9, 0, 0, 0.000222163, 675, 4.11585
166, 10, 9, 1, 0, 0.000211055, 684, 4.14545
167, 10, 0, 2, 0, 0.000200502, 684, 4.12048
168, 8, 9, 0, 0, 0.000190477, 693, 4.1497
169, 10, 9, 2, 0, 0.000180953, 702, 4.17857
170, 8, 9, 0, 0, 0.000171905, 711, 4.2071
171, 10, 9, 0, 0, 0.00016331, 720, 4.23529
172, 9, 9, 2, 0, 0.000155145, 729, 4.26316
173, 10, 9, 2, 0, 0.000147387, 738, 4.2907
174, 8, 9, 1, 0, 0.000140018, 747, 4.31792
175, 8, 0, 2, 0, 0.000133017, 747, 4.2931
176, 10, 9, 2, 0, 0.000126366, 756, 4.32
177, 12, 9, 2, 0, 0.000120048, 765, 4.34659
178, 12, 0, 3, 0, 0.000114045, 765, 4.32203
179, 5, 9, 1, 0, 0.000108343, 774, 4.34831
180, 12, 9, 2, 0, 0.000102926, 783, 4.3743
181, 12, 0, 0, 0, 9.77798e-05, 783, 4.35
182, 10, 9, 0, 0, 9.28908e-05, 792, 4.37569
183, 8, 9, 2, 0, 8.82462e-05, 801, 4.4011
184, 10, 9, 0, 0, 8.38339e-05, 810, 4.42623
185, 8, 9, 1, 0, 7.96422e-05, 819, 4.45109
186, 8, 0, 2, 0, 7.56601e-05, 819, 4.42703
187, 10, 9, 1, 0, 7.18771e-05, 828, 4.45161
188, 10, 0, 0, 0, 6.82833e-05, 828, 4.42781
189, 8, 9, 1, 0, 6.48691e-05, 837, 4.45213
190, 8, 0, 2, 0, 6.16256e-05, 837, 4.42857
191, 10, 9, 0, 0, 5.85444e-05, 846, 4.45263
192, 8, 9, 2, 0, 5.56171e-05, 855, 4.47644
193, 10, 9, 1, 0, 5.28363e-05, 864, 4.5
194, 10, 0, 0, 0, 5.01945e-05, 864, 4.47668
195, 8, 9, 2, 0, 4.76847e-05, 873, 4.5
196, 10, 9, 2, 0, 4.53005e-05, 882, 4.52308
197, 12, 9, 3, 0, 4.30355e-05, 891, 4.54592
198, 5, 9, 1, 0, 4.08837e-05, 900, 4.56853
199, 12, 9, 3, 0, 3.88395e-05, 909, 4.59091
200, 5, 9, 1, 0, 3.68975e-05, 918, 4.61307
201, 12, 9, 0, 0, 3.50527e-05, 927, 4.635
202, 10, 9, 0, 0, 3.33e-05, 936, 4.65672
203, 8, 9, 2, 0, 3.1635e-05, 945, 4.67822
204, 10, 9, 1, 0, 3.00533e-05, 954, 4.69951
205, 10, 0, 2, 0, 2.85506e-05, 954, 4.67647
206, 12, 9, 0, 0, 2.71231e-05, 963, 4.69756
207, 10, 9, 2, 0, 2.57669e-05, 972, 4.71845
208, 12, 9, 2, 0, 2.44786e-05, 981, 4.73913
209, 12, 0, 0, 0, 2.32547e-05, 981, 4.71635
210, 10, 9, 1, 0, 2.20919e-05, 990, 4.73684
211, 10, 0, 0, 0, 2.09873e-05, 990, 4.71429
212, 8, 9, 2, 0, 1.9938e-05, 999, 4.7346
213, 10, 9, 1, 0, 1.89411e-05, 1008, 4.75472
214, 10, 0, 2, 0, 1.7994e-05, 1008, 4.73239
215, 12, 9, 3, 0, 1.70943e-05, 1017, 4.75234
216, 5, 9, 1, 0, 1.62396e-05, 1026, 4.77209
217, 12, 9, 0, 0, 1.54276e-05, 1035, 4.79167
218, 10, 9, 0, 0, 1.46562e-05, 1044, 4.81106
219, 8, 9, 1, 0, 1.39234e-05, 1053, 4.83028
220, 8, 0, 2, 0, 1.32272e-05, 1053, 4.80822
221, 10, 9, 2, 0, 1.25659e-05, 1062, 4.82727
222, 12, 9, 0, 0, 1.19376e-05, 1071, 4.84615
223, 10, 9, 3, 0, 1.13407e-05, 1080, 4.86486
224, 10, 0, 3, 0, 1.07737e-05, 1080, 4.84305
225, 10, 0, 0, 0, 1.0235e-05, 1080, 4.82143
226, 8, 9, 0, 0, 9.72324e-06, 1089, 4.84
227, 10, 9, 0, 0, 9.23708e-06, 1098, 4.85841
228, 9, 9, 1, 0, 8.77523e-06, 1107, 4.87665
229, 9, 0, 0, 0, 8.33647e-06, 1107, 4.85526
230, 9, 0, 0, 0, 7.91964e-06, 1107, 4.83406
231, 9, 0, 3, 0, 7.52366e-06, 1107, 4.81304
232, 5, 9, 1, 0, 7.14748e-06, 1116, 4.83117
233, 9, 9, 1, 0, 6.7901e-06, 1125, 4.84914
234, 9, 0, 0, 0, 6.4506e-06, 1125, 4.82833
235, 9, 0, 2, 0, 6.12807e-06, 1125, 4.80769
236, 10, 9, 2, 0, 5.82167e-06, 1134, 4.82553
237, 8, 9, 0, 0, 5.53058e-06, 1143, 4.84322
238, 10, 9, 0, 0, 5.25405e-06, 1152, 4.86076
239, 9, 9, 2, 0, 4.99135e-06, 1161, 4.87815
240, 10, 9, 0, 0, 4.74178e-06, 1170, 4.8954
241, 9, 9, 0, 0, 4.50469e-06, 1179, 4.9125
242, 9, 0, 3, 0, 4.27946e-06, 1179, 4.89212
243, 5, 9, 0, 0, 4.06549e-06, 1188, 4.90909
244, 5, 0, 0, 0, 3.86221e-06, 1188, 4.88889
245, 5, 0, 0, 0, 3.6691e-06, 1188, 4.86885
246, 5, 0, 3, 0, 3.48565e-06, 1188, 4.84898
247, 7, 9, 2, 0, 3.31136e-06, 1197, 4.86585
248, 7, 0, 1, 0, 3.1458e-06, 1197, 4.84615
249, 5, 9, 0, 0, 2.98851e-06, 1206, 4.8629
250, 5, 0, 1, 0, 2.83908e-06, 1206, 4.84337
