cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2903562586, 0, 7, 1, 1, 0, 0
2, 2903562586, 0, 7, 1, 0.95, 0, 0
3, 2903562586, 0, 1, 1, 0.9025, 0, 0
4, 2903562586, 0, 7, 1, 0.857375, 0, 0
5, 2903562586, 0, 2, 1, 0.814506, 0, 0
6, 0, 3, 4, 0, 0.773781, 3, 0.5
7, 131328, 2, 1, 1, 0.735092, 5, 0.714286
8, 147720, 2, 6, 0, 0.698337, 7, 0.875
9, 149784, 2, 6, 1, 0.66342, 9, 1
10, 149784, 0, 8, 0, 0.630249, 9, 0.9
11, 149913, 2, 0, 0, 0.598737, 11, 1
12, 149913, 0, 3, 1, 0.5688, 11, 0.916667
13, 149913, 0, 1, 1, 0.54036, 11, 0.846154
14, 149913, 0, 5, 1, 0.513342, 11, 0.785714
15, 149913, 0, 6, 1, 0.487675, 11, 0.733333
16, 149913, 0, 7, 0, 0.463291, 11, 0.6875
17, 149913, 0, 7, 1, 0.440127, 11, 0.647059
18, 149913, 0, 5, 0, 0.41812, 11, 0.611111
19, 149913, 0, 6, 0, 0.397214, 11, 0.578947
20, 149913, 0, 1, 1, 0.377354, 11, 0.55
21, 149913, 0, 8, 1, 0.358486, 11, 0.52381
22, 149913, 0, 3, 0, 0.340562, 11, 0.5
23, 149913, 0, 4, 1, 0.323534, 11, 0.478261
24, 149913, 0, 7, 1, 0.307357, 11, 0.458333
25, 149913, 0, 2, 0, 0.291989, 11, 0.44
26, 0, 4, 3, 0, 0.27739, 15, 0.576923
27, 132096, 2, 1, 1, 0.26352, 17, 0.62963
28, 148992, 2, 6, 1, 0.250344, 19, 0.678571
29, 0, 1, 6, 0, 0.237827, 20, 0.689655
30, 131088, 2, 7, 0, 0.225936, 22, 0.733333
31, 133140, 2, 6, 0, 0.214639, 24, 0.774194
32, 133140, 0, 4, 0, 0.203907, 24, 0.75
33, 133398, 2, 8, 0, 0.193711, 26, 0.787879
34, 133398, 0, 4, 0, 0.184026, 26, 0.764706
35, 133398, 0, 0, 0, 0.174825, 26, 0.742857
36, 133398, 0, 8, 0, 0.166083, 26, 0.722222
37, 133398, 0, 7, 0, 0.157779, 26, 0.702703
38, 133398, 0, 8, 0, 0.14989, 26, 0.684211
39, 133398, 0, 7, 0, 0.142396, 26, 0.666667
40, 133398, 0, 0, 0, 0.135276, 26, 0.65
41, 133398, 0, 3, 1, 0.128512, 26, 0.634146
42, 133398, 0, 1, 0, 0.122087, 26, 0.619048
43, 0, 4, 6, 0, 0.115982, 30, 0.697674
44, 131088, 2, 8, 0, 0.110183, 32, 0.727273
45, 131097, 2, 8, 0, 0.104674, 34, 0.755556
46, 131097, 0, 5, 0, 0.0994403, 34, 0.73913
47, 133209, 2, 4, 1, 0.0944682, 36, 0.765957
48, 141657, 2, 7, 0, 0.0897448, 38, 0.791667
49, 141657, 0, 1, 0, 0.0852576, 38, 0.77551
50, 0, 3, 2, 0, 0.0809947, 41, 0.82
51, 135168, 2, 1, 0, 0.076945, 43, 0.843137
52, 151584, 2, 5, 0, 0.0730977, 45, 0.865385
53, 151656, 2, 4, 0, 0.0694428, 47, 0.886792
54, 0, 1, 6, 0, 0.0659707, 48, 0.888889
55, 131088, 2, 1, 0, 0.0626722, 50, 0.909091
56, 155664, 2, 2, 0, 0.0595386, 52, 0.928571
57, 155664, 0, 6, 0, 0.0565616, 52, 0.912281
58, 155664, 0, 8, 0, 0.0537335, 52, 0.896552
59, 155793, 2, 2, 0, 0.0510469, 54, 0.915254
60, 155793, 0, 0, 0, 0.0484945, 54, 0.9
61, 155793, 0, 8, 0, 0.0460698, 54, 0.885246
62, 155793, 0, 4, 0, 0.0437663, 54, 0.870968
63, 158097, 2, 8, 0, 0.041578, 56, 0.888889
64, 158097, 0, 1, 0, 0.0394991, 56, 0.875
65, 158097, 0, 7, 0, 0.0375241, 56, 0.861538
66, 0, 4, 7, 0, 0.0356479, 60, 0.909091
67, 131076, 2, 7, 0, 0.0338655, 62, 0.925373
68, 131076, 0, 3, 0, 0.0321723, 62, 0.911765
69, 140292, 2, 6, 0, 0.0305636, 64, 0.927536
70, 140310, 2, 6, 0, 0.0290355, 66, 0.942857
71, 140310, 0, 1, 1, 0.0275837, 66, 0.929577
72, 0, 1, 2, 0, 0.0262045, 67, 0.930556
73, 135168, 2, 2, 0, 0.0248943, 69, 0.945205
74, 135168, 0, 0, 0, 0.0236496, 69, 0.932432
75, 135168, 0, 4, 0, 0.0224671, 69, 0.92
76, 137472, 2, 8, 0, 0.0213437, 71, 0.934211
77, 0, 1, 7, 0, 0.0202765, 72, 0.935065
78, 131076, 2, 0, 0, 0.0192627, 74, 0.948718
79, 131076, 0, 5, 0, 0.0182996, 74, 0.936709
80, 131142, 2, 3, 0, 0.0173846, 76, 0.95
81, 140358, 2, 2, 0, 0.0165154, 78, 0.962963
82, 140358, 0, 8, 0, 0.0156896, 78, 0.95122
83, 140358, 0, 5, 0, 0.0149051, 78, 0.939759
84, 140358, 0, 8, 0, 0.0141599, 78, 0.928571
85, 140358, 0, 2, 0, 0.0134519, 78, 0.917647
86, 140358, 0, 4, 0, 0.0127793, 78, 0.906977
87, 0, 4, 0, 0, 0.0121403, 82, 0.942529
88, 65538, 2, 1, 0, 0.0115333, 84, 0.954545
89, 81954, 2, 7, 0, 0.0109566, 86, 0.966292
90, 84006, 2, 3, 0, 0.0104088, 88, 0.977778
91, 84006, 0, 6, 0, 0.00988836, 88, 0.967033
92, 84006, 0, 8, 0, 0.00939395, 88, 0.956522
93, 84006, 0, 1, 0, 0.00892425, 88, 0.946237
94, 84006, 0, 5, 0, 0.00847804, 88, 0.93617
