cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 0, 0, 0, 1, 1
2, 0, 0, 1, 0, 0, 1, 0.5
3, 0, 1, 1, 0, 0, 2, 0.666667
4, 0, 0, 0, 0, 0, 2, 0.5
5, 0, 1, 0, 0, 0, 3, 0.6
6, 0, 0, 1, 0, 0, 3, 0.5
7, 0, 1, 1, 0, 0, 4, 0.571429
8, 0, 0, 1, 0, 0, 4, 0.5
9, 0, 0, 1, 0, 0, 4, 0.444444
10, 0, 0, 0, 0, 0, 4, 0.4
11, 0, 1, 1, 0, 0, 5, 0.454545
12, 0, 0, 1, 0, 0, 5, 0.416667
13, 0, 0, 1, 0, 0, 5, 0.384615
14, 0, 0, 1, 0, 0, 5, 0.357143
15, 0, 0, 0, 0, 0, 5, 0.333333
16, 0, 1, 1, 0, 0, 6, 0.375
17, 0, 0, 1, 0, 0, 6, 0.352941
18, 0, 0, 0, 0, 0, 6, 0.333333
19, 0, 1, 0, 0, 0, 7, 0.368421
20, 0, 0, 0, 0, 0, 7, 0.35
21, 0, 0, 1, 0, 0, 7, 0.333333
22, 0, 0, 1, 0, 0, 7, 0.318182
23, 0, 1, 1, 0, 0, 8, 0.347826
24, 0, 0, 1, 0, 0, 8, 0.333333
25, 0, 0, 0, 0, 0, 8, 0.32
26, 0, 1, 0, 0, 0, 9, 0.346154
27, 0, 0, 0, 0, 0, 9, 0.333333
28, 0, 0, 1, 0, 0, 9, 0.321429
29, 0, 0, 0, 0, 0, 9, 0.310345
30, 0, 0, 0, 0, 0, 9, 0.3
31, 0, 0, 0, 0, 0, 9, 0.290323
32, 0, 0, 1, 0, 0, 9, 0.28125
33, 0, 0, 0, 0, 0, 9, 0.272727
34, 0, 0, 1, 0, 0, 9, 0.264706
35, 0, 0, 1, 0, 0, 9, 0.257143
36, 0, 1, 0, 0, 0, 10, 0.277778
37, 0, 0, 1, 0, 0, 10, 0.27027
38, 0, 1, 1, 0, 0, 11, 0.289474
39, 0, 0, 0, 0, 0, 11, 0.282051
40, 0, 1, 1, 0, 0, 12, 0.3
41, 0, 0, 0, 0, 0, 12, 0.292683
42, 0, 1, 0, 0, 0, 13, 0.309524
43, 0, 0, 0, 0, 0, 13, 0.302326
44, 0, 0, 1, 0, 0, 13, 0.295455
45, 0, 0, 1, 0, 0, 13, 0.288889
46, 0, 1, 0, 0, 0, 14, 0.304348
47, 0, 0, 0, 0, 0, 14, 0.297872
48, 0, 0, 1, 0, 0, 14, 0.291667
49, 0, 0, 1, 0, 0, 14, 0.285714
50, 0, 1, 0, 0, 0, 15, 0.3
51, 0, 0, 1, 0, 0, 15, 0.294118
52, 0, 1, 0, 0, 0, 16, 0.307692
53, 0, 0, 1, 0, 0, 16, 0.301887
54, 0, 1, 0, 0, 0, 17, 0.314815
55, 0, 0, 1, 0, 0, 17, 0.309091
56, 0, 1, 0, 0, 0, 18, 0.321429
57, 0, 0, 1, 0, 0, 18, 0.315789
58, 0, 1, 0, 0, 0, 19, 0.327586
59, 0, 0, 1, 0, 0, 19, 0.322034
60, 0, 1, 0, 0, 0, 20, 0.333333
61, 0, 0, 1, 0, 0, 20, 0.327869
62, 0, 1, 0, 0, 0, 21, 0.33871
63, 0, 0, 1, 0, 0, 21, 0.333333
64, 0, 1, 0, 0, 0, 22, 0.34375
65, 0, 0, 1, 0, 0, 22, 0.338462
66, 0, 1, 0, 0, 0, 23, 0.348485
67, 0, 0, 1, 0, 0, 23, 0.343284
68, 0, 1, 0, 0, 0, 24, 0.352941
69, 0, 0, 1, 0, 0, 24, 0.347826
70, 0, 1, 0, 0, 0, 25, 0.357143
71, 0, 0, 1, 0, 0, 25, 0.352113
72, 0, 1, 0, 0, 0, 26, 0.361111
73, 0, 0, 1, 0, 0, 26, 0.356164
74, 0, 1, 0, 0, 0, 27, 0.364865
75, 0, 0, 1, 0, 0, 27, 0.36
76, 0, 1, 0, 0, 0, 28, 0.368421
77, 0, 0, 1, 0, 0, 28, 0.363636
78, 0, 1, 0, 0, 0, 29, 0.371795
79, 0, 0, 1, 0, 0, 29, 0.367089
80, 0, 1, 0, 0, 0, 30, 0.375
81, 0, 0, 1, 0, 0, 30, 0.37037
82, 0, 1, 0, 0, 0, 31, 0.378049
83, 0, 0, 1, 0, 0, 31, 0.373494
84, 0, 1, 0, 0, 0, 32, 0.380952
85, 0, 0, 1, 0, 0, 32, 0.376471
86, 0, 1, 0, 0, 0, 33, 0.383721
87, 0, 0, 1, 0, 0, 33, 0.37931
88, 0, 1, 0, 0, 0, 34, 0.386364
89, 0, 0, 1, 0, 0, 34, 0.382022
90, 0, 1, 0, 0, 0, 35, 0.388889
91, 0, 0, 1, 0, 0, 35, 0.384615
92, 0, 1, 0, 0, 0, 36, 0.391304
93, 0, 0, 1, 0, 0, 36, 0.387097
94, 0, 1, 0, 0, 0, 37, 0.393617
95, 0, 0, 1, 0, 0, 37, 0.389474
96, 0, 1, 0, 0, 0, 38, 0.395833
97, 0, 0, 1, 0, 0, 38, 0.391753
98, 0, 1, 0, 0, 0, 39, 0.397959
99, 0, 0, 1, 0, 0, 39, 0.393939
100, 0, 1, 0, 0, 0, 40, 0.4
101, 0, 0, 1, 0, 0, 40, 0.39604
102, 0, 1, 0, 0, 0, 41, 0.401961
103, 0, 0, 1, 0, 0, 41, 0.398058
104, 0, 1, 0, 0, 0, 42, 0.403846
105, 0, 0, 1, 0, 0, 42, 0.4
106, 0, 1, 0, 0, 0, 43, 0.40566
107, 0, 0, 1, 0, 0, 43, 0.401869
108, 0, 1, 0, 0, 0, 44, 0.407407
109, 0, 0, 1, 0, 0, 44, 0.40367
110, 0, 1, 0, 0, 0, 45, 0.409091
111, 0, 0, 1, 0, 0, 45, 0.405405
112, 0, 1, 0, 0, 0, 46, 0.410714
113, 0, 0, 1, 0, 0, 46, 0.40708
114, 0, 1, 0, 0, 0, 47, 0.412281
115, 0, 0, 1, 0, 0, 47, 0.408696
116, 0, 1, 0, 0, 0, 48, 0.413793
117, 0, 0, 1, 0, 0, 48, 0.410256
118, 0, 1, 0, 0, 0, 49, 0.415254
119, 0, 0, 1, 0, 0, 49, 0.411765
120, 0, 1, 0, 0, 0, 50, 0.416667
121, 0, 0, 1, 0, 0, 50, 0.413223
122, 0, 1, 0, 0, 0, 51, 0.418033
123, 0, 0, 1, 0, 0, 51, 0.414634
124, 0, 1, 0, 0, 0, 52, 0.419355
125, 0, 0, 1, 0, 0, 52, 0.416
126, 0, 1, 0, 0, 0, 53, 0.420635
127, 0, 0, 1, 0, 0, 53, 0.417323
128, 0, 1, 0, 0, 0, 54, 0.421875
129, 0, 0, 1, 0, 0, 54, 0.418605
130, 0, 1, 0, 0, 0, 55, 0.423077
131, 0, 0, 1, 0, 0, 55, 0.419847
132, 0, 1, 0, 0, 0, 56, 0.424242
133, 0, 0, 1, 0, 0, 56, 0.421053
134, 0, 1, 0, 0, 0, 57, 0.425373
135, 0, 0, 1, 0, 0, 57, 0.422222
136, 0, 1, 0, 0, 0, 58, 0.426471
137, 0, 0, 1, 0, 0, 58, 0.423358
138, 0, 1, 0, 0, 0, 59, 0.427536
139, 0, 0, 1, 0, 0, 59, 0.42446
140, 0, 1, 0, 0, 0, 60, 0.428571
141, 0, 0, 1, 0, 0, 60, 0.425532
142, 0, 1, 0, 0, 0, 61, 0.429577
143, 0, 0, 1, 0, 0, 61, 0.426573
144, 0, 1, 0, 0, 0, 62, 0.430556
145, 0, 0, 1, 0, 0, 62, 0.427586
146, 0, 1, 0, 0, 0, 63, 0.431507
147, 0, 0, 1, 0, 0, 63, 0.428571
148, 0, 1, 0, 0, 0, 64, 0.432432
149, 0, 0, 1, 0, 0, 64, 0.42953
150, 0, 1, 0, 0, 0, 65, 0.433333
151, 0, 0, 1, 0, 0, 65, 0.430464
152, 0, 1, 0, 0, 0, 66, 0.434211
153, 0, 0, 1, 0, 0, 66, 0.431373
154, 0, 1, 0, 0, 0, 67, 0.435065
155, 0, 0, 1, 0, 0, 67, 0.432258
156, 0, 1, 0, 0, 0, 68, 0.435897
157, 0, 0, 1, 0, 0, 68, 0.433121
158, 0, 1, 0, 0, 0, 69, 0.436709
159, 0, 0, 1, 0, 0, 69, 0.433962
160, 0, 1, 0, 0, 0, 70, 0.4375
161, 0, 0, 1, 0, 0, 70, 0.434783
162, 0, 1, 0, 0, 0, 71, 0.438272
163, 0, 0, 1, 0, 0, 71, 0.435583
164, 0, 1, 0, 0, 0, 72, 0.439024
165, 0, 0, 1, 0, 0, 72, 0.436364
166, 0, 1, 0, 0, 0, 73, 0.439759
167, 0, 0, 1, 0, 0, 73, 0.437126
168, 0, 1, 0, 0, 0, 74, 0.440476
169, 0, 0, 1, 0, 0, 74, 0.43787
170, 0, 1, 0, 0, 0, 75, 0.441176
171, 0, 0, 1, 0, 0, 75, 0.438596
