cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0, 0, 0
2, 0, 1, 0, 0, 0, 1, 0.5
3, 0, 1, 0, 0, 0, 2, 0.666667
4, 0, 1, 1, 0, 0, 3, 0.75
5, 0, 0, 0, 0, 0, 3, 0.6
6, 0, 1, 0, 0, 0, 4, 0.666667
7, 1, 0, 1, 0, 0, 4, 0.571429
8, 0, 0, 1, 0, 0, 4, 0.5
9, 0, 0, 0, 0, 0, 4, 0.444444
10, 0, 1, 1, 0, 0, 5, 0.5
11, 0, 0, 1, 0, 0, 5, 0.454545
12, 0, 0, 1, 0, 0, 5, 0.416667
13, 0, 0, 0, 0, 0, 5, 0.384615
14, 0, 1, 1, 0, 0, 6, 0.428571
15, 0, 0, 1, 0, 0, 6, 0.4
16, 0, 0, 0, 0, 0, 6, 0.375
17, 0, 1, 1, 0, 0, 7, 0.411765
18, 0, 0, 0, 0, 0, 7, 0.388889
19, 0, 1, 1, 0, 0, 8, 0.421053
20, 0, 0, 0, 0, 0, 8, 0.4
21, 0, 1, 1, 0, 0, 9, 0.428571
22, 0, 0, 0, 0, 0, 9, 0.409091
23, 0, 1, 0, 0, 0, 10, 0.434783
24, 0, 1, 1, 0, 0, 11, 0.458333
25, 0, 0, 0, 0, 0, 11, 0.44
26, 0, 1, 1, 0, 0, 12, 0.461538
27, 0, 0, 0, 0, 0, 12, 0.444444
28, 0, 1, 1, 0, 0, 13, 0.464286
29, 0, 0, 0, 0, 0, 13, 0.448276
30, 0, 1, 1, 0, 0, 14, 0.466667
31, 0, 0, 0, 0, 0, 14, 0.451613
32, 0, 1, 1, 0, 0, 15, 0.46875
33, 0, 0, 0, 0, 0, 15, 0.454545
34, 0, 1, 0, 0, 0, 16, 0.470588
35, 0, 1, 0, 0, 0, 17, 0.485714
36, 1, 0, 1, 0, 0, 17, 0.472222
37, 0, 0, 0, 0, 0, 17, 0.459459
38, 0, 1, 1, 0, 0, 18, 0.473684
39, 0, 0, 0, 0, 0, 18, 0.461538
40, 1, 0, 1, 0, 0, 18, 0.45
41, 0, 0, 0, 0, 0, 18, 0.439024
42, 0, 1, 1, 0, 0, 19, 0.452381
43, 0, 0, 0, 0, 0, 19, 0.44186
44, 0, 1, 1, 0, 0, 20, 0.454545
45, 0, 0, 0, 0, 0, 20, 0.444444
46, 0, 1, 1, 0, 0, 21, 0.456522
47, 1, 1, 1, 0, 0, 22, 0.468085
48, 1, 1, 1, 0, 0, 23, 0.479167
49, 0, 0, 0, 0, 0, 23, 0.469388
50, 0, 1, 1, 0, 0, 24, 0.48
51, 0, 0, 0, 0, 0, 24, 0.470588
