cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 595492756, 0, 1, 0, 0, 0, 0
2, 595492756, 0, 7, 0, 0, 0, 0
3, 595492756, 0, 6, 0, 0, 0, 0
4, 595492756, 0, 1, 0, 0, 0, 0
5, 595492756, 0, 3, 0, 0, 0, 0
6, 595492756, 0, 7, 0, 0, 0, 0
7, 595492756, 0, 6, 0, 0, 0, 0
8, 595492756, 0, 3, 0, 0, 0, 0
9, 595492756, 0, 5, 0, 0, 0, 0
10, 595492756, 0, 2, 0, 0, 0, 0
11, 595627924, 2, 3, 0, 0, 2, 0.181818
12, 595627924, 0, 5, 0, 0, 2, 0.166667
13, 595627924, 0, 5, 0, 0, 2, 0.153846
14, 595627924, 0, 5, 0, 0, 2, 0.142857
15, 595627924, 0, 3, 0, 0, 2, 0.133333
16, 595627924, 0, 4, 0, 0, 2, 0.125
17, 595627924, 0, 1, 0, 0, 2, 0.117647
18, 595627924, 0, 1, 0, 0, 2, 0.111111
19, 595627924, 0, 8, 0, 0, 2, 0.105263
20, 0, 3, 2, 0, 0, 5, 0.25
21, 135168, 2, 3, 0, 0, 7, 0.333333
22, 136704, 2, 1, 0, 0, 9, 0.409091
23, 153120, 2, 8, 0, 0, 11, 0.478261
24, 153129, 2, 2, 0, 0, 13, 0.541667
25, 153129, 0, 1, 0, 0, 13, 0.52
26, 153129, 0, 0, 0, 0, 13, 0.5
27, 153129, 0, 1, 0, 0, 13, 0.481481
28, 153129, 0, 7, 0, 0, 13, 0.464286
29, 153129, 0, 8, 0, 0, 13, 0.448276
30, 153129, 0, 0, 0, 0, 13, 0.433333
31, 153129, 0, 8, 0, 0, 13, 0.419355
32, 153129, 0, 6, 0, 0, 13, 0.40625
33, 153129, 0, 2, 0, 0, 13, 0.393939
34, 153129, 0, 4, 0, 0, 13, 0.382353
35, 153129, 0, 8, 0, 0, 13, 0.371429
36, 153129, 0, 3, 0, 0, 13, 0.361111
37, 153129, 0, 7, 0, 0, 13, 0.351351
38, 153129, 0, 0, 0, 0, 13, 0.342105
39, 153129, 0, 2, 0, 0, 13, 0.333333
40, 153129, 0, 1, 0, 0, 13, 0.325
41, 153129, 0, 7, 0, 0, 13, 0.317073
42, 153129, 0, 5, 0, 0, 13, 0.309524
43, 0, 4, 6, 0, 0, 17, 0.395349
44, 131088, 2, 1, 0, 0, 19, 0.431818
45, 155664, 2, 4, 0, 0, 21, 0.466667
46, 155928, 2, 8, 0, 0, 23, 0.5
47, 157977, 2, 0, 0, 0, 25, 0.531915
48, 157977, 0, 3, 0, 0, 25, 0.520833
49, 157977, 0, 8, 0, 0, 25, 0.510204
50, 157977, 0, 5, 0, 0, 25, 0.5
51, 0, 3, 1, 0, 0, 28, 0.54902
52, 147456, 2, 5, 0, 0, 30, 0.576923
53, 149568, 2, 7, 0, 0, 32, 0.603774
54, 149574, 2, 3, 0, 0, 34, 0.62963
55, 149574, 0, 0, 0, 0, 34, 0.618182
56, 149574, 0, 3, 0, 0, 34, 0.607143
57, 149574, 0, 8, 0, 0, 34, 0.596491
58, 149574, 0, 6, 0, 0, 34, 0.586207
59, 157782, 2, 4, 0, 0, 36, 0.610169
60, 0, 4, 7, 0, 0, 40, 0.666667
61, 131076, 2, 4, 0, 0, 42, 0.688525
62, 139524, 2, 4, 0, 0, 44, 0.709677
63, 139524, 0, 7, 0, 0, 44, 0.698413
64, 139524, 0, 3, 0, 0, 44, 0.6875
65, 140580, 2, 4, 0, 0, 46, 0.707692
66, 140580, 0, 1, 0, 0, 46, 0.69697
67, 0, 4, 3, 0, 0, 50, 0.746269
68, 132096, 2, 7, 0, 0, 52, 0.764706
69, 132228, 2, 6, 0, 0, 54, 0.782609
70, 140436, 2, 8, 0, 0, 56, 0.8
71, 0, 4, 2, 0, 0, 60, 0.84507
72, 135168, 2, 8, 0, 0, 62, 0.861111
73, 135681, 2, 4, 0, 0, 64, 0.876712
74, 135681, 0, 4, 0, 0, 64, 0.864865
75, 135681, 0, 0, 0, 0, 64, 0.853333
76, 135681, 0, 8, 0, 0, 64, 0.842105
77, 135681, 0, 4, 0, 0, 64, 0.831169
78, 135681, 0, 5, 0, 0, 64, 0.820513
79, 0, 4, 1, 0, 0, 68, 0.860759
80, 147456, 2, 3, 0, 0, 70, 0.875
81, 148512, 2, 5, 0, 0, 72, 0.888889
82, 149088, 2, 7, 0, 0, 74, 0.902439
83, 0, 1, 5, 0, 0, 75, 0.903614
84, 131136, 2, 6, 0, 0, 77, 0.916667
85, 133200, 2, 4, 0, 0, 79, 0.929412
86, 133464, 2, 4, 0, 0, 81, 0.94186
87, 133464, 0, 4, 0, 0, 81, 0.931034
88, 133464, 0, 6, 0, 0, 81, 0.920455
89, 133464, 0, 8, 0, 0, 81, 0.910112
90, 141657, 2, 4, 0, 0, 83, 0.922222
91, 141657, 0, 7, 0, 0, 83, 0.912088
92, 141657, 0, 5, 0, 0, 83, 0.902174
93, 141657, 0, 1, 0, 0, 83, 0.892473
94, 0, 3, 7, 0, 0, 86, 0.914894
95, 131076, 2, 7, 0, 0, 88, 0.926316
96, 131076, 0, 6, 0, 0, 88, 0.916667
97, 131604, 2, 5, 0, 0, 90, 0.927835
98, 139860, 2, 0, 0, 0, 92, 0.938776
99, 139860, 0, 3, 0, 0, 92, 0.929293
