cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0.1, 1, 1
2, 0, 0, 1, 0, 0.1, 1, 0.5
3, 0, 0, 1, 0, 0.1, 1, 0.333333
4, 0, 0, 0, 0, 0.1, 1, 0.25
5, 0, 1, 0, 1, 0.1, 2, 0.4
6, 0, 0, 0, 0, 0.1, 2, 0.333333
7, 0, 0, 1, 0, 0.1, 2, 0.285714
8, 0, 0, 1, 0, 0.1, 2, 0.25
9, 0, 1, 0, 0, 0.1, 3, 0.333333
10, 0, 0, 1, 0, 0.1, 3, 0.3
11, 0, 1, 0, 0, 0.1, 4, 0.363636
12, 0, 0, 1, 0, 0.1, 4, 0.333333
13, 0, 1, 0, 0, 0.1, 5, 0.384615
14, 0, 0, 0, 0, 0.1, 5, 0.357143
15, 0, 0, 1, 0, 0.1, 5, 0.333333
16, 0, 0, 0, 0, 0.1, 5, 0.3125
17, 0, 0, 0, 0, 0.1, 5, 0.294118
18, 0, 0, 0, 0, 0.1, 5, 0.277778
19, 0, 0, 1, 0, 0.1, 5, 0.263158
20, 0, 0, 1, 0, 0.1, 5, 0.25
21, 0, 1, 0, 0, 0.1, 6, 0.285714
22, 0, 0, 1, 0, 0.1, 6, 0.272727
23, 0, 1, 1, 0, 0.1, 7, 0.304348
24, 0, 0, 1, 0, 0.1, 7, 0.291667
25, 0, 0, 1, 0, 0.1, 7, 0.28
26, 0, 0, 1, 0, 0.1, 7, 0.269231
27, 0, 0, 1, 0, 0.1, 7, 0.259259
28, 0, 0, 1, 0, 0.1, 7, 0.25
29, 0, 0, 1, 0, 0.1, 7, 0.241379
30, 0, 0, 0, 0, 0.1, 7, 0.233333
31, 0, 1, 0, 0, 0.1, 8, 0.258065
32, 0, 0, 0, 0, 0.1, 8, 0.25
33, 0, 0, 1, 0, 0.1, 8, 0.242424
34, 0, 0, 0, 0, 0.1, 8, 0.235294
35, 0, 0, 0, 0, 0.1, 8, 0.228571
36, 0, 0, 1, 0, 0.1, 8, 0.222222
37, 0, 0, 0, 0, 0.1, 8, 0.216216
38, 0, 0, 0, 0, 0.1, 8, 0.210526
39, 0, 0, 0, 0, 0.1, 8, 0.205128
40, 0, 0, 0, 0, 0.1, 8, 0.2
41, 0, 0, 1, 0, 0.1, 8, 0.195122
42, 0, 0, 1, 0, 0.1, 8, 0.190476
43, 0, 1, 1, 0, 0.1, 9, 0.209302
44, 0, 0, 1, 0, 0.1, 9, 0.204545
45, 0, 0, 0, 0, 0.1, 9, 0.2
46, 0, 1, 0, 0, 0.1, 10, 0.217391
47, 0, 0, 1, 0, 0.1, 10, 0.212766
48, 0, 1, 0, 0, 0.1, 11, 0.229167
49, 0, 0, 1, 0, 0.1, 11, 0.22449
50, 0, 1, 0, 0, 0.1, 12, 0.24
51, 0, 0, 1, 0, 0.1, 12, 0.235294
52, 0, 1, 0, 0, 0.1, 13, 0.25
53, 0, 0, 0, 0, 0.1, 13, 0.245283
54, 0, 0, 0, 0, 0.1, 13, 0.240741
55, 0, 0, 1, 0, 0.1, 13, 0.236364
56, 0, 0, 1, 0, 0.1, 13, 0.232143
57, 0, 1, 0, 1, 0.1, 14, 0.245614
58, 0, 0, 1, 0, 0.1, 14, 0.241379
59, 0, 1, 1, 0, 0.1, 15, 0.254237
60, 0, 0, 0, 0, 0.1, 15, 0.25
61, 0, 1, 1, 0, 0.1, 16, 0.262295
62, 0, 0, 0, 0, 0.1, 16, 0.258065
63, 0, 1, 1, 0, 0.1, 17, 0.269841
64, 0, 0, 1, 0, 0.1, 17, 0.265625
65, 0, 0, 1, 0, 0.1, 17, 0.261538
66, 0, 0, 0, 0, 0.1, 17, 0.257576
67, 0, 1, 0, 0, 0.1, 18, 0.268657
68, 0, 0, 0, 0, 0.1, 18, 0.264706
69, 0, 0, 1, 0, 0.1, 18, 0.26087
70, 0, 0, 0, 0, 0.1, 18, 0.257143
71, 0, 0, 1, 0, 0.1, 18, 0.253521
72, 0, 0, 0, 0, 0.1, 18, 0.25
73, 0, 0, 0, 0, 0.1, 18, 0.246575
74, 0, 0, 0, 0, 0.1, 18, 0.243243
75, 0, 0, 1, 0, 0.1, 18, 0.24
76, 0, 0, 0, 0, 0.1, 18, 0.236842
77, 0, 0, 1, 0, 0.1, 18, 0.233766
78, 0, 0, 0, 0, 0.1, 18, 0.230769
79, 0, 0, 0, 0, 0.1, 18, 0.227848
80, 0, 0, 0, 0, 0.1, 18, 0.225
81, 0, 0, 0, 0, 0.1, 18, 0.222222
82, 0, 0, 1, 0, 0.1, 18, 0.219512
83, 0, 0, 0, 1, 0.1, 18, 0.216867
84, 0, 0, 0, 0, 0.1, 18, 0.214286
85, 0, 0, 0, 1, 0.1, 18, 0.211765
86, 0, 0, 0, 0, 0.1, 18, 0.209302
87, 0, 0, 0, 0, 0.1, 18, 0.206897
88, 0, 0, 1, 1, 0.1, 18, 0.204545
89, 0, 0, 0, 0, 0.1, 18, 0.202247
90, 0, 0, 0, 0, 0.1, 18, 0.2
91, 0, 0, 0, 0, 0.1, 18, 0.197802
92, 0, 0, 1, 0, 0.1, 18, 0.195652
93, 0, 0, 0, 0, 0.1, 18, 0.193548
94, 0, 0, 1, 0, 0.1, 18, 0.191489
95, 0, 0, 0, 0, 0.1, 18, 0.189474
96, 0, 0, 0, 0, 0.1, 18, 0.1875
97, 0, 0, 1, 0, 0.1, 18, 0.185567
98, 0, 0, 0, 0, 0.1, 18, 0.183673
99, 0, 0, 0, 0, 0.1, 18, 0.181818
100, 0, 0, 1, 0, 0.1, 18, 0.18
101, 0, 0, 1, 0, 0.1, 18, 0.178218
102, 0, 1, 0, 0, 0.1, 19, 0.186275
103, 0, 0, 0, 0, 0.1, 19, 0.184466
104, 0, 0, 1, 0, 0.1, 19, 0.182692
105, 0, 0, 1, 0, 0.1, 19, 0.180952
106, 0, 1, 0, 0, 0.1, 20, 0.188679
107, 0, 0, 1, 0, 0.1, 20, 0.186916
108, 0, 1, 1, 0, 0.1, 21, 0.194444
109, 0, 0, 1, 0, 0.1, 21, 0.192661
110, 0, 0, 0, 0, 0.1, 21, 0.190909
111, 0, 1, 1, 0, 0.1, 22, 0.198198
112, 0, 0, 1, 0, 0.1, 22, 0.196429
113, 0, 0, 0, 0, 0.1, 22, 0.19469
114, 0, 1, 0, 0, 0.1, 23, 0.201754
115, 0, 0, 1, 0, 0.1, 23, 0.2
116, 0, 1, 1, 0, 0.1, 24, 0.206897
117, 0, 0, 0, 1, 0.1, 24, 0.205128
118, 0, 1, 0, 0, 0.1, 25, 0.211864
119, 0, 0, 1, 0, 0.1, 25, 0.210084
120, 0, 1, 1, 0, 0.1, 26, 0.216667
121, 0, 0, 1, 0, 0.1, 26, 0.214876
122, 0, 0, 1, 0, 0.1, 26, 0.213115
123, 0, 0, 0, 0, 0.1, 26, 0.211382
124, 0, 1, 0, 0, 0.1, 27, 0.217742
125, 0, 0, 1, 0, 0.1, 27, 0.216
126, 0, 1, 0, 0, 0.1, 28, 0.222222
127, 0, 0, 1, 1, 0.1, 28, 0.220472
128, 0, 1, 1, 0, 0.1, 29, 0.226562
129, 0, 0, 1, 1, 0.1, 29, 0.224806
130, 0, 0, 1, 0, 0.1, 29, 0.223077
131, 0, 0, 0, 1, 0.1, 29, 0.221374
132, 0, 1, 0, 0, 0.1, 30, 0.227273
133, 0, 0, 0, 1, 0.1, 30, 0.225564
134, 0, 0, 0, 0, 0.1, 30, 0.223881
135, 0, 0, 1, 0, 0.1, 30, 0.222222
136, 0, 0, 1, 0, 0.1, 30, 0.220588
137, 0, 1, 0, 0, 0.1, 31, 0.226277
138, 0, 0, 0, 0, 0.1, 31, 0.224638
139, 0, 0, 0, 0, 0.1, 31, 0.223022
140, 0, 0, 0, 0, 0.1, 31, 0.221429
141, 0, 0, 0, 0, 0.1, 31, 0.219858
142, 0, 0, 0, 0, 0.1, 31, 0.21831
143, 0, 0, 1, 0, 0.1, 31, 0.216783
144, 0, 0, 1, 0, 0.1, 31, 0.215278
145, 0, 1, 1, 0, 0.1, 32, 0.22069
146, 0, 0, 0, 1, 0.1, 32, 0.219178
147, 0, 1, 1, 0, 0.1, 33, 0.22449
148, 0, 0, 1, 0, 0.1, 33, 0.222973
149, 0, 0, 0, 0, 0.1, 33, 0.221477
150, 0, 1, 1, 0, 0.1, 34, 0.226667
151, 0, 0, 1, 0, 0.1, 34, 0.225166
152, 0, 0, 1, 0, 0.1, 34, 0.223684
153, 0, 0, 0, 0, 0.1, 34, 0.222222
154, 0, 1, 1, 0, 0.1, 35, 0.227273
155, 0, 0, 0, 0, 0.1, 35, 0.225806
156, 0, 1, 1, 0, 0.1, 36, 0.230769
157, 0, 0, 0, 0, 0.1, 36, 0.229299
158, 0, 1, 1, 0, 0.1, 37, 0.234177
159, 0, 0, 1, 0, 0.1, 37, 0.232704
160, 0, 0, 1, 0, 0.1, 37, 0.23125
161, 0, 0, 1, 0, 0.1, 37, 0.229814
162, 0, 0, 0, 0, 0.1, 37, 0.228395
163, 0, 1, 0, 1, 0.1, 38, 0.233129
164, 0, 0, 1, 0, 0.1, 38, 0.231707
165, 0, 1, 0, 0, 0.1, 39, 0.236364
166, 0, 0, 0, 0, 0.1, 39, 0.23494
167, 0, 0, 1, 0, 0.1, 39, 0.233533
168, 0, 0, 0, 0, 0.1, 39, 0.232143
169, 0, 0, 1, 0, 0.1, 39, 0.230769
170, 0, 0, 1, 0, 0.1, 39, 0.229412
171, 0, 1, 1, 0, 0.1, 40, 0.233918
172, 0, 0, 1, 1, 0.1, 40, 0.232558
173, 0, 0, 1, 0, 0.1, 40, 0.231214
174, 0, 0, 0, 1, 0.1, 40, 0.229885
175, 0, 1, 1, 0, 0.1, 41, 0.234286
176, 0, 0, 0, 0, 0.1, 41, 0.232955
177, 0, 1, 1, 0, 0.1, 42, 0.237288
178, 0, 0, 1, 0, 0.1, 42, 0.235955
