cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 3578117964, 0, 6, 0, 0.1, 0, 0
2, 3578117964, 0, 6, 1, 0.1, 0, 0
3, 3578117964, 0, 6, 0, 0.1, 0, 0
4, 3578117964, 0, 0, 0, 0.1, 0, 0
5, 0, 3, 5, 0, 0.1, 3, 0.6
6, 131136, 2, 3, 0, 0.1, 5, 0.833333
7, 132162, 2, 5, 1, 0.1, 7, 1
8, 132162, 0, 8, 0, 0.1, 7, 0.875
9, 132162, 0, 1, 0, 0.1, 7, 0.777778
10, 148578, 2, 6, 0, 0.1, 9, 0.9
11, 148578, 0, 2, 0, 0.1, 9, 0.818182
12, 0, 1, 5, 1, 0.1, 10, 0.833333
13, 131136, 2, 1, 0, 0.1, 12, 0.923077
14, 147522, 2, 0, 0, 0.1, 14, 1
