cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32630, 0, 1, 1, 1, 0, 0
2, 29962, 1011, 3, 0, 0.95, 1011, 505.5
3, 29962, 1011, 1, 1, 0.9025, 2022, 674
4, 29962, 1011, 1, 0, 0.857375, 3033, 758.25
5, 29962, 1011, 3, 0, 0.814506, 4044, 808.8
6, 29962, 1011, 0, 0, 0.773781, 5055, 842.5
7, 30472, 991, 0, 1, 0.735092, 6046, 863.714
8, 29962, 991, 3, 0, 0.698337, 7037, 879.625
9, 29962, 1011, 3, 1, 0.66342, 8048, 894.222
10, 29962, 1011, 1, 1, 0.630249, 9059, 905.9
11, 29962, 1011, 0, 1, 0.598737, 10070, 915.455
12, 32002, 991, 1, 0, 0.5688, 11061, 921.75
13, 32130, 1011, 3, 0, 0.54036, 12072, 928.615
14, 30853, 991, 0, 1, 0.513342, 13063, 933.071
