cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32521, 0, 3, 0, 0, 0, 0
2, 29962, 1011, 1, 0, 0, 1011, 505.5
3, 29962, 1011, 2, 0, 0, 2022, 674
4, 30472, 991, 0, 0, 0, 3013, 753.25
5, 29962, 1001, 0, 0, 0, 4014, 802.8
6, 30472, 991, 0, 0, 0, 5005, 834.167
7, 29962, 991, 1, 0, 0, 5996, 856.571
8, 29962, 1011, 1, 0, 0, 7007, 875.875
9, 29962, 1011, 3, 0, 0, 8018, 890.889
10, 29962, 1011, 3, 0, 0, 9029, 902.9
11, 29962, 1011, 3, 0, 0, 10040, 912.727
12, 29978, 1011, 2, 0, 0, 11051, 920.917
13, 30488, 1001, 1, 0, 0, 12052, 927.077
