cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 3, 0, 0.1, 0, 0
2, 7, 9, 1, 0, 0.1, 9, 4.5
3, 5, 9, 1, 0, 0.1, 18, 6
4, 12, 9, 2, 0, 0.1, 27, 6.75
5, 12, 0, 2, 0, 0.1, 27, 5.4
6, 12, 0, 3, 0, 0.1, 27, 4.5
7, 5, 9, 3, 0, 0.1, 36, 5.14286
8, 7, 9, 1, 0, 0.1, 45, 5.625
9, 5, 9, 3, 0, 0.1, 54, 6
10, 7, 9, 3, 0, 0.1, 63, 6.3
11, 7, 0, 2, 0, 0.1, 63, 5.72727
12, 7, 0, 2, 0, 0.1, 63, 5.25
13, 7, 0, 1, 0, 0.1, 63, 4.84615
14, 5, 9, 2, 0, 0.1, 72, 5.14286
15, 5, 0, 1, 0, 0.1, 72, 4.8
16, 12, 9, 3, 0, 0.1, 81, 5.0625
17, 5, 9, 3, 0, 0.1, 90, 5.29412
18, 7, 9, 3, 0, 0.1, 99, 5.5
19, 7, 0, 2, 0, 0.1, 99, 5.21053
20, 7, 0, 2, 0, 0.1, 99, 4.95
21, 7, 0, 2, 0, 0.1, 99, 4.71429
22, 7, 0, 2, 0, 0.1, 99, 4.5
23, 7, 0, 3, 1, 0.1, 99, 4.30435
24, 7, 0, 1, 0, 0.1, 99, 4.125
25, 5, 9, 1, 0, 0.1, 108, 4.32
26, 12, 9, 3, 0, 0.1, 117, 4.5
27, 5, 9, 2, 0, 0.1, 126, 4.66667
28, 5, 0, 2, 0, 0.1, 126, 4.5
29, 5, 0, 1, 0, 0.1, 126, 4.34483
30, 12, 9, 2, 0, 0.1, 135, 4.5
