cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 0, 0, 0, 0
2, 0, 2, 2, 0, 0, 2, 1
3, 0, 0, 2, 0, 0, 2, 0.666667
4, 0, 0, 2, 0, 0, 2, 0.5
5, 0, 0, 0, 0, 0, 2, 0.4
6, 0, 1, 2, 0, 0, 3, 0.5
7, 1, 2, 1, 0, 0, 5, 0.714286
8, 1, 1, 0, 0, 0, 6, 0.75
9, 0, 1, 2, 0, 0, 7, 0.777778
10, 2, 1, 2, 0, 0, 8, 0.8
11, 2, 1, 2, 0, 0, 9, 0.818182
12, 1, 2, 2, 0, 0, 11, 0.916667
13, 1, 2, 2, 0, 0, 13, 1
14, 2, 1, 1, 0, 0, 14, 1
15, 0, 2, 2, 0, 0, 16, 1.06667
16, 1, 2, 2, 0, 0, 18, 1.125
17, 1, 2, 2, 0, 0, 20, 1.17647
18, 0, 0, 2, 0, 0, 20, 1.11111
19, 0, 0, 2, 0, 0, 20, 1.05263
20, 0, 0, 1, 0, 0, 20, 1
21, 0, 2, 1, 0, 0, 22, 1.04762
22, 1, 1, 1, 0, 0, 23, 1.04545
23, 2, 0, 2, 0, 0, 23, 1
24, 0, 0, 2, 0, 0, 23, 0.958333
25, 0, 0, 0, 0, 0, 23, 0.92
26, 0, 1, 2, 0, 0, 24, 0.923077
27, 1, 2, 2, 0, 0, 26, 0.962963
28, 1, 2, 1, 0, 0, 28, 1
29, 0, 2, 2, 0, 0, 30, 1.03448
30, 2, 1, 1, 0, 0, 31, 1.03333
31, 2, 0, 0, 0, 0, 31, 1
32, 0, 1, 1, 0, 0, 32, 1
33, 2, 0, 1, 0, 0, 32, 0.969697
34, 0, 2, 2, 0, 0, 34, 1
35, 2, 1, 0, 0, 0, 35, 1
36, 0, 1, 1, 0, 0, 36, 1
37, 1, 1, 1, 0, 0, 37, 1
38, 0, 2, 1, 0, 0, 39, 1.02632
39, 0, 2, 2, 0, 0, 41, 1.05128
40, 0, 0, 1, 0, 0, 41, 1.025
41, 0, 2, 0, 0, 0, 43, 1.04878
42, 1, 0, 0, 0, 0, 43, 1.02381
43, 2, 2, 1, 0, 0, 45, 1.04651
44, 0, 2, 1, 0, 0, 47, 1.06818
45, 1, 1, 1, 0, 0, 48, 1.06667
46, 2, 0, 2, 0, 0, 48, 1.04348
47, 1, 2, 2, 0, 0, 50, 1.06383
48, 2, 1, 2, 0, 0, 51, 1.0625
49, 2, 1, 2, 0, 0, 52, 1.06122
50, 0, 0, 2, 0, 0, 52, 1.04
51, 0, 0, 1, 0, 0, 52, 1.01961
52, 0, 2, 1, 0, 0, 54, 1.03846
53, 0, 2, 1, 0, 0, 56, 1.0566
54, 1, 1, 2, 0, 0, 57, 1.05556
55, 1, 2, 1, 0, 0, 59, 1.07273
56, 1, 1, 1, 0, 0, 60, 1.07143
57, 2, 0, 2, 0, 0, 60, 1.05263
58, 0, 0, 0, 0, 0, 60, 1.03448
59, 0, 1, 0, 0, 0, 61, 1.0339
60, 2, 2, 2, 0, 0, 63, 1.05
61, 2, 1, 1, 0, 0, 64, 1.04918
62, 0, 2, 1, 0, 0, 66, 1.06452
63, 0, 2, 1, 0, 0, 68, 1.07937
64, 0, 2, 0, 0, 0, 70, 1.09375
65, 2, 2, 1, 0, 0, 72, 1.10769
66, 1, 1, 0, 0, 0, 73, 1.10606
67, 0, 1, 0, 0, 0, 74, 1.10448
68, 1, 0, 1, 0, 0, 74, 1.08824
69, 2, 0, 0, 0, 0, 74, 1.07246
70, 0, 1, 0, 0, 0, 75, 1.07143
71, 2, 2, 0, 0, 0, 77, 1.08451
72, 0, 1, 0, 0, 0, 78, 1.08333
73, 0, 1, 2, 0, 0, 79, 1.08219
74, 1, 2, 1, 0, 0, 81, 1.09459
75, 2, 0, 1, 0, 0, 81, 1.08
76, 2, 0, 1, 0, 0, 81, 1.06579
77, 1, 1, 0, 0, 0, 82, 1.06494
78, 1, 0, 2, 0, 0, 82, 1.05128
79, 1, 2, 1, 0, 0, 84, 1.06329
80, 2, 0, 2, 0, 0, 84, 1.05
81, 1, 2, 1, 0, 0, 86, 1.06173
82, 0, 2, 1, 0, 0, 88, 1.07317
83, 1, 1, 0, 0, 0, 89, 1.07229
84, 1, 0, 1, 0, 0, 89, 1.05952
