cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 0, 0, 0, 0
2, 12, 9, 2, 0, 0, 9, 4.5
3, 12, 0, 0, 0, 0, 9, 3
4, 10, 9, 1, 0, 0, 18, 4.5
5, 10, 0, 3, 0, 0, 18, 3.6
6, 10, 0, 1, 0, 0, 18, 3
7, 10, 0, 2, 0, 0, 18, 2.57143
8, 12, 9, 0, 0, 0, 27, 3.375
9, 10, 9, 3, 0, 0, 36, 4
10, 10, 0, 1, 0, 0, 36, 3.6
11, 10, 0, 3, 0, 0, 36, 3.27273
12, 10, 0, 3, 0, 0, 36, 3
13, 10, 0, 1, 0, 0, 36, 2.76923
14, 10, 0, 3, 0, 0, 36, 2.57143
15, 10, 0, 0, 0, 0, 36, 2.4
16, 8, 9, 0, 0, 0, 45, 2.8125
17, 10, 9, 0, 0, 0, 54, 3.17647
18, 9, 9, 3, 0, 0, 63, 3.5
19, 5, 9, 0, 0, 0, 72, 3.78947
20, 5, 0, 0, 0, 0, 72, 3.6
21, 5, 0, 0, 0, 0, 72, 3.42857
22, 5, 0, 1, 0, 0, 72, 3.27273
23, 9, 9, 1, 0, 0, 81, 3.52174
24, 9, 0, 0, 0, 0, 81, 3.375
25, 9, 0, 2, 0, 0, 81, 3.24
26, 10, 9, 2, 0, 0, 90, 3.46154
27, 8, 9, 1, 0, 0, 99, 3.66667
28, 8, 0, 1, 0, 0, 99, 3.53571
29, 8, 0, 1, 0, 0, 99, 3.41379
30, 8, 0, 1, 0, 0, 99, 3.3
31, 8, 0, 1, 0, 0, 99, 3.19355
32, 8, 0, 2, 0, 0, 99, 3.09375
33, 10, 9, 3, 0, 0, 108, 3.27273
34, 10, 0, 3, 0, 0, 108, 3.17647
35, 10, 0, 2, 0, 0, 108, 3.08571
36, 12, 9, 0, 0, 0, 117, 3.25
37, 10, 9, 1, 0, 0, 126, 3.40541
38, 10, 0, 3, 0, 0, 126, 3.31579
39, 10, 0, 0, 0, 0, 126, 3.23077
40, 8, 9, 0, 0, 0, 135, 3.375
41, 10, 9, 1, 0, 0, 144, 3.5122
42, 10, 0, 3, 0, 0, 144, 3.42857
43, 10, 0, 3, 0, 0, 144, 3.34884
44, 10, 0, 0, 0, 0, 144, 3.27273
45, 9, 9, 0, 0, 0, 153, 3.4
46, 9, 0, 2, 0, 0, 153, 3.32609
47, 10, 9, 3, 0, 0, 162, 3.44681
48, 10, 0, 2, 0, 0, 162, 3.375
49, 8, 9, 2, 0, 0, 171, 3.4898
50, 10, 9, 2, 0, 0, 180, 3.6
51, 12, 9, 1, 0, 0, 189, 3.70588
52, 12, 0, 0, 0, 0, 189, 3.63462
53, 10, 9, 2, 0, 0, 198, 3.73585
54, 12, 9, 1, 0, 0, 207, 3.83333
55, 12, 0, 1, 0, 0, 207, 3.76364
56, 12, 0, 2, 0, 0, 207, 3.69643
57, 12, 0, 1, 0, 0, 207, 3.63158
58, 12, 0, 3, 0, 0, 207, 3.56897
59, 5, 9, 3, 0, 0, 216, 3.66102
60, 7, 9, 0, 0, 0, 225, 3.75
61, 7, 0, 0, 0, 0, 225, 3.68852
62, 7, 0, 0, 0, 0, 225, 3.62903
63, 7, 0, 2, 0, 0, 225, 3.57143
64, 7, 0, 2, 0, 0, 225, 3.51562
65, 7, 0, 3, 0, 0, 225, 3.46154
66, 7, 0, 3, 0, 0, 225, 3.40909
67, 7, 0, 2, 0, 0, 225, 3.35821
68, 7, 0, 0, 0, 0, 225, 3.30882
69, 7, 0, 2, 0, 0, 225, 3.26087
70, 7, 0, 3, 0, 0, 225, 3.21429
71, 7, 0, 1, 0, 0, 225, 3.16901
72, 5, 9, 1, 0, 0, 234, 3.25
73, 12, 9, 1, 0, 0, 243, 3.32877
74, 12, 0, 2, 0, 0, 243, 3.28378
75, 12, 0, 1, 0, 0, 243, 3.24
76, 12, 0, 2, 0, 0, 243, 3.19737
77, 12, 0, 2, 0, 0, 243, 3.15584
78, 12, 0, 1, 0, 0, 243, 3.11538
79, 12, 0, 1, 0, 0, 243, 3.07595
80, 12, 0, 0, 0, 0, 243, 3.0375
81, 10, 9, 0, 0, 0, 252, 3.11111
82, 8, 9, 3, 0, 0, 261, 3.18293
83, 5, 9, 0, 0, 0, 270, 3.25301
84, 5, 0, 1, 0, 0, 270, 3.21429
85, 8, 9, 0, 0, 0, 279, 3.28235
86, 10, 9, 3, 0, 0, 288, 3.34884
87, 10, 0, 2, 0, 0, 288, 3.31034
88, 8, 9, 2, 0, 0, 297, 3.375
89, 10, 9, 1, 0, 0, 306, 3.4382
90, 10, 0, 3, 0, 0, 306, 3.4
91, 10, 0, 2, 0, 0, 306, 3.36264
92, 12, 9, 2, 0, 0, 315, 3.42391
93, 12, 0, 1, 0, 0, 315, 3.3871
94, 12, 0, 3, 0, 0, 315, 3.35106
95, 5, 9, 3, 0, 0, 324, 3.41053
96, 7, 9, 1, 0, 0, 333, 3.46875
97, 5, 9, 0, 0, 0, 342, 3.52577
98, 5, 0, 3, 0, 0, 342, 3.4898
