cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 1, 1, 1, 0, 0
2, 0, 0, 1, 1, 1, 0, 0
3, 0, 0, 1, 1, 1, 0, 0
4, 1, 1, 1, 1, 1, 1, 0.25
5, 0, 0, 1, 1, 1, 1, 0.2
6, 0, 0, 1, 1, 1, 1, 0.166667
7, 0, 0, 0, 1, 1, 1, 0.142857
8, 0, 1, 0, 1, 1, 2, 0.25
9, 1, 0, 0, 1, 1, 2, 0.222222
10, 0, 1, 1, 1, 1, 3, 0.3
11, 0, 0, 1, 1, 1, 3, 0.272727
12, 1, 1, 0, 1, 1, 4, 0.333333
13, 0, 1, 1, 1, 1, 5, 0.384615
14, 0, 0, 1, 1, 1, 5, 0.357143
15, 0, 0, 0, 1, 1, 5, 0.333333
16, 0, 1, 0, 1, 1, 6, 0.375
17, 0, 1, 1, 1, 1, 7, 0.411765
18, 0, 0, 0, 1, 1, 7, 0.388889
19, 0, 1, 0, 1, 1, 8, 0.421053
20, 0, 1, 0, 1, 1, 9, 0.45
21, 0, 1, 0, 1, 1, 10, 0.47619
22, 0, 1, 1, 1, 1, 11, 0.5
23, 0, 0, 0, 1, 1, 11, 0.478261
24, 0, 1, 0, 1, 1, 12, 0.5
25, 0, 1, 0, 1, 1, 13, 0.52
26, 0, 1, 0, 1, 1, 14, 0.538462
27, 0, 1, 0, 1, 1, 15, 0.555556
28, 0, 1, 0, 1, 1, 16, 0.571429
29, 1, 0, 0, 1, 1, 16, 0.551724
30, 0, 1, 1, 1, 1, 17, 0.566667
31, 0, 0, 1, 1, 1, 17, 0.548387
32, 0, 0, 1, 1, 1, 17, 0.53125
33, 1, 1, 0, 1, 1, 18, 0.545455
34, 0, 1, 1, 1, 1, 19, 0.558824
35, 0, 0, 0, 1, 1, 19, 0.542857
36, 0, 1, 1, 1, 1, 20, 0.555556
37, 0, 0, 1, 1, 1, 20, 0.540541
38, 0, 0, 0, 1, 1, 20, 0.526316
39, 0, 1, 0, 1, 1, 21, 0.538462
40, 0, 1, 0, 1, 1, 22, 0.55
41, 0, 1, 0, 1, 1, 23, 0.560976
42, 0, 1, 1, 1, 1, 24, 0.571429
43, 0, 0, 0, 1, 1, 24, 0.55814
44, 0, 1, 0, 1, 1, 25, 0.568182
45, 0, 1, 1, 1, 1, 26, 0.577778
46, 0, 0, 1, 1, 1, 26, 0.565217
47, 0, 0, 1, 1, 1, 26, 0.553191
48, 0, 0, 1, 1, 1, 26, 0.541667
49, 0, 0, 1, 1, 1, 26, 0.530612
50, 0, 0, 1, 1, 1, 26, 0.52
51, 0, 0, 0, 1, 1, 26, 0.509804
52, 0, 1, 0, 1, 1, 27, 0.519231
53, 1, 0, 1, 1, 1, 27, 0.509434
54, 0, 0, 0, 1, 1, 27, 0.5
55, 1, 0, 0, 1, 1, 27, 0.490909
56, 0, 1, 1, 1, 1, 28, 0.5
57, 0, 0, 1, 1, 1, 28, 0.491228
58, 0, 0, 0, 1, 1, 28, 0.482759
59, 0, 1, 0, 1, 1, 29, 0.491525
60, 0, 1, 1, 1, 1, 30, 0.5
61, 0, 0, 0, 1, 1, 30, 0.491803
62, 0, 1, 0, 1, 1, 31, 0.5
63, 0, 1, 1, 1, 1, 32, 0.507937
64, 0, 0, 0, 1, 1, 32, 0.5
65, 0, 1, 0, 1, 1, 33, 0.507692
66, 1, 0, 1, 1, 1, 33, 0.5
67, 0, 0, 1, 1, 1, 33, 0.492537
68, 0, 0, 1, 1, 1, 33, 0.485294
69, 0, 0, 1, 1, 1, 33, 0.478261
70, 0, 0, 0, 1, 1, 33, 0.471429
71, 1, 0, 1, 1, 1, 33, 0.464789
72, 0, 0, 0, 1, 1, 33, 0.458333
73, 0, 1, 0, 1, 1, 34, 0.465753
74, 0, 1, 0, 1, 1, 35, 0.472973
75, 0, 1, 0, 1, 1, 36, 0.48
76, 0, 1, 1, 1, 1, 37, 0.486842
77, 0, 0, 0, 1, 1, 37, 0.480519
78, 1, 0, 0, 1, 1, 37, 0.474359
79, 0, 1, 0, 1, 1, 38, 0.481013
80, 0, 1, 1, 1, 1, 39, 0.4875
81, 0, 0, 1, 1, 1, 39, 0.481481
82, 0, 0, 1, 1, 1, 39, 0.47561
83, 0, 0, 1, 1, 1, 39, 0.46988
84, 0, 0, 1, 1, 1, 39, 0.464286
85, 0, 0, 1, 1, 1, 39, 0.458824
86, 0, 0, 0, 1, 1, 39, 0.453488
87, 0, 1, 0, 1, 1, 40, 0.45977
88, 0, 1, 0, 1, 1, 41, 0.465909
89, 0, 1, 0, 1, 1, 42, 0.47191
90, 0, 1, 1, 1, 1, 43, 0.477778
91, 0, 0, 0, 1, 1, 43, 0.472527
92, 0, 1, 0, 1, 1, 44, 0.478261
93, 0, 1, 0, 1, 1, 45, 0.483871
94, 0, 1, 1, 1, 1, 46, 0.489362
95, 0, 0, 0, 1, 1, 46, 0.484211
96, 0, 1, 0, 1, 1, 47, 0.489583
97, 0, 1, 0, 1, 1, 48, 0.494845
98, 0, 1, 1, 1, 1, 49, 0.5
99, 0, 0, 0, 1, 1, 49, 0.494949
100, 0, 1, 1, 1, 1, 50, 0.5
101, 1, 1, 0, 1, 1, 51, 0.50495
102, 0, 1, 1, 1, 1, 52, 0.509804
103, 0, 0, 0, 1, 1, 52, 0.504854
104, 0, 1, 1, 1, 1, 53, 0.509615
105, 0, 0, 0, 1, 1, 53, 0.504762
106, 0, 1, 0, 1, 1, 54, 0.509434
107, 0, 1, 1, 1, 1, 55, 0.514019
108, 0, 0, 0, 1, 1, 55, 0.509259
109, 0, 1, 1, 1, 1, 56, 0.513761
110, 0, 0, 0, 1, 1, 56, 0.509091
111, 0, 1, 1, 1, 1, 57, 0.513514
112, 0, 0, 1, 1, 1, 57, 0.508929
113, 0, 0, 0, 1, 1, 57, 0.504425
114, 0, 1, 0, 1, 1, 58, 0.508772
115, 0, 1, 0, 1, 1, 59, 0.513043
116, 0, 1, 0, 1, 1, 60, 0.517241
117, 0, 1, 0, 1, 1, 61, 0.521368
118, 0, 1, 1, 1, 1, 62, 0.525424
119, 0, 0, 1, 1, 1, 62, 0.521008
120, 0, 0, 0, 1, 1, 62, 0.516667
121, 1, 0, 0, 1, 1, 62, 0.512397
122, 0, 1, 0, 1, 1, 63, 0.516393
123, 0, 1, 0, 1, 1, 64, 0.520325
124, 0, 1, 0, 1, 1, 65, 0.524194
125, 0, 1, 0, 1, 1, 66, 0.528
126, 0, 1, 0, 1, 1, 67, 0.531746
127, 0, 1, 1, 1, 1, 68, 0.535433
128, 0, 0, 1, 1, 1, 68, 0.53125
129, 0, 0, 1, 1, 1, 68, 0.527132
130, 0, 0, 1, 1, 1, 68, 0.523077
